네이버 데이터랩 쇼핑인사이트 > 검색어 통계
조회분야
가구/인테리어
조회기간 : 2017.08.01. ~ 2018.04.19. 일간
기기별 : 전체
성별 : 전체
연령별 : 전체

"날짜","앞치마"
"2017-08-01",30
"2017-08-02",31
"2017-08-03",33
"2017-08-04",27
"2017-08-05",22
"2017-08-06",29
"2017-08-07",34
"2017-08-08",31
"2017-08-09",36
"2017-08-10",35
"2017-08-11",27
"2017-08-12",31
"2017-08-13",35
"2017-08-14",39
"2017-08-15",46
"2017-08-16",48
"2017-08-17",38
"2017-08-18",35
"2017-08-19",45
"2017-08-20",39
"2017-08-21",40
"2017-08-22",46
"2017-08-23",44
"2017-08-24",44
"2017-08-25",37
"2017-08-26",31
"2017-08-27",33
"2017-08-28",32
"2017-08-29",51
"2017-08-30",48
"2017-08-31",42
"2017-09-01",34
"2017-09-02",43
"2017-09-03",46
"2017-09-04",55
"2017-09-05",60
"2017-09-06",65
"2017-09-07",49
"2017-09-08",45
"2017-09-09",47
"2017-09-10",46
"2017-09-11",56
"2017-09-12",58
"2017-09-13",57
"2017-09-14",52
"2017-09-15",39
"2017-09-16",41
"2017-09-17",48
"2017-09-18",54
"2017-09-19",57
"2017-09-20",45
"2017-09-21",54
"2017-09-22",42
"2017-09-23",37
"2017-09-24",43
"2017-09-25",44
"2017-09-26",52
"2017-09-27",45
"2017-09-28",37
"2017-09-29",25
"2017-09-30",24
"2017-10-01",24
"2017-10-02",23
"2017-10-03",32
"2017-10-04",25
"2017-10-05",37
"2017-10-06",29
"2017-10-07",36
"2017-10-08",36
"2017-10-09",47
"2017-10-10",44
"2017-10-11",54
"2017-10-12",45
"2017-10-13",39
"2017-10-14",32
"2017-10-15",42
"2017-10-16",48
"2017-10-17",46
"2017-10-18",46
"2017-10-19",40
"2017-10-20",37
"2017-10-21",35
"2017-10-22",51
"2017-10-23",45
"2017-10-24",41
"2017-10-25",46
"2017-10-26",49
"2017-10-27",38
"2017-10-28",33
"2017-10-29",40
"2017-10-30",44
"2017-10-31",42
"2017-11-01",50
"2017-11-02",48
"2017-11-03",48
"2017-11-04",40
"2017-11-05",40
"2017-11-06",48
"2017-11-07",53
"2017-11-08",50
"2017-11-09",49
"2017-11-10",38
"2017-11-11",37
"2017-11-12",45
"2017-11-13",50
"2017-11-14",53
"2017-11-15",46
"2017-11-16",44
"2017-11-17",43
"2017-11-18",37
"2017-11-19",39
"2017-11-20",47
"2017-11-21",46
"2017-11-22",37
"2017-11-23",34
"2017-11-24",36
"2017-11-25",31
"2017-11-26",38
"2017-11-27",39
"2017-11-28",43
"2017-11-29",44
"2017-11-30",39
"2017-12-01",31
"2017-12-02",35
"2017-12-03",45
"2017-12-04",44
"2017-12-05",41
"2017-12-06",44
"2017-12-07",42
"2017-12-08",41
"2017-12-09",38
"2017-12-10",43
"2017-12-11",45
"2017-12-12",46
"2017-12-13",45
"2017-12-14",42
"2017-12-15",34
"2017-12-16",35
"2017-12-17",42
"2017-12-18",46
"2017-12-19",43
"2017-12-20",39
"2017-12-21",38
"2017-12-22",34
"2017-12-23",34
"2017-12-24",29
"2017-12-25",39
"2017-12-26",47
"2017-12-27",46
"2017-12-28",45
"2017-12-29",44
"2017-12-30",38
"2017-12-31",38
"2018-01-01",47
"2018-01-02",58
"2018-01-03",49
"2018-01-04",53
"2018-01-05",49
"2018-01-06",57
"2018-01-07",62
"2018-01-08",68
"2018-01-09",81
"2018-01-10",65
"2018-01-11",60
"2018-01-12",62
"2018-01-13",56
"2018-01-14",63
"2018-01-15",62
"2018-01-16",70
"2018-01-17",70
"2018-01-18",62
"2018-01-19",57
"2018-01-20",69
"2018-01-21",64
"2018-01-22",66
"2018-01-23",71
"2018-01-24",62
"2018-01-25",56
"2018-01-26",62
"2018-01-27",59
"2018-01-28",74
"2018-01-29",64
"2018-01-30",56
"2018-01-31",62
"2018-02-01",56
"2018-02-02",54
"2018-02-03",60
"2018-02-04",75
"2018-02-05",74
"2018-02-06",78
"2018-02-07",69
"2018-02-08",56
"2018-02-09",56
"2018-02-10",57
"2018-02-11",63
"2018-02-12",50
"2018-02-13",45
"2018-02-14",38
"2018-02-15",38
"2018-02-16",46
"2018-02-17",47
"2018-02-18",67
"2018-02-19",69
"2018-02-20",76
"2018-02-21",71
"2018-02-22",69
"2018-02-23",63
"2018-02-24",72
"2018-02-25",80
"2018-02-26",82
"2018-02-27",78
"2018-02-28",73
"2018-03-01",73
"2018-03-02",75
"2018-03-03",68
"2018-03-04",84
"2018-03-05",73
"2018-03-06",68
"2018-03-07",70
"2018-03-08",67
"2018-03-09",62
"2018-03-10",60
"2018-03-11",63
"2018-03-12",65
"2018-03-13",80
"2018-03-14",73
"2018-03-15",72
"2018-03-16",62
"2018-03-17",61
"2018-03-18",84
"2018-03-19",78
"2018-03-20",61
"2018-03-21",77
"2018-03-22",74
"2018-03-23",62
"2018-03-24",59
"2018-03-25",69
"2018-03-26",76
"2018-03-27",82
"2018-03-28",76
"2018-03-29",75
"2018-03-30",63
"2018-03-31",62
"2018-04-01",64
"2018-04-02",75
"2018-04-03",86
"2018-04-04",80
"2018-04-05",77
"2018-04-06",62
"2018-04-07",60
"2018-04-08",81
"2018-04-09",85
"2018-04-10",73
"2018-04-11",77
"2018-04-12",69
"2018-04-13",69
"2018-04-14",74
"2018-04-15",94
"2018-04-16",87
"2018-04-17",100
"2018-04-18",79
"2018-04-19",90
