네이버 데이터랩 쇼핑인사이트 > 검색어 통계
조회분야
가구/인테리어
조회기간 : 2017.08.01. ~ 2018.04.19. 일간
기기별 : 전체
성별 : 전체
연령별 : 전체

"날짜","거실테이블"
"2017-08-01",28
"2017-08-02",32
"2017-08-03",35
"2017-08-04",35
"2017-08-05",38
"2017-08-06",44
"2017-08-07",50
"2017-08-08",41
"2017-08-09",41
"2017-08-10",38
"2017-08-11",36
"2017-08-12",37
"2017-08-13",48
"2017-08-14",40
"2017-08-15",50
"2017-08-16",42
"2017-08-17",45
"2017-08-18",39
"2017-08-19",39
"2017-08-20",60
"2017-08-21",49
"2017-08-22",37
"2017-08-23",39
"2017-08-24",37
"2017-08-25",37
"2017-08-26",34
"2017-08-27",48
"2017-08-28",39
"2017-08-29",40
"2017-08-30",41
"2017-08-31",34
"2017-09-01",27
"2017-09-02",29
"2017-09-03",47
"2017-09-04",43
"2017-09-05",43
"2017-09-06",39
"2017-09-07",41
"2017-09-08",34
"2017-09-09",42
"2017-09-10",49
"2017-09-11",41
"2017-09-12",39
"2017-09-13",35
"2017-09-14",35
"2017-09-15",30
"2017-09-16",38
"2017-09-17",50
"2017-09-18",48
"2017-09-19",42
"2017-09-20",40
"2017-09-21",38
"2017-09-22",31
"2017-09-23",33
"2017-09-24",45
"2017-09-25",38
"2017-09-26",38
"2017-09-27",33
"2017-09-28",26
"2017-09-29",21
"2017-09-30",27
"2017-10-01",41
"2017-10-02",39
"2017-10-03",34
"2017-10-04",32
"2017-10-05",38
"2017-10-06",48
"2017-10-07",50
"2017-10-08",51
"2017-10-09",62
"2017-10-10",39
"2017-10-11",44
"2017-10-12",38
"2017-10-13",34
"2017-10-14",40
"2017-10-15",53
"2017-10-16",59
"2017-10-17",47
"2017-10-18",43
"2017-10-19",40
"2017-10-20",36
"2017-10-21",38
"2017-10-22",56
"2017-10-23",52
"2017-10-24",42
"2017-10-25",45
"2017-10-26",43
"2017-10-27",35
"2017-10-28",40
"2017-10-29",59
"2017-10-30",53
"2017-10-31",45
"2017-11-01",42
"2017-11-02",46
"2017-11-03",44
"2017-11-04",38
"2017-11-05",57
"2017-11-06",58
"2017-11-07",47
"2017-11-08",51
"2017-11-09",40
"2017-11-10",36
"2017-11-11",35
"2017-11-12",59
"2017-11-13",57
"2017-11-14",49
"2017-11-15",41
"2017-11-16",41
"2017-11-17",38
"2017-11-18",44
"2017-11-19",59
"2017-11-20",57
"2017-11-21",47
"2017-11-22",43
"2017-11-23",42
"2017-11-24",39
"2017-11-25",43
"2017-11-26",62
"2017-11-27",53
"2017-11-28",50
"2017-11-29",48
"2017-11-30",51
"2017-12-01",41
"2017-12-02",44
"2017-12-03",76
"2017-12-04",61
"2017-12-05",53
"2017-12-06",48
"2017-12-07",53
"2017-12-08",38
"2017-12-09",46
"2017-12-10",68
"2017-12-11",60
"2017-12-12",47
"2017-12-13",48
"2017-12-14",44
"2017-12-15",36
"2017-12-16",48
"2017-12-17",68
"2017-12-18",55
"2017-12-19",47
"2017-12-20",42
"2017-12-21",41
"2017-12-22",34
"2017-12-23",42
"2017-12-24",51
"2017-12-25",65
"2017-12-26",57
"2017-12-27",46
"2017-12-28",44
"2017-12-29",39
"2017-12-30",55
"2017-12-31",48
"2018-01-01",68
"2018-01-02",65
"2018-01-03",60
"2018-01-04",58
"2018-01-05",50
"2018-01-06",57
"2018-01-07",77
"2018-01-08",64
"2018-01-09",58
"2018-01-10",59
"2018-01-11",50
"2018-01-12",50
"2018-01-13",49
"2018-01-14",78
"2018-01-15",71
"2018-01-16",61
"2018-01-17",53
"2018-01-18",56
"2018-01-19",51
"2018-01-20",63
"2018-01-21",74
"2018-01-22",65
"2018-01-23",59
"2018-01-24",54
"2018-01-25",50
"2018-01-26",45
"2018-01-27",56
"2018-01-28",77
"2018-01-29",69
"2018-01-30",57
"2018-01-31",50
"2018-02-01",56
"2018-02-02",39
"2018-02-03",54
"2018-02-04",75
"2018-02-05",65
"2018-02-06",58
"2018-02-07",57
"2018-02-08",43
"2018-02-09",38
"2018-02-10",52
"2018-02-11",67
"2018-02-12",54
"2018-02-13",42
"2018-02-14",41
"2018-02-15",36
"2018-02-16",38
"2018-02-17",50
"2018-02-18",66
"2018-02-19",64
"2018-02-20",50
"2018-02-21",51
"2018-02-22",46
"2018-02-23",43
"2018-02-24",51
"2018-02-25",71
"2018-02-26",65
"2018-02-27",62
"2018-02-28",52
"2018-03-01",71
"2018-03-02",60
"2018-03-03",71
"2018-03-04",98
"2018-03-05",74
"2018-03-06",56
"2018-03-07",64
"2018-03-08",66
"2018-03-09",53
"2018-03-10",67
"2018-03-11",96
"2018-03-12",77
"2018-03-13",71
"2018-03-14",58
"2018-03-15",59
"2018-03-16",54
"2018-03-17",54
"2018-03-18",87
"2018-03-19",75
"2018-03-20",65
"2018-03-21",67
"2018-03-22",60
"2018-03-23",53
"2018-03-24",63
"2018-03-25",92
"2018-03-26",79
"2018-03-27",62
"2018-03-28",58
"2018-03-29",61
"2018-03-30",51
"2018-03-31",56
"2018-04-01",91
"2018-04-02",74
"2018-04-03",63
"2018-04-04",61
"2018-04-05",66
"2018-04-06",47
"2018-04-07",61
"2018-04-08",100
"2018-04-09",79
"2018-04-10",61
"2018-04-11",61
"2018-04-12",51
"2018-04-13",52
"2018-04-14",63
"2018-04-15",88
"2018-04-16",68
"2018-04-17",68
"2018-04-18",62
"2018-04-19",55
