네이버 데이터랩 쇼핑인사이트 > 검색어 통계
조회분야
가구/인테리어
조회기간 : 2017.08.01. ~ 2018.04.19. 일간
기기별 : 전체
성별 : 전체
연령별 : 전체

"날짜","싱글침대"
"2017-08-01",54
"2017-08-02",48
"2017-08-03",44
"2017-08-04",38
"2017-08-05",43
"2017-08-06",54
"2017-08-07",52
"2017-08-08",51
"2017-08-09",43
"2017-08-10",44
"2017-08-11",48
"2017-08-12",49
"2017-08-13",59
"2017-08-14",54
"2017-08-15",78
"2017-08-16",60
"2017-08-17",56
"2017-08-18",51
"2017-08-19",52
"2017-08-20",74
"2017-08-21",77
"2017-08-22",64
"2017-08-23",60
"2017-08-24",56
"2017-08-25",44
"2017-08-26",56
"2017-08-27",76
"2017-08-28",66
"2017-08-29",65
"2017-08-30",62
"2017-08-31",57
"2017-09-01",49
"2017-09-02",57
"2017-09-03",70
"2017-09-04",57
"2017-09-05",58
"2017-09-06",54
"2017-09-07",49
"2017-09-08",47
"2017-09-09",48
"2017-09-10",66
"2017-09-11",68
"2017-09-12",54
"2017-09-13",50
"2017-09-14",50
"2017-09-15",37
"2017-09-16",48
"2017-09-17",65
"2017-09-18",54
"2017-09-19",51
"2017-09-20",48
"2017-09-21",41
"2017-09-22",38
"2017-09-23",43
"2017-09-24",59
"2017-09-25",54
"2017-09-26",50
"2017-09-27",45
"2017-09-28",39
"2017-09-29",38
"2017-09-30",46
"2017-10-01",58
"2017-10-02",53
"2017-10-03",48
"2017-10-04",54
"2017-10-05",62
"2017-10-06",73
"2017-10-07",81
"2017-10-08",87
"2017-10-09",92
"2017-10-10",78
"2017-10-11",63
"2017-10-12",63
"2017-10-13",53
"2017-10-14",62
"2017-10-15",74
"2017-10-16",70
"2017-10-17",63
"2017-10-18",62
"2017-10-19",57
"2017-10-20",48
"2017-10-21",59
"2017-10-22",76
"2017-10-23",67
"2017-10-24",59
"2017-10-25",58
"2017-10-26",54
"2017-10-27",57
"2017-10-28",68
"2017-10-29",75
"2017-10-30",68
"2017-10-31",55
"2017-11-01",57
"2017-11-02",54
"2017-11-03",46
"2017-11-04",54
"2017-11-05",73
"2017-11-06",65
"2017-11-07",53
"2017-11-08",54
"2017-11-09",52
"2017-11-10",43
"2017-11-11",54
"2017-11-12",70
"2017-11-13",68
"2017-11-14",58
"2017-11-15",50
"2017-11-16",50
"2017-11-17",49
"2017-11-18",52
"2017-11-19",71
"2017-11-20",62
"2017-11-21",57
"2017-11-22",48
"2017-11-23",47
"2017-11-24",39
"2017-11-25",52
"2017-11-26",59
"2017-11-27",59
"2017-11-28",53
"2017-11-29",46
"2017-11-30",43
"2017-12-01",41
"2017-12-02",48
"2017-12-03",69
"2017-12-04",65
"2017-12-05",56
"2017-12-06",43
"2017-12-07",45
"2017-12-08",41
"2017-12-09",54
"2017-12-10",63
"2017-12-11",52
"2017-12-12",59
"2017-12-13",49
"2017-12-14",48
"2017-12-15",47
"2017-12-16",48
"2017-12-17",56
"2017-12-18",53
"2017-12-19",53
"2017-12-20",46
"2017-12-21",45
"2017-12-22",41
"2017-12-23",49
"2017-12-24",55
"2017-12-25",65
"2017-12-26",63
"2017-12-27",62
"2017-12-28",54
"2017-12-29",41
"2017-12-30",60
"2017-12-31",54
"2018-01-01",70
"2018-01-02",70
"2018-01-03",62
"2018-01-04",60
"2018-01-05",55
"2018-01-06",68
"2018-01-07",89
"2018-01-08",80
"2018-01-09",76
"2018-01-10",68
"2018-01-11",64
"2018-01-12",56
"2018-01-13",69
"2018-01-14",83
"2018-01-15",73
"2018-01-16",70
"2018-01-17",72
"2018-01-18",65
"2018-01-19",55
"2018-01-20",73
"2018-01-21",90
"2018-01-22",78
"2018-01-23",74
"2018-01-24",64
"2018-01-25",66
"2018-01-26",58
"2018-01-27",68
"2018-01-28",80
"2018-01-29",77
"2018-01-30",66
"2018-01-31",64
"2018-02-01",69
"2018-02-02",59
"2018-02-03",74
"2018-02-04",91
"2018-02-05",74
"2018-02-06",71
"2018-02-07",64
"2018-02-08",59
"2018-02-09",49
"2018-02-10",58
"2018-02-11",77
"2018-02-12",60
"2018-02-13",52
"2018-02-14",47
"2018-02-15",49
"2018-02-16",58
"2018-02-17",75
"2018-02-18",89
"2018-02-19",96
"2018-02-20",65
"2018-02-21",69
"2018-02-22",69
"2018-02-23",61
"2018-02-24",72
"2018-02-25",96
"2018-02-26",85
"2018-02-27",73
"2018-02-28",70
"2018-03-01",88
"2018-03-02",68
"2018-03-03",73
"2018-03-04",100
"2018-03-05",71
"2018-03-06",55
"2018-03-07",56
"2018-03-08",53
"2018-03-09",48
"2018-03-10",61
"2018-03-11",83
"2018-03-12",69
"2018-03-13",57
"2018-03-14",52
"2018-03-15",60
"2018-03-16",50
"2018-03-17",62
"2018-03-18",88
"2018-03-19",73
"2018-03-20",65
"2018-03-21",62
"2018-03-22",51
"2018-03-23",48
"2018-03-24",63
"2018-03-25",72
"2018-03-26",64
"2018-03-27",61
"2018-03-28",52
"2018-03-29",50
"2018-03-30",46
"2018-03-31",57
"2018-04-01",71
"2018-04-02",59
"2018-04-03",55
"2018-04-04",53
"2018-04-05",57
"2018-04-06",48
"2018-04-07",59
"2018-04-08",80
"2018-04-09",60
"2018-04-10",47
"2018-04-11",57
"2018-04-12",57
"2018-04-13",50
"2018-04-14",59
"2018-04-15",72
"2018-04-16",69
"2018-04-17",60
"2018-04-18",56
"2018-04-19",49
