네이버 데이터랩 쇼핑인사이트 > 검색어 통계
조회분야
가구/인테리어
조회기간 : 2017.08.01. ~ 2018.04.19. 일간
기기별 : 전체
성별 : 전체
연령별 : 전체

"날짜","매트리스"
"2017-08-01",47
"2017-08-02",40
"2017-08-03",40
"2017-08-04",36
"2017-08-05",39
"2017-08-06",52
"2017-08-07",50
"2017-08-08",47
"2017-08-09",46
"2017-08-10",43
"2017-08-11",40
"2017-08-12",39
"2017-08-13",50
"2017-08-14",41
"2017-08-15",63
"2017-08-16",55
"2017-08-17",46
"2017-08-18",45
"2017-08-19",45
"2017-08-20",61
"2017-08-21",59
"2017-08-22",56
"2017-08-23",51
"2017-08-24",49
"2017-08-25",44
"2017-08-26",45
"2017-08-27",67
"2017-08-28",55
"2017-08-29",57
"2017-08-30",50
"2017-08-31",53
"2017-09-01",45
"2017-09-02",48
"2017-09-03",62
"2017-09-04",59
"2017-09-05",47
"2017-09-06",47
"2017-09-07",45
"2017-09-08",37
"2017-09-09",41
"2017-09-10",56
"2017-09-11",53
"2017-09-12",43
"2017-09-13",43
"2017-09-14",42
"2017-09-15",34
"2017-09-16",41
"2017-09-17",59
"2017-09-18",47
"2017-09-19",44
"2017-09-20",41
"2017-09-21",44
"2017-09-22",37
"2017-09-23",39
"2017-09-24",54
"2017-09-25",58
"2017-09-26",51
"2017-09-27",53
"2017-09-28",41
"2017-09-29",34
"2017-09-30",35
"2017-10-01",44
"2017-10-02",39
"2017-10-03",34
"2017-10-04",39
"2017-10-05",46
"2017-10-06",51
"2017-10-07",53
"2017-10-08",60
"2017-10-09",71
"2017-10-10",59
"2017-10-11",56
"2017-10-12",53
"2017-10-13",37
"2017-10-14",46
"2017-10-15",60
"2017-10-16",58
"2017-10-17",53
"2017-10-18",56
"2017-10-19",49
"2017-10-20",44
"2017-10-21",45
"2017-10-22",62
"2017-10-23",55
"2017-10-24",49
"2017-10-25",51
"2017-10-26",47
"2017-10-27",41
"2017-10-28",45
"2017-10-29",70
"2017-10-30",58
"2017-10-31",53
"2017-11-01",53
"2017-11-02",45
"2017-11-03",38
"2017-11-04",49
"2017-11-05",61
"2017-11-06",57
"2017-11-07",54
"2017-11-08",53
"2017-11-09",46
"2017-11-10",41
"2017-11-11",47
"2017-11-12",60
"2017-11-13",58
"2017-11-14",52
"2017-11-15",46
"2017-11-16",43
"2017-11-17",41
"2017-11-18",43
"2017-11-19",60
"2017-11-20",52
"2017-11-21",45
"2017-11-22",42
"2017-11-23",40
"2017-11-24",37
"2017-11-25",41
"2017-11-26",54
"2017-11-27",51
"2017-11-28",47
"2017-11-29",40
"2017-11-30",38
"2017-12-01",38
"2017-12-02",41
"2017-12-03",51
"2017-12-04",54
"2017-12-05",46
"2017-12-06",47
"2017-12-07",41
"2017-12-08",35
"2017-12-09",42
"2017-12-10",50
"2017-12-11",55
"2017-12-12",48
"2017-12-13",46
"2017-12-14",42
"2017-12-15",35
"2017-12-16",39
"2017-12-17",48
"2017-12-18",49
"2017-12-19",47
"2017-12-20",46
"2017-12-21",38
"2017-12-22",39
"2017-12-23",39
"2017-12-24",38
"2017-12-25",51
"2017-12-26",57
"2017-12-27",45
"2017-12-28",44
"2017-12-29",42
"2017-12-30",41
"2017-12-31",44
"2018-01-01",54
"2018-01-02",52
"2018-01-03",53
"2018-01-04",47
"2018-01-05",43
"2018-01-06",50
"2018-01-07",61
"2018-01-08",62
"2018-01-09",55
"2018-01-10",49
"2018-01-11",46
"2018-01-12",39
"2018-01-13",42
"2018-01-14",62
"2018-01-15",56
"2018-01-16",53
"2018-01-17",56
"2018-01-18",51
"2018-01-19",40
"2018-01-20",50
"2018-01-21",69
"2018-01-22",60
"2018-01-23",59
"2018-01-24",58
"2018-01-25",54
"2018-01-26",44
"2018-01-27",52
"2018-01-28",71
"2018-01-29",66
"2018-01-30",60
"2018-01-31",57
"2018-02-01",52
"2018-02-02",48
"2018-02-03",55
"2018-02-04",75
"2018-02-05",68
"2018-02-06",61
"2018-02-07",59
"2018-02-08",46
"2018-02-09",42
"2018-02-10",47
"2018-02-11",69
"2018-02-12",54
"2018-02-13",47
"2018-02-14",42
"2018-02-15",39
"2018-02-16",60
"2018-02-17",73
"2018-02-18",100
"2018-02-19",98
"2018-02-20",82
"2018-02-21",76
"2018-02-22",72
"2018-02-23",62
"2018-02-24",69
"2018-02-25",98
"2018-02-26",100
"2018-02-27",91
"2018-02-28",83
"2018-03-01",91
"2018-03-02",72
"2018-03-03",67
"2018-03-04",95
"2018-03-05",86
"2018-03-06",69
"2018-03-07",60
"2018-03-08",56
"2018-03-09",52
"2018-03-10",67
"2018-03-11",87
"2018-03-12",75
"2018-03-13",68
"2018-03-14",58
"2018-03-15",64
"2018-03-16",54
"2018-03-17",53
"2018-03-18",73
"2018-03-19",68
"2018-03-20",71
"2018-03-21",62
"2018-03-22",54
"2018-03-23",53
"2018-03-24",59
"2018-03-25",71
"2018-03-26",71
"2018-03-27",67
"2018-03-28",53
"2018-03-29",53
"2018-03-30",47
"2018-03-31",53
"2018-04-01",78
"2018-04-02",73
"2018-04-03",68
"2018-04-04",57
"2018-04-05",55
"2018-04-06",46
"2018-04-07",52
"2018-04-08",75
"2018-04-09",67
"2018-04-10",59
"2018-04-11",60
"2018-04-12",48
"2018-04-13",45
"2018-04-14",44
"2018-04-15",65
"2018-04-16",62
"2018-04-17",55
"2018-04-18",52
"2018-04-19",57
