네이버 데이터랩 쇼핑인사이트 > 검색어 통계
조회분야
가구/인테리어
조회기간 : 2017.08.01. ~ 2018.04.19. 일간
기기별 : 전체
성별 : 전체
연령별 : 전체

"날짜","틈새수납장"
"2017-08-01",37
"2017-08-02",39
"2017-08-03",35
"2017-08-04",36
"2017-08-05",38
"2017-08-06",46
"2017-08-07",46
"2017-08-08",45
"2017-08-09",49
"2017-08-10",42
"2017-08-11",43
"2017-08-12",46
"2017-08-13",56
"2017-08-14",51
"2017-08-15",58
"2017-08-16",52
"2017-08-17",48
"2017-08-18",40
"2017-08-19",41
"2017-08-20",46
"2017-08-21",46
"2017-08-22",42
"2017-08-23",49
"2017-08-24",50
"2017-08-25",41
"2017-08-26",41
"2017-08-27",49
"2017-08-28",47
"2017-08-29",40
"2017-08-30",59
"2017-08-31",40
"2017-09-01",39
"2017-09-02",39
"2017-09-03",57
"2017-09-04",55
"2017-09-05",48
"2017-09-06",52
"2017-09-07",47
"2017-09-08",37
"2017-09-09",44
"2017-09-10",50
"2017-09-11",54
"2017-09-12",44
"2017-09-13",48
"2017-09-14",45
"2017-09-15",39
"2017-09-16",43
"2017-09-17",47
"2017-09-18",49
"2017-09-19",51
"2017-09-20",47
"2017-09-21",45
"2017-09-22",34
"2017-09-23",39
"2017-09-24",49
"2017-09-25",50
"2017-09-26",36
"2017-09-27",46
"2017-09-28",37
"2017-09-29",29
"2017-09-30",43
"2017-10-01",52
"2017-10-02",46
"2017-10-03",37
"2017-10-04",30
"2017-10-05",46
"2017-10-06",58
"2017-10-07",62
"2017-10-08",68
"2017-10-09",89
"2017-10-10",68
"2017-10-11",64
"2017-10-12",55
"2017-10-13",53
"2017-10-14",52
"2017-10-15",68
"2017-10-16",65
"2017-10-17",60
"2017-10-18",68
"2017-10-19",62
"2017-10-20",52
"2017-10-21",51
"2017-10-22",71
"2017-10-23",70
"2017-10-24",69
"2017-10-25",59
"2017-10-26",67
"2017-10-27",45
"2017-10-28",61
"2017-10-29",76
"2017-10-30",68
"2017-10-31",63
"2017-11-01",55
"2017-11-02",59
"2017-11-03",53
"2017-11-04",52
"2017-11-05",64
"2017-11-06",65
"2017-11-07",58
"2017-11-08",53
"2017-11-09",57
"2017-11-10",47
"2017-11-11",49
"2017-11-12",67
"2017-11-13",65
"2017-11-14",51
"2017-11-15",50
"2017-11-16",50
"2017-11-17",47
"2017-11-18",52
"2017-11-19",67
"2017-11-20",66
"2017-11-21",62
"2017-11-22",55
"2017-11-23",51
"2017-11-24",46
"2017-11-25",57
"2017-11-26",74
"2017-11-27",69
"2017-11-28",59
"2017-11-29",52
"2017-11-30",55
"2017-12-01",46
"2017-12-02",49
"2017-12-03",71
"2017-12-04",63
"2017-12-05",68
"2017-12-06",53
"2017-12-07",62
"2017-12-08",47
"2017-12-09",54
"2017-12-10",74
"2017-12-11",72
"2017-12-12",62
"2017-12-13",51
"2017-12-14",54
"2017-12-15",57
"2017-12-16",58
"2017-12-17",69
"2017-12-18",65
"2017-12-19",62
"2017-12-20",56
"2017-12-21",60
"2017-12-22",42
"2017-12-23",47
"2017-12-24",55
"2017-12-25",75
"2017-12-26",71
"2017-12-27",65
"2017-12-28",69
"2017-12-29",62
"2017-12-30",56
"2017-12-31",66
"2018-01-01",76
"2018-01-02",78
"2018-01-03",76
"2018-01-04",71
"2018-01-05",60
"2018-01-06",77
"2018-01-07",91
"2018-01-08",84
"2018-01-09",83
"2018-01-10",87
"2018-01-11",76
"2018-01-12",65
"2018-01-13",64
"2018-01-14",76
"2018-01-15",78
"2018-01-16",71
"2018-01-17",67
"2018-01-18",61
"2018-01-19",57
"2018-01-20",70
"2018-01-21",89
"2018-01-22",80
"2018-01-23",64
"2018-01-24",72
"2018-01-25",58
"2018-01-26",48
"2018-01-27",65
"2018-01-28",88
"2018-01-29",68
"2018-01-30",64
"2018-01-31",56
"2018-02-01",58
"2018-02-02",50
"2018-02-03",47
"2018-02-04",70
"2018-02-05",64
"2018-02-06",56
"2018-02-07",57
"2018-02-08",49
"2018-02-09",46
"2018-02-10",58
"2018-02-11",65
"2018-02-12",59
"2018-02-13",45
"2018-02-14",46
"2018-02-15",40
"2018-02-16",45
"2018-02-17",56
"2018-02-18",75
"2018-02-19",71
"2018-02-20",71
"2018-02-21",58
"2018-02-22",69
"2018-02-23",69
"2018-02-24",62
"2018-02-25",79
"2018-02-26",80
"2018-02-27",89
"2018-02-28",70
"2018-03-01",88
"2018-03-02",74
"2018-03-03",89
"2018-03-04",100
"2018-03-05",78
"2018-03-06",71
"2018-03-07",82
"2018-03-08",70
"2018-03-09",58
"2018-03-10",73
"2018-03-11",83
"2018-03-12",87
"2018-03-13",71
"2018-03-14",71
"2018-03-15",62
"2018-03-16",66
"2018-03-17",71
"2018-03-18",86
"2018-03-19",85
"2018-03-20",72
"2018-03-21",78
"2018-03-22",65
"2018-03-23",56
"2018-03-24",63
"2018-03-25",76
"2018-03-26",70
"2018-03-27",81
"2018-03-28",71
"2018-03-29",59
"2018-03-30",65
"2018-03-31",61
"2018-04-01",87
"2018-04-02",74
"2018-04-03",63
"2018-04-04",80
"2018-04-05",68
"2018-04-06",63
"2018-04-07",61
"2018-04-08",83
"2018-04-09",66
"2018-04-10",64
"2018-04-11",66
"2018-04-12",66
"2018-04-13",66
"2018-04-14",64
"2018-04-15",96
"2018-04-16",69
"2018-04-17",73
"2018-04-18",65
"2018-04-19",53
