네이버 데이터랩 쇼핑인사이트 > 검색어 통계
조회분야
가구/인테리어
조회기간 : 2017.08.01. ~ 2018.04.19. 일간
기기별 : 전체
성별 : 전체
연령별 : 전체

"날짜","벽시계"
"2017-08-01",49
"2017-08-02",55
"2017-08-03",59
"2017-08-04",52
"2017-08-05",38
"2017-08-06",58
"2017-08-07",63
"2017-08-08",70
"2017-08-09",61
"2017-08-10",52
"2017-08-11",48
"2017-08-12",39
"2017-08-13",50
"2017-08-14",50
"2017-08-15",74
"2017-08-16",65
"2017-08-17",51
"2017-08-18",49
"2017-08-19",45
"2017-08-20",65
"2017-08-21",61
"2017-08-22",64
"2017-08-23",81
"2017-08-24",64
"2017-08-25",51
"2017-08-26",50
"2017-08-27",56
"2017-08-28",57
"2017-08-29",55
"2017-08-30",53
"2017-08-31",45
"2017-09-01",45
"2017-09-02",44
"2017-09-03",50
"2017-09-04",57
"2017-09-05",59
"2017-09-06",55
"2017-09-07",49
"2017-09-08",38
"2017-09-09",35
"2017-09-10",54
"2017-09-11",58
"2017-09-12",56
"2017-09-13",46
"2017-09-14",52
"2017-09-15",43
"2017-09-16",40
"2017-09-17",55
"2017-09-18",52
"2017-09-19",60
"2017-09-20",52
"2017-09-21",50
"2017-09-22",46
"2017-09-23",40
"2017-09-24",55
"2017-09-25",57
"2017-09-26",48
"2017-09-27",40
"2017-09-28",38
"2017-09-29",34
"2017-09-30",36
"2017-10-01",41
"2017-10-02",34
"2017-10-03",35
"2017-10-04",32
"2017-10-05",42
"2017-10-06",49
"2017-10-07",40
"2017-10-08",54
"2017-10-09",57
"2017-10-10",60
"2017-10-11",66
"2017-10-12",59
"2017-10-13",48
"2017-10-14",45
"2017-10-15",59
"2017-10-16",64
"2017-10-17",55
"2017-10-18",60
"2017-10-19",50
"2017-10-20",42
"2017-10-21",47
"2017-10-22",51
"2017-10-23",55
"2017-10-24",58
"2017-10-25",52
"2017-10-26",56
"2017-10-27",55
"2017-10-28",45
"2017-10-29",63
"2017-10-30",66
"2017-10-31",56
"2017-11-01",63
"2017-11-02",72
"2017-11-03",60
"2017-11-04",60
"2017-11-05",75
"2017-11-06",65
"2017-11-07",68
"2017-11-08",78
"2017-11-09",67
"2017-11-10",60
"2017-11-11",48
"2017-11-12",78
"2017-11-13",85
"2017-11-14",70
"2017-11-15",69
"2017-11-16",57
"2017-11-17",52
"2017-11-18",48
"2017-11-19",56
"2017-11-20",66
"2017-11-21",62
"2017-11-22",56
"2017-11-23",64
"2017-11-24",40
"2017-11-25",50
"2017-11-26",63
"2017-11-27",63
"2017-11-28",59
"2017-11-29",58
"2017-11-30",58
"2017-12-01",54
"2017-12-02",61
"2017-12-03",84
"2017-12-04",75
"2017-12-05",71
"2017-12-06",66
"2017-12-07",69
"2017-12-08",52
"2017-12-09",52
"2017-12-10",69
"2017-12-11",76
"2017-12-12",76
"2017-12-13",79
"2017-12-14",59
"2017-12-15",58
"2017-12-16",61
"2017-12-17",82
"2017-12-18",92
"2017-12-19",73
"2017-12-20",65
"2017-12-21",59
"2017-12-22",54
"2017-12-23",63
"2017-12-24",72
"2017-12-25",68
"2017-12-26",78
"2017-12-27",74
"2017-12-28",66
"2017-12-29",57
"2017-12-30",71
"2017-12-31",62
"2018-01-01",75
"2018-01-02",85
"2018-01-03",70
"2018-01-04",72
"2018-01-05",70
"2018-01-06",70
"2018-01-07",86
"2018-01-08",91
"2018-01-09",84
"2018-01-10",62
"2018-01-11",70
"2018-01-12",70
"2018-01-13",69
"2018-01-14",79
"2018-01-15",77
"2018-01-16",78
"2018-01-17",75
"2018-01-18",73
"2018-01-19",65
"2018-01-20",73
"2018-01-21",86
"2018-01-22",77
"2018-01-23",86
"2018-01-24",78
"2018-01-25",69
"2018-01-26",71
"2018-01-27",76
"2018-01-28",97
"2018-01-29",80
"2018-01-30",90
"2018-01-31",82
"2018-02-01",71
"2018-02-02",60
"2018-02-03",51
"2018-02-04",69
"2018-02-05",72
"2018-02-06",73
"2018-02-07",67
"2018-02-08",68
"2018-02-09",52
"2018-02-10",47
"2018-02-11",66
"2018-02-12",56
"2018-02-13",44
"2018-02-14",58
"2018-02-15",41
"2018-02-16",46
"2018-02-17",59
"2018-02-18",79
"2018-02-19",84
"2018-02-20",74
"2018-02-21",70
"2018-02-22",76
"2018-02-23",61
"2018-02-24",63
"2018-02-25",81
"2018-02-26",87
"2018-02-27",84
"2018-02-28",83
"2018-03-01",91
"2018-03-02",76
"2018-03-03",76
"2018-03-04",100
"2018-03-05",88
"2018-03-06",73
"2018-03-07",89
"2018-03-08",77
"2018-03-09",72
"2018-03-10",68
"2018-03-11",92
"2018-03-12",86
"2018-03-13",80
"2018-03-14",68
"2018-03-15",77
"2018-03-16",66
"2018-03-17",64
"2018-03-18",93
"2018-03-19",84
"2018-03-20",98
"2018-03-21",87
"2018-03-22",77
"2018-03-23",59
"2018-03-24",67
"2018-03-25",78
"2018-03-26",85
"2018-03-27",78
"2018-03-28",73
"2018-03-29",65
"2018-03-30",56
"2018-03-31",54
"2018-04-01",87
"2018-04-02",87
"2018-04-03",82
"2018-04-04",66
"2018-04-05",78
"2018-04-06",63
"2018-04-07",59
"2018-04-08",85
"2018-04-09",88
"2018-04-10",85
"2018-04-11",76
"2018-04-12",74
"2018-04-13",57
"2018-04-14",64
"2018-04-15",69
"2018-04-16",71
"2018-04-17",77
"2018-04-18",67
"2018-04-19",62
