네이버 데이터랩 쇼핑인사이트 > 검색어 통계
조회분야
가구/인테리어
조회기간 : 2017.08.01. ~ 2018.04.19. 일간
기기별 : 전체
성별 : 전체
연령별 : 전체

"날짜","화장대"
"2017-08-01",64
"2017-08-02",62
"2017-08-03",58
"2017-08-04",51
"2017-08-05",59
"2017-08-06",74
"2017-08-07",77
"2017-08-08",63
"2017-08-09",73
"2017-08-10",65
"2017-08-11",57
"2017-08-12",62
"2017-08-13",85
"2017-08-14",76
"2017-08-15",99
"2017-08-16",73
"2017-08-17",67
"2017-08-18",61
"2017-08-19",68
"2017-08-20",90
"2017-08-21",78
"2017-08-22",68
"2017-08-23",68
"2017-08-24",59
"2017-08-25",52
"2017-08-26",61
"2017-08-27",83
"2017-08-28",66
"2017-08-29",68
"2017-08-30",60
"2017-08-31",64
"2017-09-01",57
"2017-09-02",60
"2017-09-03",87
"2017-09-04",72
"2017-09-05",62
"2017-09-06",73
"2017-09-07",64
"2017-09-08",52
"2017-09-09",64
"2017-09-10",89
"2017-09-11",74
"2017-09-12",66
"2017-09-13",59
"2017-09-14",60
"2017-09-15",55
"2017-09-16",57
"2017-09-17",84
"2017-09-18",73
"2017-09-19",61
"2017-09-20",63
"2017-09-21",58
"2017-09-22",54
"2017-09-23",57
"2017-09-24",78
"2017-09-25",63
"2017-09-26",61
"2017-09-27",66
"2017-09-28",52
"2017-09-29",47
"2017-09-30",51
"2017-10-01",73
"2017-10-02",61
"2017-10-03",63
"2017-10-04",56
"2017-10-05",62
"2017-10-06",67
"2017-10-07",75
"2017-10-08",85
"2017-10-09",95
"2017-10-10",76
"2017-10-11",66
"2017-10-12",61
"2017-10-13",52
"2017-10-14",65
"2017-10-15",88
"2017-10-16",70
"2017-10-17",69
"2017-10-18",61
"2017-10-19",60
"2017-10-20",55
"2017-10-21",67
"2017-10-22",89
"2017-10-23",74
"2017-10-24",67
"2017-10-25",63
"2017-10-26",68
"2017-10-27",59
"2017-10-28",77
"2017-10-29",100
"2017-10-30",91
"2017-10-31",70
"2017-11-01",57
"2017-11-02",47
"2017-11-03",43
"2017-11-04",48
"2017-11-05",62
"2017-11-06",50
"2017-11-07",44
"2017-11-08",48
"2017-11-09",43
"2017-11-10",38
"2017-11-11",42
"2017-11-12",62
"2017-11-13",53
"2017-11-14",49
"2017-11-15",43
"2017-11-16",46
"2017-11-17",35
"2017-11-18",52
"2017-11-19",61
"2017-11-20",60
"2017-11-21",48
"2017-11-22",51
"2017-11-23",43
"2017-11-24",40
"2017-11-25",45
"2017-11-26",68
"2017-11-27",54
"2017-11-28",48
"2017-11-29",44
"2017-11-30",42
"2017-12-01",37
"2017-12-02",46
"2017-12-03",62
"2017-12-04",57
"2017-12-05",52
"2017-12-06",43
"2017-12-07",44
"2017-12-08",34
"2017-12-09",44
"2017-12-10",61
"2017-12-11",55
"2017-12-12",46
"2017-12-13",43
"2017-12-14",37
"2017-12-15",33
"2017-12-16",44
"2017-12-17",53
"2017-12-18",51
"2017-12-19",38
"2017-12-20",36
"2017-12-21",39
"2017-12-22",32
"2017-12-23",36
"2017-12-24",41
"2017-12-25",53
"2017-12-26",53
"2017-12-27",42
"2017-12-28",47
"2017-12-29",40
"2017-12-30",43
"2017-12-31",47
"2018-01-01",56
"2018-01-02",53
"2018-01-03",51
"2018-01-04",47
"2018-01-05",40
"2018-01-06",51
"2018-01-07",66
"2018-01-08",53
"2018-01-09",51
"2018-01-10",49
"2018-01-11",45
"2018-01-12",44
"2018-01-13",47
"2018-01-14",66
"2018-01-15",55
"2018-01-16",58
"2018-01-17",52
"2018-01-18",49
"2018-01-19",46
"2018-01-20",58
"2018-01-21",73
"2018-01-22",64
"2018-01-23",56
"2018-01-24",59
"2018-01-25",50
"2018-01-26",50
"2018-01-27",52
"2018-01-28",72
"2018-01-29",62
"2018-01-30",51
"2018-01-31",55
"2018-02-01",50
"2018-02-02",49
"2018-02-03",51
"2018-02-04",66
"2018-02-05",50
"2018-02-06",53
"2018-02-07",48
"2018-02-08",38
"2018-02-09",39
"2018-02-10",45
"2018-02-11",62
"2018-02-12",54
"2018-02-13",43
"2018-02-14",42
"2018-02-15",46
"2018-02-16",46
"2018-02-17",52
"2018-02-18",67
"2018-02-19",68
"2018-02-20",50
"2018-02-21",51
"2018-02-22",53
"2018-02-23",49
"2018-02-24",56
"2018-02-25",74
"2018-02-26",64
"2018-02-27",62
"2018-02-28",56
"2018-03-01",72
"2018-03-02",60
"2018-03-03",59
"2018-03-04",90
"2018-03-05",58
"2018-03-06",51
"2018-03-07",54
"2018-03-08",49
"2018-03-09",41
"2018-03-10",47
"2018-03-11",74
"2018-03-12",57
"2018-03-13",46
"2018-03-14",43
"2018-03-15",41
"2018-03-16",41
"2018-03-17",42
"2018-03-18",66
"2018-03-19",54
"2018-03-20",50
"2018-03-21",47
"2018-03-22",46
"2018-03-23",41
"2018-03-24",46
"2018-03-25",65
"2018-03-26",62
"2018-03-27",47
"2018-03-28",46
"2018-03-29",44
"2018-03-30",42
"2018-03-31",43
"2018-04-01",64
"2018-04-02",50
"2018-04-03",42
"2018-04-04",46
"2018-04-05",41
"2018-04-06",38
"2018-04-07",42
"2018-04-08",59
"2018-04-09",51
"2018-04-10",43
"2018-04-11",39
"2018-04-12",38
"2018-04-13",35
"2018-04-14",47
"2018-04-15",54
"2018-04-16",50
"2018-04-17",47
"2018-04-18",48
"2018-04-19",40
