네이버 데이터랩 쇼핑인사이트 > 검색어 통계
조회분야
가구/인테리어
조회기간 : 2017.08.01. ~ 2018.04.19. 일간
기기별 : 전체
성별 : 전체
연령별 : 전체

"날짜","2인용쇼파"
"2017-08-01",39
"2017-08-02",41
"2017-08-03",34
"2017-08-04",42
"2017-08-05",43
"2017-08-06",52
"2017-08-07",49
"2017-08-08",42
"2017-08-09",39
"2017-08-10",35
"2017-08-11",38
"2017-08-12",36
"2017-08-13",54
"2017-08-14",47
"2017-08-15",54
"2017-08-16",47
"2017-08-17",46
"2017-08-18",40
"2017-08-19",45
"2017-08-20",56
"2017-08-21",51
"2017-08-22",45
"2017-08-23",46
"2017-08-24",45
"2017-08-25",36
"2017-08-26",45
"2017-08-27",56
"2017-08-28",48
"2017-08-29",49
"2017-08-30",45
"2017-08-31",44
"2017-09-01",40
"2017-09-02",41
"2017-09-03",64
"2017-09-04",51
"2017-09-05",46
"2017-09-06",42
"2017-09-07",39
"2017-09-08",33
"2017-09-09",40
"2017-09-10",59
"2017-09-11",49
"2017-09-12",42
"2017-09-13",39
"2017-09-14",39
"2017-09-15",34
"2017-09-16",40
"2017-09-17",49
"2017-09-18",46
"2017-09-19",44
"2017-09-20",40
"2017-09-21",33
"2017-09-22",35
"2017-09-23",35
"2017-09-24",48
"2017-09-25",45
"2017-09-26",33
"2017-09-27",34
"2017-09-28",30
"2017-09-29",25
"2017-09-30",27
"2017-10-01",42
"2017-10-02",34
"2017-10-03",37
"2017-10-04",39
"2017-10-05",46
"2017-10-06",48
"2017-10-07",47
"2017-10-08",56
"2017-10-09",69
"2017-10-10",50
"2017-10-11",46
"2017-10-12",38
"2017-10-13",37
"2017-10-14",41
"2017-10-15",49
"2017-10-16",59
"2017-10-17",45
"2017-10-18",46
"2017-10-19",39
"2017-10-20",40
"2017-10-21",43
"2017-10-22",62
"2017-10-23",52
"2017-10-24",42
"2017-10-25",42
"2017-10-26",41
"2017-10-27",37
"2017-10-28",46
"2017-10-29",60
"2017-10-30",49
"2017-10-31",43
"2017-11-01",36
"2017-11-02",42
"2017-11-03",36
"2017-11-04",41
"2017-11-05",53
"2017-11-06",46
"2017-11-07",42
"2017-11-08",44
"2017-11-09",43
"2017-11-10",39
"2017-11-11",42
"2017-11-12",49
"2017-11-13",50
"2017-11-14",38
"2017-11-15",41
"2017-11-16",40
"2017-11-17",33
"2017-11-18",39
"2017-11-19",47
"2017-11-20",46
"2017-11-21",45
"2017-11-22",39
"2017-11-23",41
"2017-11-24",39
"2017-11-25",43
"2017-11-26",59
"2017-11-27",46
"2017-11-28",44
"2017-11-29",44
"2017-11-30",40
"2017-12-01",37
"2017-12-02",39
"2017-12-03",52
"2017-12-04",55
"2017-12-05",42
"2017-12-06",41
"2017-12-07",41
"2017-12-08",36
"2017-12-09",39
"2017-12-10",53
"2017-12-11",48
"2017-12-12",40
"2017-12-13",39
"2017-12-14",36
"2017-12-15",35
"2017-12-16",41
"2017-12-17",56
"2017-12-18",43
"2017-12-19",43
"2017-12-20",41
"2017-12-21",43
"2017-12-22",37
"2017-12-23",38
"2017-12-24",59
"2017-12-25",57
"2017-12-26",50
"2017-12-27",50
"2017-12-28",46
"2017-12-29",44
"2017-12-30",47
"2017-12-31",52
"2018-01-01",71
"2018-01-02",55
"2018-01-03",46
"2018-01-04",58
"2018-01-05",47
"2018-01-06",57
"2018-01-07",77
"2018-01-08",68
"2018-01-09",59
"2018-01-10",63
"2018-01-11",53
"2018-01-12",58
"2018-01-13",67
"2018-01-14",90
"2018-01-15",70
"2018-01-16",67
"2018-01-17",72
"2018-01-18",61
"2018-01-19",56
"2018-01-20",65
"2018-01-21",89
"2018-01-22",78
"2018-01-23",60
"2018-01-24",63
"2018-01-25",63
"2018-01-26",57
"2018-01-27",72
"2018-01-28",85
"2018-01-29",73
"2018-01-30",63
"2018-01-31",65
"2018-02-01",66
"2018-02-02",54
"2018-02-03",72
"2018-02-04",100
"2018-02-05",81
"2018-02-06",69
"2018-02-07",69
"2018-02-08",61
"2018-02-09",57
"2018-02-10",66
"2018-02-11",88
"2018-02-12",76
"2018-02-13",65
"2018-02-14",52
"2018-02-15",73
"2018-02-16",70
"2018-02-17",75
"2018-02-18",99
"2018-02-19",86
"2018-02-20",76
"2018-02-21",68
"2018-02-22",74
"2018-02-23",57
"2018-02-24",73
"2018-02-25",96
"2018-02-26",87
"2018-02-27",84
"2018-02-28",73
"2018-03-01",90
"2018-03-02",80
"2018-03-03",73
"2018-03-04",97
"2018-03-05",77
"2018-03-06",66
"2018-03-07",69
"2018-03-08",67
"2018-03-09",61
"2018-03-10",66
"2018-03-11",91
"2018-03-12",78
"2018-03-13",63
"2018-03-14",53
"2018-03-15",64
"2018-03-16",51
"2018-03-17",58
"2018-03-18",86
"2018-03-19",73
"2018-03-20",61
"2018-03-21",65
"2018-03-22",58
"2018-03-23",53
"2018-03-24",73
"2018-03-25",90
"2018-03-26",76
"2018-03-27",58
"2018-03-28",55
"2018-03-29",59
"2018-03-30",52
"2018-03-31",61
"2018-04-01",86
"2018-04-02",72
"2018-04-03",61
"2018-04-04",57
"2018-04-05",64
"2018-04-06",48
"2018-04-07",69
"2018-04-08",84
"2018-04-09",75
"2018-04-10",62
"2018-04-11",60
"2018-04-12",54
"2018-04-13",50
"2018-04-14",65
"2018-04-15",84
"2018-04-16",72
"2018-04-17",51
"2018-04-18",67
"2018-04-19",57
