네이버 데이터랩 쇼핑인사이트 > 검색어 통계
조회분야
가구/인테리어
조회기간 : 2017.08.01. ~ 2018.04.19. 일간
기기별 : 전체
성별 : 전체
연령별 : 전체

"날짜","좌식테이블"
"2017-08-01",39
"2017-08-02",36
"2017-08-03",39
"2017-08-04",35
"2017-08-05",35
"2017-08-06",57
"2017-08-07",53
"2017-08-08",45
"2017-08-09",40
"2017-08-10",43
"2017-08-11",33
"2017-08-12",39
"2017-08-13",51
"2017-08-14",47
"2017-08-15",56
"2017-08-16",50
"2017-08-17",45
"2017-08-18",32
"2017-08-19",35
"2017-08-20",54
"2017-08-21",54
"2017-08-22",42
"2017-08-23",49
"2017-08-24",43
"2017-08-25",33
"2017-08-26",31
"2017-08-27",43
"2017-08-28",42
"2017-08-29",46
"2017-08-30",37
"2017-08-31",32
"2017-09-01",30
"2017-09-02",35
"2017-09-03",45
"2017-09-04",45
"2017-09-05",45
"2017-09-06",34
"2017-09-07",38
"2017-09-08",25
"2017-09-09",28
"2017-09-10",43
"2017-09-11",50
"2017-09-12",40
"2017-09-13",36
"2017-09-14",34
"2017-09-15",25
"2017-09-16",32
"2017-09-17",43
"2017-09-18",50
"2017-09-19",42
"2017-09-20",36
"2017-09-21",35
"2017-09-22",26
"2017-09-23",29
"2017-09-24",41
"2017-09-25",36
"2017-09-26",34
"2017-09-27",26
"2017-09-28",26
"2017-09-29",18
"2017-09-30",23
"2017-10-01",27
"2017-10-02",25
"2017-10-03",23
"2017-10-04",22
"2017-10-05",35
"2017-10-06",34
"2017-10-07",42
"2017-10-08",43
"2017-10-09",61
"2017-10-10",56
"2017-10-11",48
"2017-10-12",39
"2017-10-13",34
"2017-10-14",37
"2017-10-15",50
"2017-10-16",57
"2017-10-17",45
"2017-10-18",44
"2017-10-19",37
"2017-10-20",34
"2017-10-21",29
"2017-10-22",53
"2017-10-23",49
"2017-10-24",49
"2017-10-25",47
"2017-10-26",42
"2017-10-27",33
"2017-10-28",35
"2017-10-29",52
"2017-10-30",52
"2017-10-31",47
"2017-11-01",45
"2017-11-02",50
"2017-11-03",43
"2017-11-04",42
"2017-11-05",59
"2017-11-06",58
"2017-11-07",48
"2017-11-08",50
"2017-11-09",46
"2017-11-10",33
"2017-11-11",38
"2017-11-12",56
"2017-11-13",63
"2017-11-14",52
"2017-11-15",43
"2017-11-16",38
"2017-11-17",36
"2017-11-18",38
"2017-11-19",61
"2017-11-20",49
"2017-11-21",49
"2017-11-22",46
"2017-11-23",49
"2017-11-24",33
"2017-11-25",36
"2017-11-26",56
"2017-11-27",64
"2017-11-28",51
"2017-11-29",46
"2017-11-30",45
"2017-12-01",40
"2017-12-02",45
"2017-12-03",62
"2017-12-04",72
"2017-12-05",62
"2017-12-06",56
"2017-12-07",49
"2017-12-08",39
"2017-12-09",37
"2017-12-10",66
"2017-12-11",63
"2017-12-12",65
"2017-12-13",56
"2017-12-14",43
"2017-12-15",46
"2017-12-16",51
"2017-12-17",73
"2017-12-18",66
"2017-12-19",57
"2017-12-20",47
"2017-12-21",47
"2017-12-22",33
"2017-12-23",43
"2017-12-24",51
"2017-12-25",73
"2017-12-26",63
"2017-12-27",52
"2017-12-28",59
"2017-12-29",48
"2017-12-30",57
"2017-12-31",48
"2018-01-01",70
"2018-01-02",70
"2018-01-03",71
"2018-01-04",60
"2018-01-05",53
"2018-01-06",59
"2018-01-07",88
"2018-01-08",81
"2018-01-09",69
"2018-01-10",70
"2018-01-11",66
"2018-01-12",50
"2018-01-13",49
"2018-01-14",72
"2018-01-15",66
"2018-01-16",57
"2018-01-17",56
"2018-01-18",55
"2018-01-19",46
"2018-01-20",44
"2018-01-21",57
"2018-01-22",60
"2018-01-23",56
"2018-01-24",58
"2018-01-25",51
"2018-01-26",40
"2018-01-27",49
"2018-01-28",64
"2018-01-29",63
"2018-01-30",60
"2018-01-31",58
"2018-02-01",51
"2018-02-02",41
"2018-02-03",47
"2018-02-04",68
"2018-02-05",67
"2018-02-06",61
"2018-02-07",53
"2018-02-08",48
"2018-02-09",41
"2018-02-10",47
"2018-02-11",65
"2018-02-12",52
"2018-02-13",38
"2018-02-14",42
"2018-02-15",41
"2018-02-16",38
"2018-02-17",51
"2018-02-18",71
"2018-02-19",71
"2018-02-20",58
"2018-02-21",64
"2018-02-22",56
"2018-02-23",67
"2018-02-24",56
"2018-02-25",80
"2018-02-26",77
"2018-02-27",61
"2018-02-28",65
"2018-03-01",80
"2018-03-02",68
"2018-03-03",61
"2018-03-04",100
"2018-03-05",80
"2018-03-06",68
"2018-03-07",64
"2018-03-08",58
"2018-03-09",45
"2018-03-10",55
"2018-03-11",74
"2018-03-12",63
"2018-03-13",49
"2018-03-14",50
"2018-03-15",50
"2018-03-16",41
"2018-03-17",45
"2018-03-18",70
"2018-03-19",74
"2018-03-20",51
"2018-03-21",53
"2018-03-22",45
"2018-03-23",35
"2018-03-24",47
"2018-03-25",57
"2018-03-26",55
"2018-03-27",46
"2018-03-28",43
"2018-03-29",42
"2018-03-30",30
"2018-03-31",34
"2018-04-01",49
"2018-04-02",54
"2018-04-03",48
"2018-04-04",51
"2018-04-05",43
"2018-04-06",37
"2018-04-07",48
"2018-04-08",55
"2018-04-09",55
"2018-04-10",46
"2018-04-11",40
"2018-04-12",38
"2018-04-13",39
"2018-04-14",49
"2018-04-15",62
"2018-04-16",50
"2018-04-17",49
"2018-04-18",43
"2018-04-19",41
