네이버 데이터랩 쇼핑인사이트 > 검색어 통계
조회분야
가구/인테리어
조회기간 : 2017.08.01. ~ 2018.04.19. 일간
기기별 : 전체
성별 : 전체
연령별 : 전체

"날짜","극세사이불"
"2017-08-01",2
"2017-08-02",2
"2017-08-03",2
"2017-08-04",2
"2017-08-05",1
"2017-08-06",3
"2017-08-07",1
"2017-08-08",3
"2017-08-09",2
"2017-08-10",2
"2017-08-11",2
"2017-08-12",3
"2017-08-13",4
"2017-08-14",5
"2017-08-15",7
"2017-08-16",8
"2017-08-17",7
"2017-08-18",6
"2017-08-19",5
"2017-08-20",7
"2017-08-21",9
"2017-08-22",6
"2017-08-23",5
"2017-08-24",6
"2017-08-25",5
"2017-08-26",7
"2017-08-27",10
"2017-08-28",14
"2017-08-29",23
"2017-08-30",33
"2017-08-31",33
"2017-09-01",21
"2017-09-02",19
"2017-09-03",17
"2017-09-04",15
"2017-09-05",19
"2017-09-06",17
"2017-09-07",18
"2017-09-08",14
"2017-09-09",14
"2017-09-10",17
"2017-09-11",18
"2017-09-12",17
"2017-09-13",18
"2017-09-14",19
"2017-09-15",21
"2017-09-16",18
"2017-09-17",18
"2017-09-18",21
"2017-09-19",18
"2017-09-20",18
"2017-09-21",23
"2017-09-22",18
"2017-09-23",19
"2017-09-24",19
"2017-09-25",18
"2017-09-26",16
"2017-09-27",13
"2017-09-28",16
"2017-09-29",19
"2017-09-30",19
"2017-10-01",26
"2017-10-02",28
"2017-10-03",32
"2017-10-04",37
"2017-10-05",41
"2017-10-06",50
"2017-10-07",41
"2017-10-08",35
"2017-10-09",43
"2017-10-10",45
"2017-10-11",60
"2017-10-12",80
"2017-10-13",73
"2017-10-14",71
"2017-10-15",96
"2017-10-16",99
"2017-10-17",87
"2017-10-18",76
"2017-10-19",59
"2017-10-20",50
"2017-10-21",42
"2017-10-22",48
"2017-10-23",66
"2017-10-24",74
"2017-10-25",75
"2017-10-26",64
"2017-10-27",48
"2017-10-28",43
"2017-10-29",61
"2017-10-30",92
"2017-10-31",77
"2017-11-01",67
"2017-11-02",59
"2017-11-03",45
"2017-11-04",55
"2017-11-05",61
"2017-11-06",97
"2017-11-07",67
"2017-11-08",52
"2017-11-09",48
"2017-11-10",51
"2017-11-11",50
"2017-11-12",64
"2017-11-13",82
"2017-11-14",71
"2017-11-15",76
"2017-11-16",76
"2017-11-17",68
"2017-11-18",62
"2017-11-19",84
"2017-11-20",100
"2017-11-21",89
"2017-11-22",75
"2017-11-23",70
"2017-11-24",58
"2017-11-25",54
"2017-11-26",60
"2017-11-27",65
"2017-11-28",59
"2017-11-29",55
"2017-11-30",50
"2017-12-01",47
"2017-12-02",47
"2017-12-03",61
"2017-12-04",68
"2017-12-05",69
"2017-12-06",56
"2017-12-07",51
"2017-12-08",50
"2017-12-09",39
"2017-12-10",58
"2017-12-11",65
"2017-12-12",70
"2017-12-13",71
"2017-12-14",69
"2017-12-15",46
"2017-12-16",53
"2017-12-17",55
"2017-12-18",57
"2017-12-19",53
"2017-12-20",48
"2017-12-21",39
"2017-12-22",30
"2017-12-23",34
"2017-12-24",28
"2017-12-25",36
"2017-12-26",36
"2017-12-27",44
"2017-12-28",37
"2017-12-29",26
"2017-12-30",28
"2017-12-31",26
"2018-01-01",30
"2018-01-02",31
"2018-01-03",32
"2018-01-04",25
"2018-01-05",24
"2018-01-06",25
"2018-01-07",32
"2018-01-08",31
"2018-01-09",31
"2018-01-10",30
"2018-01-11",37
"2018-01-12",32
"2018-01-13",29
"2018-01-14",36
"2018-01-15",30
"2018-01-16",22
"2018-01-17",18
"2018-01-18",18
"2018-01-19",17
"2018-01-20",17
"2018-01-21",24
"2018-01-22",23
"2018-01-23",26
"2018-01-24",27
"2018-01-25",27
"2018-01-26",22
"2018-01-27",20
"2018-01-28",30
"2018-01-29",31
"2018-01-30",24
"2018-01-31",23
"2018-02-01",24
"2018-02-02",19
"2018-02-03",20
"2018-02-04",27
"2018-02-05",31
"2018-02-06",30
"2018-02-07",29
"2018-02-08",27
"2018-02-09",19
"2018-02-10",15
"2018-02-11",20
"2018-02-12",19
"2018-02-13",14
"2018-02-14",11
"2018-02-15",13
"2018-02-16",18
"2018-02-17",19
"2018-02-18",25
"2018-02-19",24
"2018-02-20",19
"2018-02-21",21
"2018-02-22",18
"2018-02-23",15
"2018-02-24",14
"2018-02-25",17
"2018-02-26",14
"2018-02-27",13
"2018-02-28",14
"2018-03-01",16
"2018-03-02",12
"2018-03-03",11
"2018-03-04",10
"2018-03-05",10
"2018-03-06",9
"2018-03-07",10
"2018-03-08",7
"2018-03-09",10
"2018-03-10",8
"2018-03-11",7
"2018-03-12",6
"2018-03-13",7
"2018-03-14",5
"2018-03-15",7
"2018-03-16",5
"2018-03-17",7
"2018-03-18",7
"2018-03-19",9
"2018-03-20",8
"2018-03-21",9
"2018-03-22",8
"2018-03-23",6
"2018-03-24",7
"2018-03-25",7
"2018-03-26",6
"2018-03-27",6
"2018-03-28",4
"2018-03-29",4
"2018-03-30",4
"2018-03-31",3
"2018-04-01",5
"2018-04-02",4
"2018-04-03",3
"2018-04-04",3
"2018-04-05",3
"2018-04-06",4
"2018-04-07",4
"2018-04-08",5
"2018-04-09",5
"2018-04-10",3
"2018-04-11",4
"2018-04-12",5
"2018-04-13",3
"2018-04-14",3
"2018-04-15",5
"2018-04-16",5
"2018-04-17",5
"2018-04-18",5
"2018-04-19",4
