네이버 데이터랩 쇼핑인사이트 > 검색어 통계
조회분야
가구/인테리어
조회기간 : 2017.08.01. ~ 2018.04.19. 일간
기기별 : 전체
성별 : 전체
연령별 : 전체

"날짜","벽선반"
"2017-08-01",42
"2017-08-02",43
"2017-08-03",43
"2017-08-04",44
"2017-08-05",38
"2017-08-06",50
"2017-08-07",43
"2017-08-08",50
"2017-08-09",48
"2017-08-10",54
"2017-08-11",51
"2017-08-12",40
"2017-08-13",49
"2017-08-14",56
"2017-08-15",58
"2017-08-16",62
"2017-08-17",49
"2017-08-18",49
"2017-08-19",50
"2017-08-20",56
"2017-08-21",70
"2017-08-22",59
"2017-08-23",61
"2017-08-24",60
"2017-08-25",45
"2017-08-26",37
"2017-08-27",51
"2017-08-28",42
"2017-08-29",47
"2017-08-30",49
"2017-08-31",42
"2017-09-01",44
"2017-09-02",42
"2017-09-03",55
"2017-09-04",51
"2017-09-05",50
"2017-09-06",50
"2017-09-07",49
"2017-09-08",45
"2017-09-09",39
"2017-09-10",49
"2017-09-11",54
"2017-09-12",56
"2017-09-13",52
"2017-09-14",45
"2017-09-15",43
"2017-09-16",39
"2017-09-17",51
"2017-09-18",47
"2017-09-19",46
"2017-09-20",47
"2017-09-21",44
"2017-09-22",36
"2017-09-23",42
"2017-09-24",48
"2017-09-25",62
"2017-09-26",52
"2017-09-27",52
"2017-09-28",37
"2017-09-29",28
"2017-09-30",31
"2017-10-01",51
"2017-10-02",40
"2017-10-03",35
"2017-10-04",26
"2017-10-05",40
"2017-10-06",46
"2017-10-07",52
"2017-10-08",60
"2017-10-09",70
"2017-10-10",63
"2017-10-11",60
"2017-10-12",66
"2017-10-13",53
"2017-10-14",48
"2017-10-15",55
"2017-10-16",65
"2017-10-17",68
"2017-10-18",60
"2017-10-19",61
"2017-10-20",51
"2017-10-21",47
"2017-10-22",69
"2017-10-23",69
"2017-10-24",79
"2017-10-25",66
"2017-10-26",62
"2017-10-27",54
"2017-10-28",55
"2017-10-29",72
"2017-10-30",69
"2017-10-31",58
"2017-11-01",66
"2017-11-02",68
"2017-11-03",66
"2017-11-04",56
"2017-11-05",68
"2017-11-06",71
"2017-11-07",68
"2017-11-08",59
"2017-11-09",59
"2017-11-10",49
"2017-11-11",48
"2017-11-12",55
"2017-11-13",66
"2017-11-14",65
"2017-11-15",63
"2017-11-16",58
"2017-11-17",48
"2017-11-18",50
"2017-11-19",67
"2017-11-20",60
"2017-11-21",60
"2017-11-22",63
"2017-11-23",56
"2017-11-24",46
"2017-11-25",57
"2017-11-26",65
"2017-11-27",63
"2017-11-28",64
"2017-11-29",60
"2017-11-30",54
"2017-12-01",46
"2017-12-02",47
"2017-12-03",75
"2017-12-04",72
"2017-12-05",58
"2017-12-06",64
"2017-12-07",72
"2017-12-08",60
"2017-12-09",53
"2017-12-10",72
"2017-12-11",73
"2017-12-12",62
"2017-12-13",74
"2017-12-14",58
"2017-12-15",48
"2017-12-16",52
"2017-12-17",73
"2017-12-18",74
"2017-12-19",61
"2017-12-20",59
"2017-12-21",56
"2017-12-22",46
"2017-12-23",46
"2017-12-24",56
"2017-12-25",78
"2017-12-26",74
"2017-12-27",64
"2017-12-28",78
"2017-12-29",62
"2017-12-30",57
"2017-12-31",63
"2018-01-01",74
"2018-01-02",89
"2018-01-03",75
"2018-01-04",80
"2018-01-05",63
"2018-01-06",75
"2018-01-07",89
"2018-01-08",80
"2018-01-09",87
"2018-01-10",83
"2018-01-11",75
"2018-01-12",66
"2018-01-13",64
"2018-01-14",91
"2018-01-15",82
"2018-01-16",75
"2018-01-17",71
"2018-01-18",73
"2018-01-19",63
"2018-01-20",66
"2018-01-21",88
"2018-01-22",79
"2018-01-23",74
"2018-01-24",76
"2018-01-25",77
"2018-01-26",60
"2018-01-27",64
"2018-01-28",94
"2018-01-29",84
"2018-01-30",71
"2018-01-31",85
"2018-02-01",69
"2018-02-02",67
"2018-02-03",67
"2018-02-04",83
"2018-02-05",72
"2018-02-06",74
"2018-02-07",69
"2018-02-08",62
"2018-02-09",49
"2018-02-10",50
"2018-02-11",69
"2018-02-12",68
"2018-02-13",59
"2018-02-14",49
"2018-02-15",49
"2018-02-16",44
"2018-02-17",60
"2018-02-18",80
"2018-02-19",87
"2018-02-20",76
"2018-02-21",69
"2018-02-22",85
"2018-02-23",64
"2018-02-24",65
"2018-02-25",80
"2018-02-26",84
"2018-02-27",80
"2018-02-28",77
"2018-03-01",84
"2018-03-02",66
"2018-03-03",66
"2018-03-04",92
"2018-03-05",69
"2018-03-06",70
"2018-03-07",75
"2018-03-08",84
"2018-03-09",67
"2018-03-10",65
"2018-03-11",81
"2018-03-12",83
"2018-03-13",79
"2018-03-14",67
"2018-03-15",72
"2018-03-16",67
"2018-03-17",67
"2018-03-18",85
"2018-03-19",100
"2018-03-20",87
"2018-03-21",81
"2018-03-22",72
"2018-03-23",67
"2018-03-24",58
"2018-03-25",78
"2018-03-26",89
"2018-03-27",81
"2018-03-28",75
"2018-03-29",72
"2018-03-30",61
"2018-03-31",58
"2018-04-01",86
"2018-04-02",74
"2018-04-03",76
"2018-04-04",74
"2018-04-05",74
"2018-04-06",71
"2018-04-07",63
"2018-04-08",90
"2018-04-09",83
"2018-04-10",86
"2018-04-11",81
"2018-04-12",78
"2018-04-13",68
"2018-04-14",63
"2018-04-15",85
"2018-04-16",76
"2018-04-17",74
"2018-04-18",74
"2018-04-19",71
