네이버 데이터랩 쇼핑인사이트 > 검색어 통계
조회분야
가구/인테리어
조회기간 : 2017.08.01. ~ 2018.04.19. 일간
기기별 : 전체
성별 : 전체
연령별 : 전체

"날짜","공간박스"
"2017-08-01",47
"2017-08-02",52
"2017-08-03",54
"2017-08-04",50
"2017-08-05",38
"2017-08-06",46
"2017-08-07",59
"2017-08-08",64
"2017-08-09",53
"2017-08-10",56
"2017-08-11",50
"2017-08-12",44
"2017-08-13",58
"2017-08-14",59
"2017-08-15",72
"2017-08-16",61
"2017-08-17",66
"2017-08-18",53
"2017-08-19",47
"2017-08-20",76
"2017-08-21",63
"2017-08-22",66
"2017-08-23",55
"2017-08-24",47
"2017-08-25",52
"2017-08-26",52
"2017-08-27",61
"2017-08-28",60
"2017-08-29",60
"2017-08-30",67
"2017-08-31",56
"2017-09-01",52
"2017-09-02",50
"2017-09-03",58
"2017-09-04",57
"2017-09-05",62
"2017-09-06",68
"2017-09-07",68
"2017-09-08",51
"2017-09-09",42
"2017-09-10",66
"2017-09-11",73
"2017-09-12",56
"2017-09-13",52
"2017-09-14",51
"2017-09-15",41
"2017-09-16",45
"2017-09-17",57
"2017-09-18",61
"2017-09-19",52
"2017-09-20",52
"2017-09-21",43
"2017-09-22",47
"2017-09-23",35
"2017-09-24",55
"2017-09-25",47
"2017-09-26",50
"2017-09-27",50
"2017-09-28",38
"2017-09-29",33
"2017-09-30",26
"2017-10-01",42
"2017-10-02",39
"2017-10-03",41
"2017-10-04",29
"2017-10-05",41
"2017-10-06",49
"2017-10-07",50
"2017-10-08",72
"2017-10-09",78
"2017-10-10",74
"2017-10-11",71
"2017-10-12",69
"2017-10-13",48
"2017-10-14",44
"2017-10-15",63
"2017-10-16",81
"2017-10-17",66
"2017-10-18",62
"2017-10-19",71
"2017-10-20",55
"2017-10-21",50
"2017-10-22",72
"2017-10-23",69
"2017-10-24",76
"2017-10-25",70
"2017-10-26",66
"2017-10-27",58
"2017-10-28",60
"2017-10-29",69
"2017-10-30",80
"2017-10-31",67
"2017-11-01",68
"2017-11-02",78
"2017-11-03",54
"2017-11-04",59
"2017-11-05",76
"2017-11-06",74
"2017-11-07",85
"2017-11-08",77
"2017-11-09",71
"2017-11-10",49
"2017-11-11",47
"2017-11-12",60
"2017-11-13",72
"2017-11-14",63
"2017-11-15",53
"2017-11-16",59
"2017-11-17",51
"2017-11-18",44
"2017-11-19",61
"2017-11-20",67
"2017-11-21",64
"2017-11-22",62
"2017-11-23",64
"2017-11-24",52
"2017-11-25",50
"2017-11-26",66
"2017-11-27",70
"2017-11-28",58
"2017-11-29",53
"2017-11-30",57
"2017-12-01",51
"2017-12-02",53
"2017-12-03",80
"2017-12-04",75
"2017-12-05",61
"2017-12-06",67
"2017-12-07",58
"2017-12-08",51
"2017-12-09",55
"2017-12-10",63
"2017-12-11",71
"2017-12-12",51
"2017-12-13",67
"2017-12-14",53
"2017-12-15",49
"2017-12-16",44
"2017-12-17",78
"2017-12-18",68
"2017-12-19",62
"2017-12-20",61
"2017-12-21",45
"2017-12-22",45
"2017-12-23",42
"2017-12-24",54
"2017-12-25",59
"2017-12-26",65
"2017-12-27",56
"2017-12-28",62
"2017-12-29",50
"2017-12-30",44
"2017-12-31",53
"2018-01-01",66
"2018-01-02",88
"2018-01-03",78
"2018-01-04",75
"2018-01-05",64
"2018-01-06",73
"2018-01-07",90
"2018-01-08",92
"2018-01-09",69
"2018-01-10",77
"2018-01-11",70
"2018-01-12",81
"2018-01-13",61
"2018-01-14",93
"2018-01-15",77
"2018-01-16",74
"2018-01-17",75
"2018-01-18",69
"2018-01-19",57
"2018-01-20",55
"2018-01-21",79
"2018-01-22",82
"2018-01-23",84
"2018-01-24",70
"2018-01-25",66
"2018-01-26",59
"2018-01-27",55
"2018-01-28",79
"2018-01-29",77
"2018-01-30",73
"2018-01-31",76
"2018-02-01",59
"2018-02-02",73
"2018-02-03",58
"2018-02-04",86
"2018-02-05",80
"2018-02-06",90
"2018-02-07",75
"2018-02-08",62
"2018-02-09",50
"2018-02-10",64
"2018-02-11",74
"2018-02-12",66
"2018-02-13",58
"2018-02-14",55
"2018-02-15",49
"2018-02-16",50
"2018-02-17",58
"2018-02-18",78
"2018-02-19",91
"2018-02-20",95
"2018-02-21",83
"2018-02-22",83
"2018-02-23",73
"2018-02-24",63
"2018-02-25",84
"2018-02-26",92
"2018-02-27",100
"2018-02-28",86
"2018-03-01",100
"2018-03-02",72
"2018-03-03",69
"2018-03-04",91
"2018-03-05",86
"2018-03-06",72
"2018-03-07",74
"2018-03-08",83
"2018-03-09",74
"2018-03-10",61
"2018-03-11",83
"2018-03-12",92
"2018-03-13",71
"2018-03-14",70
"2018-03-15",68
"2018-03-16",63
"2018-03-17",57
"2018-03-18",76
"2018-03-19",80
"2018-03-20",80
"2018-03-21",83
"2018-03-22",67
"2018-03-23",57
"2018-03-24",59
"2018-03-25",72
"2018-03-26",66
"2018-03-27",67
"2018-03-28",64
"2018-03-29",60
"2018-03-30",47
"2018-03-31",47
"2018-04-01",73
"2018-04-02",58
"2018-04-03",62
"2018-04-04",70
"2018-04-05",59
"2018-04-06",52
"2018-04-07",64
"2018-04-08",78
"2018-04-09",73
"2018-04-10",78
"2018-04-11",80
"2018-04-12",59
"2018-04-13",50
"2018-04-14",57
"2018-04-15",67
"2018-04-16",78
"2018-04-17",72
"2018-04-18",92
"2018-04-19",61
