네이버 데이터랩 쇼핑인사이트 > 검색어 통계
조회분야
가구/인테리어
조회기간 : 2017.08.01. ~ 2018.04.19. 일간
기기별 : 전체
성별 : 전체
연령별 : 전체

"날짜","패브릭소파"
"2017-08-01",35
"2017-08-02",41
"2017-08-03",39
"2017-08-04",37
"2017-08-05",49
"2017-08-06",56
"2017-08-07",47
"2017-08-08",49
"2017-08-09",51
"2017-08-10",45
"2017-08-11",42
"2017-08-12",43
"2017-08-13",61
"2017-08-14",53
"2017-08-15",64
"2017-08-16",61
"2017-08-17",36
"2017-08-18",44
"2017-08-19",37
"2017-08-20",50
"2017-08-21",44
"2017-08-22",37
"2017-08-23",34
"2017-08-24",33
"2017-08-25",29
"2017-08-26",47
"2017-08-27",57
"2017-08-28",53
"2017-08-29",46
"2017-08-30",46
"2017-08-31",43
"2017-09-01",37
"2017-09-02",37
"2017-09-03",56
"2017-09-04",34
"2017-09-05",34
"2017-09-06",37
"2017-09-07",36
"2017-09-08",37
"2017-09-09",37
"2017-09-10",42
"2017-09-11",45
"2017-09-12",40
"2017-09-13",35
"2017-09-14",34
"2017-09-15",26
"2017-09-16",33
"2017-09-17",47
"2017-09-18",45
"2017-09-19",42
"2017-09-20",33
"2017-09-21",31
"2017-09-22",32
"2017-09-23",30
"2017-09-24",51
"2017-09-25",34
"2017-09-26",37
"2017-09-27",36
"2017-09-28",27
"2017-09-29",29
"2017-09-30",28
"2017-10-01",31
"2017-10-02",33
"2017-10-03",28
"2017-10-04",26
"2017-10-05",34
"2017-10-06",38
"2017-10-07",45
"2017-10-08",47
"2017-10-09",51
"2017-10-10",42
"2017-10-11",45
"2017-10-12",46
"2017-10-13",31
"2017-10-14",42
"2017-10-15",50
"2017-10-16",48
"2017-10-17",46
"2017-10-18",43
"2017-10-19",33
"2017-10-20",35
"2017-10-21",41
"2017-10-22",55
"2017-10-23",39
"2017-10-24",44
"2017-10-25",35
"2017-10-26",38
"2017-10-27",36
"2017-10-28",42
"2017-10-29",55
"2017-10-30",40
"2017-10-31",38
"2017-11-01",41
"2017-11-02",38
"2017-11-03",33
"2017-11-04",40
"2017-11-05",55
"2017-11-06",36
"2017-11-07",34
"2017-11-08",38
"2017-11-09",41
"2017-11-10",35
"2017-11-11",37
"2017-11-12",58
"2017-11-13",46
"2017-11-14",45
"2017-11-15",45
"2017-11-16",36
"2017-11-17",43
"2017-11-18",42
"2017-11-19",52
"2017-11-20",47
"2017-11-21",53
"2017-11-22",38
"2017-11-23",39
"2017-11-24",36
"2017-11-25",38
"2017-11-26",48
"2017-11-27",45
"2017-11-28",41
"2017-11-29",40
"2017-11-30",39
"2017-12-01",35
"2017-12-02",45
"2017-12-03",58
"2017-12-04",49
"2017-12-05",48
"2017-12-06",37
"2017-12-07",33
"2017-12-08",33
"2017-12-09",39
"2017-12-10",55
"2017-12-11",49
"2017-12-12",44
"2017-12-13",37
"2017-12-14",33
"2017-12-15",38
"2017-12-16",41
"2017-12-17",54
"2017-12-18",49
"2017-12-19",43
"2017-12-20",39
"2017-12-21",34
"2017-12-22",34
"2017-12-23",37
"2017-12-24",49
"2017-12-25",50
"2017-12-26",54
"2017-12-27",49
"2017-12-28",49
"2017-12-29",37
"2017-12-30",58
"2017-12-31",46
"2018-01-01",61
"2018-01-02",54
"2018-01-03",57
"2018-01-04",51
"2018-01-05",45
"2018-01-06",61
"2018-01-07",80
"2018-01-08",70
"2018-01-09",70
"2018-01-10",60
"2018-01-11",57
"2018-01-12",52
"2018-01-13",62
"2018-01-14",96
"2018-01-15",71
"2018-01-16",68
"2018-01-17",76
"2018-01-18",68
"2018-01-19",62
"2018-01-20",64
"2018-01-21",100
"2018-01-22",86
"2018-01-23",81
"2018-01-24",70
"2018-01-25",63
"2018-01-26",57
"2018-01-27",89
"2018-01-28",90
"2018-01-29",73
"2018-01-30",66
"2018-01-31",60
"2018-02-01",52
"2018-02-02",44
"2018-02-03",71
"2018-02-04",85
"2018-02-05",62
"2018-02-06",63
"2018-02-07",62
"2018-02-08",51
"2018-02-09",34
"2018-02-10",58
"2018-02-11",87
"2018-02-12",69
"2018-02-13",55
"2018-02-14",50
"2018-02-15",52
"2018-02-16",58
"2018-02-17",59
"2018-02-18",78
"2018-02-19",59
"2018-02-20",60
"2018-02-21",48
"2018-02-22",56
"2018-02-23",51
"2018-02-24",62
"2018-02-25",80
"2018-02-26",63
"2018-02-27",58
"2018-02-28",53
"2018-03-01",68
"2018-03-02",58
"2018-03-03",64
"2018-03-04",85
"2018-03-05",68
"2018-03-06",46
"2018-03-07",59
"2018-03-08",65
"2018-03-09",57
"2018-03-10",64
"2018-03-11",86
"2018-03-12",67
"2018-03-13",57
"2018-03-14",56
"2018-03-15",58
"2018-03-16",50
"2018-03-17",53
"2018-03-18",91
"2018-03-19",72
"2018-03-20",68
"2018-03-21",65
"2018-03-22",61
"2018-03-23",58
"2018-03-24",64
"2018-03-25",79
"2018-03-26",65
"2018-03-27",60
"2018-03-28",51
"2018-03-29",49
"2018-03-30",53
"2018-03-31",59
"2018-04-01",80
"2018-04-02",71
"2018-04-03",54
"2018-04-04",60
"2018-04-05",54
"2018-04-06",59
"2018-04-07",63
"2018-04-08",91
"2018-04-09",65
"2018-04-10",58
"2018-04-11",58
"2018-04-12",54
"2018-04-13",53
"2018-04-14",70
"2018-04-15",94
"2018-04-16",67
"2018-04-17",51
"2018-04-18",58
"2018-04-19",54
