네이버 데이터랩 쇼핑인사이트 > 검색어 통계
조회분야
가구/인테리어
조회기간 : 2017.08.01. ~ 2018.04.19. 일간
기기별 : 전체
성별 : 전체
연령별 : 전체

"날짜","방석"
"2017-08-01",32
"2017-08-02",33
"2017-08-03",34
"2017-08-04",27
"2017-08-05",28
"2017-08-06",33
"2017-08-07",30
"2017-08-08",33
"2017-08-09",39
"2017-08-10",29
"2017-08-11",23
"2017-08-12",24
"2017-08-13",30
"2017-08-14",34
"2017-08-15",35
"2017-08-16",34
"2017-08-17",37
"2017-08-18",40
"2017-08-19",33
"2017-08-20",37
"2017-08-21",42
"2017-08-22",44
"2017-08-23",42
"2017-08-24",46
"2017-08-25",30
"2017-08-26",32
"2017-08-27",41
"2017-08-28",47
"2017-08-29",47
"2017-08-30",52
"2017-08-31",46
"2017-09-01",40
"2017-09-02",38
"2017-09-03",41
"2017-09-04",54
"2017-09-05",52
"2017-09-06",50
"2017-09-07",48
"2017-09-08",38
"2017-09-09",29
"2017-09-10",49
"2017-09-11",48
"2017-09-12",45
"2017-09-13",46
"2017-09-14",47
"2017-09-15",36
"2017-09-16",39
"2017-09-17",49
"2017-09-18",51
"2017-09-19",54
"2017-09-20",43
"2017-09-21",38
"2017-09-22",36
"2017-09-23",31
"2017-09-24",45
"2017-09-25",56
"2017-09-26",42
"2017-09-27",39
"2017-09-28",32
"2017-09-29",38
"2017-09-30",29
"2017-10-01",32
"2017-10-02",27
"2017-10-03",22
"2017-10-04",24
"2017-10-05",27
"2017-10-06",41
"2017-10-07",47
"2017-10-08",49
"2017-10-09",47
"2017-10-10",47
"2017-10-11",56
"2017-10-12",63
"2017-10-13",52
"2017-10-14",54
"2017-10-15",60
"2017-10-16",65
"2017-10-17",74
"2017-10-18",64
"2017-10-19",53
"2017-10-20",46
"2017-10-21",40
"2017-10-22",49
"2017-10-23",69
"2017-10-24",65
"2017-10-25",77
"2017-10-26",65
"2017-10-27",54
"2017-10-28",58
"2017-10-29",73
"2017-10-30",92
"2017-10-31",78
"2017-11-01",79
"2017-11-02",83
"2017-11-03",65
"2017-11-04",66
"2017-11-05",72
"2017-11-06",91
"2017-11-07",77
"2017-11-08",77
"2017-11-09",79
"2017-11-10",65
"2017-11-11",58
"2017-11-12",100
"2017-11-13",88
"2017-11-14",87
"2017-11-15",81
"2017-11-16",89
"2017-11-17",83
"2017-11-18",61
"2017-11-19",74
"2017-11-20",94
"2017-11-21",85
"2017-11-22",79
"2017-11-23",80
"2017-11-24",61
"2017-11-25",61
"2017-11-26",57
"2017-11-27",72
"2017-11-28",69
"2017-11-29",63
"2017-11-30",68
"2017-12-01",65
"2017-12-02",55
"2017-12-03",79
"2017-12-04",81
"2017-12-05",83
"2017-12-06",81
"2017-12-07",74
"2017-12-08",57
"2017-12-09",54
"2017-12-10",76
"2017-12-11",82
"2017-12-12",83
"2017-12-13",73
"2017-12-14",83
"2017-12-15",61
"2017-12-16",49
"2017-12-17",61
"2017-12-18",70
"2017-12-19",59
"2017-12-20",63
"2017-12-21",57
"2017-12-22",36
"2017-12-23",37
"2017-12-24",43
"2017-12-25",56
"2017-12-26",64
"2017-12-27",62
"2017-12-28",54
"2017-12-29",46
"2017-12-30",45
"2017-12-31",40
"2018-01-01",51
"2018-01-02",69
"2018-01-03",63
"2018-01-04",56
"2018-01-05",54
"2018-01-06",57
"2018-01-07",70
"2018-01-08",70
"2018-01-09",76
"2018-01-10",68
"2018-01-11",67
"2018-01-12",59
"2018-01-13",54
"2018-01-14",62
"2018-01-15",65
"2018-01-16",62
"2018-01-17",63
"2018-01-18",57
"2018-01-19",49
"2018-01-20",53
"2018-01-21",64
"2018-01-22",69
"2018-01-23",65
"2018-01-24",62
"2018-01-25",67
"2018-01-26",54
"2018-01-27",51
"2018-01-28",58
"2018-01-29",66
"2018-01-30",57
"2018-01-31",64
"2018-02-01",57
"2018-02-02",45
"2018-02-03",58
"2018-02-04",63
"2018-02-05",72
"2018-02-06",61
"2018-02-07",65
"2018-02-08",54
"2018-02-09",48
"2018-02-10",44
"2018-02-11",65
"2018-02-12",53
"2018-02-13",38
"2018-02-14",31
"2018-02-15",35
"2018-02-16",35
"2018-02-17",44
"2018-02-18",65
"2018-02-19",71
"2018-02-20",84
"2018-02-21",65
"2018-02-22",70
"2018-02-23",66
"2018-02-24",53
"2018-02-25",78
"2018-02-26",78
"2018-02-27",70
"2018-02-28",63
"2018-03-01",82
"2018-03-02",71
"2018-03-03",68
"2018-03-04",84
"2018-03-05",77
"2018-03-06",83
"2018-03-07",78
"2018-03-08",68
"2018-03-09",57
"2018-03-10",69
"2018-03-11",74
"2018-03-12",82
"2018-03-13",73
"2018-03-14",66
"2018-03-15",69
"2018-03-16",59
"2018-03-17",53
"2018-03-18",69
"2018-03-19",74
"2018-03-20",77
"2018-03-21",73
"2018-03-22",67
"2018-03-23",62
"2018-03-24",50
"2018-03-25",68
"2018-03-26",79
"2018-03-27",72
"2018-03-28",76
"2018-03-29",66
"2018-03-30",57
"2018-03-31",52
"2018-04-01",70
"2018-04-02",78
"2018-04-03",70
"2018-04-04",70
"2018-04-05",67
"2018-04-06",56
"2018-04-07",56
"2018-04-08",69
"2018-04-09",64
"2018-04-10",71
"2018-04-11",75
"2018-04-12",70
"2018-04-13",60
"2018-04-14",56
"2018-04-15",78
"2018-04-16",68
"2018-04-17",68
"2018-04-18",67
"2018-04-19",59
