네이버 데이터랩 쇼핑인사이트 > 검색어 통계
조회분야
가구/인테리어
조회기간 : 2017.08.01. ~ 2018.04.19. 일간
기기별 : 전체
성별 : 전체
연령별 : 전체

"날짜","전신거울"
"2017-08-01",35
"2017-08-02",35
"2017-08-03",33
"2017-08-04",27
"2017-08-05",27
"2017-08-06",37
"2017-08-07",37
"2017-08-08",36
"2017-08-09",33
"2017-08-10",32
"2017-08-11",27
"2017-08-12",25
"2017-08-13",34
"2017-08-14",34
"2017-08-15",41
"2017-08-16",38
"2017-08-17",35
"2017-08-18",32
"2017-08-19",28
"2017-08-20",41
"2017-08-21",42
"2017-08-22",37
"2017-08-23",37
"2017-08-24",33
"2017-08-25",30
"2017-08-26",33
"2017-08-27",43
"2017-08-28",39
"2017-08-29",41
"2017-08-30",36
"2017-08-31",36
"2017-09-01",31
"2017-09-02",30
"2017-09-03",39
"2017-09-04",39
"2017-09-05",34
"2017-09-06",38
"2017-09-07",34
"2017-09-08",30
"2017-09-09",29
"2017-09-10",39
"2017-09-11",45
"2017-09-12",40
"2017-09-13",30
"2017-09-14",29
"2017-09-15",27
"2017-09-16",29
"2017-09-17",40
"2017-09-18",46
"2017-09-19",37
"2017-09-20",29
"2017-09-21",30
"2017-09-22",26
"2017-09-23",28
"2017-09-24",34
"2017-09-25",43
"2017-09-26",38
"2017-09-27",36
"2017-09-28",31
"2017-09-29",24
"2017-09-30",30
"2017-10-01",35
"2017-10-02",29
"2017-10-03",29
"2017-10-04",27
"2017-10-05",36
"2017-10-06",37
"2017-10-07",43
"2017-10-08",49
"2017-10-09",58
"2017-10-10",53
"2017-10-11",49
"2017-10-12",48
"2017-10-13",37
"2017-10-14",36
"2017-10-15",46
"2017-10-16",52
"2017-10-17",50
"2017-10-18",48
"2017-10-19",41
"2017-10-20",38
"2017-10-21",38
"2017-10-22",48
"2017-10-23",47
"2017-10-24",50
"2017-10-25",43
"2017-10-26",37
"2017-10-27",36
"2017-10-28",39
"2017-10-29",46
"2017-10-30",49
"2017-10-31",43
"2017-11-01",49
"2017-11-02",44
"2017-11-03",34
"2017-11-04",35
"2017-11-05",46
"2017-11-06",49
"2017-11-07",44
"2017-11-08",46
"2017-11-09",48
"2017-11-10",38
"2017-11-11",37
"2017-11-12",48
"2017-11-13",47
"2017-11-14",49
"2017-11-15",39
"2017-11-16",45
"2017-11-17",36
"2017-11-18",35
"2017-11-19",47
"2017-11-20",48
"2017-11-21",44
"2017-11-22",42
"2017-11-23",40
"2017-11-24",38
"2017-11-25",36
"2017-11-26",48
"2017-11-27",47
"2017-11-28",45
"2017-11-29",43
"2017-11-30",43
"2017-12-01",32
"2017-12-02",36
"2017-12-03",46
"2017-12-04",55
"2017-12-05",47
"2017-12-06",48
"2017-12-07",43
"2017-12-08",36
"2017-12-09",38
"2017-12-10",51
"2017-12-11",58
"2017-12-12",52
"2017-12-13",48
"2017-12-14",43
"2017-12-15",40
"2017-12-16",42
"2017-12-17",65
"2017-12-18",50
"2017-12-19",45
"2017-12-20",44
"2017-12-21",40
"2017-12-22",34
"2017-12-23",39
"2017-12-24",38
"2017-12-25",46
"2017-12-26",49
"2017-12-27",51
"2017-12-28",44
"2017-12-29",51
"2017-12-30",44
"2017-12-31",38
"2018-01-01",59
"2018-01-02",63
"2018-01-03",62
"2018-01-04",58
"2018-01-05",41
"2018-01-06",48
"2018-01-07",60
"2018-01-08",65
"2018-01-09",55
"2018-01-10",60
"2018-01-11",56
"2018-01-12",47
"2018-01-13",49
"2018-01-14",61
"2018-01-15",60
"2018-01-16",58
"2018-01-17",61
"2018-01-18",52
"2018-01-19",48
"2018-01-20",46
"2018-01-21",63
"2018-01-22",67
"2018-01-23",58
"2018-01-24",58
"2018-01-25",55
"2018-01-26",43
"2018-01-27",42
"2018-01-28",60
"2018-01-29",58
"2018-01-30",55
"2018-01-31",59
"2018-02-01",53
"2018-02-02",51
"2018-02-03",51
"2018-02-04",67
"2018-02-05",66
"2018-02-06",61
"2018-02-07",56
"2018-02-08",48
"2018-02-09",42
"2018-02-10",48
"2018-02-11",59
"2018-02-12",51
"2018-02-13",44
"2018-02-14",37
"2018-02-15",37
"2018-02-16",47
"2018-02-17",56
"2018-02-18",74
"2018-02-19",78
"2018-02-20",68
"2018-02-21",65
"2018-02-22",63
"2018-02-23",62
"2018-02-24",61
"2018-02-25",88
"2018-02-26",90
"2018-02-27",79
"2018-02-28",78
"2018-03-01",95
"2018-03-02",75
"2018-03-03",72
"2018-03-04",100
"2018-03-05",82
"2018-03-06",70
"2018-03-07",59
"2018-03-08",54
"2018-03-09",50
"2018-03-10",54
"2018-03-11",70
"2018-03-12",75
"2018-03-13",65
"2018-03-14",57
"2018-03-15",56
"2018-03-16",49
"2018-03-17",58
"2018-03-18",69
"2018-03-19",71
"2018-03-20",56
"2018-03-21",55
"2018-03-22",52
"2018-03-23",48
"2018-03-24",46
"2018-03-25",67
"2018-03-26",66
"2018-03-27",65
"2018-03-28",61
"2018-03-29",51
"2018-03-30",44
"2018-03-31",46
"2018-04-01",72
"2018-04-02",71
"2018-04-03",57
"2018-04-04",54
"2018-04-05",53
"2018-04-06",44
"2018-04-07",44
"2018-04-08",61
"2018-04-09",61
"2018-04-10",50
"2018-04-11",51
"2018-04-12",54
"2018-04-13",48
"2018-04-14",50
"2018-04-15",62
"2018-04-16",64
"2018-04-17",57
"2018-04-18",53
"2018-04-19",54
