네이버 데이터랩 쇼핑인사이트 > 검색어 통계
조회분야
가구/인테리어
조회기간 : 2017.08.01. ~ 2018.04.19. 일간
기기별 : 전체
성별 : 전체
연령별 : 전체

"날짜","바디필로우"
"2017-08-01",76
"2017-08-02",58
"2017-08-03",56
"2017-08-04",45
"2017-08-05",45
"2017-08-06",54
"2017-08-07",57
"2017-08-08",60
"2017-08-09",66
"2017-08-10",50
"2017-08-11",44
"2017-08-12",53
"2017-08-13",68
"2017-08-14",64
"2017-08-15",59
"2017-08-16",57
"2017-08-17",56
"2017-08-18",53
"2017-08-19",51
"2017-08-20",64
"2017-08-21",71
"2017-08-22",70
"2017-08-23",56
"2017-08-24",59
"2017-08-25",47
"2017-08-26",55
"2017-08-27",68
"2017-08-28",59
"2017-08-29",58
"2017-08-30",70
"2017-08-31",54
"2017-09-01",53
"2017-09-02",49
"2017-09-03",75
"2017-09-04",64
"2017-09-05",60
"2017-09-06",65
"2017-09-07",49
"2017-09-08",47
"2017-09-09",51
"2017-09-10",63
"2017-09-11",58
"2017-09-12",48
"2017-09-13",49
"2017-09-14",42
"2017-09-15",30
"2017-09-16",36
"2017-09-17",57
"2017-09-18",58
"2017-09-19",53
"2017-09-20",46
"2017-09-21",42
"2017-09-22",32
"2017-09-23",40
"2017-09-24",46
"2017-09-25",49
"2017-09-26",44
"2017-09-27",47
"2017-09-28",39
"2017-09-29",29
"2017-09-30",35
"2017-10-01",38
"2017-10-02",38
"2017-10-03",36
"2017-10-04",41
"2017-10-05",42
"2017-10-06",56
"2017-10-07",56
"2017-10-08",58
"2017-10-09",81
"2017-10-10",74
"2017-10-11",61
"2017-10-12",56
"2017-10-13",44
"2017-10-14",45
"2017-10-15",57
"2017-10-16",52
"2017-10-17",52
"2017-10-18",61
"2017-10-19",46
"2017-10-20",42
"2017-10-21",40
"2017-10-22",56
"2017-10-23",57
"2017-10-24",52
"2017-10-25",43
"2017-10-26",39
"2017-10-27",34
"2017-10-28",40
"2017-10-29",52
"2017-10-30",49
"2017-10-31",43
"2017-11-01",41
"2017-11-02",48
"2017-11-03",38
"2017-11-04",37
"2017-11-05",49
"2017-11-06",55
"2017-11-07",51
"2017-11-08",51
"2017-11-09",51
"2017-11-10",41
"2017-11-11",38
"2017-11-12",54
"2017-11-13",53
"2017-11-14",49
"2017-11-15",39
"2017-11-16",42
"2017-11-17",32
"2017-11-18",39
"2017-11-19",49
"2017-11-20",42
"2017-11-21",42
"2017-11-22",40
"2017-11-23",40
"2017-11-24",25
"2017-11-25",32
"2017-11-26",44
"2017-11-27",43
"2017-11-28",35
"2017-11-29",34
"2017-11-30",39
"2017-12-01",41
"2017-12-02",36
"2017-12-03",50
"2017-12-04",52
"2017-12-05",42
"2017-12-06",35
"2017-12-07",39
"2017-12-08",35
"2017-12-09",31
"2017-12-10",60
"2017-12-11",57
"2017-12-12",52
"2017-12-13",61
"2017-12-14",46
"2017-12-15",41
"2017-12-16",46
"2017-12-17",63
"2017-12-18",56
"2017-12-19",69
"2017-12-20",66
"2017-12-21",65
"2017-12-22",48
"2017-12-23",50
"2017-12-24",62
"2017-12-25",67
"2017-12-26",71
"2017-12-27",63
"2017-12-28",54
"2017-12-29",36
"2017-12-30",51
"2017-12-31",49
"2018-01-01",57
"2018-01-02",54
"2018-01-03",55
"2018-01-04",54
"2018-01-05",38
"2018-01-06",46
"2018-01-07",52
"2018-01-08",64
"2018-01-09",51
"2018-01-10",52
"2018-01-11",51
"2018-01-12",57
"2018-01-13",44
"2018-01-14",66
"2018-01-15",52
"2018-01-16",52
"2018-01-17",56
"2018-01-18",45
"2018-01-19",42
"2018-01-20",46
"2018-01-21",51
"2018-01-22",58
"2018-01-23",52
"2018-01-24",47
"2018-01-25",62
"2018-01-26",43
"2018-01-27",86
"2018-01-28",84
"2018-01-29",74
"2018-01-30",72
"2018-01-31",64
"2018-02-01",62
"2018-02-02",54
"2018-02-03",60
"2018-02-04",71
"2018-02-05",62
"2018-02-06",59
"2018-02-07",54
"2018-02-08",49
"2018-02-09",39
"2018-02-10",40
"2018-02-11",62
"2018-02-12",57
"2018-02-13",41
"2018-02-14",38
"2018-02-15",39
"2018-02-16",47
"2018-02-17",55
"2018-02-18",71
"2018-02-19",77
"2018-02-20",60
"2018-02-21",60
"2018-02-22",61
"2018-02-23",50
"2018-02-24",46
"2018-02-25",64
"2018-02-26",100
"2018-02-27",72
"2018-02-28",55
"2018-03-01",75
"2018-03-02",71
"2018-03-03",65
"2018-03-04",78
"2018-03-05",73
"2018-03-06",62
"2018-03-07",61
"2018-03-08",60
"2018-03-09",47
"2018-03-10",58
"2018-03-11",71
"2018-03-12",92
"2018-03-13",61
"2018-03-14",59
"2018-03-15",59
"2018-03-16",44
"2018-03-17",44
"2018-03-18",62
"2018-03-19",57
"2018-03-20",44
"2018-03-21",42
"2018-03-22",46
"2018-03-23",35
"2018-03-24",40
"2018-03-25",62
"2018-03-26",59
"2018-03-27",53
"2018-03-28",44
"2018-03-29",40
"2018-03-30",40
"2018-03-31",36
"2018-04-01",70
"2018-04-02",54
"2018-04-03",51
"2018-04-04",59
"2018-04-05",44
"2018-04-06",41
"2018-04-07",37
"2018-04-08",54
"2018-04-09",52
"2018-04-10",60
"2018-04-11",52
"2018-04-12",41
"2018-04-13",40
"2018-04-14",45
"2018-04-15",53
"2018-04-16",58
"2018-04-17",60
"2018-04-18",47
"2018-04-19",44
