네이버 데이터랩 쇼핑인사이트 > 검색어 통계
조회분야
가구/인테리어
조회기간 : 2017.08.01. ~ 2018.04.19. 일간
기기별 : 전체
성별 : 전체
연령별 : 전체

"날짜","드림캐쳐"
"2017-08-01",46
"2017-08-02",48
"2017-08-03",50
"2017-08-04",46
"2017-08-05",45
"2017-08-06",49
"2017-08-07",50
"2017-08-08",48
"2017-08-09",58
"2017-08-10",50
"2017-08-11",45
"2017-08-12",35
"2017-08-13",45
"2017-08-14",52
"2017-08-15",64
"2017-08-16",51
"2017-08-17",55
"2017-08-18",43
"2017-08-19",45
"2017-08-20",51
"2017-08-21",59
"2017-08-22",57
"2017-08-23",52
"2017-08-24",45
"2017-08-25",42
"2017-08-26",47
"2017-08-27",52
"2017-08-28",50
"2017-08-29",51
"2017-08-30",45
"2017-08-31",41
"2017-09-01",37
"2017-09-02",59
"2017-09-03",66
"2017-09-04",63
"2017-09-05",48
"2017-09-06",51
"2017-09-07",54
"2017-09-08",44
"2017-09-09",44
"2017-09-10",51
"2017-09-11",60
"2017-09-12",40
"2017-09-13",55
"2017-09-14",51
"2017-09-15",42
"2017-09-16",51
"2017-09-17",81
"2017-09-18",72
"2017-09-19",65
"2017-09-20",55
"2017-09-21",48
"2017-09-22",50
"2017-09-23",48
"2017-09-24",64
"2017-09-25",75
"2017-09-26",53
"2017-09-27",47
"2017-09-28",40
"2017-09-29",24
"2017-09-30",38
"2017-10-01",44
"2017-10-02",42
"2017-10-03",31
"2017-10-04",38
"2017-10-05",42
"2017-10-06",45
"2017-10-07",61
"2017-10-08",57
"2017-10-09",66
"2017-10-10",59
"2017-10-11",45
"2017-10-12",36
"2017-10-13",35
"2017-10-14",46
"2017-10-15",55
"2017-10-16",48
"2017-10-17",51
"2017-10-18",42
"2017-10-19",51
"2017-10-20",38
"2017-10-21",43
"2017-10-22",54
"2017-10-23",53
"2017-10-24",48
"2017-10-25",46
"2017-10-26",50
"2017-10-27",43
"2017-10-28",52
"2017-10-29",48
"2017-10-30",51
"2017-10-31",35
"2017-11-01",38
"2017-11-02",36
"2017-11-03",36
"2017-11-04",38
"2017-11-05",47
"2017-11-06",48
"2017-11-07",45
"2017-11-08",47
"2017-11-09",41
"2017-11-10",49
"2017-11-11",34
"2017-11-12",56
"2017-11-13",49
"2017-11-14",43
"2017-11-15",38
"2017-11-16",50
"2017-11-17",39
"2017-11-18",41
"2017-11-19",44
"2017-11-20",48
"2017-11-21",48
"2017-11-22",42
"2017-11-23",45
"2017-11-24",34
"2017-11-25",48
"2017-11-26",39
"2017-11-27",46
"2017-11-28",50
"2017-11-29",54
"2017-11-30",43
"2017-12-01",45
"2017-12-02",52
"2017-12-03",62
"2017-12-04",57
"2017-12-05",62
"2017-12-06",51
"2017-12-07",48
"2017-12-08",53
"2017-12-09",46
"2017-12-10",81
"2017-12-11",85
"2017-12-12",70
"2017-12-13",64
"2017-12-14",57
"2017-12-15",55
"2017-12-16",49
"2017-12-17",91
"2017-12-18",100
"2017-12-19",67
"2017-12-20",72
"2017-12-21",63
"2017-12-22",49
"2017-12-23",53
"2017-12-24",54
"2017-12-25",66
"2017-12-26",69
"2017-12-27",57
"2017-12-28",75
"2017-12-29",50
"2017-12-30",57
"2017-12-31",98
"2018-01-01",54
"2018-01-02",69
"2018-01-03",69
"2018-01-04",66
"2018-01-05",54
"2018-01-06",51
"2018-01-07",70
"2018-01-08",61
"2018-01-09",57
"2018-01-10",67
"2018-01-11",49
"2018-01-12",53
"2018-01-13",60
"2018-01-14",65
"2018-01-15",75
"2018-01-16",81
"2018-01-17",61
"2018-01-18",56
"2018-01-19",59
"2018-01-20",53
"2018-01-21",63
"2018-01-22",70
"2018-01-23",76
"2018-01-24",59
"2018-01-25",59
"2018-01-26",57
"2018-01-27",90
"2018-01-28",75
"2018-01-29",74
"2018-01-30",61
"2018-01-31",60
"2018-02-01",64
"2018-02-02",61
"2018-02-03",64
"2018-02-04",63
"2018-02-05",62
"2018-02-06",64
"2018-02-07",62
"2018-02-08",51
"2018-02-09",44
"2018-02-10",41
"2018-02-11",61
"2018-02-12",56
"2018-02-13",52
"2018-02-14",40
"2018-02-15",35
"2018-02-16",44
"2018-02-17",45
"2018-02-18",58
"2018-02-19",62
"2018-02-20",69
"2018-02-21",45
"2018-02-22",56
"2018-02-23",58
"2018-02-24",51
"2018-02-25",51
"2018-02-26",69
"2018-02-27",65
"2018-02-28",56
"2018-03-01",60
"2018-03-02",55
"2018-03-03",52
"2018-03-04",62
"2018-03-05",61
"2018-03-06",58
"2018-03-07",51
"2018-03-08",54
"2018-03-09",46
"2018-03-10",51
"2018-03-11",63
"2018-03-12",54
"2018-03-13",52
"2018-03-14",48
"2018-03-15",43
"2018-03-16",43
"2018-03-17",54
"2018-03-18",71
"2018-03-19",57
"2018-03-20",71
"2018-03-21",63
"2018-03-22",65
"2018-03-23",39
"2018-03-24",51
"2018-03-25",60
"2018-03-26",61
"2018-03-27",55
"2018-03-28",47
"2018-03-29",49
"2018-03-30",37
"2018-03-31",42
"2018-04-01",58
"2018-04-02",55
"2018-04-03",63
"2018-04-04",52
"2018-04-05",44
"2018-04-06",40
"2018-04-07",43
"2018-04-08",50
"2018-04-09",48
"2018-04-10",54
"2018-04-11",45
"2018-04-12",48
"2018-04-13",53
"2018-04-14",51
"2018-04-15",63
"2018-04-16",65
"2018-04-17",58
"2018-04-18",50
"2018-04-19",47
