네이버 데이터랩 쇼핑인사이트 > 검색어 통계
조회분야
가구/인테리어
조회기간 : 2017.08.01. ~ 2018.04.19. 일간
기기별 : 전체
성별 : 전체
연령별 : 전체

"날짜","저상형침대"
"2017-08-01",46
"2017-08-02",41
"2017-08-03",47
"2017-08-04",36
"2017-08-05",35
"2017-08-06",49
"2017-08-07",43
"2017-08-08",41
"2017-08-09",48
"2017-08-10",49
"2017-08-11",48
"2017-08-12",47
"2017-08-13",61
"2017-08-14",61
"2017-08-15",74
"2017-08-16",63
"2017-08-17",47
"2017-08-18",46
"2017-08-19",49
"2017-08-20",69
"2017-08-21",59
"2017-08-22",46
"2017-08-23",57
"2017-08-24",42
"2017-08-25",38
"2017-08-26",42
"2017-08-27",58
"2017-08-28",51
"2017-08-29",56
"2017-08-30",44
"2017-08-31",49
"2017-09-01",44
"2017-09-02",41
"2017-09-03",55
"2017-09-04",56
"2017-09-05",56
"2017-09-06",55
"2017-09-07",50
"2017-09-08",36
"2017-09-09",50
"2017-09-10",67
"2017-09-11",62
"2017-09-12",53
"2017-09-13",52
"2017-09-14",45
"2017-09-15",40
"2017-09-16",42
"2017-09-17",71
"2017-09-18",57
"2017-09-19",49
"2017-09-20",44
"2017-09-21",46
"2017-09-22",36
"2017-09-23",37
"2017-09-24",61
"2017-09-25",56
"2017-09-26",46
"2017-09-27",42
"2017-09-28",34
"2017-09-29",35
"2017-09-30",43
"2017-10-01",53
"2017-10-02",54
"2017-10-03",49
"2017-10-04",55
"2017-10-05",64
"2017-10-06",65
"2017-10-07",69
"2017-10-08",76
"2017-10-09",100
"2017-10-10",79
"2017-10-11",60
"2017-10-12",64
"2017-10-13",57
"2017-10-14",61
"2017-10-15",76
"2017-10-16",79
"2017-10-17",69
"2017-10-18",67
"2017-10-19",60
"2017-10-20",48
"2017-10-21",64
"2017-10-22",80
"2017-10-23",67
"2017-10-24",67
"2017-10-25",60
"2017-10-26",55
"2017-10-27",63
"2017-10-28",69
"2017-10-29",84
"2017-10-30",76
"2017-10-31",60
"2017-11-01",51
"2017-11-02",50
"2017-11-03",42
"2017-11-04",57
"2017-11-05",76
"2017-11-06",70
"2017-11-07",67
"2017-11-08",61
"2017-11-09",57
"2017-11-10",52
"2017-11-11",50
"2017-11-12",74
"2017-11-13",67
"2017-11-14",69
"2017-11-15",44
"2017-11-16",55
"2017-11-17",50
"2017-11-18",50
"2017-11-19",64
"2017-11-20",61
"2017-11-21",55
"2017-11-22",47
"2017-11-23",46
"2017-11-24",42
"2017-11-25",53
"2017-11-26",58
"2017-11-27",63
"2017-11-28",52
"2017-11-29",49
"2017-11-30",43
"2017-12-01",39
"2017-12-02",42
"2017-12-03",66
"2017-12-04",59
"2017-12-05",52
"2017-12-06",49
"2017-12-07",46
"2017-12-08",44
"2017-12-09",43
"2017-12-10",64
"2017-12-11",51
"2017-12-12",50
"2017-12-13",50
"2017-12-14",51
"2017-12-15",44
"2017-12-16",41
"2017-12-17",51
"2017-12-18",52
"2017-12-19",47
"2017-12-20",45
"2017-12-21",40
"2017-12-22",32
"2017-12-23",37
"2017-12-24",46
"2017-12-25",54
"2017-12-26",54
"2017-12-27",50
"2017-12-28",43
"2017-12-29",37
"2017-12-30",48
"2017-12-31",45
"2018-01-01",59
"2018-01-02",62
"2018-01-03",50
"2018-01-04",52
"2018-01-05",45
"2018-01-06",55
"2018-01-07",67
"2018-01-08",61
"2018-01-09",69
"2018-01-10",56
"2018-01-11",52
"2018-01-12",53
"2018-01-13",56
"2018-01-14",75
"2018-01-15",64
"2018-01-16",62
"2018-01-17",63
"2018-01-18",55
"2018-01-19",49
"2018-01-20",67
"2018-01-21",78
"2018-01-22",64
"2018-01-23",58
"2018-01-24",55
"2018-01-25",51
"2018-01-26",56
"2018-01-27",63
"2018-01-28",77
"2018-01-29",64
"2018-01-30",64
"2018-01-31",60
"2018-02-01",48
"2018-02-02",46
"2018-02-03",51
"2018-02-04",58
"2018-02-05",57
"2018-02-06",58
"2018-02-07",44
"2018-02-08",57
"2018-02-09",42
"2018-02-10",45
"2018-02-11",56
"2018-02-12",52
"2018-02-13",40
"2018-02-14",41
"2018-02-15",41
"2018-02-16",49
"2018-02-17",65
"2018-02-18",64
"2018-02-19",71
"2018-02-20",56
"2018-02-21",50
"2018-02-22",45
"2018-02-23",39
"2018-02-24",48
"2018-02-25",75
"2018-02-26",58
"2018-02-27",53
"2018-02-28",52
"2018-03-01",56
"2018-03-02",56
"2018-03-03",49
"2018-03-04",76
"2018-03-05",59
"2018-03-06",51
"2018-03-07",52
"2018-03-08",50
"2018-03-09",41
"2018-03-10",50
"2018-03-11",57
"2018-03-12",55
"2018-03-13",47
"2018-03-14",45
"2018-03-15",45
"2018-03-16",48
"2018-03-17",44
"2018-03-18",60
"2018-03-19",63
"2018-03-20",50
"2018-03-21",57
"2018-03-22",51
"2018-03-23",46
"2018-03-24",46
"2018-03-25",58
"2018-03-26",57
"2018-03-27",52
"2018-03-28",40
"2018-03-29",48
"2018-03-30",42
"2018-03-31",37
"2018-04-01",48
"2018-04-02",53
"2018-04-03",43
"2018-04-04",43
"2018-04-05",39
"2018-04-06",37
"2018-04-07",44
"2018-04-08",57
"2018-04-09",45
"2018-04-10",45
"2018-04-11",41
"2018-04-12",38
"2018-04-13",42
"2018-04-14",52
"2018-04-15",59
"2018-04-16",49
"2018-04-17",50
"2018-04-18",51
"2018-04-19",40
