네이버 데이터랩 쇼핑인사이트 > 검색어 통계
조회분야
가구/인테리어
조회기간 : 2017.08.01. ~ 2018.04.19. 일간
기기별 : 전체
성별 : 전체
연령별 : 전체

"날짜","접이식식탁"
"2017-08-01",37
"2017-08-02",42
"2017-08-03",47
"2017-08-04",46
"2017-08-05",45
"2017-08-06",55
"2017-08-07",59
"2017-08-08",56
"2017-08-09",54
"2017-08-10",52
"2017-08-11",46
"2017-08-12",44
"2017-08-13",69
"2017-08-14",52
"2017-08-15",74
"2017-08-16",55
"2017-08-17",47
"2017-08-18",45
"2017-08-19",55
"2017-08-20",67
"2017-08-21",59
"2017-08-22",48
"2017-08-23",52
"2017-08-24",40
"2017-08-25",42
"2017-08-26",38
"2017-08-27",58
"2017-08-28",45
"2017-08-29",44
"2017-08-30",42
"2017-08-31",40
"2017-09-01",33
"2017-09-02",45
"2017-09-03",64
"2017-09-04",50
"2017-09-05",46
"2017-09-06",50
"2017-09-07",42
"2017-09-08",40
"2017-09-09",44
"2017-09-10",55
"2017-09-11",53
"2017-09-12",44
"2017-09-13",41
"2017-09-14",47
"2017-09-15",37
"2017-09-16",34
"2017-09-17",55
"2017-09-18",52
"2017-09-19",54
"2017-09-20",44
"2017-09-21",38
"2017-09-22",40
"2017-09-23",39
"2017-09-24",58
"2017-09-25",55
"2017-09-26",53
"2017-09-27",44
"2017-09-28",35
"2017-09-29",26
"2017-09-30",38
"2017-10-01",50
"2017-10-02",44
"2017-10-03",42
"2017-10-04",35
"2017-10-05",54
"2017-10-06",54
"2017-10-07",68
"2017-10-08",65
"2017-10-09",83
"2017-10-10",62
"2017-10-11",53
"2017-10-12",53
"2017-10-13",46
"2017-10-14",54
"2017-10-15",72
"2017-10-16",63
"2017-10-17",55
"2017-10-18",55
"2017-10-19",53
"2017-10-20",55
"2017-10-21",50
"2017-10-22",70
"2017-10-23",65
"2017-10-24",63
"2017-10-25",68
"2017-10-26",64
"2017-10-27",52
"2017-10-28",54
"2017-10-29",80
"2017-10-30",72
"2017-10-31",61
"2017-11-01",56
"2017-11-02",64
"2017-11-03",59
"2017-11-04",63
"2017-11-05",75
"2017-11-06",64
"2017-11-07",63
"2017-11-08",63
"2017-11-09",67
"2017-11-10",48
"2017-11-11",52
"2017-11-12",76
"2017-11-13",68
"2017-11-14",59
"2017-11-15",53
"2017-11-16",52
"2017-11-17",52
"2017-11-18",51
"2017-11-19",69
"2017-11-20",65
"2017-11-21",65
"2017-11-22",59
"2017-11-23",50
"2017-11-24",46
"2017-11-25",50
"2017-11-26",73
"2017-11-27",75
"2017-11-28",58
"2017-11-29",54
"2017-11-30",46
"2017-12-01",48
"2017-12-02",56
"2017-12-03",75
"2017-12-04",68
"2017-12-05",54
"2017-12-06",46
"2017-12-07",48
"2017-12-08",46
"2017-12-09",49
"2017-12-10",71
"2017-12-11",62
"2017-12-12",52
"2017-12-13",47
"2017-12-14",40
"2017-12-15",35
"2017-12-16",41
"2017-12-17",58
"2017-12-18",58
"2017-12-19",50
"2017-12-20",47
"2017-12-21",37
"2017-12-22",44
"2017-12-23",44
"2017-12-24",55
"2017-12-25",61
"2017-12-26",56
"2017-12-27",48
"2017-12-28",51
"2017-12-29",43
"2017-12-30",46
"2017-12-31",53
"2018-01-01",67
"2018-01-02",65
"2018-01-03",59
"2018-01-04",59
"2018-01-05",46
"2018-01-06",61
"2018-01-07",91
"2018-01-08",70
"2018-01-09",62
"2018-01-10",62
"2018-01-11",51
"2018-01-12",43
"2018-01-13",56
"2018-01-14",83
"2018-01-15",69
"2018-01-16",66
"2018-01-17",64
"2018-01-18",57
"2018-01-19",53
"2018-01-20",60
"2018-01-21",82
"2018-01-22",67
"2018-01-23",74
"2018-01-24",65
"2018-01-25",72
"2018-01-26",50
"2018-01-27",67
"2018-01-28",75
"2018-01-29",81
"2018-01-30",69
"2018-01-31",53
"2018-02-01",66
"2018-02-02",63
"2018-02-03",70
"2018-02-04",98
"2018-02-05",69
"2018-02-06",74
"2018-02-07",63
"2018-02-08",64
"2018-02-09",52
"2018-02-10",63
"2018-02-11",92
"2018-02-12",71
"2018-02-13",58
"2018-02-14",51
"2018-02-15",55
"2018-02-16",58
"2018-02-17",70
"2018-02-18",79
"2018-02-19",83
"2018-02-20",68
"2018-02-21",71
"2018-02-22",60
"2018-02-23",50
"2018-02-24",65
"2018-02-25",91
"2018-02-26",82
"2018-02-27",79
"2018-02-28",66
"2018-03-01",90
"2018-03-02",77
"2018-03-03",67
"2018-03-04",100
"2018-03-05",87
"2018-03-06",78
"2018-03-07",69
"2018-03-08",79
"2018-03-09",51
"2018-03-10",67
"2018-03-11",93
"2018-03-12",70
"2018-03-13",53
"2018-03-14",55
"2018-03-15",56
"2018-03-16",52
"2018-03-17",53
"2018-03-18",71
"2018-03-19",67
"2018-03-20",70
"2018-03-21",58
"2018-03-22",54
"2018-03-23",52
"2018-03-24",67
"2018-03-25",78
"2018-03-26",80
"2018-03-27",79
"2018-03-28",58
"2018-03-29",62
"2018-03-30",53
"2018-03-31",64
"2018-04-01",88
"2018-04-02",76
"2018-04-03",66
"2018-04-04",60
"2018-04-05",49
"2018-04-06",51
"2018-04-07",59
"2018-04-08",77
"2018-04-09",71
"2018-04-10",62
"2018-04-11",64
"2018-04-12",55
"2018-04-13",53
"2018-04-14",57
"2018-04-15",79
"2018-04-16",75
"2018-04-17",65
"2018-04-18",64
"2018-04-19",55
