네이버 데이터랩 쇼핑인사이트 > 검색어 통계
조회분야
가구/인테리어
조회기간 : 2017.08.01. ~ 2018.04.19. 일간
기기별 : 전체
성별 : 전체
연령별 : 전체

"날짜","침구세트"
"2017-08-01",33
"2017-08-02",42
"2017-08-03",37
"2017-08-04",31
"2017-08-05",35
"2017-08-06",39
"2017-08-07",50
"2017-08-08",45
"2017-08-09",40
"2017-08-10",41
"2017-08-11",38
"2017-08-12",34
"2017-08-13",54
"2017-08-14",44
"2017-08-15",67
"2017-08-16",62
"2017-08-17",65
"2017-08-18",66
"2017-08-19",48
"2017-08-20",76
"2017-08-21",78
"2017-08-22",82
"2017-08-23",66
"2017-08-24",60
"2017-08-25",47
"2017-08-26",56
"2017-08-27",71
"2017-08-28",70
"2017-08-29",78
"2017-08-30",82
"2017-08-31",76
"2017-09-01",70
"2017-09-02",62
"2017-09-03",64
"2017-09-04",67
"2017-09-05",69
"2017-09-06",67
"2017-09-07",66
"2017-09-08",50
"2017-09-09",46
"2017-09-10",65
"2017-09-11",78
"2017-09-12",84
"2017-09-13",56
"2017-09-14",49
"2017-09-15",47
"2017-09-16",54
"2017-09-17",68
"2017-09-18",76
"2017-09-19",70
"2017-09-20",60
"2017-09-21",61
"2017-09-22",45
"2017-09-23",49
"2017-09-24",72
"2017-09-25",68
"2017-09-26",55
"2017-09-27",66
"2017-09-28",47
"2017-09-29",36
"2017-09-30",38
"2017-10-01",62
"2017-10-02",60
"2017-10-03",63
"2017-10-04",50
"2017-10-05",59
"2017-10-06",57
"2017-10-07",64
"2017-10-08",78
"2017-10-09",96
"2017-10-10",88
"2017-10-11",71
"2017-10-12",75
"2017-10-13",55
"2017-10-14",59
"2017-10-15",75
"2017-10-16",87
"2017-10-17",64
"2017-10-18",60
"2017-10-19",63
"2017-10-20",57
"2017-10-21",42
"2017-10-22",60
"2017-10-23",67
"2017-10-24",61
"2017-10-25",67
"2017-10-26",46
"2017-10-27",44
"2017-10-28",46
"2017-10-29",57
"2017-10-30",62
"2017-10-31",51
"2017-11-01",67
"2017-11-02",52
"2017-11-03",37
"2017-11-04",41
"2017-11-05",61
"2017-11-06",61
"2017-11-07",53
"2017-11-08",54
"2017-11-09",48
"2017-11-10",47
"2017-11-11",41
"2017-11-12",61
"2017-11-13",57
"2017-11-14",52
"2017-11-15",46
"2017-11-16",56
"2017-11-17",43
"2017-11-18",40
"2017-11-19",58
"2017-11-20",56
"2017-11-21",57
"2017-11-22",39
"2017-11-23",43
"2017-11-24",33
"2017-11-25",36
"2017-11-26",57
"2017-11-27",52
"2017-11-28",42
"2017-11-29",42
"2017-11-30",40
"2017-12-01",37
"2017-12-02",32
"2017-12-03",62
"2017-12-04",58
"2017-12-05",43
"2017-12-06",38
"2017-12-07",43
"2017-12-08",35
"2017-12-09",35
"2017-12-10",55
"2017-12-11",48
"2017-12-12",38
"2017-12-13",40
"2017-12-14",43
"2017-12-15",36
"2017-12-16",33
"2017-12-17",46
"2017-12-18",42
"2017-12-19",44
"2017-12-20",46
"2017-12-21",38
"2017-12-22",37
"2017-12-23",36
"2017-12-24",34
"2017-12-25",40
"2017-12-26",44
"2017-12-27",44
"2017-12-28",41
"2017-12-29",33
"2017-12-30",39
"2017-12-31",42
"2018-01-01",48
"2018-01-02",48
"2018-01-03",51
"2018-01-04",47
"2018-01-05",36
"2018-01-06",44
"2018-01-07",63
"2018-01-08",61
"2018-01-09",51
"2018-01-10",48
"2018-01-11",52
"2018-01-12",60
"2018-01-13",41
"2018-01-14",60
"2018-01-15",62
"2018-01-16",67
"2018-01-17",60
"2018-01-18",48
"2018-01-19",56
"2018-01-20",57
"2018-01-21",75
"2018-01-22",60
"2018-01-23",73
"2018-01-24",72
"2018-01-25",62
"2018-01-26",48
"2018-01-27",64
"2018-01-28",76
"2018-01-29",73
"2018-01-30",72
"2018-01-31",71
"2018-02-01",71
"2018-02-02",64
"2018-02-03",64
"2018-02-04",90
"2018-02-05",74
"2018-02-06",81
"2018-02-07",69
"2018-02-08",61
"2018-02-09",61
"2018-02-10",80
"2018-02-11",83
"2018-02-12",70
"2018-02-13",66
"2018-02-14",54
"2018-02-15",59
"2018-02-16",65
"2018-02-17",71
"2018-02-18",92
"2018-02-19",83
"2018-02-20",75
"2018-02-21",89
"2018-02-22",74
"2018-02-23",78
"2018-02-24",89
"2018-02-25",100
"2018-02-26",90
"2018-02-27",90
"2018-02-28",71
"2018-03-01",83
"2018-03-02",71
"2018-03-03",74
"2018-03-04",89
"2018-03-05",69
"2018-03-06",64
"2018-03-07",73
"2018-03-08",68
"2018-03-09",61
"2018-03-10",60
"2018-03-11",95
"2018-03-12",88
"2018-03-13",92
"2018-03-14",70
"2018-03-15",71
"2018-03-16",54
"2018-03-17",56
"2018-03-18",89
"2018-03-19",89
"2018-03-20",81
"2018-03-21",73
"2018-03-22",72
"2018-03-23",61
"2018-03-24",69
"2018-03-25",91
"2018-03-26",74
"2018-03-27",76
"2018-03-28",75
"2018-03-29",64
"2018-03-30",55
"2018-03-31",60
"2018-04-01",74
"2018-04-02",85
"2018-04-03",80
"2018-04-04",82
"2018-04-05",77
"2018-04-06",63
"2018-04-07",64
"2018-04-08",84
"2018-04-09",77
"2018-04-10",65
"2018-04-11",63
"2018-04-12",52
"2018-04-13",49
"2018-04-14",58
"2018-04-15",68
"2018-04-16",82
"2018-04-17",77
"2018-04-18",65
"2018-04-19",53
