네이버 데이터랩 쇼핑인사이트 > 검색어 통계
조회분야
가구/인테리어
조회기간 : 2017.08.01. ~ 2018.04.19. 일간
기기별 : 전체
성별 : 전체
연령별 : 전체

"날짜","커텐"
"2017-08-01",29
"2017-08-02",32
"2017-08-03",34
"2017-08-04",30
"2017-08-05",32
"2017-08-06",37
"2017-08-07",36
"2017-08-08",36
"2017-08-09",39
"2017-08-10",38
"2017-08-11",34
"2017-08-12",35
"2017-08-13",36
"2017-08-14",35
"2017-08-15",44
"2017-08-16",38
"2017-08-17",40
"2017-08-18",32
"2017-08-19",30
"2017-08-20",40
"2017-08-21",43
"2017-08-22",37
"2017-08-23",34
"2017-08-24",35
"2017-08-25",31
"2017-08-26",38
"2017-08-27",46
"2017-08-28",39
"2017-08-29",39
"2017-08-30",41
"2017-08-31",42
"2017-09-01",39
"2017-09-02",41
"2017-09-03",53
"2017-09-04",46
"2017-09-05",43
"2017-09-06",47
"2017-09-07",38
"2017-09-08",34
"2017-09-09",35
"2017-09-10",43
"2017-09-11",52
"2017-09-12",44
"2017-09-13",47
"2017-09-14",41
"2017-09-15",32
"2017-09-16",39
"2017-09-17",55
"2017-09-18",48
"2017-09-19",46
"2017-09-20",43
"2017-09-21",43
"2017-09-22",41
"2017-09-23",36
"2017-09-24",49
"2017-09-25",43
"2017-09-26",45
"2017-09-27",35
"2017-09-28",27
"2017-09-29",37
"2017-09-30",33
"2017-10-01",43
"2017-10-02",32
"2017-10-03",31
"2017-10-04",32
"2017-10-05",37
"2017-10-06",47
"2017-10-07",43
"2017-10-08",50
"2017-10-09",64
"2017-10-10",45
"2017-10-11",45
"2017-10-12",50
"2017-10-13",44
"2017-10-14",51
"2017-10-15",60
"2017-10-16",70
"2017-10-17",55
"2017-10-18",50
"2017-10-19",43
"2017-10-20",41
"2017-10-21",44
"2017-10-22",57
"2017-10-23",56
"2017-10-24",45
"2017-10-25",50
"2017-10-26",57
"2017-10-27",42
"2017-10-28",42
"2017-10-29",69
"2017-10-30",74
"2017-10-31",67
"2017-11-01",66
"2017-11-02",58
"2017-11-03",52
"2017-11-04",60
"2017-11-05",79
"2017-11-06",76
"2017-11-07",77
"2017-11-08",60
"2017-11-09",72
"2017-11-10",61
"2017-11-11",56
"2017-11-12",74
"2017-11-13",76
"2017-11-14",71
"2017-11-15",73
"2017-11-16",66
"2017-11-17",62
"2017-11-18",76
"2017-11-19",100
"2017-11-20",88
"2017-11-21",94
"2017-11-22",74
"2017-11-23",65
"2017-11-24",56
"2017-11-25",64
"2017-11-26",78
"2017-11-27",74
"2017-11-28",62
"2017-11-29",61
"2017-11-30",63
"2017-12-01",62
"2017-12-02",70
"2017-12-03",71
"2017-12-04",89
"2017-12-05",85
"2017-12-06",80
"2017-12-07",71
"2017-12-08",62
"2017-12-09",58
"2017-12-10",75
"2017-12-11",78
"2017-12-12",87
"2017-12-13",87
"2017-12-14",80
"2017-12-15",58
"2017-12-16",62
"2017-12-17",86
"2017-12-18",67
"2017-12-19",58
"2017-12-20",61
"2017-12-21",53
"2017-12-22",45
"2017-12-23",45
"2017-12-24",58
"2017-12-25",71
"2017-12-26",58
"2017-12-27",66
"2017-12-28",61
"2017-12-29",54
"2017-12-30",50
"2017-12-31",60
"2018-01-01",61
"2018-01-02",66
"2018-01-03",70
"2018-01-04",63
"2018-01-05",56
"2018-01-06",71
"2018-01-07",75
"2018-01-08",72
"2018-01-09",74
"2018-01-10",69
"2018-01-11",60
"2018-01-12",67
"2018-01-13",61
"2018-01-14",79
"2018-01-15",72
"2018-01-16",66
"2018-01-17",67
"2018-01-18",55
"2018-01-19",53
"2018-01-20",61
"2018-01-21",68
"2018-01-22",79
"2018-01-23",72
"2018-01-24",73
"2018-01-25",62
"2018-01-26",66
"2018-01-27",67
"2018-01-28",79
"2018-01-29",63
"2018-01-30",66
"2018-01-31",66
"2018-02-01",64
"2018-02-02",48
"2018-02-03",61
"2018-02-04",78
"2018-02-05",79
"2018-02-06",74
"2018-02-07",52
"2018-02-08",55
"2018-02-09",50
"2018-02-10",40
"2018-02-11",60
"2018-02-12",44
"2018-02-13",43
"2018-02-14",43
"2018-02-15",36
"2018-02-16",39
"2018-02-17",53
"2018-02-18",68
"2018-02-19",65
"2018-02-20",53
"2018-02-21",62
"2018-02-22",46
"2018-02-23",50
"2018-02-24",54
"2018-02-25",75
"2018-02-26",72
"2018-02-27",73
"2018-02-28",56
"2018-03-01",85
"2018-03-02",60
"2018-03-03",56
"2018-03-04",69
"2018-03-05",56
"2018-03-06",67
"2018-03-07",54
"2018-03-08",52
"2018-03-09",47
"2018-03-10",57
"2018-03-11",83
"2018-03-12",71
"2018-03-13",62
"2018-03-14",55
"2018-03-15",54
"2018-03-16",52
"2018-03-17",56
"2018-03-18",65
"2018-03-19",59
"2018-03-20",71
"2018-03-21",66
"2018-03-22",57
"2018-03-23",51
"2018-03-24",54
"2018-03-25",67
"2018-03-26",64
"2018-03-27",63
"2018-03-28",52
"2018-03-29",55
"2018-03-30",50
"2018-03-31",56
"2018-04-01",69
"2018-04-02",67
"2018-04-03",59
"2018-04-04",58
"2018-04-05",61
"2018-04-06",46
"2018-04-07",58
"2018-04-08",71
"2018-04-09",65
"2018-04-10",61
"2018-04-11",60
"2018-04-12",53
"2018-04-13",43
"2018-04-14",47
"2018-04-15",69
"2018-04-16",61
"2018-04-17",58
"2018-04-18",47
"2018-04-19",50
