네이버 데이터랩 쇼핑인사이트 > 검색어 통계
조회분야
가구/인테리어
조회기간 : 2017.08.01. ~ 2018.04.19. 일간
기기별 : 전체
성별 : 전체
연령별 : 전체

"날짜","6인용식탁"
"2017-08-01",36
"2017-08-02",32
"2017-08-03",42
"2017-08-04",30
"2017-08-05",36
"2017-08-06",45
"2017-08-07",40
"2017-08-08",44
"2017-08-09",45
"2017-08-10",36
"2017-08-11",38
"2017-08-12",34
"2017-08-13",53
"2017-08-14",43
"2017-08-15",56
"2017-08-16",49
"2017-08-17",38
"2017-08-18",30
"2017-08-19",44
"2017-08-20",51
"2017-08-21",47
"2017-08-22",38
"2017-08-23",41
"2017-08-24",39
"2017-08-25",31
"2017-08-26",36
"2017-08-27",51
"2017-08-28",41
"2017-08-29",41
"2017-08-30",41
"2017-08-31",37
"2017-09-01",40
"2017-09-02",52
"2017-09-03",66
"2017-09-04",57
"2017-09-05",51
"2017-09-06",48
"2017-09-07",56
"2017-09-08",53
"2017-09-09",60
"2017-09-10",83
"2017-09-11",62
"2017-09-12",57
"2017-09-13",48
"2017-09-14",47
"2017-09-15",41
"2017-09-16",51
"2017-09-17",75
"2017-09-18",57
"2017-09-19",52
"2017-09-20",44
"2017-09-21",46
"2017-09-22",46
"2017-09-23",52
"2017-09-24",67
"2017-09-25",49
"2017-09-26",40
"2017-09-27",36
"2017-09-28",38
"2017-09-29",24
"2017-09-30",28
"2017-10-01",47
"2017-10-02",38
"2017-10-03",30
"2017-10-04",28
"2017-10-05",33
"2017-10-06",40
"2017-10-07",50
"2017-10-08",46
"2017-10-09",53
"2017-10-10",44
"2017-10-11",33
"2017-10-12",36
"2017-10-13",35
"2017-10-14",36
"2017-10-15",48
"2017-10-16",38
"2017-10-17",35
"2017-10-18",33
"2017-10-19",34
"2017-10-20",28
"2017-10-21",39
"2017-10-22",57
"2017-10-23",36
"2017-10-24",43
"2017-10-25",34
"2017-10-26",33
"2017-10-27",35
"2017-10-28",40
"2017-10-29",56
"2017-10-30",48
"2017-10-31",38
"2017-11-01",33
"2017-11-02",38
"2017-11-03",41
"2017-11-04",56
"2017-11-05",53
"2017-11-06",45
"2017-11-07",37
"2017-11-08",38
"2017-11-09",50
"2017-11-10",35
"2017-11-11",42
"2017-11-12",62
"2017-11-13",46
"2017-11-14",37
"2017-11-15",37
"2017-11-16",31
"2017-11-17",34
"2017-11-18",41
"2017-11-19",58
"2017-11-20",41
"2017-11-21",40
"2017-11-22",35
"2017-11-23",29
"2017-11-24",32
"2017-11-25",37
"2017-11-26",49
"2017-11-27",54
"2017-11-28",42
"2017-11-29",38
"2017-11-30",36
"2017-12-01",34
"2017-12-02",47
"2017-12-03",49
"2017-12-04",46
"2017-12-05",43
"2017-12-06",41
"2017-12-07",34
"2017-12-08",31
"2017-12-09",37
"2017-12-10",62
"2017-12-11",48
"2017-12-12",31
"2017-12-13",37
"2017-12-14",38
"2017-12-15",35
"2017-12-16",28
"2017-12-17",46
"2017-12-18",39
"2017-12-19",32
"2017-12-20",28
"2017-12-21",28
"2017-12-22",25
"2017-12-23",36
"2017-12-24",39
"2017-12-25",48
"2017-12-26",38
"2017-12-27",37
"2017-12-28",39
"2017-12-29",35
"2017-12-30",48
"2017-12-31",41
"2018-01-01",73
"2018-01-02",57
"2018-01-03",51
"2018-01-04",51
"2018-01-05",49
"2018-01-06",60
"2018-01-07",87
"2018-01-08",69
"2018-01-09",64
"2018-01-10",61
"2018-01-11",51
"2018-01-12",50
"2018-01-13",65
"2018-01-14",80
"2018-01-15",74
"2018-01-16",71
"2018-01-17",63
"2018-01-18",63
"2018-01-19",61
"2018-01-20",79
"2018-01-21",96
"2018-01-22",76
"2018-01-23",61
"2018-01-24",67
"2018-01-25",64
"2018-01-26",53
"2018-01-27",72
"2018-01-28",100
"2018-01-29",80
"2018-01-30",69
"2018-01-31",63
"2018-02-01",46
"2018-02-02",35
"2018-02-03",49
"2018-02-04",71
"2018-02-05",56
"2018-02-06",45
"2018-02-07",44
"2018-02-08",34
"2018-02-09",35
"2018-02-10",50
"2018-02-11",65
"2018-02-12",46
"2018-02-13",42
"2018-02-14",42
"2018-02-15",31
"2018-02-16",45
"2018-02-17",61
"2018-02-18",81
"2018-02-19",65
"2018-02-20",56
"2018-02-21",58
"2018-02-22",56
"2018-02-23",58
"2018-02-24",67
"2018-02-25",85
"2018-02-26",70
"2018-02-27",70
"2018-02-28",57
"2018-03-01",91
"2018-03-02",58
"2018-03-03",69
"2018-03-04",85
"2018-03-05",55
"2018-03-06",52
"2018-03-07",57
"2018-03-08",50
"2018-03-09",49
"2018-03-10",63
"2018-03-11",83
"2018-03-12",59
"2018-03-13",59
"2018-03-14",47
"2018-03-15",59
"2018-03-16",35
"2018-03-17",42
"2018-03-18",66
"2018-03-19",52
"2018-03-20",46
"2018-03-21",44
"2018-03-22",40
"2018-03-23",38
"2018-03-24",58
"2018-03-25",59
"2018-03-26",51
"2018-03-27",42
"2018-03-28",44
"2018-03-29",39
"2018-03-30",42
"2018-03-31",40
"2018-04-01",50
"2018-04-02",45
"2018-04-03",43
"2018-04-04",41
"2018-04-05",43
"2018-04-06",41
"2018-04-07",44
"2018-04-08",53
"2018-04-09",43
"2018-04-10",38
"2018-04-11",42
"2018-04-12",37
"2018-04-13",35
"2018-04-14",52
"2018-04-15",58
"2018-04-16",41
"2018-04-17",31
"2018-04-18",29
"2018-04-19",34
