네이버 데이터랩 쇼핑인사이트 > 검색어 통계
조회분야
가구/인테리어
조회기간 : 2017.08.01. ~ 2018.04.19. 일간
기기별 : 전체
성별 : 전체
연령별 : 전체

"날짜","6인용식탁세트"
"2017-08-01",27
"2017-08-02",24
"2017-08-03",24
"2017-08-04",23
"2017-08-05",30
"2017-08-06",35
"2017-08-07",30
"2017-08-08",28
"2017-08-09",39
"2017-08-10",29
"2017-08-11",26
"2017-08-12",28
"2017-08-13",37
"2017-08-14",34
"2017-08-15",32
"2017-08-16",31
"2017-08-17",29
"2017-08-18",29
"2017-08-19",33
"2017-08-20",44
"2017-08-21",42
"2017-08-22",37
"2017-08-23",33
"2017-08-24",23
"2017-08-25",29
"2017-08-26",34
"2017-08-27",34
"2017-08-28",27
"2017-08-29",24
"2017-08-30",27
"2017-08-31",30
"2017-09-01",22
"2017-09-02",26
"2017-09-03",30
"2017-09-04",28
"2017-09-05",23
"2017-09-06",24
"2017-09-07",30
"2017-09-08",22
"2017-09-09",27
"2017-09-10",34
"2017-09-11",29
"2017-09-12",29
"2017-09-13",24
"2017-09-14",30
"2017-09-15",24
"2017-09-16",28
"2017-09-17",35
"2017-09-18",29
"2017-09-19",22
"2017-09-20",24
"2017-09-21",21
"2017-09-22",23
"2017-09-23",27
"2017-09-24",29
"2017-09-25",25
"2017-09-26",24
"2017-09-27",24
"2017-09-28",19
"2017-09-29",18
"2017-09-30",23
"2017-10-01",32
"2017-10-02",35
"2017-10-03",29
"2017-10-04",31
"2017-10-05",28
"2017-10-06",36
"2017-10-07",43
"2017-10-08",44
"2017-10-09",50
"2017-10-10",33
"2017-10-11",29
"2017-10-12",26
"2017-10-13",24
"2017-10-14",30
"2017-10-15",43
"2017-10-16",35
"2017-10-17",30
"2017-10-18",36
"2017-10-19",31
"2017-10-20",34
"2017-10-21",39
"2017-10-22",45
"2017-10-23",44
"2017-10-24",27
"2017-10-25",33
"2017-10-26",33
"2017-10-27",33
"2017-10-28",39
"2017-10-29",60
"2017-10-30",48
"2017-10-31",36
"2017-11-01",33
"2017-11-02",35
"2017-11-03",39
"2017-11-04",52
"2017-11-05",54
"2017-11-06",45
"2017-11-07",38
"2017-11-08",42
"2017-11-09",61
"2017-11-10",38
"2017-11-11",47
"2017-11-12",57
"2017-11-13",39
"2017-11-14",39
"2017-11-15",38
"2017-11-16",39
"2017-11-17",44
"2017-11-18",49
"2017-11-19",60
"2017-11-20",48
"2017-11-21",36
"2017-11-22",36
"2017-11-23",45
"2017-11-24",35
"2017-11-25",33
"2017-11-26",57
"2017-11-27",47
"2017-11-28",42
"2017-11-29",38
"2017-11-30",33
"2017-12-01",36
"2017-12-02",40
"2017-12-03",57
"2017-12-04",51
"2017-12-05",46
"2017-12-06",34
"2017-12-07",31
"2017-12-08",34
"2017-12-09",50
"2017-12-10",62
"2017-12-11",49
"2017-12-12",35
"2017-12-13",35
"2017-12-14",32
"2017-12-15",30
"2017-12-16",49
"2017-12-17",48
"2017-12-18",53
"2017-12-19",32
"2017-12-20",35
"2017-12-21",28
"2017-12-22",32
"2017-12-23",43
"2017-12-24",64
"2017-12-25",66
"2017-12-26",71
"2017-12-27",57
"2017-12-28",54
"2017-12-29",50
"2017-12-30",61
"2017-12-31",67
"2018-01-01",65
"2018-01-02",59
"2018-01-03",53
"2018-01-04",39
"2018-01-05",53
"2018-01-06",57
"2018-01-07",96
"2018-01-08",64
"2018-01-09",61
"2018-01-10",49
"2018-01-11",49
"2018-01-12",49
"2018-01-13",56
"2018-01-14",75
"2018-01-15",66
"2018-01-16",63
"2018-01-17",52
"2018-01-18",55
"2018-01-19",47
"2018-01-20",65
"2018-01-21",88
"2018-01-22",60
"2018-01-23",57
"2018-01-24",56
"2018-01-25",48
"2018-01-26",44
"2018-01-27",64
"2018-01-28",85
"2018-01-29",70
"2018-01-30",48
"2018-01-31",52
"2018-02-01",49
"2018-02-02",39
"2018-02-03",62
"2018-02-04",98
"2018-02-05",65
"2018-02-06",63
"2018-02-07",52
"2018-02-08",57
"2018-02-09",40
"2018-02-10",56
"2018-02-11",76
"2018-02-12",65
"2018-02-13",48
"2018-02-14",41
"2018-02-15",42
"2018-02-16",40
"2018-02-17",59
"2018-02-18",69
"2018-02-19",57
"2018-02-20",48
"2018-02-21",41
"2018-02-22",42
"2018-02-23",41
"2018-02-24",49
"2018-02-25",75
"2018-02-26",59
"2018-02-27",56
"2018-02-28",56
"2018-03-01",100
"2018-03-02",64
"2018-03-03",73
"2018-03-04",95
"2018-03-05",68
"2018-03-06",53
"2018-03-07",58
"2018-03-08",56
"2018-03-09",53
"2018-03-10",61
"2018-03-11",82
"2018-03-12",67
"2018-03-13",63
"2018-03-14",58
"2018-03-15",50
"2018-03-16",47
"2018-03-17",64
"2018-03-18",89
"2018-03-19",72
"2018-03-20",60
"2018-03-21",64
"2018-03-22",58
"2018-03-23",46
"2018-03-24",68
"2018-03-25",86
"2018-03-26",61
"2018-03-27",61
"2018-03-28",60
"2018-03-29",52
"2018-03-30",52
"2018-03-31",54
"2018-04-01",77
"2018-04-02",55
"2018-04-03",53
"2018-04-04",51
"2018-04-05",53
"2018-04-06",52
"2018-04-07",81
"2018-04-08",86
"2018-04-09",69
"2018-04-10",63
"2018-04-11",56
"2018-04-12",58
"2018-04-13",62
"2018-04-14",88
"2018-04-15",77
"2018-04-16",65
"2018-04-17",57
"2018-04-18",62
"2018-04-19",57
