네이버 데이터랩 쇼핑인사이트 > 검색어 통계
조회분야
가구/인테리어
조회기간 : 2017.08.01. ~ 2018.04.19. 일간
기기별 : 전체
성별 : 전체
연령별 : 전체

"날짜","렌지대"
"2017-08-01",46
"2017-08-02",45
"2017-08-03",47
"2017-08-04",41
"2017-08-05",46
"2017-08-06",58
"2017-08-07",66
"2017-08-08",47
"2017-08-09",54
"2017-08-10",61
"2017-08-11",38
"2017-08-12",40
"2017-08-13",50
"2017-08-14",60
"2017-08-15",83
"2017-08-16",66
"2017-08-17",54
"2017-08-18",44
"2017-08-19",48
"2017-08-20",62
"2017-08-21",62
"2017-08-22",59
"2017-08-23",50
"2017-08-24",49
"2017-08-25",46
"2017-08-26",48
"2017-08-27",61
"2017-08-28",52
"2017-08-29",55
"2017-08-30",52
"2017-08-31",55
"2017-09-01",43
"2017-09-02",50
"2017-09-03",72
"2017-09-04",65
"2017-09-05",57
"2017-09-06",62
"2017-09-07",53
"2017-09-08",38
"2017-09-09",46
"2017-09-10",59
"2017-09-11",59
"2017-09-12",56
"2017-09-13",51
"2017-09-14",48
"2017-09-15",40
"2017-09-16",55
"2017-09-17",69
"2017-09-18",61
"2017-09-19",54
"2017-09-20",49
"2017-09-21",41
"2017-09-22",44
"2017-09-23",39
"2017-09-24",54
"2017-09-25",54
"2017-09-26",39
"2017-09-27",57
"2017-09-28",42
"2017-09-29",33
"2017-09-30",37
"2017-10-01",41
"2017-10-02",48
"2017-10-03",37
"2017-10-04",39
"2017-10-05",45
"2017-10-06",54
"2017-10-07",61
"2017-10-08",71
"2017-10-09",75
"2017-10-10",70
"2017-10-11",72
"2017-10-12",56
"2017-10-13",42
"2017-10-14",53
"2017-10-15",72
"2017-10-16",67
"2017-10-17",60
"2017-10-18",53
"2017-10-19",55
"2017-10-20",66
"2017-10-21",61
"2017-10-22",69
"2017-10-23",71
"2017-10-24",76
"2017-10-25",58
"2017-10-26",48
"2017-10-27",49
"2017-10-28",57
"2017-10-29",87
"2017-10-30",66
"2017-10-31",64
"2017-11-01",72
"2017-11-02",61
"2017-11-03",50
"2017-11-04",57
"2017-11-05",66
"2017-11-06",77
"2017-11-07",70
"2017-11-08",62
"2017-11-09",71
"2017-11-10",57
"2017-11-11",47
"2017-11-12",72
"2017-11-13",73
"2017-11-14",69
"2017-11-15",54
"2017-11-16",57
"2017-11-17",59
"2017-11-18",52
"2017-11-19",59
"2017-11-20",59
"2017-11-21",46
"2017-11-22",59
"2017-11-23",40
"2017-11-24",41
"2017-11-25",49
"2017-11-26",65
"2017-11-27",59
"2017-11-28",74
"2017-11-29",52
"2017-11-30",51
"2017-12-01",44
"2017-12-02",52
"2017-12-03",65
"2017-12-04",76
"2017-12-05",47
"2017-12-06",55
"2017-12-07",50
"2017-12-08",52
"2017-12-09",55
"2017-12-10",66
"2017-12-11",62
"2017-12-12",58
"2017-12-13",46
"2017-12-14",54
"2017-12-15",40
"2017-12-16",41
"2017-12-17",63
"2017-12-18",61
"2017-12-19",58
"2017-12-20",47
"2017-12-21",39
"2017-12-22",36
"2017-12-23",40
"2017-12-24",39
"2017-12-25",55
"2017-12-26",73
"2017-12-27",67
"2017-12-28",61
"2017-12-29",55
"2017-12-30",46
"2017-12-31",58
"2018-01-01",58
"2018-01-02",77
"2018-01-03",67
"2018-01-04",67
"2018-01-05",62
"2018-01-06",66
"2018-01-07",71
"2018-01-08",78
"2018-01-09",72
"2018-01-10",67
"2018-01-11",63
"2018-01-12",56
"2018-01-13",58
"2018-01-14",83
"2018-01-15",66
"2018-01-16",76
"2018-01-17",70
"2018-01-18",59
"2018-01-19",53
"2018-01-20",56
"2018-01-21",70
"2018-01-22",75
"2018-01-23",85
"2018-01-24",57
"2018-01-25",66
"2018-01-26",57
"2018-01-27",56
"2018-01-28",76
"2018-01-29",84
"2018-01-30",67
"2018-01-31",59
"2018-02-01",56
"2018-02-02",44
"2018-02-03",60
"2018-02-04",81
"2018-02-05",62
"2018-02-06",59
"2018-02-07",59
"2018-02-08",49
"2018-02-09",54
"2018-02-10",52
"2018-02-11",63
"2018-02-12",70
"2018-02-13",50
"2018-02-14",39
"2018-02-15",33
"2018-02-16",37
"2018-02-17",61
"2018-02-18",82
"2018-02-19",77
"2018-02-20",79
"2018-02-21",78
"2018-02-22",66
"2018-02-23",53
"2018-02-24",65
"2018-02-25",88
"2018-02-26",89
"2018-02-27",69
"2018-02-28",62
"2018-03-01",80
"2018-03-02",66
"2018-03-03",74
"2018-03-04",100
"2018-03-05",70
"2018-03-06",70
"2018-03-07",63
"2018-03-08",63
"2018-03-09",59
"2018-03-10",65
"2018-03-11",87
"2018-03-12",83
"2018-03-13",66
"2018-03-14",61
"2018-03-15",62
"2018-03-16",62
"2018-03-17",54
"2018-03-18",74
"2018-03-19",84
"2018-03-20",65
"2018-03-21",61
"2018-03-22",55
"2018-03-23",48
"2018-03-24",53
"2018-03-25",77
"2018-03-26",80
"2018-03-27",57
"2018-03-28",67
"2018-03-29",49
"2018-03-30",43
"2018-03-31",43
"2018-04-01",75
"2018-04-02",70
"2018-04-03",74
"2018-04-04",54
"2018-04-05",60
"2018-04-06",46
"2018-04-07",62
"2018-04-08",74
"2018-04-09",70
"2018-04-10",60
"2018-04-11",68
"2018-04-12",54
"2018-04-13",46
"2018-04-14",51
"2018-04-15",62
"2018-04-16",55
"2018-04-17",61
"2018-04-18",56
"2018-04-19",49
