네이버 데이터랩 쇼핑인사이트 > 검색어 통계
조회분야
가구/인테리어
조회기간 : 2017.08.01. ~ 2018.04.19. 일간
기기별 : 전체
성별 : 전체
연령별 : 전체

"날짜","장롱"
"2017-08-01",42
"2017-08-02",43
"2017-08-03",45
"2017-08-04",43
"2017-08-05",46
"2017-08-06",57
"2017-08-07",47
"2017-08-08",49
"2017-08-09",53
"2017-08-10",41
"2017-08-11",38
"2017-08-12",46
"2017-08-13",56
"2017-08-14",47
"2017-08-15",69
"2017-08-16",52
"2017-08-17",47
"2017-08-18",45
"2017-08-19",39
"2017-08-20",65
"2017-08-21",52
"2017-08-22",48
"2017-08-23",52
"2017-08-24",44
"2017-08-25",41
"2017-08-26",54
"2017-08-27",57
"2017-08-28",41
"2017-08-29",47
"2017-08-30",48
"2017-08-31",46
"2017-09-01",44
"2017-09-02",50
"2017-09-03",72
"2017-09-04",56
"2017-09-05",54
"2017-09-06",47
"2017-09-07",45
"2017-09-08",35
"2017-09-09",50
"2017-09-10",61
"2017-09-11",53
"2017-09-12",50
"2017-09-13",46
"2017-09-14",41
"2017-09-15",36
"2017-09-16",47
"2017-09-17",61
"2017-09-18",55
"2017-09-19",43
"2017-09-20",43
"2017-09-21",41
"2017-09-22",40
"2017-09-23",36
"2017-09-24",48
"2017-09-25",52
"2017-09-26",50
"2017-09-27",43
"2017-09-28",36
"2017-09-29",32
"2017-09-30",36
"2017-10-01",48
"2017-10-02",37
"2017-10-03",42
"2017-10-04",37
"2017-10-05",42
"2017-10-06",50
"2017-10-07",49
"2017-10-08",68
"2017-10-09",68
"2017-10-10",61
"2017-10-11",52
"2017-10-12",46
"2017-10-13",41
"2017-10-14",47
"2017-10-15",62
"2017-10-16",53
"2017-10-17",52
"2017-10-18",50
"2017-10-19",46
"2017-10-20",47
"2017-10-21",47
"2017-10-22",71
"2017-10-23",64
"2017-10-24",51
"2017-10-25",53
"2017-10-26",65
"2017-10-27",48
"2017-10-28",67
"2017-10-29",83
"2017-10-30",70
"2017-10-31",53
"2017-11-01",56
"2017-11-02",56
"2017-11-03",57
"2017-11-04",65
"2017-11-05",82
"2017-11-06",70
"2017-11-07",64
"2017-11-08",58
"2017-11-09",59
"2017-11-10",44
"2017-11-11",43
"2017-11-12",80
"2017-11-13",67
"2017-11-14",56
"2017-11-15",44
"2017-11-16",47
"2017-11-17",51
"2017-11-18",52
"2017-11-19",72
"2017-11-20",67
"2017-11-21",51
"2017-11-22",57
"2017-11-23",56
"2017-11-24",50
"2017-11-25",55
"2017-11-26",70
"2017-11-27",64
"2017-11-28",64
"2017-11-29",52
"2017-11-30",52
"2017-12-01",43
"2017-12-02",52
"2017-12-03",72
"2017-12-04",58
"2017-12-05",54
"2017-12-06",56
"2017-12-07",51
"2017-12-08",46
"2017-12-09",50
"2017-12-10",75
"2017-12-11",55
"2017-12-12",45
"2017-12-13",48
"2017-12-14",50
"2017-12-15",43
"2017-12-16",48
"2017-12-17",59
"2017-12-18",56
"2017-12-19",47
"2017-12-20",46
"2017-12-21",42
"2017-12-22",39
"2017-12-23",47
"2017-12-24",49
"2017-12-25",59
"2017-12-26",58
"2017-12-27",63
"2017-12-28",47
"2017-12-29",39
"2017-12-30",56
"2017-12-31",49
"2018-01-01",70
"2018-01-02",60
"2018-01-03",55
"2018-01-04",64
"2018-01-05",51
"2018-01-06",50
"2018-01-07",76
"2018-01-08",63
"2018-01-09",51
"2018-01-10",50
"2018-01-11",45
"2018-01-12",47
"2018-01-13",50
"2018-01-14",76
"2018-01-15",64
"2018-01-16",57
"2018-01-17",53
"2018-01-18",48
"2018-01-19",48
"2018-01-20",67
"2018-01-21",79
"2018-01-22",65
"2018-01-23",58
"2018-01-24",58
"2018-01-25",49
"2018-01-26",49
"2018-01-27",61
"2018-01-28",73
"2018-01-29",67
"2018-01-30",73
"2018-01-31",52
"2018-02-01",53
"2018-02-02",49
"2018-02-03",62
"2018-02-04",65
"2018-02-05",64
"2018-02-06",67
"2018-02-07",61
"2018-02-08",46
"2018-02-09",42
"2018-02-10",61
"2018-02-11",74
"2018-02-12",61
"2018-02-13",40
"2018-02-14",42
"2018-02-15",43
"2018-02-16",44
"2018-02-17",62
"2018-02-18",73
"2018-02-19",77
"2018-02-20",65
"2018-02-21",73
"2018-02-22",55
"2018-02-23",47
"2018-02-24",59
"2018-02-25",82
"2018-02-26",67
"2018-02-27",66
"2018-02-28",71
"2018-03-01",94
"2018-03-02",71
"2018-03-03",77
"2018-03-04",98
"2018-03-05",69
"2018-03-06",61
"2018-03-07",72
"2018-03-08",71
"2018-03-09",56
"2018-03-10",84
"2018-03-11",93
"2018-03-12",81
"2018-03-13",68
"2018-03-14",58
"2018-03-15",64
"2018-03-16",57
"2018-03-17",68
"2018-03-18",100
"2018-03-19",78
"2018-03-20",70
"2018-03-21",55
"2018-03-22",76
"2018-03-23",61
"2018-03-24",62
"2018-03-25",72
"2018-03-26",66
"2018-03-27",66
"2018-03-28",61
"2018-03-29",54
"2018-03-30",55
"2018-03-31",63
"2018-04-01",89
"2018-04-02",70
"2018-04-03",64
"2018-04-04",61
"2018-04-05",67
"2018-04-06",53
"2018-04-07",61
"2018-04-08",92
"2018-04-09",70
"2018-04-10",69
"2018-04-11",56
"2018-04-12",52
"2018-04-13",51
"2018-04-14",71
"2018-04-15",87
"2018-04-16",65
"2018-04-17",61
"2018-04-18",62
"2018-04-19",58
