네이버 데이터랩 쇼핑인사이트 > 검색어 통계
조회분야
가구/인테리어
조회기간 : 2017.08.01. ~ 2018.04.19. 일간
기기별 : 전체
성별 : 전체
연령별 : 전체

"날짜","수납장"
"2017-08-01",38
"2017-08-02",46
"2017-08-03",44
"2017-08-04",35
"2017-08-05",36
"2017-08-06",46
"2017-08-07",52
"2017-08-08",43
"2017-08-09",56
"2017-08-10",51
"2017-08-11",45
"2017-08-12",41
"2017-08-13",52
"2017-08-14",61
"2017-08-15",69
"2017-08-16",53
"2017-08-17",48
"2017-08-18",45
"2017-08-19",45
"2017-08-20",60
"2017-08-21",55
"2017-08-22",59
"2017-08-23",53
"2017-08-24",48
"2017-08-25",45
"2017-08-26",45
"2017-08-27",56
"2017-08-28",49
"2017-08-29",51
"2017-08-30",51
"2017-08-31",49
"2017-09-01",46
"2017-09-02",49
"2017-09-03",59
"2017-09-04",59
"2017-09-05",53
"2017-09-06",56
"2017-09-07",47
"2017-09-08",43
"2017-09-09",41
"2017-09-10",59
"2017-09-11",61
"2017-09-12",54
"2017-09-13",48
"2017-09-14",43
"2017-09-15",40
"2017-09-16",45
"2017-09-17",63
"2017-09-18",56
"2017-09-19",55
"2017-09-20",47
"2017-09-21",39
"2017-09-22",39
"2017-09-23",41
"2017-09-24",61
"2017-09-25",57
"2017-09-26",47
"2017-09-27",46
"2017-09-28",42
"2017-09-29",34
"2017-09-30",41
"2017-10-01",52
"2017-10-02",44
"2017-10-03",38
"2017-10-04",37
"2017-10-05",46
"2017-10-06",57
"2017-10-07",61
"2017-10-08",72
"2017-10-09",80
"2017-10-10",70
"2017-10-11",64
"2017-10-12",61
"2017-10-13",52
"2017-10-14",54
"2017-10-15",65
"2017-10-16",63
"2017-10-17",56
"2017-10-18",61
"2017-10-19",62
"2017-10-20",50
"2017-10-21",52
"2017-10-22",70
"2017-10-23",68
"2017-10-24",68
"2017-10-25",58
"2017-10-26",65
"2017-10-27",55
"2017-10-28",58
"2017-10-29",76
"2017-10-30",67
"2017-10-31",57
"2017-11-01",58
"2017-11-02",61
"2017-11-03",52
"2017-11-04",55
"2017-11-05",71
"2017-11-06",72
"2017-11-07",56
"2017-11-08",68
"2017-11-09",69
"2017-11-10",53
"2017-11-11",56
"2017-11-12",76
"2017-11-13",68
"2017-11-14",65
"2017-11-15",59
"2017-11-16",58
"2017-11-17",53
"2017-11-18",46
"2017-11-19",67
"2017-11-20",68
"2017-11-21",62
"2017-11-22",61
"2017-11-23",56
"2017-11-24",45
"2017-11-25",52
"2017-11-26",76
"2017-11-27",66
"2017-11-28",60
"2017-11-29",50
"2017-11-30",54
"2017-12-01",41
"2017-12-02",52
"2017-12-03",69
"2017-12-04",60
"2017-12-05",64
"2017-12-06",52
"2017-12-07",53
"2017-12-08",40
"2017-12-09",57
"2017-12-10",72
"2017-12-11",65
"2017-12-12",59
"2017-12-13",55
"2017-12-14",51
"2017-12-15",45
"2017-12-16",51
"2017-12-17",64
"2017-12-18",61
"2017-12-19",58
"2017-12-20",55
"2017-12-21",49
"2017-12-22",41
"2017-12-23",46
"2017-12-24",53
"2017-12-25",64
"2017-12-26",63
"2017-12-27",60
"2017-12-28",62
"2017-12-29",50
"2017-12-30",59
"2017-12-31",59
"2018-01-01",72
"2018-01-02",72
"2018-01-03",82
"2018-01-04",74
"2018-01-05",63
"2018-01-06",68
"2018-01-07",78
"2018-01-08",77
"2018-01-09",71
"2018-01-10",70
"2018-01-11",66
"2018-01-12",63
"2018-01-13",62
"2018-01-14",85
"2018-01-15",80
"2018-01-16",76
"2018-01-17",71
"2018-01-18",64
"2018-01-19",61
"2018-01-20",75
"2018-01-21",85
"2018-01-22",83
"2018-01-23",72
"2018-01-24",65
"2018-01-25",72
"2018-01-26",55
"2018-01-27",67
"2018-01-28",87
"2018-01-29",75
"2018-01-30",70
"2018-01-31",69
"2018-02-01",66
"2018-02-02",56
"2018-02-03",60
"2018-02-04",81
"2018-02-05",72
"2018-02-06",68
"2018-02-07",64
"2018-02-08",55
"2018-02-09",53
"2018-02-10",59
"2018-02-11",81
"2018-02-12",67
"2018-02-13",56
"2018-02-14",52
"2018-02-15",53
"2018-02-16",48
"2018-02-17",64
"2018-02-18",88
"2018-02-19",76
"2018-02-20",72
"2018-02-21",65
"2018-02-22",71
"2018-02-23",67
"2018-02-24",70
"2018-02-25",99
"2018-02-26",91
"2018-02-27",83
"2018-02-28",74
"2018-03-01",93
"2018-03-02",74
"2018-03-03",85
"2018-03-04",100
"2018-03-05",89
"2018-03-06",75
"2018-03-07",75
"2018-03-08",83
"2018-03-09",66
"2018-03-10",70
"2018-03-11",85
"2018-03-12",73
"2018-03-13",81
"2018-03-14",67
"2018-03-15",73
"2018-03-16",62
"2018-03-17",72
"2018-03-18",99
"2018-03-19",83
"2018-03-20",75
"2018-03-21",81
"2018-03-22",68
"2018-03-23",60
"2018-03-24",68
"2018-03-25",89
"2018-03-26",80
"2018-03-27",75
"2018-03-28",64
"2018-03-29",64
"2018-03-30",53
"2018-03-31",63
"2018-04-01",75
"2018-04-02",77
"2018-04-03",67
"2018-04-04",67
"2018-04-05",69
"2018-04-06",64
"2018-04-07",59
"2018-04-08",92
"2018-04-09",75
"2018-04-10",67
"2018-04-11",68
"2018-04-12",71
"2018-04-13",59
"2018-04-14",64
"2018-04-15",81
"2018-04-16",79
"2018-04-17",69
"2018-04-18",63
"2018-04-19",62
