네이버 데이터랩 쇼핑인사이트 > 검색어 통계
조회분야
가구/인테리어
조회기간 : 2017.08.01. ~ 2018.04.19. 일간
기기별 : 전체
성별 : 전체
연령별 : 전체

"날짜","스툴"
"2017-08-01",38
"2017-08-02",45
"2017-08-03",51
"2017-08-04",40
"2017-08-05",39
"2017-08-06",56
"2017-08-07",56
"2017-08-08",51
"2017-08-09",50
"2017-08-10",43
"2017-08-11",38
"2017-08-12",30
"2017-08-13",52
"2017-08-14",53
"2017-08-15",51
"2017-08-16",47
"2017-08-17",39
"2017-08-18",49
"2017-08-19",36
"2017-08-20",53
"2017-08-21",56
"2017-08-22",53
"2017-08-23",43
"2017-08-24",40
"2017-08-25",42
"2017-08-26",42
"2017-08-27",48
"2017-08-28",45
"2017-08-29",45
"2017-08-30",41
"2017-08-31",43
"2017-09-01",32
"2017-09-02",35
"2017-09-03",47
"2017-09-04",49
"2017-09-05",50
"2017-09-06",51
"2017-09-07",51
"2017-09-08",40
"2017-09-09",40
"2017-09-10",45
"2017-09-11",57
"2017-09-12",42
"2017-09-13",47
"2017-09-14",40
"2017-09-15",32
"2017-09-16",44
"2017-09-17",57
"2017-09-18",51
"2017-09-19",46
"2017-09-20",52
"2017-09-21",41
"2017-09-22",41
"2017-09-23",33
"2017-09-24",46
"2017-09-25",49
"2017-09-26",44
"2017-09-27",53
"2017-09-28",35
"2017-09-29",32
"2017-09-30",34
"2017-10-01",36
"2017-10-02",40
"2017-10-03",34
"2017-10-04",32
"2017-10-05",33
"2017-10-06",43
"2017-10-07",42
"2017-10-08",57
"2017-10-09",72
"2017-10-10",65
"2017-10-11",60
"2017-10-12",61
"2017-10-13",47
"2017-10-14",37
"2017-10-15",60
"2017-10-16",58
"2017-10-17",57
"2017-10-18",51
"2017-10-19",44
"2017-10-20",47
"2017-10-21",39
"2017-10-22",57
"2017-10-23",52
"2017-10-24",49
"2017-10-25",51
"2017-10-26",50
"2017-10-27",49
"2017-10-28",53
"2017-10-29",71
"2017-10-30",72
"2017-10-31",60
"2017-11-01",60
"2017-11-02",63
"2017-11-03",53
"2017-11-04",58
"2017-11-05",62
"2017-11-06",69
"2017-11-07",65
"2017-11-08",63
"2017-11-09",66
"2017-11-10",39
"2017-11-11",49
"2017-11-12",67
"2017-11-13",73
"2017-11-14",69
"2017-11-15",58
"2017-11-16",54
"2017-11-17",44
"2017-11-18",49
"2017-11-19",67
"2017-11-20",63
"2017-11-21",52
"2017-11-22",62
"2017-11-23",55
"2017-11-24",41
"2017-11-25",58
"2017-11-26",62
"2017-11-27",70
"2017-11-28",62
"2017-11-29",64
"2017-11-30",53
"2017-12-01",54
"2017-12-02",50
"2017-12-03",74
"2017-12-04",80
"2017-12-05",77
"2017-12-06",57
"2017-12-07",57
"2017-12-08",48
"2017-12-09",54
"2017-12-10",65
"2017-12-11",67
"2017-12-12",66
"2017-12-13",56
"2017-12-14",53
"2017-12-15",44
"2017-12-16",58
"2017-12-17",67
"2017-12-18",87
"2017-12-19",66
"2017-12-20",67
"2017-12-21",53
"2017-12-22",58
"2017-12-23",48
"2017-12-24",47
"2017-12-25",53
"2017-12-26",60
"2017-12-27",68
"2017-12-28",71
"2017-12-29",49
"2017-12-30",50
"2017-12-31",58
"2018-01-01",65
"2018-01-02",64
"2018-01-03",69
"2018-01-04",65
"2018-01-05",50
"2018-01-06",54
"2018-01-07",79
"2018-01-08",72
"2018-01-09",63
"2018-01-10",72
"2018-01-11",65
"2018-01-12",73
"2018-01-13",59
"2018-01-14",90
"2018-01-15",69
"2018-01-16",68
"2018-01-17",64
"2018-01-18",67
"2018-01-19",56
"2018-01-20",58
"2018-01-21",88
"2018-01-22",73
"2018-01-23",64
"2018-01-24",65
"2018-01-25",68
"2018-01-26",60
"2018-01-27",63
"2018-01-28",92
"2018-01-29",72
"2018-01-30",67
"2018-01-31",69
"2018-02-01",57
"2018-02-02",47
"2018-02-03",70
"2018-02-04",70
"2018-02-05",83
"2018-02-06",85
"2018-02-07",75
"2018-02-08",64
"2018-02-09",59
"2018-02-10",64
"2018-02-11",78
"2018-02-12",67
"2018-02-13",49
"2018-02-14",54
"2018-02-15",57
"2018-02-16",48
"2018-02-17",61
"2018-02-18",80
"2018-02-19",79
"2018-02-20",73
"2018-02-21",81
"2018-02-22",72
"2018-02-23",57
"2018-02-24",58
"2018-02-25",92
"2018-02-26",96
"2018-02-27",81
"2018-02-28",75
"2018-03-01",94
"2018-03-02",78
"2018-03-03",82
"2018-03-04",99
"2018-03-05",100
"2018-03-06",77
"2018-03-07",71
"2018-03-08",83
"2018-03-09",56
"2018-03-10",67
"2018-03-11",83
"2018-03-12",82
"2018-03-13",88
"2018-03-14",68
"2018-03-15",60
"2018-03-16",58
"2018-03-17",69
"2018-03-18",92
"2018-03-19",83
"2018-03-20",80
"2018-03-21",75
"2018-03-22",67
"2018-03-23",67
"2018-03-24",49
"2018-03-25",81
"2018-03-26",91
"2018-03-27",78
"2018-03-28",70
"2018-03-29",69
"2018-03-30",67
"2018-03-31",57
"2018-04-01",77
"2018-04-02",85
"2018-04-03",78
"2018-04-04",76
"2018-04-05",68
"2018-04-06",63
"2018-04-07",79
"2018-04-08",81
"2018-04-09",83
"2018-04-10",71
"2018-04-11",77
"2018-04-12",68
"2018-04-13",61
"2018-04-14",71
"2018-04-15",96
"2018-04-16",93
"2018-04-17",79
"2018-04-18",76
"2018-04-19",63
