네이버 데이터랩 쇼핑인사이트 > 검색어 통계
조회분야
가구/인테리어
조회기간 : 2017.08.01. ~ 2018.04.19. 일간
기기별 : 전체
성별 : 전체
연령별 : 전체

"날짜","왕자행거"
"2017-08-01",33
"2017-08-02",30
"2017-08-03",34
"2017-08-04",29
"2017-08-05",34
"2017-08-06",38
"2017-08-07",43
"2017-08-08",41
"2017-08-09",33
"2017-08-10",34
"2017-08-11",29
"2017-08-12",32
"2017-08-13",42
"2017-08-14",31
"2017-08-15",43
"2017-08-16",39
"2017-08-17",37
"2017-08-18",29
"2017-08-19",27
"2017-08-20",41
"2017-08-21",41
"2017-08-22",41
"2017-08-23",36
"2017-08-24",34
"2017-08-25",30
"2017-08-26",33
"2017-08-27",40
"2017-08-28",41
"2017-08-29",47
"2017-08-30",37
"2017-08-31",39
"2017-09-01",30
"2017-09-02",31
"2017-09-03",40
"2017-09-04",48
"2017-09-05",47
"2017-09-06",41
"2017-09-07",36
"2017-09-08",30
"2017-09-09",41
"2017-09-10",50
"2017-09-11",53
"2017-09-12",35
"2017-09-13",40
"2017-09-14",30
"2017-09-15",23
"2017-09-16",33
"2017-09-17",41
"2017-09-18",46
"2017-09-19",39
"2017-09-20",43
"2017-09-21",29
"2017-09-22",26
"2017-09-23",40
"2017-09-24",41
"2017-09-25",57
"2017-09-26",57
"2017-09-27",46
"2017-09-28",36
"2017-09-29",28
"2017-09-30",25
"2017-10-01",35
"2017-10-02",37
"2017-10-03",29
"2017-10-04",34
"2017-10-05",40
"2017-10-06",52
"2017-10-07",49
"2017-10-08",62
"2017-10-09",100
"2017-10-10",73
"2017-10-11",60
"2017-10-12",57
"2017-10-13",51
"2017-10-14",40
"2017-10-15",65
"2017-10-16",92
"2017-10-17",78
"2017-10-18",68
"2017-10-19",51
"2017-10-20",53
"2017-10-21",49
"2017-10-22",64
"2017-10-23",75
"2017-10-24",66
"2017-10-25",53
"2017-10-26",58
"2017-10-27",51
"2017-10-28",41
"2017-10-29",68
"2017-10-30",75
"2017-10-31",72
"2017-11-01",71
"2017-11-02",65
"2017-11-03",51
"2017-11-04",50
"2017-11-05",76
"2017-11-06",82
"2017-11-07",76
"2017-11-08",67
"2017-11-09",73
"2017-11-10",43
"2017-11-11",45
"2017-11-12",62
"2017-11-13",94
"2017-11-14",80
"2017-11-15",74
"2017-11-16",64
"2017-11-17",51
"2017-11-18",43
"2017-11-19",66
"2017-11-20",83
"2017-11-21",84
"2017-11-22",66
"2017-11-23",67
"2017-11-24",46
"2017-11-25",47
"2017-11-26",81
"2017-11-27",80
"2017-11-28",75
"2017-11-29",68
"2017-11-30",62
"2017-12-01",57
"2017-12-02",58
"2017-12-03",78
"2017-12-04",80
"2017-12-05",70
"2017-12-06",67
"2017-12-07",53
"2017-12-08",45
"2017-12-09",56
"2017-12-10",74
"2017-12-11",70
"2017-12-12",67
"2017-12-13",56
"2017-12-14",49
"2017-12-15",41
"2017-12-16",49
"2017-12-17",73
"2017-12-18",72
"2017-12-19",54
"2017-12-20",58
"2017-12-21",42
"2017-12-22",35
"2017-12-23",32
"2017-12-24",39
"2017-12-25",63
"2017-12-26",70
"2017-12-27",65
"2017-12-28",55
"2017-12-29",39
"2017-12-30",41
"2017-12-31",39
"2018-01-01",68
"2018-01-02",73
"2018-01-03",68
"2018-01-04",57
"2018-01-05",45
"2018-01-06",46
"2018-01-07",65
"2018-01-08",63
"2018-01-09",57
"2018-01-10",55
"2018-01-11",47
"2018-01-12",38
"2018-01-13",48
"2018-01-14",61
"2018-01-15",62
"2018-01-16",62
"2018-01-17",56
"2018-01-18",48
"2018-01-19",45
"2018-01-20",52
"2018-01-21",64
"2018-01-22",55
"2018-01-23",57
"2018-01-24",55
"2018-01-25",53
"2018-01-26",43
"2018-01-27",55
"2018-01-28",65
"2018-01-29",63
"2018-01-30",56
"2018-01-31",49
"2018-02-01",59
"2018-02-02",50
"2018-02-03",51
"2018-02-04",78
"2018-02-05",71
"2018-02-06",60
"2018-02-07",54
"2018-02-08",53
"2018-02-09",44
"2018-02-10",47
"2018-02-11",70
"2018-02-12",51
"2018-02-13",40
"2018-02-14",33
"2018-02-15",38
"2018-02-16",34
"2018-02-17",51
"2018-02-18",80
"2018-02-19",81
"2018-02-20",75
"2018-02-21",72
"2018-02-22",73
"2018-02-23",53
"2018-02-24",64
"2018-02-25",96
"2018-02-26",89
"2018-02-27",81
"2018-02-28",65
"2018-03-01",83
"2018-03-02",67
"2018-03-03",68
"2018-03-04",86
"2018-03-05",68
"2018-03-06",58
"2018-03-07",55
"2018-03-08",54
"2018-03-09",43
"2018-03-10",54
"2018-03-11",76
"2018-03-12",68
"2018-03-13",54
"2018-03-14",52
"2018-03-15",50
"2018-03-16",37
"2018-03-17",39
"2018-03-18",64
"2018-03-19",64
"2018-03-20",68
"2018-03-21",52
"2018-03-22",58
"2018-03-23",41
"2018-03-24",53
"2018-03-25",77
"2018-03-26",68
"2018-03-27",61
"2018-03-28",59
"2018-03-29",48
"2018-03-30",35
"2018-03-31",46
"2018-04-01",70
"2018-04-02",72
"2018-04-03",53
"2018-04-04",53
"2018-04-05",47
"2018-04-06",48
"2018-04-07",41
"2018-04-08",60
"2018-04-09",48
"2018-04-10",48
"2018-04-11",54
"2018-04-12",43
"2018-04-13",36
"2018-04-14",45
"2018-04-15",59
"2018-04-16",58
"2018-04-17",48
"2018-04-18",46
"2018-04-19",47
