네이버 데이터랩 쇼핑인사이트 > 검색어 통계
조회분야
가구/인테리어
조회기간 : 2017.08.01. ~ 2018.04.19. 일간
기기별 : 전체
성별 : 전체
연령별 : 전체

"날짜","액자"
"2017-08-01",50
"2017-08-02",47
"2017-08-03",45
"2017-08-04",45
"2017-08-05",33
"2017-08-06",40
"2017-08-07",50
"2017-08-08",50
"2017-08-09",49
"2017-08-10",45
"2017-08-11",42
"2017-08-12",38
"2017-08-13",50
"2017-08-14",55
"2017-08-15",51
"2017-08-16",64
"2017-08-17",56
"2017-08-18",47
"2017-08-19",46
"2017-08-20",63
"2017-08-21",63
"2017-08-22",47
"2017-08-23",56
"2017-08-24",46
"2017-08-25",36
"2017-08-26",34
"2017-08-27",47
"2017-08-28",43
"2017-08-29",48
"2017-08-30",47
"2017-08-31",46
"2017-09-01",36
"2017-09-02",34
"2017-09-03",41
"2017-09-04",53
"2017-09-05",47
"2017-09-06",46
"2017-09-07",48
"2017-09-08",43
"2017-09-09",38
"2017-09-10",45
"2017-09-11",51
"2017-09-12",50
"2017-09-13",53
"2017-09-14",40
"2017-09-15",38
"2017-09-16",43
"2017-09-17",51
"2017-09-18",55
"2017-09-19",54
"2017-09-20",50
"2017-09-21",49
"2017-09-22",39
"2017-09-23",36
"2017-09-24",45
"2017-09-25",50
"2017-09-26",48
"2017-09-27",49
"2017-09-28",33
"2017-09-29",30
"2017-09-30",32
"2017-10-01",32
"2017-10-02",30
"2017-10-03",28
"2017-10-04",28
"2017-10-05",31
"2017-10-06",38
"2017-10-07",41
"2017-10-08",48
"2017-10-09",49
"2017-10-10",52
"2017-10-11",55
"2017-10-12",51
"2017-10-13",36
"2017-10-14",39
"2017-10-15",53
"2017-10-16",50
"2017-10-17",47
"2017-10-18",48
"2017-10-19",40
"2017-10-20",35
"2017-10-21",35
"2017-10-22",48
"2017-10-23",55
"2017-10-24",54
"2017-10-25",53
"2017-10-26",50
"2017-10-27",35
"2017-10-28",40
"2017-10-29",52
"2017-10-30",57
"2017-10-31",49
"2017-11-01",55
"2017-11-02",60
"2017-11-03",48
"2017-11-04",47
"2017-11-05",64
"2017-11-06",66
"2017-11-07",57
"2017-11-08",71
"2017-11-09",62
"2017-11-10",54
"2017-11-11",54
"2017-11-12",61
"2017-11-13",59
"2017-11-14",63
"2017-11-15",59
"2017-11-16",55
"2017-11-17",40
"2017-11-18",43
"2017-11-19",51
"2017-11-20",56
"2017-11-21",58
"2017-11-22",56
"2017-11-23",47
"2017-11-24",40
"2017-11-25",46
"2017-11-26",46
"2017-11-27",55
"2017-11-28",59
"2017-11-29",54
"2017-11-30",49
"2017-12-01",50
"2017-12-02",54
"2017-12-03",76
"2017-12-04",82
"2017-12-05",63
"2017-12-06",64
"2017-12-07",65
"2017-12-08",53
"2017-12-09",57
"2017-12-10",69
"2017-12-11",69
"2017-12-12",70
"2017-12-13",67
"2017-12-14",65
"2017-12-15",50
"2017-12-16",53
"2017-12-17",68
"2017-12-18",68
"2017-12-19",75
"2017-12-20",64
"2017-12-21",60
"2017-12-22",46
"2017-12-23",47
"2017-12-24",52
"2017-12-25",59
"2017-12-26",65
"2017-12-27",61
"2017-12-28",61
"2017-12-29",58
"2017-12-30",55
"2017-12-31",49
"2018-01-01",69
"2018-01-02",71
"2018-01-03",73
"2018-01-04",69
"2018-01-05",57
"2018-01-06",68
"2018-01-07",74
"2018-01-08",88
"2018-01-09",76
"2018-01-10",71
"2018-01-11",72
"2018-01-12",56
"2018-01-13",60
"2018-01-14",74
"2018-01-15",80
"2018-01-16",84
"2018-01-17",71
"2018-01-18",75
"2018-01-19",74
"2018-01-20",81
"2018-01-21",100
"2018-01-22",79
"2018-01-23",80
"2018-01-24",76
"2018-01-25",65
"2018-01-26",67
"2018-01-27",59
"2018-01-28",72
"2018-01-29",87
"2018-01-30",77
"2018-01-31",62
"2018-02-01",58
"2018-02-02",52
"2018-02-03",59
"2018-02-04",75
"2018-02-05",70
"2018-02-06",68
"2018-02-07",67
"2018-02-08",64
"2018-02-09",52
"2018-02-10",49
"2018-02-11",60
"2018-02-12",55
"2018-02-13",50
"2018-02-14",42
"2018-02-15",38
"2018-02-16",41
"2018-02-17",50
"2018-02-18",70
"2018-02-19",75
"2018-02-20",69
"2018-02-21",61
"2018-02-22",54
"2018-02-23",50
"2018-02-24",50
"2018-02-25",65
"2018-02-26",72
"2018-02-27",71
"2018-02-28",58
"2018-03-01",61
"2018-03-02",60
"2018-03-03",52
"2018-03-04",69
"2018-03-05",67
"2018-03-06",48
"2018-03-07",58
"2018-03-08",65
"2018-03-09",50
"2018-03-10",58
"2018-03-11",66
"2018-03-12",66
"2018-03-13",57
"2018-03-14",55
"2018-03-15",63
"2018-03-16",63
"2018-03-17",61
"2018-03-18",72
"2018-03-19",83
"2018-03-20",81
"2018-03-21",81
"2018-03-22",72
"2018-03-23",64
"2018-03-24",67
"2018-03-25",78
"2018-03-26",72
"2018-03-27",66
"2018-03-28",61
"2018-03-29",71
"2018-03-30",56
"2018-03-31",61
"2018-04-01",74
"2018-04-02",73
"2018-04-03",78
"2018-04-04",68
"2018-04-05",71
"2018-04-06",54
"2018-04-07",66
"2018-04-08",75
"2018-04-09",86
"2018-04-10",76
"2018-04-11",73
"2018-04-12",71
"2018-04-13",66
"2018-04-14",65
"2018-04-15",81
"2018-04-16",85
"2018-04-17",85
"2018-04-18",70
"2018-04-19",68
