네이버 데이터랩 쇼핑인사이트 > 검색어 통계
조회분야
가구/인테리어
조회기간 : 2017.08.01. ~ 2018.04.19. 일간
기기별 : 전체
성별 : 전체
연령별 : 전체

"날짜","이불커버"
"2017-08-01",14
"2017-08-02",15
"2017-08-03",13
"2017-08-04",13
"2017-08-05",11
"2017-08-06",18
"2017-08-07",21
"2017-08-08",17
"2017-08-09",19
"2017-08-10",23
"2017-08-11",17
"2017-08-12",20
"2017-08-13",24
"2017-08-14",27
"2017-08-15",26
"2017-08-16",26
"2017-08-17",23
"2017-08-18",25
"2017-08-19",24
"2017-08-20",33
"2017-08-21",37
"2017-08-22",28
"2017-08-23",25
"2017-08-24",28
"2017-08-25",19
"2017-08-26",24
"2017-08-27",39
"2017-08-28",40
"2017-08-29",43
"2017-08-30",55
"2017-08-31",66
"2017-09-01",47
"2017-09-02",45
"2017-09-03",59
"2017-09-04",39
"2017-09-05",42
"2017-09-06",48
"2017-09-07",44
"2017-09-08",46
"2017-09-09",36
"2017-09-10",45
"2017-09-11",60
"2017-09-12",42
"2017-09-13",45
"2017-09-14",41
"2017-09-15",40
"2017-09-16",45
"2017-09-17",53
"2017-09-18",54
"2017-09-19",57
"2017-09-20",42
"2017-09-21",47
"2017-09-22",45
"2017-09-23",40
"2017-09-24",51
"2017-09-25",47
"2017-09-26",38
"2017-09-27",37
"2017-09-28",29
"2017-09-29",28
"2017-09-30",31
"2017-10-01",45
"2017-10-02",37
"2017-10-03",26
"2017-10-04",37
"2017-10-05",45
"2017-10-06",55
"2017-10-07",60
"2017-10-08",66
"2017-10-09",75
"2017-10-10",57
"2017-10-11",66
"2017-10-12",58
"2017-10-13",63
"2017-10-14",65
"2017-10-15",98
"2017-10-16",96
"2017-10-17",69
"2017-10-18",64
"2017-10-19",56
"2017-10-20",57
"2017-10-21",59
"2017-10-22",66
"2017-10-23",80
"2017-10-24",66
"2017-10-25",55
"2017-10-26",62
"2017-10-27",47
"2017-10-28",54
"2017-10-29",68
"2017-10-30",68
"2017-10-31",64
"2017-11-01",68
"2017-11-02",61
"2017-11-03",62
"2017-11-04",67
"2017-11-05",87
"2017-11-06",89
"2017-11-07",69
"2017-11-08",68
"2017-11-09",68
"2017-11-10",59
"2017-11-11",63
"2017-11-12",81
"2017-11-13",92
"2017-11-14",86
"2017-11-15",82
"2017-11-16",90
"2017-11-17",58
"2017-11-18",78
"2017-11-19",100
"2017-11-20",98
"2017-11-21",88
"2017-11-22",89
"2017-11-23",74
"2017-11-24",66
"2017-11-25",73
"2017-11-26",89
"2017-11-27",95
"2017-11-28",66
"2017-11-29",79
"2017-11-30",73
"2017-12-01",67
"2017-12-02",72
"2017-12-03",90
"2017-12-04",84
"2017-12-05",75
"2017-12-06",59
"2017-12-07",74
"2017-12-08",62
"2017-12-09",68
"2017-12-10",96
"2017-12-11",100
"2017-12-12",86
"2017-12-13",74
"2017-12-14",68
"2017-12-15",57
"2017-12-16",65
"2017-12-17",76
"2017-12-18",75
"2017-12-19",68
"2017-12-20",62
"2017-12-21",46
"2017-12-22",44
"2017-12-23",55
"2017-12-24",47
"2017-12-25",63
"2017-12-26",59
"2017-12-27",52
"2017-12-28",61
"2017-12-29",47
"2017-12-30",44
"2017-12-31",57
"2018-01-01",64
"2018-01-02",65
"2018-01-03",66
"2018-01-04",62
"2018-01-05",54
"2018-01-06",52
"2018-01-07",70
"2018-01-08",79
"2018-01-09",69
"2018-01-10",72
"2018-01-11",59
"2018-01-12",51
"2018-01-13",56
"2018-01-14",63
"2018-01-15",82
"2018-01-16",64
"2018-01-17",53
"2018-01-18",54
"2018-01-19",50
"2018-01-20",45
"2018-01-21",73
"2018-01-22",72
"2018-01-23",63
"2018-01-24",68
"2018-01-25",57
"2018-01-26",67
"2018-01-27",59
"2018-01-28",76
"2018-01-29",69
"2018-01-30",58
"2018-01-31",60
"2018-02-01",52
"2018-02-02",40
"2018-02-03",49
"2018-02-04",71
"2018-02-05",64
"2018-02-06",67
"2018-02-07",57
"2018-02-08",51
"2018-02-09",44
"2018-02-10",44
"2018-02-11",57
"2018-02-12",55
"2018-02-13",33
"2018-02-14",39
"2018-02-15",40
"2018-02-16",49
"2018-02-17",59
"2018-02-18",76
"2018-02-19",67
"2018-02-20",67
"2018-02-21",77
"2018-02-22",63
"2018-02-23",49
"2018-02-24",71
"2018-02-25",67
"2018-02-26",72
"2018-02-27",53
"2018-02-28",62
"2018-03-01",79
"2018-03-02",68
"2018-03-03",60
"2018-03-04",78
"2018-03-05",57
"2018-03-06",49
"2018-03-07",60
"2018-03-08",54
"2018-03-09",48
"2018-03-10",56
"2018-03-11",72
"2018-03-12",65
"2018-03-13",64
"2018-03-14",59
"2018-03-15",58
"2018-03-16",56
"2018-03-17",55
"2018-03-18",65
"2018-03-19",61
"2018-03-20",55
"2018-03-21",56
"2018-03-22",53
"2018-03-23",52
"2018-03-24",51
"2018-03-25",66
"2018-03-26",54
"2018-03-27",48
"2018-03-28",51
"2018-03-29",44
"2018-03-30",46
"2018-03-31",41
"2018-04-01",47
"2018-04-02",63
"2018-04-03",55
"2018-04-04",35
"2018-04-05",38
"2018-04-06",47
"2018-04-07",39
"2018-04-08",55
"2018-04-09",51
"2018-04-10",37
"2018-04-11",41
"2018-04-12",38
"2018-04-13",37
"2018-04-14",41
"2018-04-15",65
"2018-04-16",54
"2018-04-17",54
"2018-04-18",42
"2018-04-19",51
