네이버 데이터랩 쇼핑인사이트 > 검색어 통계
조회분야
가구/인테리어
조회기간 : 2017.08.01. ~ 2018.04.19. 일간
기기별 : 전체
성별 : 전체
연령별 : 전체

"날짜","티비다이"
"2017-08-01",40
"2017-08-02",38
"2017-08-03",37
"2017-08-04",31
"2017-08-05",33
"2017-08-06",45
"2017-08-07",46
"2017-08-08",43
"2017-08-09",40
"2017-08-10",39
"2017-08-11",37
"2017-08-12",39
"2017-08-13",43
"2017-08-14",42
"2017-08-15",59
"2017-08-16",47
"2017-08-17",40
"2017-08-18",34
"2017-08-19",39
"2017-08-20",44
"2017-08-21",51
"2017-08-22",36
"2017-08-23",49
"2017-08-24",37
"2017-08-25",31
"2017-08-26",36
"2017-08-27",40
"2017-08-28",38
"2017-08-29",37
"2017-08-30",41
"2017-08-31",38
"2017-09-01",31
"2017-09-02",37
"2017-09-03",46
"2017-09-04",51
"2017-09-05",52
"2017-09-06",36
"2017-09-07",38
"2017-09-08",38
"2017-09-09",39
"2017-09-10",55
"2017-09-11",49
"2017-09-12",43
"2017-09-13",45
"2017-09-14",40
"2017-09-15",35
"2017-09-16",36
"2017-09-17",52
"2017-09-18",46
"2017-09-19",44
"2017-09-20",40
"2017-09-21",41
"2017-09-22",35
"2017-09-23",35
"2017-09-24",45
"2017-09-25",41
"2017-09-26",36
"2017-09-27",30
"2017-09-28",24
"2017-09-29",25
"2017-09-30",25
"2017-10-01",36
"2017-10-02",32
"2017-10-03",32
"2017-10-04",25
"2017-10-05",28
"2017-10-06",34
"2017-10-07",32
"2017-10-08",33
"2017-10-09",41
"2017-10-10",37
"2017-10-11",39
"2017-10-12",36
"2017-10-13",31
"2017-10-14",35
"2017-10-15",37
"2017-10-16",36
"2017-10-17",47
"2017-10-18",45
"2017-10-19",44
"2017-10-20",35
"2017-10-21",41
"2017-10-22",55
"2017-10-23",57
"2017-10-24",40
"2017-10-25",46
"2017-10-26",42
"2017-10-27",45
"2017-10-28",43
"2017-10-29",61
"2017-10-30",54
"2017-10-31",44
"2017-11-01",51
"2017-11-02",53
"2017-11-03",44
"2017-11-04",51
"2017-11-05",68
"2017-11-06",64
"2017-11-07",54
"2017-11-08",44
"2017-11-09",48
"2017-11-10",38
"2017-11-11",37
"2017-11-12",57
"2017-11-13",58
"2017-11-14",52
"2017-11-15",45
"2017-11-16",48
"2017-11-17",47
"2017-11-18",47
"2017-11-19",57
"2017-11-20",53
"2017-11-21",50
"2017-11-22",51
"2017-11-23",47
"2017-11-24",48
"2017-11-25",49
"2017-11-26",57
"2017-11-27",61
"2017-11-28",49
"2017-11-29",52
"2017-11-30",41
"2017-12-01",46
"2017-12-02",55
"2017-12-03",64
"2017-12-04",59
"2017-12-05",62
"2017-12-06",58
"2017-12-07",49
"2017-12-08",40
"2017-12-09",53
"2017-12-10",66
"2017-12-11",65
"2017-12-12",55
"2017-12-13",59
"2017-12-14",46
"2017-12-15",44
"2017-12-16",48
"2017-12-17",69
"2017-12-18",56
"2017-12-19",48
"2017-12-20",45
"2017-12-21",42
"2017-12-22",41
"2017-12-23",37
"2017-12-24",56
"2017-12-25",58
"2017-12-26",49
"2017-12-27",47
"2017-12-28",44
"2017-12-29",45
"2017-12-30",47
"2017-12-31",46
"2018-01-01",67
"2018-01-02",60
"2018-01-03",56
"2018-01-04",51
"2018-01-05",51
"2018-01-06",50
"2018-01-07",64
"2018-01-08",67
"2018-01-09",55
"2018-01-10",55
"2018-01-11",50
"2018-01-12",47
"2018-01-13",53
"2018-01-14",69
"2018-01-15",66
"2018-01-16",56
"2018-01-17",52
"2018-01-18",55
"2018-01-19",54
"2018-01-20",56
"2018-01-21",77
"2018-01-22",64
"2018-01-23",66
"2018-01-24",60
"2018-01-25",56
"2018-01-26",50
"2018-01-27",65
"2018-01-28",83
"2018-01-29",64
"2018-01-30",69
"2018-01-31",66
"2018-02-01",70
"2018-02-02",49
"2018-02-03",66
"2018-02-04",84
"2018-02-05",69
"2018-02-06",66
"2018-02-07",68
"2018-02-08",54
"2018-02-09",48
"2018-02-10",55
"2018-02-11",76
"2018-02-12",55
"2018-02-13",48
"2018-02-14",43
"2018-02-15",48
"2018-02-16",52
"2018-02-17",64
"2018-02-18",73
"2018-02-19",70
"2018-02-20",64
"2018-02-21",75
"2018-02-22",66
"2018-02-23",55
"2018-02-24",68
"2018-02-25",83
"2018-02-26",81
"2018-02-27",71
"2018-02-28",62
"2018-03-01",88
"2018-03-02",71
"2018-03-03",75
"2018-03-04",100
"2018-03-05",83
"2018-03-06",66
"2018-03-07",71
"2018-03-08",74
"2018-03-09",60
"2018-03-10",71
"2018-03-11",88
"2018-03-12",76
"2018-03-13",76
"2018-03-14",65
"2018-03-15",64
"2018-03-16",53
"2018-03-17",63
"2018-03-18",87
"2018-03-19",87
"2018-03-20",75
"2018-03-21",68
"2018-03-22",61
"2018-03-23",54
"2018-03-24",65
"2018-03-25",91
"2018-03-26",76
"2018-03-27",69
"2018-03-28",68
"2018-03-29",60
"2018-03-30",54
"2018-03-31",59
"2018-04-01",85
"2018-04-02",76
"2018-04-03",61
"2018-04-04",62
"2018-04-05",65
"2018-04-06",56
"2018-04-07",59
"2018-04-08",81
"2018-04-09",69
"2018-04-10",74
"2018-04-11",68
"2018-04-12",59
"2018-04-13",56
"2018-04-14",62
"2018-04-15",75
"2018-04-16",72
"2018-04-17",68
"2018-04-18",61
"2018-04-19",54
