네이버 데이터랩 쇼핑인사이트 > 검색어 통계
조회분야
가구/인테리어
조회기간 : 2017.08.01. ~ 2018.04.19. 일간
기기별 : 전체
성별 : 전체
연령별 : 전체

"날짜","원목식탁"
"2017-08-01",29
"2017-08-02",28
"2017-08-03",29
"2017-08-04",33
"2017-08-05",30
"2017-08-06",42
"2017-08-07",35
"2017-08-08",46
"2017-08-09",40
"2017-08-10",38
"2017-08-11",26
"2017-08-12",28
"2017-08-13",41
"2017-08-14",43
"2017-08-15",50
"2017-08-16",36
"2017-08-17",43
"2017-08-18",35
"2017-08-19",42
"2017-08-20",59
"2017-08-21",49
"2017-08-22",36
"2017-08-23",39
"2017-08-24",39
"2017-08-25",32
"2017-08-26",38
"2017-08-27",51
"2017-08-28",43
"2017-08-29",42
"2017-08-30",34
"2017-08-31",34
"2017-09-01",28
"2017-09-02",36
"2017-09-03",47
"2017-09-04",41
"2017-09-05",36
"2017-09-06",41
"2017-09-07",36
"2017-09-08",27
"2017-09-09",38
"2017-09-10",40
"2017-09-11",42
"2017-09-12",32
"2017-09-13",43
"2017-09-14",32
"2017-09-15",33
"2017-09-16",31
"2017-09-17",43
"2017-09-18",42
"2017-09-19",38
"2017-09-20",24
"2017-09-21",26
"2017-09-22",25
"2017-09-23",29
"2017-09-24",39
"2017-09-25",38
"2017-09-26",30
"2017-09-27",26
"2017-09-28",26
"2017-09-29",22
"2017-09-30",36
"2017-10-01",43
"2017-10-02",42
"2017-10-03",35
"2017-10-04",28
"2017-10-05",43
"2017-10-06",41
"2017-10-07",46
"2017-10-08",52
"2017-10-09",58
"2017-10-10",40
"2017-10-11",39
"2017-10-12",38
"2017-10-13",33
"2017-10-14",39
"2017-10-15",42
"2017-10-16",40
"2017-10-17",33
"2017-10-18",34
"2017-10-19",32
"2017-10-20",29
"2017-10-21",36
"2017-10-22",59
"2017-10-23",46
"2017-10-24",45
"2017-10-25",43
"2017-10-26",39
"2017-10-27",37
"2017-10-28",60
"2017-10-29",62
"2017-10-30",59
"2017-10-31",45
"2017-11-01",38
"2017-11-02",49
"2017-11-03",41
"2017-11-04",64
"2017-11-05",62
"2017-11-06",48
"2017-11-07",47
"2017-11-08",42
"2017-11-09",51
"2017-11-10",37
"2017-11-11",47
"2017-11-12",75
"2017-11-13",64
"2017-11-14",46
"2017-11-15",47
"2017-11-16",52
"2017-11-17",49
"2017-11-18",50
"2017-11-19",67
"2017-11-20",54
"2017-11-21",49
"2017-11-22",45
"2017-11-23",53
"2017-11-24",43
"2017-11-25",54
"2017-11-26",72
"2017-11-27",59
"2017-11-28",48
"2017-11-29",51
"2017-11-30",48
"2017-12-01",47
"2017-12-02",49
"2017-12-03",59
"2017-12-04",68
"2017-12-05",51
"2017-12-06",41
"2017-12-07",38
"2017-12-08",45
"2017-12-09",54
"2017-12-10",63
"2017-12-11",53
"2017-12-12",45
"2017-12-13",46
"2017-12-14",40
"2017-12-15",41
"2017-12-16",59
"2017-12-17",70
"2017-12-18",54
"2017-12-19",39
"2017-12-20",41
"2017-12-21",43
"2017-12-22",49
"2017-12-23",50
"2017-12-24",70
"2017-12-25",68
"2017-12-26",63
"2017-12-27",54
"2017-12-28",58
"2017-12-29",56
"2017-12-30",62
"2017-12-31",68
"2018-01-01",68
"2018-01-02",57
"2018-01-03",59
"2018-01-04",49
"2018-01-05",49
"2018-01-06",71
"2018-01-07",97
"2018-01-08",68
"2018-01-09",54
"2018-01-10",56
"2018-01-11",67
"2018-01-12",55
"2018-01-13",69
"2018-01-14",92
"2018-01-15",67
"2018-01-16",65
"2018-01-17",55
"2018-01-18",47
"2018-01-19",62
"2018-01-20",69
"2018-01-21",84
"2018-01-22",64
"2018-01-23",62
"2018-01-24",77
"2018-01-25",54
"2018-01-26",55
"2018-01-27",64
"2018-01-28",83
"2018-01-29",79
"2018-01-30",74
"2018-01-31",65
"2018-02-01",52
"2018-02-02",51
"2018-02-03",66
"2018-02-04",100
"2018-02-05",79
"2018-02-06",66
"2018-02-07",61
"2018-02-08",54
"2018-02-09",47
"2018-02-10",67
"2018-02-11",84
"2018-02-12",63
"2018-02-13",52
"2018-02-14",49
"2018-02-15",39
"2018-02-16",47
"2018-02-17",62
"2018-02-18",79
"2018-02-19",57
"2018-02-20",57
"2018-02-21",51
"2018-02-22",52
"2018-02-23",50
"2018-02-24",59
"2018-02-25",70
"2018-02-26",65
"2018-02-27",47
"2018-02-28",45
"2018-03-01",66
"2018-03-02",47
"2018-03-03",50
"2018-03-04",60
"2018-03-05",49
"2018-03-06",42
"2018-03-07",42
"2018-03-08",40
"2018-03-09",35
"2018-03-10",49
"2018-03-11",65
"2018-03-12",49
"2018-03-13",42
"2018-03-14",38
"2018-03-15",47
"2018-03-16",40
"2018-03-17",53
"2018-03-18",56
"2018-03-19",53
"2018-03-20",44
"2018-03-21",55
"2018-03-22",42
"2018-03-23",40
"2018-03-24",40
"2018-03-25",64
"2018-03-26",44
"2018-03-27",39
"2018-03-28",33
"2018-03-29",39
"2018-03-30",38
"2018-03-31",42
"2018-04-01",59
"2018-04-02",50
"2018-04-03",48
"2018-04-04",39
"2018-04-05",43
"2018-04-06",37
"2018-04-07",46
"2018-04-08",63
"2018-04-09",52
"2018-04-10",50
"2018-04-11",43
"2018-04-12",35
"2018-04-13",44
"2018-04-14",54
"2018-04-15",54
"2018-04-16",54
"2018-04-17",50
"2018-04-18",46
"2018-04-19",38
