네이버 데이터랩 쇼핑인사이트 > 검색어 통계
조회분야
생활/건강
조회기간 : 2017.08.01. ~ 2018.04.19. 일간
기기별 : 전체
성별 : 전체
연령별 : 전체

"날짜","전자담배"
"2017-08-01",40
"2017-08-02",39
"2017-08-03",40
"2017-08-04",34
"2017-08-05",28
"2017-08-06",35
"2017-08-07",42
"2017-08-08",39
"2017-08-09",45
"2017-08-10",45
"2017-08-11",40
"2017-08-12",31
"2017-08-13",33
"2017-08-14",41
"2017-08-15",41
"2017-08-16",45
"2017-08-17",44
"2017-08-18",40
"2017-08-19",35
"2017-08-20",45
"2017-08-21",51
"2017-08-22",54
"2017-08-23",52
"2017-08-24",48
"2017-08-25",42
"2017-08-26",35
"2017-08-27",39
"2017-08-28",51
"2017-08-29",60
"2017-08-30",54
"2017-08-31",49
"2017-09-01",46
"2017-09-02",40
"2017-09-03",46
"2017-09-04",57
"2017-09-05",51
"2017-09-06",47
"2017-09-07",51
"2017-09-08",43
"2017-09-09",39
"2017-09-10",47
"2017-09-11",53
"2017-09-12",54
"2017-09-13",50
"2017-09-14",45
"2017-09-15",41
"2017-09-16",40
"2017-09-17",43
"2017-09-18",52
"2017-09-19",56
"2017-09-20",54
"2017-09-21",48
"2017-09-22",41
"2017-09-23",36
"2017-09-24",43
"2017-09-25",52
"2017-09-26",49
"2017-09-27",46
"2017-09-28",43
"2017-09-29",30
"2017-09-30",33
"2017-10-01",36
"2017-10-02",37
"2017-10-03",34
"2017-10-04",36
"2017-10-05",41
"2017-10-06",43
"2017-10-07",43
"2017-10-08",49
"2017-10-09",63
"2017-10-10",75
"2017-10-11",61
"2017-10-12",55
"2017-10-13",44
"2017-10-14",42
"2017-10-15",48
"2017-10-16",57
"2017-10-17",55
"2017-10-18",55
"2017-10-19",52
"2017-10-20",54
"2017-10-21",53
"2017-10-22",64
"2017-10-23",56
"2017-10-24",53
"2017-10-25",50
"2017-10-26",48
"2017-10-27",47
"2017-10-28",39
"2017-10-29",42
"2017-10-30",50
"2017-10-31",47
"2017-11-01",53
"2017-11-02",51
"2017-11-03",45
"2017-11-04",49
"2017-11-05",51
"2017-11-06",59
"2017-11-07",61
"2017-11-08",60
"2017-11-09",70
"2017-11-10",59
"2017-11-11",50
"2017-11-12",100
"2017-11-13",61
"2017-11-14",54
"2017-11-15",45
"2017-11-16",46
"2017-11-17",40
"2017-11-18",38
"2017-11-19",48
"2017-11-20",47
"2017-11-21",52
"2017-11-22",49
"2017-11-23",43
"2017-11-24",41
"2017-11-25",39
"2017-11-26",44
"2017-11-27",50
"2017-11-28",47
"2017-11-29",48
"2017-11-30",44
"2017-12-01",42
"2017-12-02",40
"2017-12-03",47
"2017-12-04",53
"2017-12-05",51
"2017-12-06",48
"2017-12-07",60
"2017-12-08",49
"2017-12-09",59
"2017-12-10",54
"2017-12-11",55
"2017-12-12",52
"2017-12-13",51
"2017-12-14",46
"2017-12-15",44
"2017-12-16",39
"2017-12-17",50
"2017-12-18",49
"2017-12-19",47
"2017-12-20",42
"2017-12-21",44
"2017-12-22",36
"2017-12-23",34
"2017-12-24",39
"2017-12-25",42
"2017-12-26",44
"2017-12-27",44
"2017-12-28",46
"2017-12-29",41
"2017-12-30",47
"2017-12-31",43
"2018-01-01",58
"2018-01-02",72
"2018-01-03",69
"2018-01-04",66
"2018-01-05",63
"2018-01-06",53
"2018-01-07",57
"2018-01-08",63
"2018-01-09",59
"2018-01-10",57
"2018-01-11",54
"2018-01-12",54
"2018-01-13",49
"2018-01-14",62
"2018-01-15",68
"2018-01-16",68
"2018-01-17",70
"2018-01-18",65
"2018-01-19",56
"2018-01-20",58
"2018-01-21",64
"2018-01-22",72
"2018-01-23",65
"2018-01-24",64
"2018-01-25",60
"2018-01-26",53
"2018-01-27",53
"2018-01-28",61
"2018-01-29",62
"2018-01-30",61
"2018-01-31",62
"2018-02-01",58
"2018-02-02",53
"2018-02-03",47
"2018-02-04",60
"2018-02-05",59
"2018-02-06",55
"2018-02-07",53
"2018-02-08",53
"2018-02-09",49
"2018-02-10",45
"2018-02-11",57
"2018-02-12",56
"2018-02-13",52
"2018-02-14",45
"2018-02-15",46
"2018-02-16",54
"2018-02-17",59
"2018-02-18",79
"2018-02-19",86
"2018-02-20",71
"2018-02-21",67
"2018-02-22",59
"2018-02-23",51
"2018-02-24",52
"2018-02-25",59
"2018-02-26",68
"2018-02-27",62
"2018-02-28",57
"2018-03-01",55
"2018-03-02",52
"2018-03-03",58
"2018-03-04",64
"2018-03-05",66
"2018-03-06",62
"2018-03-07",64
"2018-03-08",63
"2018-03-09",57
"2018-03-10",50
"2018-03-11",64
"2018-03-12",67
"2018-03-13",65
"2018-03-14",58
"2018-03-15",60
"2018-03-16",59
"2018-03-17",51
"2018-03-18",61
"2018-03-19",67
"2018-03-20",61
"2018-03-21",69
"2018-03-22",62
"2018-03-23",53
"2018-03-24",54
"2018-03-25",63
"2018-03-26",69
"2018-03-27",63
"2018-03-28",61
"2018-03-29",61
"2018-03-30",53
"2018-03-31",49
"2018-04-01",58
"2018-04-02",64
"2018-04-03",61
"2018-04-04",62
"2018-04-05",66
"2018-04-06",57
"2018-04-07",54
"2018-04-08",66
"2018-04-09",65
"2018-04-10",66
"2018-04-11",64
"2018-04-12",62
"2018-04-13",56
"2018-04-14",55
"2018-04-15",63
"2018-04-16",67
"2018-04-17",65
"2018-04-18",60
"2018-04-19",62
