네이버 데이터랩 쇼핑인사이트 > 검색어 통계
조회분야
생활/건강
조회기간 : 2017.08.01. ~ 2018.04.19. 일간
기기별 : 전체
성별 : 전체
연령별 : 전체

"날짜","안마의자"
"2017-08-01",19
"2017-08-02",22
"2017-08-03",20
"2017-08-04",20
"2017-08-05",23
"2017-08-06",29
"2017-08-07",25
"2017-08-08",22
"2017-08-09",20
"2017-08-10",23
"2017-08-11",24
"2017-08-12",28
"2017-08-13",31
"2017-08-14",27
"2017-08-15",42
"2017-08-16",25
"2017-08-17",24
"2017-08-18",24
"2017-08-19",26
"2017-08-20",35
"2017-08-21",31
"2017-08-22",27
"2017-08-23",31
"2017-08-24",27
"2017-08-25",22
"2017-08-26",28
"2017-08-27",31
"2017-08-28",26
"2017-08-29",26
"2017-08-30",30
"2017-08-31",22
"2017-09-01",23
"2017-09-02",29
"2017-09-03",38
"2017-09-04",29
"2017-09-05",25
"2017-09-06",32
"2017-09-07",25
"2017-09-08",24
"2017-09-09",29
"2017-09-10",39
"2017-09-11",32
"2017-09-12",30
"2017-09-13",31
"2017-09-14",37
"2017-09-15",24
"2017-09-16",36
"2017-09-17",45
"2017-09-18",32
"2017-09-19",36
"2017-09-20",35
"2017-09-21",35
"2017-09-22",26
"2017-09-23",32
"2017-09-24",43
"2017-09-25",37
"2017-09-26",47
"2017-09-27",39
"2017-09-28",41
"2017-09-29",32
"2017-09-30",40
"2017-10-01",55
"2017-10-02",58
"2017-10-03",65
"2017-10-04",92
"2017-10-05",76
"2017-10-06",71
"2017-10-07",74
"2017-10-08",72
"2017-10-09",66
"2017-10-10",48
"2017-10-11",44
"2017-10-12",48
"2017-10-13",48
"2017-10-14",50
"2017-10-15",62
"2017-10-16",52
"2017-10-17",47
"2017-10-18",55
"2017-10-19",47
"2017-10-20",45
"2017-10-21",54
"2017-10-22",65
"2017-10-23",57
"2017-10-24",47
"2017-10-25",39
"2017-10-26",40
"2017-10-27",42
"2017-10-28",48
"2017-10-29",52
"2017-10-30",41
"2017-10-31",31
"2017-11-01",37
"2017-11-02",35
"2017-11-03",32
"2017-11-04",30
"2017-11-05",45
"2017-11-06",34
"2017-11-07",36
"2017-11-08",36
"2017-11-09",33
"2017-11-10",33
"2017-11-11",36
"2017-11-12",57
"2017-11-13",41
"2017-11-14",42
"2017-11-15",33
"2017-11-16",31
"2017-11-17",27
"2017-11-18",37
"2017-11-19",45
"2017-11-20",37
"2017-11-21",30
"2017-11-22",29
"2017-11-23",26
"2017-11-24",33
"2017-11-25",38
"2017-11-26",68
"2017-11-27",45
"2017-11-28",41
"2017-11-29",39
"2017-11-30",31
"2017-12-01",34
"2017-12-02",49
"2017-12-03",62
"2017-12-04",43
"2017-12-05",40
"2017-12-06",40
"2017-12-07",35
"2017-12-08",35
"2017-12-09",41
"2017-12-10",54
"2017-12-11",44
"2017-12-12",37
"2017-12-13",29
"2017-12-14",28
"2017-12-15",28
"2017-12-16",35
"2017-12-17",58
"2017-12-18",42
"2017-12-19",35
"2017-12-20",41
"2017-12-21",40
"2017-12-22",33
"2017-12-23",43
"2017-12-24",64
"2017-12-25",63
"2017-12-26",48
"2017-12-27",50
"2017-12-28",41
"2017-12-29",36
"2017-12-30",49
"2017-12-31",60
"2018-01-01",73
"2018-01-02",55
"2018-01-03",50
"2018-01-04",45
"2018-01-05",36
"2018-01-06",48
"2018-01-07",62
"2018-01-08",52
"2018-01-09",43
"2018-01-10",47
"2018-01-11",44
"2018-01-12",38
"2018-01-13",53
"2018-01-14",73
"2018-01-15",59
"2018-01-16",46
"2018-01-17",43
"2018-01-18",49
"2018-01-19",60
"2018-01-20",50
"2018-01-21",64
"2018-01-22",53
"2018-01-23",43
"2018-01-24",43
"2018-01-25",48
"2018-01-26",36
"2018-01-27",48
"2018-01-28",63
"2018-01-29",47
"2018-01-30",43
"2018-01-31",48
"2018-02-01",41
"2018-02-02",41
"2018-02-03",46
"2018-02-04",63
"2018-02-05",49
"2018-02-06",49
"2018-02-07",40
"2018-02-08",42
"2018-02-09",36
"2018-02-10",50
"2018-02-11",65
"2018-02-12",45
"2018-02-13",39
"2018-02-14",39
"2018-02-15",61
"2018-02-16",89
"2018-02-17",100
"2018-02-18",86
"2018-02-19",63
"2018-02-20",47
"2018-02-21",53
"2018-02-22",46
"2018-02-23",36
"2018-02-24",68
"2018-02-25",55
"2018-02-26",40
"2018-02-27",43
"2018-02-28",40
"2018-03-01",49
"2018-03-02",42
"2018-03-03",47
"2018-03-04",56
"2018-03-05",40
"2018-03-06",37
"2018-03-07",34
"2018-03-08",35
"2018-03-09",47
"2018-03-10",44
"2018-03-11",56
"2018-03-12",40
"2018-03-13",37
"2018-03-14",35
"2018-03-15",33
"2018-03-16",30
"2018-03-17",38
"2018-03-18",53
"2018-03-19",42
"2018-03-20",36
"2018-03-21",33
"2018-03-22",34
"2018-03-23",42
"2018-03-24",47
"2018-03-25",53
"2018-03-26",43
"2018-03-27",37
"2018-03-28",34
"2018-03-29",34
"2018-03-30",34
"2018-03-31",47
"2018-04-01",53
"2018-04-02",36
"2018-04-03",32
"2018-04-04",33
"2018-04-05",36
"2018-04-06",36
"2018-04-07",45
"2018-04-08",50
"2018-04-09",41
"2018-04-10",53
"2018-04-11",34
"2018-04-12",36
"2018-04-13",34
"2018-04-14",52
"2018-04-15",55
"2018-04-16",47
"2018-04-17",47
"2018-04-18",40
"2018-04-19",38
