네이버 데이터랩 쇼핑인사이트 > 검색어 통계
조회분야
생활/건강
조회기간 : 2017.08.01. ~ 2018.04.19. 일간
기기별 : 전체
성별 : 전체
연령별 : 전체

"날짜","빨래바구니"
"2017-08-01",26
"2017-08-02",24
"2017-08-03",22
"2017-08-04",25
"2017-08-05",24
"2017-08-06",31
"2017-08-07",34
"2017-08-08",31
"2017-08-09",24
"2017-08-10",24
"2017-08-11",26
"2017-08-12",27
"2017-08-13",30
"2017-08-14",30
"2017-08-15",34
"2017-08-16",54
"2017-08-17",35
"2017-08-18",27
"2017-08-19",26
"2017-08-20",33
"2017-08-21",29
"2017-08-22",34
"2017-08-23",29
"2017-08-24",31
"2017-08-25",26
"2017-08-26",25
"2017-08-27",31
"2017-08-28",28
"2017-08-29",33
"2017-08-30",29
"2017-08-31",25
"2017-09-01",24
"2017-09-02",26
"2017-09-03",32
"2017-09-04",34
"2017-09-05",33
"2017-09-06",28
"2017-09-07",30
"2017-09-08",24
"2017-09-09",22
"2017-09-10",31
"2017-09-11",32
"2017-09-12",28
"2017-09-13",26
"2017-09-14",21
"2017-09-15",20
"2017-09-16",20
"2017-09-17",27
"2017-09-18",29
"2017-09-19",29
"2017-09-20",26
"2017-09-21",26
"2017-09-22",23
"2017-09-23",21
"2017-09-24",25
"2017-09-25",29
"2017-09-26",23
"2017-09-27",22
"2017-09-28",20
"2017-09-29",19
"2017-09-30",18
"2017-10-01",16
"2017-10-02",16
"2017-10-03",16
"2017-10-04",12
"2017-10-05",18
"2017-10-06",22
"2017-10-07",24
"2017-10-08",28
"2017-10-09",40
"2017-10-10",43
"2017-10-11",28
"2017-10-12",28
"2017-10-13",23
"2017-10-14",19
"2017-10-15",29
"2017-10-16",30
"2017-10-17",30
"2017-10-18",30
"2017-10-19",29
"2017-10-20",21
"2017-10-21",21
"2017-10-22",34
"2017-10-23",32
"2017-10-24",38
"2017-10-25",32
"2017-10-26",26
"2017-10-27",24
"2017-10-28",21
"2017-10-29",31
"2017-10-30",33
"2017-10-31",27
"2017-11-01",27
"2017-11-02",28
"2017-11-03",25
"2017-11-04",24
"2017-11-05",31
"2017-11-06",30
"2017-11-07",29
"2017-11-08",27
"2017-11-09",25
"2017-11-10",20
"2017-11-11",22
"2017-11-12",33
"2017-11-13",35
"2017-11-14",44
"2017-11-15",34
"2017-11-16",29
"2017-11-17",26
"2017-11-18",24
"2017-11-19",32
"2017-11-20",32
"2017-11-21",30
"2017-11-22",27
"2017-11-23",29
"2017-11-24",22
"2017-11-25",27
"2017-11-26",32
"2017-11-27",36
"2017-11-28",35
"2017-11-29",33
"2017-11-30",31
"2017-12-01",27
"2017-12-02",28
"2017-12-03",35
"2017-12-04",38
"2017-12-05",47
"2017-12-06",37
"2017-12-07",29
"2017-12-08",22
"2017-12-09",27
"2017-12-10",38
"2017-12-11",34
"2017-12-12",34
"2017-12-13",29
"2017-12-14",30
"2017-12-15",25
"2017-12-16",26
"2017-12-17",38
"2017-12-18",30
"2017-12-19",30
"2017-12-20",29
"2017-12-21",29
"2017-12-22",21
"2017-12-23",21
"2017-12-24",25
"2017-12-25",38
"2017-12-26",30
"2017-12-27",27
"2017-12-28",30
"2017-12-29",23
"2017-12-30",25
"2017-12-31",25
"2018-01-01",37
"2018-01-02",40
"2018-01-03",34
"2018-01-04",35
"2018-01-05",28
"2018-01-06",30
"2018-01-07",36
"2018-01-08",33
"2018-01-09",38
"2018-01-10",36
"2018-01-11",30
"2018-01-12",25
"2018-01-13",30
"2018-01-14",39
"2018-01-15",39
"2018-01-16",37
"2018-01-17",35
"2018-01-18",37
"2018-01-19",28
"2018-01-20",28
"2018-01-21",43
"2018-01-22",38
"2018-01-23",35
"2018-01-24",32
"2018-01-25",34
"2018-01-26",32
"2018-01-27",37
"2018-01-28",61
"2018-01-29",58
"2018-01-30",57
"2018-01-31",50
"2018-02-01",53
"2018-02-02",50
"2018-02-03",47
"2018-02-04",66
"2018-02-05",71
"2018-02-06",63
"2018-02-07",60
"2018-02-08",52
"2018-02-09",45
"2018-02-10",45
"2018-02-11",61
"2018-02-12",48
"2018-02-13",39
"2018-02-14",38
"2018-02-15",34
"2018-02-16",28
"2018-02-17",84
"2018-02-18",71
"2018-02-19",69
"2018-02-20",66
"2018-02-21",63
"2018-02-22",63
"2018-02-23",49
"2018-02-24",56
"2018-02-25",74
"2018-02-26",76
"2018-02-27",81
"2018-02-28",61
"2018-03-01",77
"2018-03-02",65
"2018-03-03",84
"2018-03-04",100
"2018-03-05",70
"2018-03-06",63
"2018-03-07",61
"2018-03-08",63
"2018-03-09",50
"2018-03-10",54
"2018-03-11",69
"2018-03-12",68
"2018-03-13",59
"2018-03-14",53
"2018-03-15",47
"2018-03-16",48
"2018-03-17",43
"2018-03-18",63
"2018-03-19",60
"2018-03-20",57
"2018-03-21",56
"2018-03-22",52
"2018-03-23",49
"2018-03-24",50
"2018-03-25",79
"2018-03-26",72
"2018-03-27",58
"2018-03-28",57
"2018-03-29",51
"2018-03-30",44
"2018-03-31",45
"2018-04-01",59
"2018-04-02",58
"2018-04-03",51
"2018-04-04",52
"2018-04-05",45
"2018-04-06",40
"2018-04-07",39
"2018-04-08",52
"2018-04-09",54
"2018-04-10",46
"2018-04-11",46
"2018-04-12",47
"2018-04-13",37
"2018-04-14",37
"2018-04-15",46
"2018-04-16",49
"2018-04-17",44
"2018-04-18",49
"2018-04-19",43
