네이버 데이터랩 쇼핑인사이트 > 검색어 통계
조회분야
생활/건강
조회기간 : 2017.08.01. ~ 2018.04.19. 일간
기기별 : 전체
성별 : 전체
연령별 : 전체

"날짜","2018다이어리"
"2017-08-01",
"2017-08-02",
"2017-08-03",
"2017-08-04",
"2017-08-05",
"2017-08-06",
"2017-08-07",
"2017-08-08",
"2017-08-09",
"2017-08-10",
"2017-08-11",
"2017-08-12",
"2017-08-13",
"2017-08-14",
"2017-08-15",1
"2017-08-16",
"2017-08-17",1
"2017-08-18",
"2017-08-19",1
"2017-08-20",1
"2017-08-21",1
"2017-08-22",1
"2017-08-23",1
"2017-08-24",1
"2017-08-25",1
"2017-08-26",1
"2017-08-27",1
"2017-08-28",1
"2017-08-29",2
"2017-08-30",2
"2017-08-31",3
"2017-09-01",2
"2017-09-02",2
"2017-09-03",2
"2017-09-04",2
"2017-09-05",2
"2017-09-06",1
"2017-09-07",2
"2017-09-08",1
"2017-09-09",2
"2017-09-10",2
"2017-09-11",3
"2017-09-12",2
"2017-09-13",2
"2017-09-14",3
"2017-09-15",2
"2017-09-16",2
"2017-09-17",3
"2017-09-18",3
"2017-09-19",3
"2017-09-20",3
"2017-09-21",3
"2017-09-22",3
"2017-09-23",2
"2017-09-24",4
"2017-09-25",4
"2017-09-26",4
"2017-09-27",5
"2017-09-28",4
"2017-09-29",3
"2017-09-30",4
"2017-10-01",6
"2017-10-02",6
"2017-10-03",5
"2017-10-04",5
"2017-10-05",6
"2017-10-06",5
"2017-10-07",5
"2017-10-08",8
"2017-10-09",10
"2017-10-10",10
"2017-10-11",11
"2017-10-12",11
"2017-10-13",8
"2017-10-14",9
"2017-10-15",10
"2017-10-16",13
"2017-10-17",12
"2017-10-18",13
"2017-10-19",10
"2017-10-20",12
"2017-10-21",10
"2017-10-22",20
"2017-10-23",22
"2017-10-24",18
"2017-10-25",19
"2017-10-26",22
"2017-10-27",38
"2017-10-28",27
"2017-10-29",31
"2017-10-30",39
"2017-10-31",36
"2017-11-01",36
"2017-11-02",42
"2017-11-03",36
"2017-11-04",26
"2017-11-05",42
"2017-11-06",46
"2017-11-07",41
"2017-11-08",43
"2017-11-09",41
"2017-11-10",40
"2017-11-11",30
"2017-11-12",47
"2017-11-13",58
"2017-11-14",40
"2017-11-15",36
"2017-11-16",38
"2017-11-17",32
"2017-11-18",29
"2017-11-19",41
"2017-11-20",44
"2017-11-21",42
"2017-11-22",43
"2017-11-23",40
"2017-11-24",31
"2017-11-25",31
"2017-11-26",42
"2017-11-27",48
"2017-11-28",46
"2017-11-29",47
"2017-11-30",46
"2017-12-01",43
"2017-12-02",41
"2017-12-03",57
"2017-12-04",66
"2017-12-05",60
"2017-12-06",59
"2017-12-07",47
"2017-12-08",41
"2017-12-09",40
"2017-12-10",49
"2017-12-11",61
"2017-12-12",46
"2017-12-13",40
"2017-12-14",41
"2017-12-15",35
"2017-12-16",30
"2017-12-17",40
"2017-12-18",46
"2017-12-19",41
"2017-12-20",39
"2017-12-21",36
"2017-12-22",31
"2017-12-23",28
"2017-12-24",35
"2017-12-25",48
"2017-12-26",68
"2017-12-27",58
"2017-12-28",56
"2017-12-29",44
"2017-12-30",45
"2017-12-31",58
"2018-01-01",89
"2018-01-02",100
"2018-01-03",66
"2018-01-04",57
"2018-01-05",46
"2018-01-06",32
"2018-01-07",36
"2018-01-08",41
"2018-01-09",30
"2018-01-10",30
"2018-01-11",25
"2018-01-12",20
"2018-01-13",16
"2018-01-14",21
"2018-01-15",21
"2018-01-16",18
"2018-01-17",17
"2018-01-18",18
"2018-01-19",11
"2018-01-20",10
"2018-01-21",12
"2018-01-22",14
"2018-01-23",15
"2018-01-24",12
"2018-01-25",11
"2018-01-26",8
"2018-01-27",8
"2018-01-28",11
"2018-01-29",11
"2018-01-30",11
"2018-01-31",10
"2018-02-01",15
"2018-02-02",12
"2018-02-03",10
"2018-02-04",14
"2018-02-05",13
"2018-02-06",12
"2018-02-07",11
"2018-02-08",10
"2018-02-09",7
"2018-02-10",8
"2018-02-11",8
"2018-02-12",10
"2018-02-13",8
"2018-02-14",5
"2018-02-15",5
"2018-02-16",4
"2018-02-17",3
"2018-02-18",6
"2018-02-19",8
"2018-02-20",8
"2018-02-21",7
"2018-02-22",6
"2018-02-23",6
"2018-02-24",6
"2018-02-25",6
"2018-02-26",7
"2018-02-27",7
"2018-02-28",5
"2018-03-01",7
"2018-03-02",5
"2018-03-03",5
"2018-03-04",7
"2018-03-05",8
"2018-03-06",7
"2018-03-07",4
"2018-03-08",5
"2018-03-09",2
"2018-03-10",3
"2018-03-11",4
"2018-03-12",4
"2018-03-13",4
"2018-03-14",3
"2018-03-15",4
"2018-03-16",3
"2018-03-17",2
"2018-03-18",4
"2018-03-19",4
"2018-03-20",3
"2018-03-21",3
"2018-03-22",3
"2018-03-23",2
"2018-03-24",2
"2018-03-25",3
"2018-03-26",3
"2018-03-27",3
"2018-03-28",2
"2018-03-29",2
"2018-03-30",1
"2018-03-31",1
"2018-04-01",3
"2018-04-02",4
"2018-04-03",2
"2018-04-04",3
"2018-04-05",2
"2018-04-06",1
"2018-04-07",2
"2018-04-08",2
"2018-04-09",2
"2018-04-10",1
"2018-04-11",2
"2018-04-12",1
"2018-04-13",1
"2018-04-14",1
"2018-04-15",1
"2018-04-16",2
"2018-04-17",1
"2018-04-18",1
"2018-04-19",1
