네이버 데이터랩 쇼핑인사이트 > 검색어 통계
조회분야
생활/건강
조회기간 : 2017.08.01. ~ 2018.04.19. 일간
기기별 : 전체
성별 : 전체
연령별 : 전체

"날짜","체중계"
"2017-08-01",57
"2017-08-02",47
"2017-08-03",47
"2017-08-04",44
"2017-08-05",38
"2017-08-06",54
"2017-08-07",57
"2017-08-08",55
"2017-08-09",58
"2017-08-10",54
"2017-08-11",43
"2017-08-12",42
"2017-08-13",47
"2017-08-14",54
"2017-08-15",62
"2017-08-16",51
"2017-08-17",60
"2017-08-18",49
"2017-08-19",41
"2017-08-20",55
"2017-08-21",59
"2017-08-22",57
"2017-08-23",53
"2017-08-24",51
"2017-08-25",40
"2017-08-26",37
"2017-08-27",52
"2017-08-28",50
"2017-08-29",57
"2017-08-30",55
"2017-08-31",53
"2017-09-01",49
"2017-09-02",40
"2017-09-03",52
"2017-09-04",59
"2017-09-05",56
"2017-09-06",57
"2017-09-07",46
"2017-09-08",42
"2017-09-09",34
"2017-09-10",61
"2017-09-11",56
"2017-09-12",53
"2017-09-13",50
"2017-09-14",47
"2017-09-15",35
"2017-09-16",33
"2017-09-17",49
"2017-09-18",61
"2017-09-19",51
"2017-09-20",51
"2017-09-21",43
"2017-09-22",33
"2017-09-23",35
"2017-09-24",39
"2017-09-25",49
"2017-09-26",49
"2017-09-27",49
"2017-09-28",38
"2017-09-29",30
"2017-09-30",21
"2017-10-01",28
"2017-10-02",28
"2017-10-03",25
"2017-10-04",30
"2017-10-05",35
"2017-10-06",42
"2017-10-07",39
"2017-10-08",61
"2017-10-09",73
"2017-10-10",78
"2017-10-11",68
"2017-10-12",60
"2017-10-13",44
"2017-10-14",40
"2017-10-15",53
"2017-10-16",61
"2017-10-17",62
"2017-10-18",54
"2017-10-19",49
"2017-10-20",43
"2017-10-21",38
"2017-10-22",48
"2017-10-23",65
"2017-10-24",59
"2017-10-25",52
"2017-10-26",52
"2017-10-27",45
"2017-10-28",39
"2017-10-29",51
"2017-10-30",58
"2017-10-31",53
"2017-11-01",55
"2017-11-02",53
"2017-11-03",43
"2017-11-04",41
"2017-11-05",48
"2017-11-06",59
"2017-11-07",59
"2017-11-08",54
"2017-11-09",45
"2017-11-10",41
"2017-11-11",38
"2017-11-12",53
"2017-11-13",63
"2017-11-14",58
"2017-11-15",50
"2017-11-16",43
"2017-11-17",45
"2017-11-18",32
"2017-11-19",41
"2017-11-20",60
"2017-11-21",46
"2017-11-22",44
"2017-11-23",41
"2017-11-24",36
"2017-11-25",34
"2017-11-26",46
"2017-11-27",54
"2017-11-28",59
"2017-11-29",51
"2017-11-30",53
"2017-12-01",44
"2017-12-02",40
"2017-12-03",62
"2017-12-04",68
"2017-12-05",63
"2017-12-06",55
"2017-12-07",59
"2017-12-08",47
"2017-12-09",41
"2017-12-10",53
"2017-12-11",56
"2017-12-12",53
"2017-12-13",50
"2017-12-14",52
"2017-12-15",45
"2017-12-16",44
"2017-12-17",52
"2017-12-18",55
"2017-12-19",49
"2017-12-20",45
"2017-12-21",45
"2017-12-22",30
"2017-12-23",29
"2017-12-24",37
"2017-12-25",47
"2017-12-26",51
"2017-12-27",48
"2017-12-28",51
"2017-12-29",35
"2017-12-30",41
"2017-12-31",39
"2018-01-01",59
"2018-01-02",69
"2018-01-03",65
"2018-01-04",60
"2018-01-05",48
"2018-01-06",47
"2018-01-07",65
"2018-01-08",79
"2018-01-09",73
"2018-01-10",66
"2018-01-11",60
"2018-01-12",52
"2018-01-13",50
"2018-01-14",72
"2018-01-15",100
"2018-01-16",79
"2018-01-17",77
"2018-01-18",72
"2018-01-19",60
"2018-01-20",60
"2018-01-21",73
"2018-01-22",90
"2018-01-23",75
"2018-01-24",70
"2018-01-25",64
"2018-01-26",53
"2018-01-27",44
"2018-01-28",59
"2018-01-29",64
"2018-01-30",74
"2018-01-31",66
"2018-02-01",60
"2018-02-02",52
"2018-02-03",54
"2018-02-04",69
"2018-02-05",75
"2018-02-06",71
"2018-02-07",62
"2018-02-08",63
"2018-02-09",45
"2018-02-10",46
"2018-02-11",52
"2018-02-12",52
"2018-02-13",40
"2018-02-14",29
"2018-02-15",39
"2018-02-16",41
"2018-02-17",57
"2018-02-18",96
"2018-02-19",96
"2018-02-20",83
"2018-02-21",78
"2018-02-22",80
"2018-02-23",64
"2018-02-24",54
"2018-02-25",63
"2018-02-26",76
"2018-02-27",74
"2018-02-28",69
"2018-03-01",66
"2018-03-02",65
"2018-03-03",54
"2018-03-04",78
"2018-03-05",73
"2018-03-06",74
"2018-03-07",72
"2018-03-08",73
"2018-03-09",54
"2018-03-10",59
"2018-03-11",72
"2018-03-12",80
"2018-03-13",75
"2018-03-14",71
"2018-03-15",63
"2018-03-16",59
"2018-03-17",52
"2018-03-18",79
"2018-03-19",85
"2018-03-20",69
"2018-03-21",71
"2018-03-22",65
"2018-03-23",53
"2018-03-24",49
"2018-03-25",72
"2018-03-26",78
"2018-03-27",78
"2018-03-28",71
"2018-03-29",67
"2018-03-30",51
"2018-03-31",44
"2018-04-01",76
"2018-04-02",75
"2018-04-03",79
"2018-04-04",70
"2018-04-05",74
"2018-04-06",54
"2018-04-07",48
"2018-04-08",68
"2018-04-09",72
"2018-04-10",70
"2018-04-11",65
"2018-04-12",58
"2018-04-13",54
"2018-04-14",43
"2018-04-15",65
"2018-04-16",71
"2018-04-17",66
"2018-04-18",62
"2018-04-19",60
