네이버 데이터랩 쇼핑인사이트 > 검색어 통계
조회분야
생활/건강
조회기간 : 2017.08.01. ~ 2018.04.19. 일간
기기별 : 전체
성별 : 전체
연령별 : 전체

"날짜","원피스피규어"
"2017-08-01",40
"2017-08-02",43
"2017-08-03",42
"2017-08-04",44
"2017-08-05",49
"2017-08-06",50
"2017-08-07",49
"2017-08-08",41
"2017-08-09",40
"2017-08-10",45
"2017-08-11",45
"2017-08-12",51
"2017-08-13",61
"2017-08-14",44
"2017-08-15",63
"2017-08-16",45
"2017-08-17",47
"2017-08-18",42
"2017-08-19",59
"2017-08-20",63
"2017-08-21",52
"2017-08-22",48
"2017-08-23",54
"2017-08-24",43
"2017-08-25",52
"2017-08-26",46
"2017-08-27",65
"2017-08-28",46
"2017-08-29",43
"2017-08-30",45
"2017-08-31",42
"2017-09-01",48
"2017-09-02",54
"2017-09-03",66
"2017-09-04",45
"2017-09-05",51
"2017-09-06",58
"2017-09-07",56
"2017-09-08",43
"2017-09-09",65
"2017-09-10",86
"2017-09-11",58
"2017-09-12",51
"2017-09-13",50
"2017-09-14",44
"2017-09-15",35
"2017-09-16",57
"2017-09-17",62
"2017-09-18",48
"2017-09-19",45
"2017-09-20",44
"2017-09-21",42
"2017-09-22",46
"2017-09-23",48
"2017-09-24",57
"2017-09-25",51
"2017-09-26",43
"2017-09-27",42
"2017-09-28",36
"2017-09-29",40
"2017-09-30",48
"2017-10-01",67
"2017-10-02",51
"2017-10-03",74
"2017-10-04",78
"2017-10-05",74
"2017-10-06",88
"2017-10-07",81
"2017-10-08",80
"2017-10-09",93
"2017-10-10",49
"2017-10-11",48
"2017-10-12",48
"2017-10-13",48
"2017-10-14",72
"2017-10-15",71
"2017-10-16",45
"2017-10-17",44
"2017-10-18",44
"2017-10-19",41
"2017-10-20",43
"2017-10-21",57
"2017-10-22",70
"2017-10-23",54
"2017-10-24",49
"2017-10-25",47
"2017-10-26",50
"2017-10-27",45
"2017-10-28",57
"2017-10-29",64
"2017-10-30",56
"2017-10-31",48
"2017-11-01",49
"2017-11-02",49
"2017-11-03",42
"2017-11-04",55
"2017-11-05",84
"2017-11-06",64
"2017-11-07",62
"2017-11-08",57
"2017-11-09",59
"2017-11-10",47
"2017-11-11",71
"2017-11-12",81
"2017-11-13",55
"2017-11-14",57
"2017-11-15",56
"2017-11-16",58
"2017-11-17",39
"2017-11-18",59
"2017-11-19",72
"2017-11-20",56
"2017-11-21",62
"2017-11-22",50
"2017-11-23",57
"2017-11-24",52
"2017-11-25",64
"2017-11-26",72
"2017-11-27",55
"2017-11-28",48
"2017-11-29",47
"2017-11-30",51
"2017-12-01",56
"2017-12-02",67
"2017-12-03",83
"2017-12-04",49
"2017-12-05",46
"2017-12-06",62
"2017-12-07",49
"2017-12-08",50
"2017-12-09",66
"2017-12-10",68
"2017-12-11",57
"2017-12-12",49
"2017-12-13",50
"2017-12-14",44
"2017-12-15",48
"2017-12-16",53
"2017-12-17",67
"2017-12-18",59
"2017-12-19",56
"2017-12-20",48
"2017-12-21",50
"2017-12-22",51
"2017-12-23",67
"2017-12-24",71
"2017-12-25",77
"2017-12-26",58
"2017-12-27",51
"2017-12-28",61
"2017-12-29",49
"2017-12-30",58
"2017-12-31",71
"2018-01-01",73
"2018-01-02",50
"2018-01-03",55
"2018-01-04",47
"2018-01-05",52
"2018-01-06",59
"2018-01-07",67
"2018-01-08",55
"2018-01-09",48
"2018-01-10",44
"2018-01-11",45
"2018-01-12",45
"2018-01-13",63
"2018-01-14",73
"2018-01-15",64
"2018-01-16",62
"2018-01-17",53
"2018-01-18",45
"2018-01-19",53
"2018-01-20",63
"2018-01-21",78
"2018-01-22",61
"2018-01-23",74
"2018-01-24",56
"2018-01-25",54
"2018-01-26",54
"2018-01-27",60
"2018-01-28",87
"2018-01-29",62
"2018-01-30",57
"2018-01-31",67
"2018-02-01",58
"2018-02-02",53
"2018-02-03",71
"2018-02-04",74
"2018-02-05",69
"2018-02-06",65
"2018-02-07",58
"2018-02-08",59
"2018-02-09",54
"2018-02-10",68
"2018-02-11",83
"2018-02-12",64
"2018-02-13",57
"2018-02-14",55
"2018-02-15",60
"2018-02-16",88
"2018-02-17",100
"2018-02-18",88
"2018-02-19",82
"2018-02-20",73
"2018-02-21",60
"2018-02-22",58
"2018-02-23",60
"2018-02-24",79
"2018-02-25",80
"2018-02-26",71
"2018-02-27",61
"2018-02-28",75
"2018-03-01",75
"2018-03-02",58
"2018-03-03",80
"2018-03-04",79
"2018-03-05",60
"2018-03-06",58
"2018-03-07",52
"2018-03-08",49
"2018-03-09",45
"2018-03-10",62
"2018-03-11",65
"2018-03-12",62
"2018-03-13",44
"2018-03-14",49
"2018-03-15",46
"2018-03-16",48
"2018-03-17",75
"2018-03-18",73
"2018-03-19",54
"2018-03-20",50
"2018-03-21",49
"2018-03-22",46
"2018-03-23",41
"2018-03-24",75
"2018-03-25",69
"2018-03-26",50
"2018-03-27",45
"2018-03-28",40
"2018-03-29",37
"2018-03-30",32
"2018-03-31",44
"2018-04-01",58
"2018-04-02",33
"2018-04-03",32
"2018-04-04",45
"2018-04-05",35
"2018-04-06",40
"2018-04-07",52
"2018-04-08",59
"2018-04-09",47
"2018-04-10",47
"2018-04-11",42
"2018-04-12",42
"2018-04-13",42
"2018-04-14",61
"2018-04-15",73
"2018-04-16",48
"2018-04-17",45
"2018-04-18",56
"2018-04-19",40
