네이버 데이터랩 쇼핑인사이트 > 검색어 통계
조회분야
생활/건강
조회기간 : 2017.08.01. ~ 2018.04.19. 일간
기기별 : 전체
성별 : 전체
연령별 : 전체

"날짜","워너원앨범"
"2017-08-01",10
"2017-08-02",10
"2017-08-03",18
"2017-08-04",18
"2017-08-05",16
"2017-08-06",21
"2017-08-07",76
"2017-08-08",100
"2017-08-09",92
"2017-08-10",70
"2017-08-11",60
"2017-08-12",44
"2017-08-13",57
"2017-08-14",56
"2017-08-15",38
"2017-08-16",33
"2017-08-17",32
"2017-08-18",25
"2017-08-19",26
"2017-08-20",29
"2017-08-21",21
"2017-08-22",18
"2017-08-23",17
"2017-08-24",16
"2017-08-25",13
"2017-08-26",15
"2017-08-27",15
"2017-08-28",10
"2017-08-29",10
"2017-08-30",12
"2017-08-31",11
"2017-09-01",10
"2017-09-02",14
"2017-09-03",14
"2017-09-04",9
"2017-09-05",9
"2017-09-06",8
"2017-09-07",7
"2017-09-08",6
"2017-09-09",6
"2017-09-10",7
"2017-09-11",6
"2017-09-12",6
"2017-09-13",7
"2017-09-14",6
"2017-09-15",4
"2017-09-16",5
"2017-09-17",5
"2017-09-18",5
"2017-09-19",5
"2017-09-20",5
"2017-09-21",5
"2017-09-22",4
"2017-09-23",4
"2017-09-24",4
"2017-09-25",5
"2017-09-26",4
"2017-09-27",3
"2017-09-28",3
"2017-09-29",2
"2017-09-30",3
"2017-10-01",3
"2017-10-02",3
"2017-10-03",3
"2017-10-04",4
"2017-10-05",4
"2017-10-06",4
"2017-10-07",4
"2017-10-08",4
"2017-10-09",5
"2017-10-10",4
"2017-10-11",4
"2017-10-12",3
"2017-10-13",2
"2017-10-14",3
"2017-10-15",3
"2017-10-16",4
"2017-10-17",3
"2017-10-18",3
"2017-10-19",3
"2017-10-20",4
"2017-10-21",3
"2017-10-22",3
"2017-10-23",8
"2017-10-24",6
"2017-10-25",6
"2017-10-26",6
"2017-10-27",7
"2017-10-28",9
"2017-10-29",9
"2017-10-30",16
"2017-10-31",9
"2017-11-01",10
"2017-11-02",8
"2017-11-03",5
"2017-11-04",15
"2017-11-05",11
"2017-11-06",19
"2017-11-07",20
"2017-11-08",15
"2017-11-09",14
"2017-11-10",12
"2017-11-11",15
"2017-11-12",24
"2017-11-13",66
"2017-11-14",68
"2017-11-15",51
"2017-11-16",41
"2017-11-17",23
"2017-11-18",24
"2017-11-19",23
"2017-11-20",20
"2017-11-21",21
"2017-11-22",19
"2017-11-23",15
"2017-11-24",10
"2017-11-25",12
"2017-11-26",13
"2017-11-27",11
"2017-11-28",9
"2017-11-29",8
"2017-11-30",8
"2017-12-01",7
"2017-12-02",12
"2017-12-03",12
"2017-12-04",9
"2017-12-05",8
"2017-12-06",9
"2017-12-07",8
"2017-12-08",6
"2017-12-09",9
"2017-12-10",9
"2017-12-11",8
"2017-12-12",7
"2017-12-13",6
"2017-12-14",7
"2017-12-15",6
"2017-12-16",8
"2017-12-17",11
"2017-12-18",9
"2017-12-19",8
"2017-12-20",8
"2017-12-21",7
"2017-12-22",6
"2017-12-23",9
"2017-12-24",10
"2017-12-25",14
"2017-12-26",7
"2017-12-27",6
"2017-12-28",5
"2017-12-29",4
"2017-12-30",5
"2017-12-31",5
"2018-01-01",7
"2018-01-02",6
"2018-01-03",6
"2018-01-04",6
"2018-01-05",5
"2018-01-06",5
"2018-01-07",5
"2018-01-08",5
"2018-01-09",5
"2018-01-10",5
"2018-01-11",5
"2018-01-12",5
"2018-01-13",6
"2018-01-14",6
"2018-01-15",6
"2018-01-16",6
"2018-01-17",5
"2018-01-18",4
"2018-01-19",5
"2018-01-20",4
"2018-01-21",6
"2018-01-22",5
"2018-01-23",5
"2018-01-24",4
"2018-01-25",4
"2018-01-26",4
"2018-01-27",5
"2018-01-28",5
"2018-01-29",5
"2018-01-30",4
"2018-01-31",4
"2018-02-01",3
"2018-02-02",3
"2018-02-03",4
"2018-02-04",3
"2018-02-05",3
"2018-02-06",4
"2018-02-07",3
"2018-02-08",3
"2018-02-09",3
"2018-02-10",3
"2018-02-11",2
"2018-02-12",3
"2018-02-13",2
"2018-02-14",3
"2018-02-15",3
"2018-02-16",5
"2018-02-17",6
"2018-02-18",6
"2018-02-19",5
"2018-02-20",4
"2018-02-21",4
"2018-02-22",3
"2018-02-23",3
"2018-02-24",3
"2018-02-25",3
"2018-02-26",6
"2018-02-27",11
"2018-02-28",12
"2018-03-01",9
"2018-03-02",10
"2018-03-03",12
"2018-03-04",11
"2018-03-05",26
"2018-03-06",20
"2018-03-07",14
"2018-03-08",10
"2018-03-09",8
"2018-03-10",14
"2018-03-11",12
"2018-03-12",10
"2018-03-13",8
"2018-03-14",7
"2018-03-15",7
"2018-03-16",7
"2018-03-17",11
"2018-03-18",15
"2018-03-19",23
"2018-03-20",17
"2018-03-21",16
"2018-03-22",11
"2018-03-23",9
"2018-03-24",10
"2018-03-25",10
"2018-03-26",6
"2018-03-27",5
"2018-03-28",5
"2018-03-29",4
"2018-03-30",4
"2018-03-31",6
"2018-04-01",6
"2018-04-02",4
"2018-04-03",3
"2018-04-04",3
"2018-04-05",3
"2018-04-06",2
"2018-04-07",3
"2018-04-08",3
"2018-04-09",3
"2018-04-10",2
"2018-04-11",3
"2018-04-12",2
"2018-04-13",2
"2018-04-14",3
"2018-04-15",3
"2018-04-16",2
"2018-04-17",2
"2018-04-18",2
"2018-04-19",2
