네이버 데이터랩 쇼핑인사이트 > 검색어 통계
조회분야
생활/건강
조회기간 : 2017.08.01. ~ 2018.04.19. 일간
기기별 : 전체
성별 : 전체
연령별 : 전체

"날짜","다이어리"
"2017-08-01",3
"2017-08-02",2
"2017-08-03",3
"2017-08-04",3
"2017-08-05",2
"2017-08-06",3
"2017-08-07",3
"2017-08-08",3
"2017-08-09",3
"2017-08-10",4
"2017-08-11",3
"2017-08-12",2
"2017-08-13",4
"2017-08-14",5
"2017-08-15",5
"2017-08-16",5
"2017-08-17",4
"2017-08-18",4
"2017-08-19",5
"2017-08-20",5
"2017-08-21",5
"2017-08-22",3
"2017-08-23",4
"2017-08-24",4
"2017-08-25",3
"2017-08-26",3
"2017-08-27",4
"2017-08-28",4
"2017-08-29",4
"2017-08-30",4
"2017-08-31",5
"2017-09-01",3
"2017-09-02",2
"2017-09-03",4
"2017-09-04",4
"2017-09-05",3
"2017-09-06",4
"2017-09-07",3
"2017-09-08",3
"2017-09-09",3
"2017-09-10",3
"2017-09-11",4
"2017-09-12",4
"2017-09-13",4
"2017-09-14",3
"2017-09-15",3
"2017-09-16",3
"2017-09-17",3
"2017-09-18",4
"2017-09-19",4
"2017-09-20",4
"2017-09-21",3
"2017-09-22",2
"2017-09-23",3
"2017-09-24",3
"2017-09-25",5
"2017-09-26",4
"2017-09-27",5
"2017-09-28",4
"2017-09-29",3
"2017-09-30",3
"2017-10-01",4
"2017-10-02",4
"2017-10-03",3
"2017-10-04",4
"2017-10-05",5
"2017-10-06",5
"2017-10-07",5
"2017-10-08",6
"2017-10-09",8
"2017-10-10",7
"2017-10-11",8
"2017-10-12",9
"2017-10-13",7
"2017-10-14",7
"2017-10-15",9
"2017-10-16",9
"2017-10-17",8
"2017-10-18",9
"2017-10-19",11
"2017-10-20",10
"2017-10-21",7
"2017-10-22",14
"2017-10-23",15
"2017-10-24",12
"2017-10-25",12
"2017-10-26",13
"2017-10-27",19
"2017-10-28",13
"2017-10-29",19
"2017-10-30",19
"2017-10-31",21
"2017-11-01",23
"2017-11-02",22
"2017-11-03",20
"2017-11-04",18
"2017-11-05",24
"2017-11-06",27
"2017-11-07",24
"2017-11-08",24
"2017-11-09",24
"2017-11-10",23
"2017-11-11",20
"2017-11-12",29
"2017-11-13",32
"2017-11-14",27
"2017-11-15",24
"2017-11-16",26
"2017-11-17",24
"2017-11-18",22
"2017-11-19",27
"2017-11-20",29
"2017-11-21",28
"2017-11-22",35
"2017-11-23",30
"2017-11-24",25
"2017-11-25",27
"2017-11-26",31
"2017-11-27",39
"2017-11-28",35
"2017-11-29",39
"2017-11-30",39
"2017-12-01",36
"2017-12-02",31
"2017-12-03",42
"2017-12-04",47
"2017-12-05",42
"2017-12-06",41
"2017-12-07",37
"2017-12-08",35
"2017-12-09",40
"2017-12-10",43
"2017-12-11",53
"2017-12-12",40
"2017-12-13",40
"2017-12-14",37
"2017-12-15",31
"2017-12-16",33
"2017-12-17",42
"2017-12-18",43
"2017-12-19",40
"2017-12-20",40
"2017-12-21",37
"2017-12-22",30
"2017-12-23",35
"2017-12-24",41
"2017-12-25",60
"2017-12-26",68
"2017-12-27",61
"2017-12-28",58
"2017-12-29",48
"2017-12-30",46
"2017-12-31",57
"2018-01-01",90
"2018-01-02",100
"2018-01-03",77
"2018-01-04",56
"2018-01-05",46
"2018-01-06",39
"2018-01-07",44
"2018-01-08",47
"2018-01-09",42
"2018-01-10",34
"2018-01-11",33
"2018-01-12",27
"2018-01-13",22
"2018-01-14",26
"2018-01-15",28
"2018-01-16",25
"2018-01-17",23
"2018-01-18",20
"2018-01-19",16
"2018-01-20",16
"2018-01-21",17
"2018-01-22",21
"2018-01-23",20
"2018-01-24",18
"2018-01-25",17
"2018-01-26",17
"2018-01-27",15
"2018-01-28",18
"2018-01-29",19
"2018-01-30",18
"2018-01-31",17
"2018-02-01",18
"2018-02-02",12
"2018-02-03",11
"2018-02-04",12
"2018-02-05",16
"2018-02-06",13
"2018-02-07",12
"2018-02-08",12
"2018-02-09",8
"2018-02-10",7
"2018-02-11",10
"2018-02-12",10
"2018-02-13",8
"2018-02-14",7
"2018-02-15",7
"2018-02-16",6
"2018-02-17",8
"2018-02-18",11
"2018-02-19",14
"2018-02-20",13
"2018-02-21",11
"2018-02-22",10
"2018-02-23",9
"2018-02-24",9
"2018-02-25",11
"2018-02-26",12
"2018-02-27",11
"2018-02-28",12
"2018-03-01",13
"2018-03-02",10
"2018-03-03",8
"2018-03-04",11
"2018-03-05",11
"2018-03-06",10
"2018-03-07",9
"2018-03-08",8
"2018-03-09",8
"2018-03-10",7
"2018-03-11",9
"2018-03-12",9
"2018-03-13",7
"2018-03-14",7
"2018-03-15",7
"2018-03-16",6
"2018-03-17",5
"2018-03-18",6
"2018-03-19",8
"2018-03-20",7
"2018-03-21",7
"2018-03-22",7
"2018-03-23",5
"2018-03-24",6
"2018-03-25",7
"2018-03-26",8
"2018-03-27",6
"2018-03-28",7
"2018-03-29",6
"2018-03-30",4
"2018-03-31",4
"2018-04-01",5
"2018-04-02",5
"2018-04-03",5
"2018-04-04",6
"2018-04-05",5
"2018-04-06",4
"2018-04-07",4
"2018-04-08",5
"2018-04-09",6
"2018-04-10",6
"2018-04-11",5
"2018-04-12",4
"2018-04-13",4
"2018-04-14",4
"2018-04-15",4
"2018-04-16",5
"2018-04-17",5
"2018-04-18",4
"2018-04-19",4
