네이버 데이터랩 쇼핑인사이트 > 검색어 통계
조회분야
생활/건강
조회기간 : 2017.08.01. ~ 2018.04.19. 일간
기기별 : 전체
성별 : 전체
연령별 : 전체

"날짜","캣타워"
"2017-08-01",75
"2017-08-02",72
"2017-08-03",73
"2017-08-04",63
"2017-08-05",68
"2017-08-06",79
"2017-08-07",68
"2017-08-08",64
"2017-08-09",71
"2017-08-10",77
"2017-08-11",69
"2017-08-12",72
"2017-08-13",80
"2017-08-14",85
"2017-08-15",90
"2017-08-16",82
"2017-08-17",71
"2017-08-18",84
"2017-08-19",71
"2017-08-20",87
"2017-08-21",74
"2017-08-22",83
"2017-08-23",65
"2017-08-24",72
"2017-08-25",64
"2017-08-26",66
"2017-08-27",87
"2017-08-28",70
"2017-08-29",80
"2017-08-30",78
"2017-08-31",88
"2017-09-01",82
"2017-09-02",72
"2017-09-03",83
"2017-09-04",74
"2017-09-05",75
"2017-09-06",73
"2017-09-07",70
"2017-09-08",68
"2017-09-09",64
"2017-09-10",80
"2017-09-11",74
"2017-09-12",66
"2017-09-13",71
"2017-09-14",66
"2017-09-15",68
"2017-09-16",79
"2017-09-17",82
"2017-09-18",84
"2017-09-19",76
"2017-09-20",68
"2017-09-21",68
"2017-09-22",69
"2017-09-23",62
"2017-09-24",76
"2017-09-25",63
"2017-09-26",69
"2017-09-27",62
"2017-09-28",59
"2017-09-29",64
"2017-09-30",62
"2017-10-01",77
"2017-10-02",66
"2017-10-03",67
"2017-10-04",74
"2017-10-05",79
"2017-10-06",93
"2017-10-07",100
"2017-10-08",96
"2017-10-09",88
"2017-10-10",94
"2017-10-11",90
"2017-10-12",68
"2017-10-13",59
"2017-10-14",78
"2017-10-15",94
"2017-10-16",74
"2017-10-17",71
"2017-10-18",71
"2017-10-19",68
"2017-10-20",73
"2017-10-21",67
"2017-10-22",82
"2017-10-23",85
"2017-10-24",67
"2017-10-25",81
"2017-10-26",76
"2017-10-27",68
"2017-10-28",75
"2017-10-29",95
"2017-10-30",77
"2017-10-31",74
"2017-11-01",78
"2017-11-02",80
"2017-11-03",65
"2017-11-04",66
"2017-11-05",77
"2017-11-06",72
"2017-11-07",74
"2017-11-08",82
"2017-11-09",68
"2017-11-10",65
"2017-11-11",66
"2017-11-12",74
"2017-11-13",75
"2017-11-14",60
"2017-11-15",59
"2017-11-16",60
"2017-11-17",55
"2017-11-18",56
"2017-11-19",65
"2017-11-20",61
"2017-11-21",64
"2017-11-22",56
"2017-11-23",53
"2017-11-24",54
"2017-11-25",58
"2017-11-26",66
"2017-11-27",62
"2017-11-28",56
"2017-11-29",60
"2017-11-30",59
"2017-12-01",48
"2017-12-02",56
"2017-12-03",74
"2017-12-04",75
"2017-12-05",58
"2017-12-06",65
"2017-12-07",68
"2017-12-08",47
"2017-12-09",63
"2017-12-10",66
"2017-12-11",62
"2017-12-12",70
"2017-12-13",60
"2017-12-14",56
"2017-12-15",57
"2017-12-16",56
"2017-12-17",72
"2017-12-18",53
"2017-12-19",57
"2017-12-20",56
"2017-12-21",57
"2017-12-22",43
"2017-12-23",59
"2017-12-24",68
"2017-12-25",64
"2017-12-26",74
"2017-12-27",64
"2017-12-28",67
"2017-12-29",60
"2017-12-30",69
"2017-12-31",69
"2018-01-01",83
"2018-01-02",76
"2018-01-03",62
"2018-01-04",61
"2018-01-05",65
"2018-01-06",60
"2018-01-07",82
"2018-01-08",83
"2018-01-09",71
"2018-01-10",68
"2018-01-11",80
"2018-01-12",65
"2018-01-13",60
"2018-01-14",82
"2018-01-15",73
"2018-01-16",76
"2018-01-17",70
"2018-01-18",66
"2018-01-19",53
"2018-01-20",66
"2018-01-21",70
"2018-01-22",75
"2018-01-23",73
"2018-01-24",64
"2018-01-25",58
"2018-01-26",58
"2018-01-27",51
"2018-01-28",66
"2018-01-29",72
"2018-01-30",59
"2018-01-31",53
"2018-02-01",67
"2018-02-02",51
"2018-02-03",60
"2018-02-04",70
"2018-02-05",66
"2018-02-06",64
"2018-02-07",63
"2018-02-08",59
"2018-02-09",51
"2018-02-10",59
"2018-02-11",61
"2018-02-12",61
"2018-02-13",61
"2018-02-14",53
"2018-02-15",65
"2018-02-16",76
"2018-02-17",74
"2018-02-18",86
"2018-02-19",76
"2018-02-20",86
"2018-02-21",60
"2018-02-22",73
"2018-02-23",66
"2018-02-24",67
"2018-02-25",78
"2018-02-26",77
"2018-02-27",71
"2018-02-28",65
"2018-03-01",83
"2018-03-02",70
"2018-03-03",69
"2018-03-04",92
"2018-03-05",78
"2018-03-06",71
"2018-03-07",73
"2018-03-08",70
"2018-03-09",55
"2018-03-10",69
"2018-03-11",92
"2018-03-12",77
"2018-03-13",68
"2018-03-14",64
"2018-03-15",68
"2018-03-16",54
"2018-03-17",61
"2018-03-18",94
"2018-03-19",77
"2018-03-20",74
"2018-03-21",67
"2018-03-22",68
"2018-03-23",63
"2018-03-24",64
"2018-03-25",72
"2018-03-26",80
"2018-03-27",64
"2018-03-28",68
"2018-03-29",77
"2018-03-30",56
"2018-03-31",67
"2018-04-01",69
"2018-04-02",65
"2018-04-03",63
"2018-04-04",60
"2018-04-05",61
"2018-04-06",53
"2018-04-07",59
"2018-04-08",68
"2018-04-09",60
"2018-04-10",59
"2018-04-11",68
"2018-04-12",68
"2018-04-13",49
"2018-04-14",62
"2018-04-15",70
"2018-04-16",67
"2018-04-17",63
"2018-04-18",53
"2018-04-19",66
