네이버 데이터랩 쇼핑인사이트 > 검색어 통계
조회분야
생활/건강
조회기간 : 2017.08.01. ~ 2018.04.19. 일간
기기별 : 전체
성별 : 전체
연령별 : 전체

"날짜","가정용분리수거함"
"2017-08-01",55
"2017-08-02",54
"2017-08-03",53
"2017-08-04",40
"2017-08-05",39
"2017-08-06",54
"2017-08-07",60
"2017-08-08",53
"2017-08-09",57
"2017-08-10",54
"2017-08-11",47
"2017-08-12",37
"2017-08-13",52
"2017-08-14",54
"2017-08-15",74
"2017-08-16",66
"2017-08-17",53
"2017-08-18",46
"2017-08-19",41
"2017-08-20",52
"2017-08-21",70
"2017-08-22",55
"2017-08-23",51
"2017-08-24",44
"2017-08-25",41
"2017-08-26",42
"2017-08-27",62
"2017-08-28",44
"2017-08-29",52
"2017-08-30",48
"2017-08-31",36
"2017-09-01",38
"2017-09-02",44
"2017-09-03",53
"2017-09-04",56
"2017-09-05",57
"2017-09-06",46
"2017-09-07",42
"2017-09-08",42
"2017-09-09",43
"2017-09-10",61
"2017-09-11",69
"2017-09-12",59
"2017-09-13",45
"2017-09-14",42
"2017-09-15",38
"2017-09-16",36
"2017-09-17",49
"2017-09-18",57
"2017-09-19",45
"2017-09-20",41
"2017-09-21",42
"2017-09-22",34
"2017-09-23",33
"2017-09-24",41
"2017-09-25",41
"2017-09-26",42
"2017-09-27",40
"2017-09-28",31
"2017-09-29",29
"2017-09-30",28
"2017-10-01",33
"2017-10-02",32
"2017-10-03",30
"2017-10-04",23
"2017-10-05",33
"2017-10-06",36
"2017-10-07",46
"2017-10-08",51
"2017-10-09",62
"2017-10-10",54
"2017-10-11",49
"2017-10-12",43
"2017-10-13",45
"2017-10-14",33
"2017-10-15",48
"2017-10-16",41
"2017-10-17",43
"2017-10-18",38
"2017-10-19",34
"2017-10-20",29
"2017-10-21",35
"2017-10-22",45
"2017-10-23",46
"2017-10-24",35
"2017-10-25",42
"2017-10-26",34
"2017-10-27",27
"2017-10-28",26
"2017-10-29",43
"2017-10-30",44
"2017-10-31",29
"2017-11-01",30
"2017-11-02",37
"2017-11-03",32
"2017-11-04",27
"2017-11-05",43
"2017-11-06",46
"2017-11-07",34
"2017-11-08",31
"2017-11-09",34
"2017-11-10",34
"2017-11-11",24
"2017-11-12",44
"2017-11-13",46
"2017-11-14",39
"2017-11-15",39
"2017-11-16",32
"2017-11-17",28
"2017-11-18",30
"2017-11-19",37
"2017-11-20",39
"2017-11-21",34
"2017-11-22",39
"2017-11-23",38
"2017-11-24",27
"2017-11-25",29
"2017-11-26",48
"2017-11-27",48
"2017-11-28",49
"2017-11-29",41
"2017-11-30",39
"2017-12-01",36
"2017-12-02",34
"2017-12-03",49
"2017-12-04",49
"2017-12-05",46
"2017-12-06",41
"2017-12-07",37
"2017-12-08",27
"2017-12-09",42
"2017-12-10",49
"2017-12-11",51
"2017-12-12",43
"2017-12-13",38
"2017-12-14",40
"2017-12-15",32
"2017-12-16",42
"2017-12-17",60
"2017-12-18",53
"2017-12-19",45
"2017-12-20",35
"2017-12-21",29
"2017-12-22",24
"2017-12-23",29
"2017-12-24",38
"2017-12-25",49
"2017-12-26",57
"2017-12-27",48
"2017-12-28",51
"2017-12-29",33
"2017-12-30",33
"2017-12-31",41
"2018-01-01",50
"2018-01-02",59
"2018-01-03",52
"2018-01-04",48
"2018-01-05",42
"2018-01-06",36
"2018-01-07",59
"2018-01-08",66
"2018-01-09",56
"2018-01-10",50
"2018-01-11",43
"2018-01-12",40
"2018-01-13",59
"2018-01-14",57
"2018-01-15",59
"2018-01-16",51
"2018-01-17",50
"2018-01-18",47
"2018-01-19",40
"2018-01-20",45
"2018-01-21",82
"2018-01-22",66
"2018-01-23",54
"2018-01-24",55
"2018-01-25",58
"2018-01-26",61
"2018-01-27",48
"2018-01-28",65
"2018-01-29",59
"2018-01-30",57
"2018-01-31",49
"2018-02-01",56
"2018-02-02",43
"2018-02-03",47
"2018-02-04",75
"2018-02-05",64
"2018-02-06",57
"2018-02-07",50
"2018-02-08",45
"2018-02-09",42
"2018-02-10",46
"2018-02-11",63
"2018-02-12",50
"2018-02-13",42
"2018-02-14",43
"2018-02-15",42
"2018-02-16",36
"2018-02-17",52
"2018-02-18",68
"2018-02-19",72
"2018-02-20",100
"2018-02-21",53
"2018-02-22",58
"2018-02-23",50
"2018-02-24",53
"2018-02-25",80
"2018-02-26",79
"2018-02-27",73
"2018-02-28",58
"2018-03-01",79
"2018-03-02",59
"2018-03-03",71
"2018-03-04",91
"2018-03-05",62
"2018-03-06",54
"2018-03-07",49
"2018-03-08",57
"2018-03-09",44
"2018-03-10",59
"2018-03-11",68
"2018-03-12",63
"2018-03-13",52
"2018-03-14",56
"2018-03-15",50
"2018-03-16",41
"2018-03-17",45
"2018-03-18",69
"2018-03-19",70
"2018-03-20",54
"2018-03-21",50
"2018-03-22",47
"2018-03-23",44
"2018-03-24",42
"2018-03-25",65
"2018-03-26",60
"2018-03-27",56
"2018-03-28",46
"2018-03-29",46
"2018-03-30",40
"2018-03-31",44
"2018-04-01",68
"2018-04-02",68
"2018-04-03",49
"2018-04-04",53
"2018-04-05",53
"2018-04-06",39
"2018-04-07",39
"2018-04-08",64
"2018-04-09",58
"2018-04-10",48
"2018-04-11",56
"2018-04-12",48
"2018-04-13",54
"2018-04-14",51
"2018-04-15",68
"2018-04-16",61
"2018-04-17",48
"2018-04-18",59
"2018-04-19",52
