네이버 데이터랩 쇼핑인사이트 > 검색어 통계
조회분야
생활/건강
조회기간 : 2017.08.01. ~ 2018.04.19. 일간
기기별 : 전체
성별 : 전체
연령별 : 전체

"날짜","강아지집"
"2017-08-01",43
"2017-08-02",35
"2017-08-03",40
"2017-08-04",39
"2017-08-05",32
"2017-08-06",42
"2017-08-07",40
"2017-08-08",40
"2017-08-09",42
"2017-08-10",41
"2017-08-11",42
"2017-08-12",46
"2017-08-13",54
"2017-08-14",50
"2017-08-15",61
"2017-08-16",52
"2017-08-17",45
"2017-08-18",46
"2017-08-19",46
"2017-08-20",57
"2017-08-21",58
"2017-08-22",50
"2017-08-23",46
"2017-08-24",50
"2017-08-25",45
"2017-08-26",41
"2017-08-27",57
"2017-08-28",49
"2017-08-29",57
"2017-08-30",61
"2017-08-31",53
"2017-09-01",44
"2017-09-02",47
"2017-09-03",53
"2017-09-04",57
"2017-09-05",54
"2017-09-06",48
"2017-09-07",47
"2017-09-08",47
"2017-09-09",47
"2017-09-10",57
"2017-09-11",63
"2017-09-12",46
"2017-09-13",44
"2017-09-14",49
"2017-09-15",48
"2017-09-16",49
"2017-09-17",64
"2017-09-18",59
"2017-09-19",55
"2017-09-20",47
"2017-09-21",55
"2017-09-22",42
"2017-09-23",54
"2017-09-24",73
"2017-09-25",57
"2017-09-26",53
"2017-09-27",53
"2017-09-28",58
"2017-09-29",47
"2017-09-30",63
"2017-10-01",76
"2017-10-02",59
"2017-10-03",56
"2017-10-04",65
"2017-10-05",77
"2017-10-06",93
"2017-10-07",99
"2017-10-08",93
"2017-10-09",93
"2017-10-10",92
"2017-10-11",90
"2017-10-12",95
"2017-10-13",91
"2017-10-14",84
"2017-10-15",100
"2017-10-16",87
"2017-10-17",86
"2017-10-18",80
"2017-10-19",70
"2017-10-20",64
"2017-10-21",62
"2017-10-22",92
"2017-10-23",74
"2017-10-24",61
"2017-10-25",64
"2017-10-26",55
"2017-10-27",55
"2017-10-28",55
"2017-10-29",78
"2017-10-30",77
"2017-10-31",58
"2017-11-01",55
"2017-11-02",57
"2017-11-03",57
"2017-11-04",71
"2017-11-05",67
"2017-11-06",68
"2017-11-07",55
"2017-11-08",50
"2017-11-09",54
"2017-11-10",56
"2017-11-11",56
"2017-11-12",63
"2017-11-13",62
"2017-11-14",52
"2017-11-15",68
"2017-11-16",71
"2017-11-17",56
"2017-11-18",66
"2017-11-19",80
"2017-11-20",71
"2017-11-21",58
"2017-11-22",59
"2017-11-23",47
"2017-11-24",46
"2017-11-25",46
"2017-11-26",65
"2017-11-27",62
"2017-11-28",51
"2017-11-29",52
"2017-11-30",58
"2017-12-01",48
"2017-12-02",44
"2017-12-03",51
"2017-12-04",56
"2017-12-05",55
"2017-12-06",57
"2017-12-07",51
"2017-12-08",44
"2017-12-09",44
"2017-12-10",51
"2017-12-11",64
"2017-12-12",59
"2017-12-13",47
"2017-12-14",58
"2017-12-15",57
"2017-12-16",52
"2017-12-17",63
"2017-12-18",49
"2017-12-19",46
"2017-12-20",42
"2017-12-21",51
"2017-12-22",39
"2017-12-23",38
"2017-12-24",43
"2017-12-25",58
"2017-12-26",47
"2017-12-27",44
"2017-12-28",37
"2017-12-29",36
"2017-12-30",47
"2017-12-31",45
"2018-01-01",48
"2018-01-02",51
"2018-01-03",50
"2018-01-04",54
"2018-01-05",48
"2018-01-06",53
"2018-01-07",65
"2018-01-08",57
"2018-01-09",58
"2018-01-10",62
"2018-01-11",63
"2018-01-12",50
"2018-01-13",64
"2018-01-14",70
"2018-01-15",58
"2018-01-16",64
"2018-01-17",59
"2018-01-18",54
"2018-01-19",47
"2018-01-20",52
"2018-01-21",69
"2018-01-22",72
"2018-01-23",67
"2018-01-24",56
"2018-01-25",60
"2018-01-26",54
"2018-01-27",57
"2018-01-28",70
"2018-01-29",58
"2018-01-30",61
"2018-01-31",55
"2018-02-01",51
"2018-02-02",45
"2018-02-03",56
"2018-02-04",66
"2018-02-05",65
"2018-02-06",59
"2018-02-07",58
"2018-02-08",47
"2018-02-09",45
"2018-02-10",56
"2018-02-11",70
"2018-02-12",50
"2018-02-13",44
"2018-02-14",41
"2018-02-15",48
"2018-02-16",56
"2018-02-17",69
"2018-02-18",82
"2018-02-19",74
"2018-02-20",63
"2018-02-21",62
"2018-02-22",62
"2018-02-23",56
"2018-02-24",64
"2018-02-25",64
"2018-02-26",65
"2018-02-27",61
"2018-02-28",54
"2018-03-01",74
"2018-03-02",60
"2018-03-03",67
"2018-03-04",88
"2018-03-05",58
"2018-03-06",58
"2018-03-07",56
"2018-03-08",58
"2018-03-09",50
"2018-03-10",45
"2018-03-11",59
"2018-03-12",51
"2018-03-13",43
"2018-03-14",41
"2018-03-15",45
"2018-03-16",34
"2018-03-17",46
"2018-03-18",61
"2018-03-19",49
"2018-03-20",46
"2018-03-21",42
"2018-03-22",35
"2018-03-23",43
"2018-03-24",48
"2018-03-25",58
"2018-03-26",48
"2018-03-27",51
"2018-03-28",47
"2018-03-29",41
"2018-03-30",34
"2018-03-31",44
"2018-04-01",53
"2018-04-02",45
"2018-04-03",34
"2018-04-04",38
"2018-04-05",48
"2018-04-06",47
"2018-04-07",46
"2018-04-08",54
"2018-04-09",48
"2018-04-10",50
"2018-04-11",50
"2018-04-12",37
"2018-04-13",40
"2018-04-14",39
"2018-04-15",50
"2018-04-16",50
"2018-04-17",44
"2018-04-18",43
"2018-04-19",41
