네이버 데이터랩 쇼핑인사이트 > 검색어 통계
조회분야
생활/건강
조회기간 : 2017.08.01. ~ 2018.04.19. 일간
기기별 : 전체
성별 : 전체
연령별 : 전체

"날짜","스터디플래너"
"2017-08-01",13
"2017-08-02",12
"2017-08-03",10
"2017-08-04",11
"2017-08-05",8
"2017-08-06",10
"2017-08-07",11
"2017-08-08",10
"2017-08-09",11
"2017-08-10",12
"2017-08-11",11
"2017-08-12",10
"2017-08-13",10
"2017-08-14",13
"2017-08-15",14
"2017-08-16",11
"2017-08-17",10
"2017-08-18",12
"2017-08-19",14
"2017-08-20",23
"2017-08-21",15
"2017-08-22",15
"2017-08-23",13
"2017-08-24",10
"2017-08-25",9
"2017-08-26",11
"2017-08-27",13
"2017-08-28",13
"2017-08-29",12
"2017-08-30",13
"2017-08-31",10
"2017-09-01",10
"2017-09-02",10
"2017-09-03",11
"2017-09-04",11
"2017-09-05",12
"2017-09-06",10
"2017-09-07",10
"2017-09-08",11
"2017-09-09",12
"2017-09-10",14
"2017-09-11",9
"2017-09-12",7
"2017-09-13",11
"2017-09-14",8
"2017-09-15",6
"2017-09-16",8
"2017-09-17",13
"2017-09-18",11
"2017-09-19",9
"2017-09-20",8
"2017-09-21",9
"2017-09-22",9
"2017-09-23",8
"2017-09-24",12
"2017-09-25",10
"2017-09-26",11
"2017-09-27",12
"2017-09-28",10
"2017-09-29",9
"2017-09-30",9
"2017-10-01",9
"2017-10-02",9
"2017-10-03",8
"2017-10-04",8
"2017-10-05",9
"2017-10-06",13
"2017-10-07",16
"2017-10-08",13
"2017-10-09",18
"2017-10-10",14
"2017-10-11",15
"2017-10-12",12
"2017-10-13",11
"2017-10-14",15
"2017-10-15",18
"2017-10-16",15
"2017-10-17",15
"2017-10-18",14
"2017-10-19",13
"2017-10-20",11
"2017-10-21",14
"2017-10-22",19
"2017-10-23",16
"2017-10-24",18
"2017-10-25",14
"2017-10-26",17
"2017-10-27",17
"2017-10-28",14
"2017-10-29",22
"2017-10-30",21
"2017-10-31",19
"2017-11-01",20
"2017-11-02",18
"2017-11-03",23
"2017-11-04",20
"2017-11-05",33
"2017-11-06",26
"2017-11-07",22
"2017-11-08",23
"2017-11-09",22
"2017-11-10",22
"2017-11-11",26
"2017-11-12",29
"2017-11-13",32
"2017-11-14",29
"2017-11-15",26
"2017-11-16",33
"2017-11-17",24
"2017-11-18",25
"2017-11-19",32
"2017-11-20",27
"2017-11-21",28
"2017-11-22",38
"2017-11-23",34
"2017-11-24",35
"2017-11-25",36
"2017-11-26",48
"2017-11-27",40
"2017-11-28",40
"2017-11-29",46
"2017-11-30",49
"2017-12-01",46
"2017-12-02",45
"2017-12-03",66
"2017-12-04",47
"2017-12-05",53
"2017-12-06",50
"2017-12-07",53
"2017-12-08",46
"2017-12-09",57
"2017-12-10",63
"2017-12-11",54
"2017-12-12",49
"2017-12-13",44
"2017-12-14",43
"2017-12-15",43
"2017-12-16",45
"2017-12-17",50
"2017-12-18",48
"2017-12-19",37
"2017-12-20",46
"2017-12-21",37
"2017-12-22",39
"2017-12-23",54
"2017-12-24",59
"2017-12-25",50
"2017-12-26",68
"2017-12-27",69
"2017-12-28",67
"2017-12-29",64
"2017-12-30",68
"2017-12-31",76
"2018-01-01",100
"2018-01-02",92
"2018-01-03",81
"2018-01-04",64
"2018-01-05",55
"2018-01-06",54
"2018-01-07",57
"2018-01-08",56
"2018-01-09",45
"2018-01-10",39
"2018-01-11",41
"2018-01-12",29
"2018-01-13",32
"2018-01-14",35
"2018-01-15",39
"2018-01-16",37
"2018-01-17",40
"2018-01-18",29
"2018-01-19",29
"2018-01-20",31
"2018-01-21",32
"2018-01-22",36
"2018-01-23",36
"2018-01-24",34
"2018-01-25",29
"2018-01-26",26
"2018-01-27",28
"2018-01-28",34
"2018-01-29",36
"2018-01-30",38
"2018-01-31",36
"2018-02-01",39
"2018-02-02",35
"2018-02-03",35
"2018-02-04",37
"2018-02-05",40
"2018-02-06",31
"2018-02-07",32
"2018-02-08",27
"2018-02-09",24
"2018-02-10",26
"2018-02-11",30
"2018-02-12",35
"2018-02-13",28
"2018-02-14",22
"2018-02-15",23
"2018-02-16",20
"2018-02-17",22
"2018-02-18",35
"2018-02-19",40
"2018-02-20",37
"2018-02-21",36
"2018-02-22",33
"2018-02-23",29
"2018-02-24",26
"2018-02-25",37
"2018-02-26",40
"2018-02-27",36
"2018-02-28",36
"2018-03-01",39
"2018-03-02",30
"2018-03-03",41
"2018-03-04",45
"2018-03-05",41
"2018-03-06",29
"2018-03-07",26
"2018-03-08",24
"2018-03-09",21
"2018-03-10",26
"2018-03-11",34
"2018-03-12",25
"2018-03-13",22
"2018-03-14",21
"2018-03-15",24
"2018-03-16",18
"2018-03-17",24
"2018-03-18",32
"2018-03-19",22
"2018-03-20",23
"2018-03-21",22
"2018-03-22",23
"2018-03-23",16
"2018-03-24",19
"2018-03-25",27
"2018-03-26",21
"2018-03-27",21
"2018-03-28",17
"2018-03-29",14
"2018-03-30",15
"2018-03-31",18
"2018-04-01",22
"2018-04-02",20
"2018-04-03",20
"2018-04-04",18
"2018-04-05",18
"2018-04-06",16
"2018-04-07",17
"2018-04-08",19
"2018-04-09",15
"2018-04-10",14
"2018-04-11",17
"2018-04-12",16
"2018-04-13",18
"2018-04-14",18
"2018-04-15",20
"2018-04-16",16
"2018-04-17",14
"2018-04-18",18
"2018-04-19",16
