네이버 데이터랩 쇼핑인사이트 > 검색어 통계
조회분야
생활/건강
조회기간 : 2017.08.01. ~ 2018.04.19. 일간
기기별 : 전체
성별 : 전체
연령별 : 전체

"날짜","분리수거함"
"2017-08-01",56
"2017-08-02",59
"2017-08-03",52
"2017-08-04",47
"2017-08-05",40
"2017-08-06",57
"2017-08-07",75
"2017-08-08",74
"2017-08-09",63
"2017-08-10",58
"2017-08-11",45
"2017-08-12",39
"2017-08-13",57
"2017-08-14",71
"2017-08-15",77
"2017-08-16",90
"2017-08-17",75
"2017-08-18",56
"2017-08-19",43
"2017-08-20",65
"2017-08-21",66
"2017-08-22",67
"2017-08-23",59
"2017-08-24",52
"2017-08-25",49
"2017-08-26",39
"2017-08-27",57
"2017-08-28",56
"2017-08-29",63
"2017-08-30",54
"2017-08-31",49
"2017-09-01",40
"2017-09-02",39
"2017-09-03",52
"2017-09-04",55
"2017-09-05",60
"2017-09-06",45
"2017-09-07",44
"2017-09-08",41
"2017-09-09",39
"2017-09-10",48
"2017-09-11",63
"2017-09-12",52
"2017-09-13",48
"2017-09-14",43
"2017-09-15",51
"2017-09-16",41
"2017-09-17",59
"2017-09-18",59
"2017-09-19",49
"2017-09-20",43
"2017-09-21",43
"2017-09-22",33
"2017-09-23",28
"2017-09-24",41
"2017-09-25",48
"2017-09-26",40
"2017-09-27",42
"2017-09-28",31
"2017-09-29",31
"2017-09-30",27
"2017-10-01",26
"2017-10-02",29
"2017-10-03",24
"2017-10-04",16
"2017-10-05",28
"2017-10-06",41
"2017-10-07",41
"2017-10-08",53
"2017-10-09",52
"2017-10-10",57
"2017-10-11",44
"2017-10-12",46
"2017-10-13",54
"2017-10-14",37
"2017-10-15",53
"2017-10-16",49
"2017-10-17",49
"2017-10-18",44
"2017-10-19",43
"2017-10-20",40
"2017-10-21",35
"2017-10-22",48
"2017-10-23",52
"2017-10-24",43
"2017-10-25",58
"2017-10-26",54
"2017-10-27",46
"2017-10-28",51
"2017-10-29",61
"2017-10-30",56
"2017-10-31",48
"2017-11-01",50
"2017-11-02",49
"2017-11-03",53
"2017-11-04",37
"2017-11-05",59
"2017-11-06",62
"2017-11-07",55
"2017-11-08",50
"2017-11-09",50
"2017-11-10",41
"2017-11-11",36
"2017-11-12",55
"2017-11-13",58
"2017-11-14",57
"2017-11-15",49
"2017-11-16",48
"2017-11-17",43
"2017-11-18",33
"2017-11-19",56
"2017-11-20",47
"2017-11-21",52
"2017-11-22",49
"2017-11-23",49
"2017-11-24",43
"2017-11-25",38
"2017-11-26",50
"2017-11-27",66
"2017-11-28",62
"2017-11-29",63
"2017-11-30",63
"2017-12-01",48
"2017-12-02",53
"2017-12-03",64
"2017-12-04",71
"2017-12-05",53
"2017-12-06",52
"2017-12-07",56
"2017-12-08",43
"2017-12-09",44
"2017-12-10",69
"2017-12-11",63
"2017-12-12",52
"2017-12-13",43
"2017-12-14",48
"2017-12-15",54
"2017-12-16",60
"2017-12-17",65
"2017-12-18",64
"2017-12-19",54
"2017-12-20",52
"2017-12-21",51
"2017-12-22",38
"2017-12-23",33
"2017-12-24",43
"2017-12-25",53
"2017-12-26",56
"2017-12-27",54
"2017-12-28",54
"2017-12-29",34
"2017-12-30",31
"2017-12-31",44
"2018-01-01",67
"2018-01-02",67
"2018-01-03",69
"2018-01-04",63
"2018-01-05",49
"2018-01-06",45
"2018-01-07",71
"2018-01-08",87
"2018-01-09",65
"2018-01-10",60
"2018-01-11",54
"2018-01-12",49
"2018-01-13",63
"2018-01-14",61
"2018-01-15",75
"2018-01-16",67
"2018-01-17",62
"2018-01-18",54
"2018-01-19",56
"2018-01-20",48
"2018-01-21",78
"2018-01-22",84
"2018-01-23",72
"2018-01-24",69
"2018-01-25",71
"2018-01-26",64
"2018-01-27",54
"2018-01-28",81
"2018-01-29",72
"2018-01-30",79
"2018-01-31",61
"2018-02-01",70
"2018-02-02",56
"2018-02-03",52
"2018-02-04",70
"2018-02-05",83
"2018-02-06",71
"2018-02-07",71
"2018-02-08",58
"2018-02-09",52
"2018-02-10",51
"2018-02-11",71
"2018-02-12",57
"2018-02-13",50
"2018-02-14",45
"2018-02-15",31
"2018-02-16",33
"2018-02-17",52
"2018-02-18",82
"2018-02-19",85
"2018-02-20",100
"2018-02-21",68
"2018-02-22",66
"2018-02-23",60
"2018-02-24",60
"2018-02-25",69
"2018-02-26",89
"2018-02-27",72
"2018-02-28",64
"2018-03-01",81
"2018-03-02",83
"2018-03-03",77
"2018-03-04",93
"2018-03-05",78
"2018-03-06",67
"2018-03-07",68
"2018-03-08",75
"2018-03-09",62
"2018-03-10",68
"2018-03-11",76
"2018-03-12",69
"2018-03-13",62
"2018-03-14",71
"2018-03-15",76
"2018-03-16",57
"2018-03-17",59
"2018-03-18",78
"2018-03-19",76
"2018-03-20",66
"2018-03-21",61
"2018-03-22",68
"2018-03-23",59
"2018-03-24",48
"2018-03-25",64
"2018-03-26",69
"2018-03-27",63
"2018-03-28",57
"2018-03-29",54
"2018-03-30",38
"2018-03-31",42
"2018-04-01",57
"2018-04-02",57
"2018-04-03",59
"2018-04-04",49
"2018-04-05",53
"2018-04-06",49
"2018-04-07",44
"2018-04-08",59
"2018-04-09",58
"2018-04-10",52
"2018-04-11",59
"2018-04-12",49
"2018-04-13",51
"2018-04-14",42
"2018-04-15",61
"2018-04-16",66
"2018-04-17",60
"2018-04-18",49
"2018-04-19",48
