네이버 데이터랩 쇼핑인사이트 > 검색어 통계
조회분야
생활/건강
조회기간 : 2017.08.01. ~ 2018.04.19. 일간
기기별 : 전체
성별 : 전체
연령별 : 전체

"날짜","스퀴시"
"2017-08-01",6
"2017-08-02",8
"2017-08-03",8
"2017-08-04",9
"2017-08-05",8
"2017-08-06",10
"2017-08-07",8
"2017-08-08",9
"2017-08-09",9
"2017-08-10",8
"2017-08-11",10
"2017-08-12",11
"2017-08-13",12
"2017-08-14",9
"2017-08-15",13
"2017-08-16",11
"2017-08-17",10
"2017-08-18",11
"2017-08-19",11
"2017-08-20",13
"2017-08-21",12
"2017-08-22",12
"2017-08-23",22
"2017-08-24",18
"2017-08-25",18
"2017-08-26",30
"2017-08-27",30
"2017-08-28",19
"2017-08-29",20
"2017-08-30",20
"2017-08-31",15
"2017-09-01",14
"2017-09-02",24
"2017-09-03",22
"2017-09-04",13
"2017-09-05",13
"2017-09-06",14
"2017-09-07",12
"2017-09-08",13
"2017-09-09",21
"2017-09-10",29
"2017-09-11",15
"2017-09-12",17
"2017-09-13",14
"2017-09-14",12
"2017-09-15",35
"2017-09-16",81
"2017-09-17",67
"2017-09-18",33
"2017-09-19",31
"2017-09-20",36
"2017-09-21",37
"2017-09-22",33
"2017-09-23",59
"2017-09-24",66
"2017-09-25",46
"2017-09-26",40
"2017-09-27",45
"2017-09-28",45
"2017-09-29",42
"2017-09-30",74
"2017-10-01",74
"2017-10-02",65
"2017-10-03",55
"2017-10-04",64
"2017-10-05",69
"2017-10-06",65
"2017-10-07",58
"2017-10-08",48
"2017-10-09",67
"2017-10-10",62
"2017-10-11",66
"2017-10-12",63
"2017-10-13",77
"2017-10-14",100
"2017-10-15",85
"2017-10-16",74
"2017-10-17",82
"2017-10-18",83
"2017-10-19",77
"2017-10-20",80
"2017-10-21",86
"2017-10-22",86
"2017-10-23",72
"2017-10-24",65
"2017-10-25",78
"2017-10-26",74
"2017-10-27",65
"2017-10-28",80
"2017-10-29",74
"2017-10-30",46
"2017-10-31",41
"2017-11-01",58
"2017-11-02",53
"2017-11-03",38
"2017-11-04",47
"2017-11-05",41
"2017-11-06",33
"2017-11-07",35
"2017-11-08",42
"2017-11-09",39
"2017-11-10",30
"2017-11-11",48
"2017-11-12",45
"2017-11-13",34
"2017-11-14",29
"2017-11-15",28
"2017-11-16",26
"2017-11-17",19
"2017-11-18",34
"2017-11-19",29
"2017-11-20",21
"2017-11-21",24
"2017-11-22",23
"2017-11-23",22
"2017-11-24",19
"2017-11-25",29
"2017-11-26",28
"2017-11-27",22
"2017-11-28",22
"2017-11-29",24
"2017-11-30",20
"2017-12-01",20
"2017-12-02",34
"2017-12-03",35
"2017-12-04",25
"2017-12-05",21
"2017-12-06",24
"2017-12-07",22
"2017-12-08",19
"2017-12-09",30
"2017-12-10",26
"2017-12-11",21
"2017-12-12",22
"2017-12-13",24
"2017-12-14",19
"2017-12-15",16
"2017-12-16",22
"2017-12-17",25
"2017-12-18",25
"2017-12-19",23
"2017-12-20",21
"2017-12-21",18
"2017-12-22",16
"2017-12-23",17
"2017-12-24",17
"2017-12-25",21
"2017-12-26",12
"2017-12-27",12
"2017-12-28",10
"2017-12-29",11
"2017-12-30",14
"2017-12-31",13
"2018-01-01",14
"2018-01-02",12
"2018-01-03",12
"2018-01-04",11
"2018-01-05",12
"2018-01-06",13
"2018-01-07",18
"2018-01-08",13
"2018-01-09",12
"2018-01-10",10
"2018-01-11",12
"2018-01-12",12
"2018-01-13",13
"2018-01-14",13
"2018-01-15",12
"2018-01-16",12
"2018-01-17",10
"2018-01-18",10
"2018-01-19",12
"2018-01-20",12
"2018-01-21",10
"2018-01-22",10
"2018-01-23",9
"2018-01-24",8
"2018-01-25",6
"2018-01-26",5
"2018-01-27",6
"2018-01-28",7
"2018-01-29",7
"2018-01-30",7
"2018-01-31",9
"2018-02-01",8
"2018-02-02",9
"2018-02-03",9
"2018-02-04",9
"2018-02-05",6
"2018-02-06",6
"2018-02-07",6
"2018-02-08",7
"2018-02-09",6
"2018-02-10",8
"2018-02-11",12
"2018-02-12",7
"2018-02-13",6
"2018-02-14",6
"2018-02-15",7
"2018-02-16",11
"2018-02-17",13
"2018-02-18",10
"2018-02-19",9
"2018-02-20",8
"2018-02-21",8
"2018-02-22",7
"2018-02-23",7
"2018-02-24",8
"2018-02-25",11
"2018-02-26",8
"2018-02-27",7
"2018-02-28",6
"2018-03-01",10
"2018-03-02",8
"2018-03-03",8
"2018-03-04",9
"2018-03-05",6
"2018-03-06",7
"2018-03-07",6
"2018-03-08",6
"2018-03-09",5
"2018-03-10",9
"2018-03-11",10
"2018-03-12",5
"2018-03-13",6
"2018-03-14",6
"2018-03-15",5
"2018-03-16",5
"2018-03-17",9
"2018-03-18",8
"2018-03-19",5
"2018-03-20",4
"2018-03-21",5
"2018-03-22",5
"2018-03-23",5
"2018-03-24",6
"2018-03-25",6
"2018-03-26",7
"2018-03-27",5
"2018-03-28",6
"2018-03-29",4
"2018-03-30",5
"2018-03-31",6
"2018-04-01",8
"2018-04-02",5
"2018-04-03",6
"2018-04-04",5
"2018-04-05",6
"2018-04-06",6
"2018-04-07",7
"2018-04-08",8
"2018-04-09",5
"2018-04-10",6
"2018-04-11",5
"2018-04-12",5
"2018-04-13",6
"2018-04-14",10
"2018-04-15",9
"2018-04-16",5
"2018-04-17",6
"2018-04-18",5
"2018-04-19",6
