네이버 데이터랩 쇼핑인사이트 > 검색어 통계
조회분야
생활/건강
조회기간 : 2017.08.01. ~ 2018.04.19. 일간
기기별 : 전체
성별 : 전체
연령별 : 전체

"날짜","차량용방향제"
"2017-08-01",66
"2017-08-02",69
"2017-08-03",59
"2017-08-04",65
"2017-08-05",41
"2017-08-06",52
"2017-08-07",65
"2017-08-08",69
"2017-08-09",61
"2017-08-10",64
"2017-08-11",53
"2017-08-12",38
"2017-08-13",50
"2017-08-14",55
"2017-08-15",67
"2017-08-16",61
"2017-08-17",66
"2017-08-18",55
"2017-08-19",57
"2017-08-20",63
"2017-08-21",63
"2017-08-22",73
"2017-08-23",66
"2017-08-24",59
"2017-08-25",55
"2017-08-26",45
"2017-08-27",61
"2017-08-28",55
"2017-08-29",64
"2017-08-30",61
"2017-08-31",49
"2017-09-01",40
"2017-09-02",44
"2017-09-03",60
"2017-09-04",65
"2017-09-05",66
"2017-09-06",62
"2017-09-07",59
"2017-09-08",55
"2017-09-09",51
"2017-09-10",54
"2017-09-11",64
"2017-09-12",67
"2017-09-13",63
"2017-09-14",52
"2017-09-15",39
"2017-09-16",40
"2017-09-17",56
"2017-09-18",57
"2017-09-19",55
"2017-09-20",53
"2017-09-21",47
"2017-09-22",41
"2017-09-23",40
"2017-09-24",53
"2017-09-25",70
"2017-09-26",57
"2017-09-27",61
"2017-09-28",45
"2017-09-29",34
"2017-09-30",34
"2017-10-01",39
"2017-10-02",33
"2017-10-03",36
"2017-10-04",36
"2017-10-05",29
"2017-10-06",34
"2017-10-07",36
"2017-10-08",38
"2017-10-09",55
"2017-10-10",50
"2017-10-11",56
"2017-10-12",52
"2017-10-13",40
"2017-10-14",38
"2017-10-15",53
"2017-10-16",55
"2017-10-17",54
"2017-10-18",61
"2017-10-19",59
"2017-10-20",43
"2017-10-21",46
"2017-10-22",51
"2017-10-23",62
"2017-10-24",59
"2017-10-25",53
"2017-10-26",51
"2017-10-27",51
"2017-10-28",38
"2017-10-29",70
"2017-10-30",53
"2017-10-31",51
"2017-11-01",58
"2017-11-02",57
"2017-11-03",52
"2017-11-04",40
"2017-11-05",61
"2017-11-06",64
"2017-11-07",71
"2017-11-08",62
"2017-11-09",54
"2017-11-10",49
"2017-11-11",42
"2017-11-12",59
"2017-11-13",60
"2017-11-14",60
"2017-11-15",58
"2017-11-16",53
"2017-11-17",43
"2017-11-18",54
"2017-11-19",49
"2017-11-20",47
"2017-11-21",49
"2017-11-22",49
"2017-11-23",51
"2017-11-24",41
"2017-11-25",36
"2017-11-26",51
"2017-11-27",50
"2017-11-28",51
"2017-11-29",55
"2017-11-30",49
"2017-12-01",41
"2017-12-02",43
"2017-12-03",58
"2017-12-04",54
"2017-12-05",65
"2017-12-06",64
"2017-12-07",56
"2017-12-08",43
"2017-12-09",41
"2017-12-10",54
"2017-12-11",65
"2017-12-12",53
"2017-12-13",60
"2017-12-14",54
"2017-12-15",43
"2017-12-16",37
"2017-12-17",52
"2017-12-18",56
"2017-12-19",63
"2017-12-20",56
"2017-12-21",44
"2017-12-22",48
"2017-12-23",48
"2017-12-24",52
"2017-12-25",54
"2017-12-26",60
"2017-12-27",47
"2017-12-28",45
"2017-12-29",44
"2017-12-30",42
"2017-12-31",38
"2018-01-01",46
"2018-01-02",56
"2018-01-03",53
"2018-01-04",51
"2018-01-05",40
"2018-01-06",44
"2018-01-07",54
"2018-01-08",52
"2018-01-09",50
"2018-01-10",52
"2018-01-11",60
"2018-01-12",45
"2018-01-13",46
"2018-01-14",63
"2018-01-15",58
"2018-01-16",68
"2018-01-17",78
"2018-01-18",58
"2018-01-19",58
"2018-01-20",52
"2018-01-21",74
"2018-01-22",74
"2018-01-23",67
"2018-01-24",64
"2018-01-25",55
"2018-01-26",43
"2018-01-27",42
"2018-01-28",54
"2018-01-29",60
"2018-01-30",61
"2018-01-31",63
"2018-02-01",59
"2018-02-02",58
"2018-02-03",47
"2018-02-04",72
"2018-02-05",64
"2018-02-06",82
"2018-02-07",75
"2018-02-08",68
"2018-02-09",56
"2018-02-10",56
"2018-02-11",73
"2018-02-12",63
"2018-02-13",58
"2018-02-14",43
"2018-02-15",44
"2018-02-16",43
"2018-02-17",43
"2018-02-18",65
"2018-02-19",67
"2018-02-20",63
"2018-02-21",64
"2018-02-22",60
"2018-02-23",51
"2018-02-24",47
"2018-02-25",79
"2018-02-26",70
"2018-02-27",81
"2018-02-28",70
"2018-03-01",69
"2018-03-02",58
"2018-03-03",55
"2018-03-04",74
"2018-03-05",71
"2018-03-06",78
"2018-03-07",88
"2018-03-08",71
"2018-03-09",63
"2018-03-10",60
"2018-03-11",90
"2018-03-12",81
"2018-03-13",83
"2018-03-14",76
"2018-03-15",84
"2018-03-16",67
"2018-03-17",69
"2018-03-18",84
"2018-03-19",94
"2018-03-20",76
"2018-03-21",77
"2018-03-22",92
"2018-03-23",75
"2018-03-24",61
"2018-03-25",93
"2018-03-26",97
"2018-03-27",93
"2018-03-28",99
"2018-03-29",85
"2018-03-30",73
"2018-03-31",67
"2018-04-01",87
"2018-04-02",100
"2018-04-03",88
"2018-04-04",90
"2018-04-05",87
"2018-04-06",69
"2018-04-07",67
"2018-04-08",82
"2018-04-09",81
"2018-04-10",76
"2018-04-11",75
"2018-04-12",83
"2018-04-13",65
"2018-04-14",75
"2018-04-15",81
"2018-04-16",88
"2018-04-17",81
"2018-04-18",91
"2018-04-19",80
