네이버 데이터랩 쇼핑인사이트 > 검색어 통계
조회분야
생활/건강
조회기간 : 2017.08.01. ~ 2018.04.19. 일간
기기별 : 전체
성별 : 전체
연령별 : 전체

"날짜","양념통"
"2017-08-01",42
"2017-08-02",46
"2017-08-03",47
"2017-08-04",43
"2017-08-05",44
"2017-08-06",56
"2017-08-07",55
"2017-08-08",55
"2017-08-09",57
"2017-08-10",52
"2017-08-11",42
"2017-08-12",41
"2017-08-13",56
"2017-08-14",70
"2017-08-15",71
"2017-08-16",88
"2017-08-17",56
"2017-08-18",49
"2017-08-19",48
"2017-08-20",73
"2017-08-21",84
"2017-08-22",78
"2017-08-23",73
"2017-08-24",72
"2017-08-25",54
"2017-08-26",71
"2017-08-27",74
"2017-08-28",62
"2017-08-29",72
"2017-08-30",74
"2017-08-31",75
"2017-09-01",54
"2017-09-02",52
"2017-09-03",55
"2017-09-04",62
"2017-09-05",56
"2017-09-06",58
"2017-09-07",60
"2017-09-08",47
"2017-09-09",38
"2017-09-10",69
"2017-09-11",58
"2017-09-12",60
"2017-09-13",64
"2017-09-14",49
"2017-09-15",49
"2017-09-16",42
"2017-09-17",60
"2017-09-18",59
"2017-09-19",51
"2017-09-20",54
"2017-09-21",50
"2017-09-22",40
"2017-09-23",40
"2017-09-24",46
"2017-09-25",53
"2017-09-26",53
"2017-09-27",43
"2017-09-28",41
"2017-09-29",27
"2017-09-30",28
"2017-10-01",42
"2017-10-02",47
"2017-10-03",33
"2017-10-04",35
"2017-10-05",43
"2017-10-06",49
"2017-10-07",56
"2017-10-08",72
"2017-10-09",85
"2017-10-10",62
"2017-10-11",62
"2017-10-12",62
"2017-10-13",53
"2017-10-14",44
"2017-10-15",55
"2017-10-16",53
"2017-10-17",55
"2017-10-18",53
"2017-10-19",49
"2017-10-20",35
"2017-10-21",38
"2017-10-22",55
"2017-10-23",49
"2017-10-24",50
"2017-10-25",51
"2017-10-26",49
"2017-10-27",43
"2017-10-28",40
"2017-10-29",48
"2017-10-30",47
"2017-10-31",52
"2017-11-01",62
"2017-11-02",52
"2017-11-03",44
"2017-11-04",55
"2017-11-05",59
"2017-11-06",58
"2017-11-07",60
"2017-11-08",59
"2017-11-09",53
"2017-11-10",43
"2017-11-11",40
"2017-11-12",62
"2017-11-13",54
"2017-11-14",62
"2017-11-15",49
"2017-11-16",55
"2017-11-17",43
"2017-11-18",37
"2017-11-19",50
"2017-11-20",54
"2017-11-21",54
"2017-11-22",54
"2017-11-23",49
"2017-11-24",37
"2017-11-25",31
"2017-11-26",47
"2017-11-27",48
"2017-11-28",50
"2017-11-29",55
"2017-11-30",43
"2017-12-01",35
"2017-12-02",38
"2017-12-03",57
"2017-12-04",51
"2017-12-05",52
"2017-12-06",58
"2017-12-07",54
"2017-12-08",37
"2017-12-09",43
"2017-12-10",51
"2017-12-11",61
"2017-12-12",57
"2017-12-13",49
"2017-12-14",44
"2017-12-15",38
"2017-12-16",35
"2017-12-17",48
"2017-12-18",53
"2017-12-19",44
"2017-12-20",43
"2017-12-21",33
"2017-12-22",25
"2017-12-23",36
"2017-12-24",46
"2017-12-25",58
"2017-12-26",64
"2017-12-27",56
"2017-12-28",51
"2017-12-29",44
"2017-12-30",45
"2017-12-31",50
"2018-01-01",66
"2018-01-02",70
"2018-01-03",76
"2018-01-04",69
"2018-01-05",55
"2018-01-06",61
"2018-01-07",90
"2018-01-08",68
"2018-01-09",66
"2018-01-10",69
"2018-01-11",56
"2018-01-12",63
"2018-01-13",58
"2018-01-14",76
"2018-01-15",66
"2018-01-16",73
"2018-01-17",61
"2018-01-18",62
"2018-01-19",47
"2018-01-20",53
"2018-01-21",62
"2018-01-22",53
"2018-01-23",59
"2018-01-24",61
"2018-01-25",61
"2018-01-26",49
"2018-01-27",50
"2018-01-28",69
"2018-01-29",70
"2018-01-30",53
"2018-01-31",51
"2018-02-01",54
"2018-02-02",50
"2018-02-03",47
"2018-02-04",81
"2018-02-05",62
"2018-02-06",61
"2018-02-07",63
"2018-02-08",56
"2018-02-09",39
"2018-02-10",38
"2018-02-11",51
"2018-02-12",56
"2018-02-13",42
"2018-02-14",29
"2018-02-15",35
"2018-02-16",45
"2018-02-17",49
"2018-02-18",74
"2018-02-19",76
"2018-02-20",62
"2018-02-21",66
"2018-02-22",70
"2018-02-23",50
"2018-02-24",60
"2018-02-25",72
"2018-02-26",67
"2018-02-27",62
"2018-02-28",63
"2018-03-01",68
"2018-03-02",68
"2018-03-03",53
"2018-03-04",76
"2018-03-05",78
"2018-03-06",56
"2018-03-07",59
"2018-03-08",72
"2018-03-09",46
"2018-03-10",53
"2018-03-11",62
"2018-03-12",100
"2018-03-13",61
"2018-03-14",53
"2018-03-15",63
"2018-03-16",44
"2018-03-17",41
"2018-03-18",65
"2018-03-19",80
"2018-03-20",62
"2018-03-21",62
"2018-03-22",59
"2018-03-23",50
"2018-03-24",44
"2018-03-25",53
"2018-03-26",59
"2018-03-27",52
"2018-03-28",49
"2018-03-29",47
"2018-03-30",41
"2018-03-31",44
"2018-04-01",54
"2018-04-02",48
"2018-04-03",45
"2018-04-04",52
"2018-04-05",61
"2018-04-06",41
"2018-04-07",45
"2018-04-08",68
"2018-04-09",60
"2018-04-10",61
"2018-04-11",53
"2018-04-12",57
"2018-04-13",45
"2018-04-14",55
"2018-04-15",66
"2018-04-16",57
"2018-04-17",61
"2018-04-18",55
"2018-04-19",46
