네이버 데이터랩 쇼핑인사이트 > 검색어 통계
조회분야
생활/건강
조회기간 : 2017.08.01. ~ 2018.04.19. 일간
기기별 : 전체
성별 : 전체
연령별 : 전체

"날짜","전자담배액상"
"2017-08-01",58
"2017-08-02",59
"2017-08-03",62
"2017-08-04",41
"2017-08-05",34
"2017-08-06",44
"2017-08-07",63
"2017-08-08",59
"2017-08-09",53
"2017-08-10",59
"2017-08-11",59
"2017-08-12",43
"2017-08-13",41
"2017-08-14",60
"2017-08-15",48
"2017-08-16",59
"2017-08-17",57
"2017-08-18",52
"2017-08-19",43
"2017-08-20",58
"2017-08-21",67
"2017-08-22",58
"2017-08-23",60
"2017-08-24",55
"2017-08-25",48
"2017-08-26",39
"2017-08-27",51
"2017-08-28",59
"2017-08-29",63
"2017-08-30",60
"2017-08-31",64
"2017-09-01",47
"2017-09-02",45
"2017-09-03",51
"2017-09-04",63
"2017-09-05",61
"2017-09-06",58
"2017-09-07",52
"2017-09-08",51
"2017-09-09",48
"2017-09-10",57
"2017-09-11",62
"2017-09-12",60
"2017-09-13",60
"2017-09-14",61
"2017-09-15",49
"2017-09-16",43
"2017-09-17",50
"2017-09-18",38
"2017-09-19",59
"2017-09-20",61
"2017-09-21",60
"2017-09-22",46
"2017-09-23",44
"2017-09-24",50
"2017-09-25",62
"2017-09-26",63
"2017-09-27",51
"2017-09-28",41
"2017-09-29",31
"2017-09-30",28
"2017-10-01",31
"2017-10-02",34
"2017-10-03",29
"2017-10-04",30
"2017-10-05",27
"2017-10-06",41
"2017-10-07",48
"2017-10-08",44
"2017-10-09",69
"2017-10-10",84
"2017-10-11",66
"2017-10-12",62
"2017-10-13",53
"2017-10-14",51
"2017-10-15",55
"2017-10-16",70
"2017-10-17",75
"2017-10-18",77
"2017-10-19",68
"2017-10-20",66
"2017-10-21",50
"2017-10-22",55
"2017-10-23",72
"2017-10-24",69
"2017-10-25",60
"2017-10-26",65
"2017-10-27",54
"2017-10-28",49
"2017-10-29",49
"2017-10-30",69
"2017-10-31",69
"2017-11-01",75
"2017-11-02",71
"2017-11-03",52
"2017-11-04",48
"2017-11-05",55
"2017-11-06",70
"2017-11-07",60
"2017-11-08",65
"2017-11-09",60
"2017-11-10",56
"2017-11-11",51
"2017-11-12",60
"2017-11-13",75
"2017-11-14",66
"2017-11-15",66
"2017-11-16",65
"2017-11-17",65
"2017-11-18",47
"2017-11-19",51
"2017-11-20",65
"2017-11-21",66
"2017-11-22",65
"2017-11-23",61
"2017-11-24",46
"2017-11-25",41
"2017-11-26",47
"2017-11-27",60
"2017-11-28",63
"2017-11-29",68
"2017-11-30",62
"2017-12-01",55
"2017-12-02",46
"2017-12-03",60
"2017-12-04",80
"2017-12-05",67
"2017-12-06",58
"2017-12-07",65
"2017-12-08",53
"2017-12-09",62
"2017-12-10",67
"2017-12-11",64
"2017-12-12",74
"2017-12-13",60
"2017-12-14",57
"2017-12-15",50
"2017-12-16",54
"2017-12-17",54
"2017-12-18",63
"2017-12-19",66
"2017-12-20",61
"2017-12-21",62
"2017-12-22",48
"2017-12-23",40
"2017-12-24",42
"2017-12-25",47
"2017-12-26",65
"2017-12-27",60
"2017-12-28",54
"2017-12-29",57
"2017-12-30",48
"2017-12-31",53
"2018-01-01",55
"2018-01-02",86
"2018-01-03",72
"2018-01-04",76
"2018-01-05",70
"2018-01-06",57
"2018-01-07",67
"2018-01-08",88
"2018-01-09",74
"2018-01-10",70
"2018-01-11",71
"2018-01-12",61
"2018-01-13",58
"2018-01-14",62
"2018-01-15",88
"2018-01-16",96
"2018-01-17",79
"2018-01-18",68
"2018-01-19",63
"2018-01-20",61
"2018-01-21",63
"2018-01-22",86
"2018-01-23",79
"2018-01-24",75
"2018-01-25",74
"2018-01-26",59
"2018-01-27",57
"2018-01-28",68
"2018-01-29",68
"2018-01-30",76
"2018-01-31",74
"2018-02-01",71
"2018-02-02",60
"2018-02-03",58
"2018-02-04",61
"2018-02-05",73
"2018-02-06",70
"2018-02-07",83
"2018-02-08",73
"2018-02-09",56
"2018-02-10",61
"2018-02-11",67
"2018-02-12",79
"2018-02-13",66
"2018-02-14",49
"2018-02-15",44
"2018-02-16",45
"2018-02-17",54
"2018-02-18",72
"2018-02-19",100
"2018-02-20",84
"2018-02-21",86
"2018-02-22",82
"2018-02-23",65
"2018-02-24",56
"2018-02-25",67
"2018-02-26",83
"2018-02-27",78
"2018-02-28",70
"2018-03-01",73
"2018-03-02",65
"2018-03-03",57
"2018-03-04",76
"2018-03-05",83
"2018-03-06",79
"2018-03-07",75
"2018-03-08",86
"2018-03-09",69
"2018-03-10",61
"2018-03-11",71
"2018-03-12",86
"2018-03-13",82
"2018-03-14",83
"2018-03-15",71
"2018-03-16",65
"2018-03-17",62
"2018-03-18",74
"2018-03-19",85
"2018-03-20",81
"2018-03-21",88
"2018-03-22",77
"2018-03-23",66
"2018-03-24",59
"2018-03-25",67
"2018-03-26",77
"2018-03-27",73
"2018-03-28",77
"2018-03-29",74
"2018-03-30",66
"2018-03-31",59
"2018-04-01",70
"2018-04-02",91
"2018-04-03",82
"2018-04-04",85
"2018-04-05",90
"2018-04-06",78
"2018-04-07",72
"2018-04-08",85
"2018-04-09",85
"2018-04-10",83
"2018-04-11",79
"2018-04-12",73
"2018-04-13",71
"2018-04-14",70
"2018-04-15",74
"2018-04-16",81
"2018-04-17",96
"2018-04-18",98
"2018-04-19",86
