네이버 데이터랩 쇼핑인사이트 > 검색어 통계
조회분야
생활/건강
조회기간 : 2017.08.01. ~ 2018.04.19. 일간
기기별 : 전체
성별 : 전체
연령별 : 전체

"날짜","수건"
"2017-08-01",100
"2017-08-02",72
"2017-08-03",63
"2017-08-04",54
"2017-08-05",46
"2017-08-06",57
"2017-08-07",60
"2017-08-08",70
"2017-08-09",69
"2017-08-10",59
"2017-08-11",45
"2017-08-12",46
"2017-08-13",57
"2017-08-14",51
"2017-08-15",75
"2017-08-16",65
"2017-08-17",65
"2017-08-18",58
"2017-08-19",60
"2017-08-20",77
"2017-08-21",80
"2017-08-22",76
"2017-08-23",77
"2017-08-24",69
"2017-08-25",51
"2017-08-26",57
"2017-08-27",54
"2017-08-28",62
"2017-08-29",68
"2017-08-30",48
"2017-08-31",47
"2017-09-01",39
"2017-09-02",42
"2017-09-03",43
"2017-09-04",58
"2017-09-05",59
"2017-09-06",49
"2017-09-07",40
"2017-09-08",40
"2017-09-09",32
"2017-09-10",41
"2017-09-11",47
"2017-09-12",55
"2017-09-13",50
"2017-09-14",38
"2017-09-15",35
"2017-09-16",36
"2017-09-17",57
"2017-09-18",48
"2017-09-19",47
"2017-09-20",45
"2017-09-21",42
"2017-09-22",42
"2017-09-23",32
"2017-09-24",44
"2017-09-25",61
"2017-09-26",44
"2017-09-27",51
"2017-09-28",36
"2017-09-29",25
"2017-09-30",25
"2017-10-01",29
"2017-10-02",26
"2017-10-03",26
"2017-10-04",27
"2017-10-05",33
"2017-10-06",43
"2017-10-07",49
"2017-10-08",59
"2017-10-09",68
"2017-10-10",65
"2017-10-11",61
"2017-10-12",57
"2017-10-13",47
"2017-10-14",39
"2017-10-15",45
"2017-10-16",58
"2017-10-17",50
"2017-10-18",56
"2017-10-19",51
"2017-10-20",47
"2017-10-21",44
"2017-10-22",60
"2017-10-23",53
"2017-10-24",60
"2017-10-25",51
"2017-10-26",46
"2017-10-27",43
"2017-10-28",38
"2017-10-29",51
"2017-10-30",57
"2017-10-31",63
"2017-11-01",47
"2017-11-02",50
"2017-11-03",36
"2017-11-04",40
"2017-11-05",51
"2017-11-06",58
"2017-11-07",46
"2017-11-08",48
"2017-11-09",43
"2017-11-10",37
"2017-11-11",33
"2017-11-12",50
"2017-11-13",55
"2017-11-14",45
"2017-11-15",45
"2017-11-16",43
"2017-11-17",30
"2017-11-18",32
"2017-11-19",40
"2017-11-20",51
"2017-11-21",51
"2017-11-22",44
"2017-11-23",45
"2017-11-24",42
"2017-11-25",54
"2017-11-26",48
"2017-11-27",49
"2017-11-28",67
"2017-11-29",63
"2017-11-30",46
"2017-12-01",42
"2017-12-02",38
"2017-12-03",54
"2017-12-04",59
"2017-12-05",63
"2017-12-06",52
"2017-12-07",55
"2017-12-08",44
"2017-12-09",39
"2017-12-10",59
"2017-12-11",60
"2017-12-12",65
"2017-12-13",57
"2017-12-14",39
"2017-12-15",41
"2017-12-16",41
"2017-12-17",46
"2017-12-18",52
"2017-12-19",45
"2017-12-20",47
"2017-12-21",47
"2017-12-22",36
"2017-12-23",35
"2017-12-24",34
"2017-12-25",40
"2017-12-26",52
"2017-12-27",43
"2017-12-28",47
"2017-12-29",40
"2017-12-30",34
"2017-12-31",37
"2018-01-01",49
"2018-01-02",57
"2018-01-03",54
"2018-01-04",52
"2018-01-05",38
"2018-01-06",39
"2018-01-07",57
"2018-01-08",52
"2018-01-09",54
"2018-01-10",49
"2018-01-11",46
"2018-01-12",39
"2018-01-13",38
"2018-01-14",58
"2018-01-15",53
"2018-01-16",63
"2018-01-17",53
"2018-01-18",59
"2018-01-19",49
"2018-01-20",58
"2018-01-21",60
"2018-01-22",65
"2018-01-23",56
"2018-01-24",53
"2018-01-25",48
"2018-01-26",40
"2018-01-27",48
"2018-01-28",78
"2018-01-29",64
"2018-01-30",53
"2018-01-31",57
"2018-02-01",52
"2018-02-02",49
"2018-02-03",47
"2018-02-04",60
"2018-02-05",71
"2018-02-06",61
"2018-02-07",60
"2018-02-08",47
"2018-02-09",37
"2018-02-10",39
"2018-02-11",52
"2018-02-12",52
"2018-02-13",42
"2018-02-14",35
"2018-02-15",29
"2018-02-16",36
"2018-02-17",55
"2018-02-18",75
"2018-02-19",75
"2018-02-20",78
"2018-02-21",75
"2018-02-22",66
"2018-02-23",54
"2018-02-24",68
"2018-02-25",71
"2018-02-26",77
"2018-02-27",77
"2018-02-28",69
"2018-03-01",70
"2018-03-02",78
"2018-03-03",59
"2018-03-04",60
"2018-03-05",77
"2018-03-06",63
"2018-03-07",66
"2018-03-08",66
"2018-03-09",49
"2018-03-10",43
"2018-03-11",47
"2018-03-12",64
"2018-03-13",56
"2018-03-14",46
"2018-03-15",49
"2018-03-16",42
"2018-03-17",52
"2018-03-18",62
"2018-03-19",66
"2018-03-20",55
"2018-03-21",56
"2018-03-22",51
"2018-03-23",45
"2018-03-24",43
"2018-03-25",64
"2018-03-26",59
"2018-03-27",61
"2018-03-28",55
"2018-03-29",55
"2018-03-30",40
"2018-03-31",44
"2018-04-01",63
"2018-04-02",61
"2018-04-03",62
"2018-04-04",56
"2018-04-05",50
"2018-04-06",41
"2018-04-07",39
"2018-04-08",50
"2018-04-09",53
"2018-04-10",58
"2018-04-11",46
"2018-04-12",48
"2018-04-13",40
"2018-04-14",39
"2018-04-15",49
"2018-04-16",44
"2018-04-17",43
"2018-04-18",47
"2018-04-19",43
