네이버 데이터랩 쇼핑인사이트 > 검색어 통계
조회분야
생활/건강
조회기간 : 2017.08.01. ~ 2018.04.19. 일간
기기별 : 전체
성별 : 전체
연령별 : 전체

"날짜","케이크토퍼"
"2017-08-01",57
"2017-08-02",52
"2017-08-03",44
"2017-08-04",35
"2017-08-05",27
"2017-08-06",35
"2017-08-07",64
"2017-08-08",64
"2017-08-09",60
"2017-08-10",40
"2017-08-11",41
"2017-08-12",27
"2017-08-13",31
"2017-08-14",48
"2017-08-15",41
"2017-08-16",54
"2017-08-17",54
"2017-08-18",44
"2017-08-19",26
"2017-08-20",39
"2017-08-21",56
"2017-08-22",57
"2017-08-23",51
"2017-08-24",48
"2017-08-25",35
"2017-08-26",25
"2017-08-27",32
"2017-08-28",42
"2017-08-29",47
"2017-08-30",46
"2017-08-31",38
"2017-09-01",37
"2017-09-02",24
"2017-09-03",46
"2017-09-04",63
"2017-09-05",59
"2017-09-06",54
"2017-09-07",40
"2017-09-08",39
"2017-09-09",28
"2017-09-10",37
"2017-09-11",59
"2017-09-12",60
"2017-09-13",49
"2017-09-14",48
"2017-09-15",34
"2017-09-16",26
"2017-09-17",31
"2017-09-18",64
"2017-09-19",54
"2017-09-20",53
"2017-09-21",47
"2017-09-22",33
"2017-09-23",24
"2017-09-24",36
"2017-09-25",60
"2017-09-26",51
"2017-09-27",43
"2017-09-28",35
"2017-09-29",22
"2017-09-30",13
"2017-10-01",15
"2017-10-02",14
"2017-10-03",14
"2017-10-04",13
"2017-10-05",15
"2017-10-06",15
"2017-10-07",23
"2017-10-08",26
"2017-10-09",46
"2017-10-10",58
"2017-10-11",57
"2017-10-12",49
"2017-10-13",34
"2017-10-14",29
"2017-10-15",44
"2017-10-16",58
"2017-10-17",52
"2017-10-18",56
"2017-10-19",46
"2017-10-20",38
"2017-10-21",29
"2017-10-22",28
"2017-10-23",59
"2017-10-24",49
"2017-10-25",48
"2017-10-26",43
"2017-10-27",34
"2017-10-28",28
"2017-10-29",41
"2017-10-30",53
"2017-10-31",47
"2017-11-01",54
"2017-11-02",52
"2017-11-03",46
"2017-11-04",26
"2017-11-05",43
"2017-11-06",64
"2017-11-07",59
"2017-11-08",52
"2017-11-09",43
"2017-11-10",32
"2017-11-11",25
"2017-11-12",36
"2017-11-13",60
"2017-11-14",62
"2017-11-15",48
"2017-11-16",42
"2017-11-17",39
"2017-11-18",27
"2017-11-19",44
"2017-11-20",64
"2017-11-21",59
"2017-11-22",59
"2017-11-23",49
"2017-11-24",37
"2017-11-25",31
"2017-11-26",46
"2017-11-27",66
"2017-11-28",78
"2017-11-29",63
"2017-11-30",56
"2017-12-01",45
"2017-12-02",41
"2017-12-03",53
"2017-12-04",71
"2017-12-05",80
"2017-12-06",61
"2017-12-07",57
"2017-12-08",45
"2017-12-09",42
"2017-12-10",57
"2017-12-11",89
"2017-12-12",88
"2017-12-13",73
"2017-12-14",66
"2017-12-15",54
"2017-12-16",40
"2017-12-17",65
"2017-12-18",86
"2017-12-19",84
"2017-12-20",77
"2017-12-21",64
"2017-12-22",47
"2017-12-23",33
"2017-12-24",36
"2017-12-25",67
"2017-12-26",100
"2017-12-27",92
"2017-12-28",67
"2017-12-29",44
"2017-12-30",39
"2017-12-31",42
"2018-01-01",54
"2018-01-02",86
"2018-01-03",79
"2018-01-04",74
"2018-01-05",48
"2018-01-06",39
"2018-01-07",51
"2018-01-08",77
"2018-01-09",81
"2018-01-10",73
"2018-01-11",61
"2018-01-12",42
"2018-01-13",35
"2018-01-14",41
"2018-01-15",63
"2018-01-16",64
"2018-01-17",51
"2018-01-18",52
"2018-01-19",43
"2018-01-20",40
"2018-01-21",46
"2018-01-22",76
"2018-01-23",70
"2018-01-24",65
"2018-01-25",52
"2018-01-26",40
"2018-01-27",33
"2018-01-28",51
"2018-01-29",74
"2018-01-30",69
"2018-01-31",62
"2018-02-01",48
"2018-02-02",42
"2018-02-03",46
"2018-02-04",46
"2018-02-05",68
"2018-02-06",68
"2018-02-07",65
"2018-02-08",55
"2018-02-09",43
"2018-02-10",29
"2018-02-11",37
"2018-02-12",47
"2018-02-13",27
"2018-02-14",23
"2018-02-15",13
"2018-02-16",15
"2018-02-17",16
"2018-02-18",29
"2018-02-19",59
"2018-02-20",54
"2018-02-21",44
"2018-02-22",42
"2018-02-23",34
"2018-02-24",30
"2018-02-25",33
"2018-02-26",52
"2018-02-27",46
"2018-02-28",46
"2018-03-01",36
"2018-03-02",38
"2018-03-03",30
"2018-03-04",40
"2018-03-05",56
"2018-03-06",51
"2018-03-07",54
"2018-03-08",45
"2018-03-09",34
"2018-03-10",25
"2018-03-11",32
"2018-03-12",56
"2018-03-13",57
"2018-03-14",46
"2018-03-15",46
"2018-03-16",34
"2018-03-17",25
"2018-03-18",34
"2018-03-19",58
"2018-03-20",52
"2018-03-21",52
"2018-03-22",47
"2018-03-23",32
"2018-03-24",29
"2018-03-25",42
"2018-03-26",71
"2018-03-27",60
"2018-03-28",48
"2018-03-29",39
"2018-03-30",31
"2018-03-31",23
"2018-04-01",31
"2018-04-02",62
"2018-04-03",59
"2018-04-04",53
"2018-04-05",51
"2018-04-06",41
"2018-04-07",30
"2018-04-08",38
"2018-04-09",66
"2018-04-10",71
"2018-04-11",59
"2018-04-12",50
"2018-04-13",42
"2018-04-14",33
"2018-04-15",42
"2018-04-16",65
"2018-04-17",75
"2018-04-18",68
"2018-04-19",56
