네이버 데이터랩 쇼핑인사이트 > 검색어 통계
조회분야
생활/건강
조회기간 : 2017.08.01. ~ 2018.04.19. 일간
기기별 : 전체
성별 : 전체
연령별 : 전체

"날짜","필통"
"2017-08-01",17
"2017-08-02",16
"2017-08-03",16
"2017-08-04",14
"2017-08-05",11
"2017-08-06",16
"2017-08-07",16
"2017-08-08",17
"2017-08-09",20
"2017-08-10",20
"2017-08-11",15
"2017-08-12",17
"2017-08-13",18
"2017-08-14",18
"2017-08-15",26
"2017-08-16",21
"2017-08-17",22
"2017-08-18",21
"2017-08-19",22
"2017-08-20",32
"2017-08-21",26
"2017-08-22",25
"2017-08-23",27
"2017-08-24",26
"2017-08-25",23
"2017-08-26",30
"2017-08-27",29
"2017-08-28",20
"2017-08-29",28
"2017-08-30",27
"2017-08-31",23
"2017-09-01",22
"2017-09-02",24
"2017-09-03",30
"2017-09-04",26
"2017-09-05",26
"2017-09-06",26
"2017-09-07",28
"2017-09-08",22
"2017-09-09",22
"2017-09-10",27
"2017-09-11",25
"2017-09-12",27
"2017-09-13",25
"2017-09-14",21
"2017-09-15",16
"2017-09-16",18
"2017-09-17",26
"2017-09-18",24
"2017-09-19",25
"2017-09-20",27
"2017-09-21",23
"2017-09-22",18
"2017-09-23",22
"2017-09-24",25
"2017-09-25",24
"2017-09-26",18
"2017-09-27",19
"2017-09-28",16
"2017-09-29",13
"2017-09-30",15
"2017-10-01",17
"2017-10-02",14
"2017-10-03",11
"2017-10-04",13
"2017-10-05",14
"2017-10-06",15
"2017-10-07",15
"2017-10-08",17
"2017-10-09",27
"2017-10-10",22
"2017-10-11",25
"2017-10-12",17
"2017-10-13",20
"2017-10-14",23
"2017-10-15",24
"2017-10-16",22
"2017-10-17",25
"2017-10-18",21
"2017-10-19",21
"2017-10-20",14
"2017-10-21",17
"2017-10-22",24
"2017-10-23",19
"2017-10-24",21
"2017-10-25",24
"2017-10-26",23
"2017-10-27",19
"2017-10-28",19
"2017-10-29",26
"2017-10-30",23
"2017-10-31",24
"2017-11-01",22
"2017-11-02",23
"2017-11-03",19
"2017-11-04",26
"2017-11-05",31
"2017-11-06",33
"2017-11-07",25
"2017-11-08",28
"2017-11-09",28
"2017-11-10",21
"2017-11-11",26
"2017-11-12",33
"2017-11-13",27
"2017-11-14",24
"2017-11-15",19
"2017-11-16",28
"2017-11-17",18
"2017-11-18",25
"2017-11-19",28
"2017-11-20",25
"2017-11-21",26
"2017-11-22",33
"2017-11-23",27
"2017-11-24",20
"2017-11-25",26
"2017-11-26",34
"2017-11-27",26
"2017-11-28",30
"2017-11-29",26
"2017-11-30",32
"2017-12-01",31
"2017-12-02",36
"2017-12-03",47
"2017-12-04",36
"2017-12-05",35
"2017-12-06",38
"2017-12-07",36
"2017-12-08",34
"2017-12-09",36
"2017-12-10",41
"2017-12-11",34
"2017-12-12",28
"2017-12-13",29
"2017-12-14",31
"2017-12-15",27
"2017-12-16",36
"2017-12-17",33
"2017-12-18",31
"2017-12-19",27
"2017-12-20",28
"2017-12-21",31
"2017-12-22",21
"2017-12-23",26
"2017-12-24",25
"2017-12-25",35
"2017-12-26",26
"2017-12-27",27
"2017-12-28",30
"2017-12-29",27
"2017-12-30",32
"2017-12-31",27
"2018-01-01",43
"2018-01-02",44
"2018-01-03",40
"2018-01-04",41
"2018-01-05",34
"2018-01-06",41
"2018-01-07",51
"2018-01-08",46
"2018-01-09",40
"2018-01-10",41
"2018-01-11",32
"2018-01-12",39
"2018-01-13",39
"2018-01-14",46
"2018-01-15",39
"2018-01-16",40
"2018-01-17",37
"2018-01-18",30
"2018-01-19",33
"2018-01-20",28
"2018-01-21",34
"2018-01-22",39
"2018-01-23",37
"2018-01-24",39
"2018-01-25",28
"2018-01-26",31
"2018-01-27",34
"2018-01-28",45
"2018-01-29",42
"2018-01-30",38
"2018-01-31",43
"2018-02-01",43
"2018-02-02",37
"2018-02-03",41
"2018-02-04",49
"2018-02-05",41
"2018-02-06",47
"2018-02-07",40
"2018-02-08",42
"2018-02-09",39
"2018-02-10",49
"2018-02-11",60
"2018-02-12",50
"2018-02-13",46
"2018-02-14",45
"2018-02-15",41
"2018-02-16",40
"2018-02-17",61
"2018-02-18",82
"2018-02-19",85
"2018-02-20",72
"2018-02-21",74
"2018-02-22",75
"2018-02-23",71
"2018-02-24",72
"2018-02-25",90
"2018-02-26",96
"2018-02-27",92
"2018-02-28",81
"2018-03-01",100
"2018-03-02",66
"2018-03-03",62
"2018-03-04",79
"2018-03-05",54
"2018-03-06",41
"2018-03-07",43
"2018-03-08",32
"2018-03-09",34
"2018-03-10",27
"2018-03-11",43
"2018-03-12",25
"2018-03-13",26
"2018-03-14",23
"2018-03-15",28
"2018-03-16",23
"2018-03-17",27
"2018-03-18",40
"2018-03-19",24
"2018-03-20",23
"2018-03-21",26
"2018-03-22",22
"2018-03-23",23
"2018-03-24",26
"2018-03-25",35
"2018-03-26",25
"2018-03-27",24
"2018-03-28",21
"2018-03-29",21
"2018-03-30",17
"2018-03-31",24
"2018-04-01",28
"2018-04-02",21
"2018-04-03",21
"2018-04-04",26
"2018-04-05",22
"2018-04-06",22
"2018-04-07",29
"2018-04-08",35
"2018-04-09",26
"2018-04-10",22
"2018-04-11",23
"2018-04-12",24
"2018-04-13",19
"2018-04-14",27
"2018-04-15",32
"2018-04-16",24
"2018-04-17",25
"2018-04-18",26
"2018-04-19",27
