네이버 데이터랩 쇼핑인사이트 > 검색어 통계
조회분야
생활/건강
조회기간 : 2017.08.01. ~ 2018.04.19. 일간
기기별 : 전체
성별 : 전체
연령별 : 전체

"날짜","손목보호대"
"2017-08-01",41
"2017-08-02",48
"2017-08-03",35
"2017-08-04",34
"2017-08-05",28
"2017-08-06",34
"2017-08-07",46
"2017-08-08",60
"2017-08-09",47
"2017-08-10",41
"2017-08-11",35
"2017-08-12",37
"2017-08-13",42
"2017-08-14",42
"2017-08-15",52
"2017-08-16",52
"2017-08-17",49
"2017-08-18",51
"2017-08-19",33
"2017-08-20",41
"2017-08-21",56
"2017-08-22",54
"2017-08-23",48
"2017-08-24",57
"2017-08-25",38
"2017-08-26",37
"2017-08-27",39
"2017-08-28",44
"2017-08-29",50
"2017-08-30",52
"2017-08-31",52
"2017-09-01",50
"2017-09-02",43
"2017-09-03",48
"2017-09-04",55
"2017-09-05",54
"2017-09-06",55
"2017-09-07",56
"2017-09-08",46
"2017-09-09",39
"2017-09-10",51
"2017-09-11",55
"2017-09-12",52
"2017-09-13",49
"2017-09-14",44
"2017-09-15",34
"2017-09-16",39
"2017-09-17",50
"2017-09-18",48
"2017-09-19",52
"2017-09-20",48
"2017-09-21",50
"2017-09-22",36
"2017-09-23",43
"2017-09-24",44
"2017-09-25",43
"2017-09-26",52
"2017-09-27",47
"2017-09-28",43
"2017-09-29",44
"2017-09-30",36
"2017-10-01",38
"2017-10-02",41
"2017-10-03",36
"2017-10-04",32
"2017-10-05",43
"2017-10-06",51
"2017-10-07",56
"2017-10-08",46
"2017-10-09",56
"2017-10-10",68
"2017-10-11",68
"2017-10-12",70
"2017-10-13",53
"2017-10-14",49
"2017-10-15",63
"2017-10-16",67
"2017-10-17",60
"2017-10-18",59
"2017-10-19",70
"2017-10-20",51
"2017-10-21",49
"2017-10-22",58
"2017-10-23",65
"2017-10-24",79
"2017-10-25",60
"2017-10-26",52
"2017-10-27",60
"2017-10-28",49
"2017-10-29",68
"2017-10-30",76
"2017-10-31",72
"2017-11-01",53
"2017-11-02",67
"2017-11-03",69
"2017-11-04",48
"2017-11-05",54
"2017-11-06",72
"2017-11-07",69
"2017-11-08",77
"2017-11-09",68
"2017-11-10",56
"2017-11-11",43
"2017-11-12",57
"2017-11-13",69
"2017-11-14",79
"2017-11-15",71
"2017-11-16",61
"2017-11-17",50
"2017-11-18",49
"2017-11-19",62
"2017-11-20",75
"2017-11-21",80
"2017-11-22",68
"2017-11-23",75
"2017-11-24",54
"2017-11-25",53
"2017-11-26",74
"2017-11-27",76
"2017-11-28",67
"2017-11-29",73
"2017-11-30",65
"2017-12-01",54
"2017-12-02",63
"2017-12-03",55
"2017-12-04",73
"2017-12-05",70
"2017-12-06",75
"2017-12-07",66
"2017-12-08",48
"2017-12-09",65
"2017-12-10",55
"2017-12-11",62
"2017-12-12",54
"2017-12-13",57
"2017-12-14",44
"2017-12-15",48
"2017-12-16",48
"2017-12-17",46
"2017-12-18",51
"2017-12-19",50
"2017-12-20",49
"2017-12-21",55
"2017-12-22",35
"2017-12-23",44
"2017-12-24",37
"2017-12-25",41
"2017-12-26",49
"2017-12-27",41
"2017-12-28",45
"2017-12-29",41
"2017-12-30",42
"2017-12-31",35
"2018-01-01",39
"2018-01-02",45
"2018-01-03",58
"2018-01-04",51
"2018-01-05",44
"2018-01-06",49
"2018-01-07",54
"2018-01-08",62
"2018-01-09",54
"2018-01-10",68
"2018-01-11",51
"2018-01-12",48
"2018-01-13",52
"2018-01-14",54
"2018-01-15",60
"2018-01-16",71
"2018-01-17",62
"2018-01-18",56
"2018-01-19",53
"2018-01-20",55
"2018-01-21",53
"2018-01-22",68
"2018-01-23",69
"2018-01-24",70
"2018-01-25",56
"2018-01-26",50
"2018-01-27",39
"2018-01-28",56
"2018-01-29",53
"2018-01-30",60
"2018-01-31",56
"2018-02-01",57
"2018-02-02",43
"2018-02-03",54
"2018-02-04",57
"2018-02-05",70
"2018-02-06",67
"2018-02-07",74
"2018-02-08",60
"2018-02-09",53
"2018-02-10",54
"2018-02-11",59
"2018-02-12",63
"2018-02-13",65
"2018-02-14",43
"2018-02-15",41
"2018-02-16",51
"2018-02-17",58
"2018-02-18",62
"2018-02-19",88
"2018-02-20",79
"2018-02-21",80
"2018-02-22",80
"2018-02-23",70
"2018-02-24",62
"2018-02-25",74
"2018-02-26",77
"2018-02-27",79
"2018-02-28",75
"2018-03-01",67
"2018-03-02",66
"2018-03-03",66
"2018-03-04",67
"2018-03-05",84
"2018-03-06",77
"2018-03-07",81
"2018-03-08",80
"2018-03-09",67
"2018-03-10",71
"2018-03-11",90
"2018-03-12",80
"2018-03-13",84
"2018-03-14",78
"2018-03-15",80
"2018-03-16",66
"2018-03-17",63
"2018-03-18",86
"2018-03-19",91
"2018-03-20",80
"2018-03-21",83
"2018-03-22",76
"2018-03-23",73
"2018-03-24",67
"2018-03-25",82
"2018-03-26",78
"2018-03-27",84
"2018-03-28",92
"2018-03-29",76
"2018-03-30",62
"2018-03-31",54
"2018-04-01",74
"2018-04-02",90
"2018-04-03",92
"2018-04-04",100
"2018-04-05",89
"2018-04-06",71
"2018-04-07",76
"2018-04-08",83
"2018-04-09",96
"2018-04-10",90
"2018-04-11",72
"2018-04-12",75
"2018-04-13",70
"2018-04-14",66
"2018-04-15",74
"2018-04-16",78
"2018-04-17",88
"2018-04-18",95
"2018-04-19",91
