네이버 데이터랩 쇼핑인사이트 > 검색어 통계
조회분야
생활/건강
조회기간 : 2017.08.01. ~ 2018.04.19. 일간
기기별 : 전체
성별 : 전체
연령별 : 전체

"날짜","디지털피아노"
"2017-08-01",43
"2017-08-02",33
"2017-08-03",37
"2017-08-04",39
"2017-08-05",29
"2017-08-06",38
"2017-08-07",36
"2017-08-08",42
"2017-08-09",45
"2017-08-10",42
"2017-08-11",40
"2017-08-12",33
"2017-08-13",33
"2017-08-14",37
"2017-08-15",43
"2017-08-16",37
"2017-08-17",42
"2017-08-18",34
"2017-08-19",35
"2017-08-20",43
"2017-08-21",49
"2017-08-22",35
"2017-08-23",54
"2017-08-24",47
"2017-08-25",43
"2017-08-26",32
"2017-08-27",31
"2017-08-28",39
"2017-08-29",35
"2017-08-30",34
"2017-08-31",34
"2017-09-01",38
"2017-09-02",32
"2017-09-03",35
"2017-09-04",43
"2017-09-05",35
"2017-09-06",41
"2017-09-07",38
"2017-09-08",40
"2017-09-09",35
"2017-09-10",47
"2017-09-11",42
"2017-09-12",36
"2017-09-13",40
"2017-09-14",34
"2017-09-15",36
"2017-09-16",33
"2017-09-17",31
"2017-09-18",40
"2017-09-19",42
"2017-09-20",34
"2017-09-21",44
"2017-09-22",27
"2017-09-23",24
"2017-09-24",39
"2017-09-25",38
"2017-09-26",45
"2017-09-27",57
"2017-09-28",41
"2017-09-29",45
"2017-09-30",38
"2017-10-01",40
"2017-10-02",35
"2017-10-03",35
"2017-10-04",37
"2017-10-05",45
"2017-10-06",58
"2017-10-07",40
"2017-10-08",53
"2017-10-09",60
"2017-10-10",52
"2017-10-11",51
"2017-10-12",39
"2017-10-13",42
"2017-10-14",41
"2017-10-15",46
"2017-10-16",54
"2017-10-17",54
"2017-10-18",53
"2017-10-19",58
"2017-10-20",44
"2017-10-21",43
"2017-10-22",46
"2017-10-23",58
"2017-10-24",56
"2017-10-25",49
"2017-10-26",54
"2017-10-27",46
"2017-10-28",50
"2017-10-29",56
"2017-10-30",51
"2017-10-31",45
"2017-11-01",59
"2017-11-02",62
"2017-11-03",51
"2017-11-04",47
"2017-11-05",59
"2017-11-06",55
"2017-11-07",53
"2017-11-08",54
"2017-11-09",48
"2017-11-10",46
"2017-11-11",55
"2017-11-12",73
"2017-11-13",61
"2017-11-14",62
"2017-11-15",49
"2017-11-16",56
"2017-11-17",55
"2017-11-18",56
"2017-11-19",58
"2017-11-20",61
"2017-11-21",63
"2017-11-22",63
"2017-11-23",48
"2017-11-24",54
"2017-11-25",64
"2017-11-26",72
"2017-11-27",69
"2017-11-28",69
"2017-11-29",69
"2017-11-30",64
"2017-12-01",53
"2017-12-02",73
"2017-12-03",88
"2017-12-04",79
"2017-12-05",64
"2017-12-06",79
"2017-12-07",77
"2017-12-08",62
"2017-12-09",63
"2017-12-10",83
"2017-12-11",84
"2017-12-12",84
"2017-12-13",80
"2017-12-14",64
"2017-12-15",78
"2017-12-16",74
"2017-12-17",95
"2017-12-18",85
"2017-12-19",88
"2017-12-20",80
"2017-12-21",66
"2017-12-22",56
"2017-12-23",60
"2017-12-24",67
"2017-12-25",84
"2017-12-26",68
"2017-12-27",73
"2017-12-28",72
"2017-12-29",74
"2017-12-30",75
"2017-12-31",71
"2018-01-01",66
"2018-01-02",78
"2018-01-03",73
"2018-01-04",76
"2018-01-05",68
"2018-01-06",65
"2018-01-07",73
"2018-01-08",71
"2018-01-09",79
"2018-01-10",65
"2018-01-11",62
"2018-01-12",66
"2018-01-13",56
"2018-01-14",60
"2018-01-15",62
"2018-01-16",76
"2018-01-17",68
"2018-01-18",74
"2018-01-19",71
"2018-01-20",68
"2018-01-21",81
"2018-01-22",75
"2018-01-23",76
"2018-01-24",75
"2018-01-25",62
"2018-01-26",61
"2018-01-27",68
"2018-01-28",70
"2018-01-29",76
"2018-01-30",80
"2018-01-31",66
"2018-02-01",70
"2018-02-02",65
"2018-02-03",65
"2018-02-04",67
"2018-02-05",55
"2018-02-06",63
"2018-02-07",68
"2018-02-08",61
"2018-02-09",57
"2018-02-10",57
"2018-02-11",59
"2018-02-12",62
"2018-02-13",55
"2018-02-14",55
"2018-02-15",41
"2018-02-16",52
"2018-02-17",62
"2018-02-18",77
"2018-02-19",77
"2018-02-20",65
"2018-02-21",56
"2018-02-22",67
"2018-02-23",66
"2018-02-24",59
"2018-02-25",73
"2018-02-26",77
"2018-02-27",69
"2018-02-28",80
"2018-03-01",79
"2018-03-02",68
"2018-03-03",68
"2018-03-04",100
"2018-03-05",99
"2018-03-06",71
"2018-03-07",62
"2018-03-08",78
"2018-03-09",74
"2018-03-10",85
"2018-03-11",96
"2018-03-12",78
"2018-03-13",71
"2018-03-14",64
"2018-03-15",71
"2018-03-16",80
"2018-03-17",89
"2018-03-18",80
"2018-03-19",81
"2018-03-20",77
"2018-03-21",82
"2018-03-22",77
"2018-03-23",77
"2018-03-24",89
"2018-03-25",76
"2018-03-26",81
"2018-03-27",71
"2018-03-28",72
"2018-03-29",63
"2018-03-30",57
"2018-03-31",65
"2018-04-01",73
"2018-04-02",61
"2018-04-03",65
"2018-04-04",58
"2018-04-05",59
"2018-04-06",51
"2018-04-07",63
"2018-04-08",67
"2018-04-09",73
"2018-04-10",66
"2018-04-11",60
"2018-04-12",62
"2018-04-13",59
"2018-04-14",66
"2018-04-15",69
"2018-04-16",88
"2018-04-17",61
"2018-04-18",67
"2018-04-19",66
