네이버 데이터랩 쇼핑인사이트 > 검색어 통계
조회분야
생활/건강
조회기간 : 2017.08.01. ~ 2018.04.19. 일간
기기별 : 전체
성별 : 전체
연령별 : 전체

"날짜","종이컵"
"2017-08-01",39
"2017-08-02",30
"2017-08-03",40
"2017-08-04",29
"2017-08-05",16
"2017-08-06",21
"2017-08-07",36
"2017-08-08",36
"2017-08-09",39
"2017-08-10",39
"2017-08-11",30
"2017-08-12",15
"2017-08-13",20
"2017-08-14",35
"2017-08-15",29
"2017-08-16",48
"2017-08-17",40
"2017-08-18",33
"2017-08-19",19
"2017-08-20",19
"2017-08-21",41
"2017-08-22",46
"2017-08-23",43
"2017-08-24",41
"2017-08-25",33
"2017-08-26",21
"2017-08-27",20
"2017-08-28",31
"2017-08-29",41
"2017-08-30",42
"2017-08-31",37
"2017-09-01",34
"2017-09-02",19
"2017-09-03",24
"2017-09-04",43
"2017-09-05",39
"2017-09-06",45
"2017-09-07",44
"2017-09-08",35
"2017-09-09",20
"2017-09-10",21
"2017-09-11",46
"2017-09-12",44
"2017-09-13",48
"2017-09-14",39
"2017-09-15",29
"2017-09-16",22
"2017-09-17",23
"2017-09-18",44
"2017-09-19",55
"2017-09-20",44
"2017-09-21",46
"2017-09-22",39
"2017-09-23",25
"2017-09-24",22
"2017-09-25",46
"2017-09-26",46
"2017-09-27",40
"2017-09-28",30
"2017-09-29",21
"2017-09-30",14
"2017-10-01",16
"2017-10-02",16
"2017-10-03",11
"2017-10-04",13
"2017-10-05",17
"2017-10-06",22
"2017-10-07",25
"2017-10-08",32
"2017-10-09",42
"2017-10-10",78
"2017-10-11",69
"2017-10-12",57
"2017-10-13",52
"2017-10-14",31
"2017-10-15",33
"2017-10-16",64
"2017-10-17",60
"2017-10-18",62
"2017-10-19",56
"2017-10-20",41
"2017-10-21",30
"2017-10-22",36
"2017-10-23",63
"2017-10-24",62
"2017-10-25",62
"2017-10-26",55
"2017-10-27",43
"2017-10-28",26
"2017-10-29",33
"2017-10-30",64
"2017-10-31",56
"2017-11-01",56
"2017-11-02",57
"2017-11-03",51
"2017-11-04",33
"2017-11-05",31
"2017-11-06",64
"2017-11-07",64
"2017-11-08",63
"2017-11-09",58
"2017-11-10",40
"2017-11-11",30
"2017-11-12",33
"2017-11-13",66
"2017-11-14",67
"2017-11-15",67
"2017-11-16",51
"2017-11-17",42
"2017-11-18",26
"2017-11-19",31
"2017-11-20",55
"2017-11-21",55
"2017-11-22",51
"2017-11-23",50
"2017-11-24",42
"2017-11-25",27
"2017-11-26",34
"2017-11-27",58
"2017-11-28",58
"2017-11-29",64
"2017-11-30",51
"2017-12-01",54
"2017-12-02",30
"2017-12-03",44
"2017-12-04",71
"2017-12-05",73
"2017-12-06",64
"2017-12-07",62
"2017-12-08",54
"2017-12-09",35
"2017-12-10",30
"2017-12-11",64
"2017-12-12",60
"2017-12-13",73
"2017-12-14",52
"2017-12-15",43
"2017-12-16",27
"2017-12-17",33
"2017-12-18",59
"2017-12-19",50
"2017-12-20",55
"2017-12-21",54
"2017-12-22",40
"2017-12-23",29
"2017-12-24",24
"2017-12-25",32
"2017-12-26",56
"2017-12-27",61
"2017-12-28",49
"2017-12-29",38
"2017-12-30",26
"2017-12-31",26
"2018-01-01",36
"2018-01-02",67
"2018-01-03",85
"2018-01-04",77
"2018-01-05",59
"2018-01-06",43
"2018-01-07",44
"2018-01-08",76
"2018-01-09",71
"2018-01-10",75
"2018-01-11",75
"2018-01-12",59
"2018-01-13",38
"2018-01-14",44
"2018-01-15",86
"2018-01-16",73
"2018-01-17",79
"2018-01-18",74
"2018-01-19",60
"2018-01-20",40
"2018-01-21",37
"2018-01-22",70
"2018-01-23",82
"2018-01-24",78
"2018-01-25",73
"2018-01-26",54
"2018-01-27",37
"2018-01-28",40
"2018-01-29",75
"2018-01-30",79
"2018-01-31",72
"2018-02-01",91
"2018-02-02",68
"2018-02-03",44
"2018-02-04",54
"2018-02-05",100
"2018-02-06",90
"2018-02-07",94
"2018-02-08",83
"2018-02-09",58
"2018-02-10",32
"2018-02-11",38
"2018-02-12",56
"2018-02-13",44
"2018-02-14",30
"2018-02-15",18
"2018-02-16",18
"2018-02-17",24
"2018-02-18",42
"2018-02-19",83
"2018-02-20",67
"2018-02-21",73
"2018-02-22",68
"2018-02-23",60
"2018-02-24",40
"2018-02-25",39
"2018-02-26",81
"2018-02-27",73
"2018-02-28",57
"2018-03-01",47
"2018-03-02",54
"2018-03-03",36
"2018-03-04",41
"2018-03-05",81
"2018-03-06",74
"2018-03-07",80
"2018-03-08",66
"2018-03-09",52
"2018-03-10",31
"2018-03-11",43
"2018-03-12",70
"2018-03-13",70
"2018-03-14",58
"2018-03-15",63
"2018-03-16",60
"2018-03-17",28
"2018-03-18",38
"2018-03-19",77
"2018-03-20",65
"2018-03-21",75
"2018-03-22",68
"2018-03-23",55
"2018-03-24",32
"2018-03-25",39
"2018-03-26",77
"2018-03-27",63
"2018-03-28",73
"2018-03-29",63
"2018-03-30",43
"2018-03-31",31
"2018-04-01",38
"2018-04-02",80
"2018-04-03",74
"2018-04-04",70
"2018-04-05",73
"2018-04-06",52
"2018-04-07",24
"2018-04-08",41
"2018-04-09",73
"2018-04-10",71
"2018-04-11",73
"2018-04-12",71
"2018-04-13",55
"2018-04-14",32
"2018-04-15",34
"2018-04-16",67
"2018-04-17",74
"2018-04-18",66
"2018-04-19",63
