네이버 데이터랩 쇼핑인사이트 > 검색어 통계
조회분야
생활/건강
조회기간 : 2017.08.01. ~ 2018.04.19. 일간
기기별 : 전체
성별 : 전체
연령별 : 전체

"날짜","도마"
"2017-08-01",53
"2017-08-02",52
"2017-08-03",52
"2017-08-04",43
"2017-08-05",49
"2017-08-06",64
"2017-08-07",54
"2017-08-08",59
"2017-08-09",63
"2017-08-10",58
"2017-08-11",50
"2017-08-12",49
"2017-08-13",60
"2017-08-14",75
"2017-08-15",93
"2017-08-16",71
"2017-08-17",68
"2017-08-18",57
"2017-08-19",60
"2017-08-20",76
"2017-08-21",66
"2017-08-22",65
"2017-08-23",68
"2017-08-24",67
"2017-08-25",48
"2017-08-26",60
"2017-08-27",92
"2017-08-28",62
"2017-08-29",58
"2017-08-30",55
"2017-08-31",44
"2017-09-01",41
"2017-09-02",48
"2017-09-03",65
"2017-09-04",64
"2017-09-05",60
"2017-09-06",53
"2017-09-07",54
"2017-09-08",48
"2017-09-09",42
"2017-09-10",65
"2017-09-11",70
"2017-09-12",54
"2017-09-13",54
"2017-09-14",47
"2017-09-15",44
"2017-09-16",46
"2017-09-17",57
"2017-09-18",53
"2017-09-19",59
"2017-09-20",57
"2017-09-21",47
"2017-09-22",40
"2017-09-23",49
"2017-09-24",67
"2017-09-25",62
"2017-09-26",51
"2017-09-27",57
"2017-09-28",45
"2017-09-29",34
"2017-09-30",36
"2017-10-01",41
"2017-10-02",45
"2017-10-03",42
"2017-10-04",43
"2017-10-05",55
"2017-10-06",56
"2017-10-07",59
"2017-10-08",69
"2017-10-09",71
"2017-10-10",67
"2017-10-11",69
"2017-10-12",50
"2017-10-13",42
"2017-10-14",49
"2017-10-15",57
"2017-10-16",50
"2017-10-17",51
"2017-10-18",53
"2017-10-19",43
"2017-10-20",44
"2017-10-21",45
"2017-10-22",52
"2017-10-23",45
"2017-10-24",47
"2017-10-25",50
"2017-10-26",45
"2017-10-27",49
"2017-10-28",48
"2017-10-29",63
"2017-10-30",62
"2017-10-31",60
"2017-11-01",49
"2017-11-02",72
"2017-11-03",51
"2017-11-04",48
"2017-11-05",58
"2017-11-06",57
"2017-11-07",71
"2017-11-08",67
"2017-11-09",54
"2017-11-10",47
"2017-11-11",41
"2017-11-12",59
"2017-11-13",58
"2017-11-14",70
"2017-11-15",52
"2017-11-16",55
"2017-11-17",44
"2017-11-18",45
"2017-11-19",69
"2017-11-20",70
"2017-11-21",55
"2017-11-22",50
"2017-11-23",49
"2017-11-24",42
"2017-11-25",49
"2017-11-26",52
"2017-11-27",67
"2017-11-28",66
"2017-11-29",53
"2017-11-30",51
"2017-12-01",46
"2017-12-02",60
"2017-12-03",85
"2017-12-04",68
"2017-12-05",54
"2017-12-06",62
"2017-12-07",52
"2017-12-08",47
"2017-12-09",47
"2017-12-10",67
"2017-12-11",69
"2017-12-12",66
"2017-12-13",57
"2017-12-14",52
"2017-12-15",47
"2017-12-16",40
"2017-12-17",70
"2017-12-18",64
"2017-12-19",52
"2017-12-20",55
"2017-12-21",44
"2017-12-22",36
"2017-12-23",39
"2017-12-24",60
"2017-12-25",58
"2017-12-26",59
"2017-12-27",66
"2017-12-28",91
"2017-12-29",44
"2017-12-30",50
"2017-12-31",48
"2018-01-01",55
"2018-01-02",64
"2018-01-03",73
"2018-01-04",65
"2018-01-05",51
"2018-01-06",49
"2018-01-07",79
"2018-01-08",71
"2018-01-09",72
"2018-01-10",69
"2018-01-11",55
"2018-01-12",61
"2018-01-13",61
"2018-01-14",81
"2018-01-15",78
"2018-01-16",71
"2018-01-17",95
"2018-01-18",71
"2018-01-19",51
"2018-01-20",59
"2018-01-21",79
"2018-01-22",58
"2018-01-23",69
"2018-01-24",63
"2018-01-25",57
"2018-01-26",59
"2018-01-27",55
"2018-01-28",77
"2018-01-29",93
"2018-01-30",68
"2018-01-31",61
"2018-02-01",55
"2018-02-02",46
"2018-02-03",62
"2018-02-04",83
"2018-02-05",75
"2018-02-06",73
"2018-02-07",100
"2018-02-08",60
"2018-02-09",54
"2018-02-10",53
"2018-02-11",67
"2018-02-12",67
"2018-02-13",43
"2018-02-14",37
"2018-02-15",43
"2018-02-16",48
"2018-02-17",59
"2018-02-18",72
"2018-02-19",75
"2018-02-20",56
"2018-02-21",69
"2018-02-22",75
"2018-02-23",70
"2018-02-24",58
"2018-02-25",62
"2018-02-26",60
"2018-02-27",55
"2018-02-28",72
"2018-03-01",69
"2018-03-02",76
"2018-03-03",54
"2018-03-04",65
"2018-03-05",55
"2018-03-06",58
"2018-03-07",61
"2018-03-08",65
"2018-03-09",57
"2018-03-10",49
"2018-03-11",66
"2018-03-12",71
"2018-03-13",58
"2018-03-14",55
"2018-03-15",57
"2018-03-16",43
"2018-03-17",38
"2018-03-18",63
"2018-03-19",60
"2018-03-20",52
"2018-03-21",56
"2018-03-22",58
"2018-03-23",41
"2018-03-24",51
"2018-03-25",98
"2018-03-26",67
"2018-03-27",79
"2018-03-28",56
"2018-03-29",52
"2018-03-30",40
"2018-03-31",49
"2018-04-01",72
"2018-04-02",53
"2018-04-03",54
"2018-04-04",48
"2018-04-05",49
"2018-04-06",41
"2018-04-07",48
"2018-04-08",70
"2018-04-09",65
"2018-04-10",54
"2018-04-11",58
"2018-04-12",45
"2018-04-13",42
"2018-04-14",53
"2018-04-15",64
"2018-04-16",58
"2018-04-17",59
"2018-04-18",55
"2018-04-19",47
