네이버 데이터랩 쇼핑인사이트 > 검색어 통계
조회분야
생활/건강
조회기간 : 2017.08.01. ~ 2018.04.19. 일간
기기별 : 전체
성별 : 전체
연령별 : 전체

"날짜","궐련형전자담배"
"2017-08-01",2
"2017-08-02",2
"2017-08-03",2
"2017-08-04",2
"2017-08-05",2
"2017-08-06",2
"2017-08-07",2
"2017-08-08",3
"2017-08-09",3
"2017-08-10",21
"2017-08-11",12
"2017-08-12",5
"2017-08-13",10
"2017-08-14",8
"2017-08-15",5
"2017-08-16",5
"2017-08-17",4
"2017-08-18",5
"2017-08-19",3
"2017-08-20",3
"2017-08-21",5
"2017-08-22",32
"2017-08-23",14
"2017-08-24",32
"2017-08-25",9
"2017-08-26",3
"2017-08-27",20
"2017-08-28",57
"2017-08-29",100
"2017-08-30",10
"2017-08-31",7
"2017-09-01",6
"2017-09-02",3
"2017-09-03",3
"2017-09-04",5
"2017-09-05",4
"2017-09-06",4
"2017-09-07",3
"2017-09-08",3
"2017-09-09",3
"2017-09-10",3
"2017-09-11",4
"2017-09-12",3
"2017-09-13",2
"2017-09-14",3
"2017-09-15",2
"2017-09-16",4
"2017-09-17",3
"2017-09-18",3
"2017-09-19",5
"2017-09-20",7
"2017-09-21",8
"2017-09-22",5
"2017-09-23",3
"2017-09-24",4
"2017-09-25",4
"2017-09-26",4
"2017-09-27",5
"2017-09-28",4
"2017-09-29",3
"2017-09-30",3
"2017-10-01",2
"2017-10-02",3
"2017-10-03",3
"2017-10-04",3
"2017-10-05",4
"2017-10-06",3
"2017-10-07",5
"2017-10-08",6
"2017-10-09",5
"2017-10-10",7
"2017-10-11",6
"2017-10-12",4
"2017-10-13",3
"2017-10-14",2
"2017-10-15",3
"2017-10-16",4
"2017-10-17",4
"2017-10-18",4
"2017-10-19",4
"2017-10-20",21
"2017-10-21",81
"2017-10-22",42
"2017-10-23",16
"2017-10-24",9
"2017-10-25",7
"2017-10-26",8
"2017-10-27",40
"2017-10-28",7
"2017-10-29",9
"2017-10-30",8
"2017-10-31",10
"2017-11-01",7
"2017-11-02",8
"2017-11-03",6
"2017-11-04",5
"2017-11-05",6
"2017-11-06",7
"2017-11-07",8
"2017-11-08",8
"2017-11-09",87
"2017-11-10",49
"2017-11-11",13
"2017-11-12",23
"2017-11-13",11
"2017-11-14",8
"2017-11-15",7
"2017-11-16",5
"2017-11-17",7
"2017-11-18",6
"2017-11-19",9
"2017-11-20",9
"2017-11-21",10
"2017-11-22",10
"2017-11-23",7
"2017-11-24",8
"2017-11-25",5
"2017-11-26",5
"2017-11-27",6
"2017-11-28",6
"2017-11-29",7
"2017-11-30",5
"2017-12-01",9
"2017-12-02",5
"2017-12-03",7
"2017-12-04",9
"2017-12-05",8
"2017-12-06",10
"2017-12-07",12
"2017-12-08",22
"2017-12-09",61
"2017-12-10",16
"2017-12-11",11
"2017-12-12",11
"2017-12-13",10
"2017-12-14",8
"2017-12-15",13
"2017-12-16",7
"2017-12-17",9
"2017-12-18",13
"2017-12-19",13
"2017-12-20",11
"2017-12-21",12
"2017-12-22",7
"2017-12-23",6
"2017-12-24",8
"2017-12-25",9
"2017-12-26",10
"2017-12-27",10
"2017-12-28",8
"2017-12-29",8
"2017-12-30",98
"2017-12-31",8
"2018-01-01",10
"2018-01-02",11
"2018-01-03",9
"2018-01-04",9
"2018-01-05",57
"2018-01-06",8
"2018-01-07",9
"2018-01-08",10
"2018-01-09",12
"2018-01-10",11
"2018-01-11",9
"2018-01-12",9
"2018-01-13",8
"2018-01-14",16
"2018-01-15",15
"2018-01-16",14
"2018-01-17",15
"2018-01-18",14
"2018-01-19",16
"2018-01-20",13
"2018-01-21",17
"2018-01-22",17
"2018-01-23",16
"2018-01-24",17
"2018-01-25",16
"2018-01-26",15
"2018-01-27",13
"2018-01-28",13
"2018-01-29",17
"2018-01-30",16
"2018-01-31",14
"2018-02-01",16
"2018-02-02",13
"2018-02-03",15
"2018-02-04",20
"2018-02-05",21
"2018-02-06",19
"2018-02-07",19
"2018-02-08",18
"2018-02-09",16
"2018-02-10",15
"2018-02-11",15
"2018-02-12",17
"2018-02-13",13
"2018-02-14",17
"2018-02-15",14
"2018-02-16",17
"2018-02-17",18
"2018-02-18",29
"2018-02-19",35
"2018-02-20",24
"2018-02-21",27
"2018-02-22",25
"2018-02-23",23
"2018-02-24",18
"2018-02-25",20
"2018-02-26",34
"2018-02-27",33
"2018-02-28",18
"2018-03-01",17
"2018-03-02",18
"2018-03-03",16
"2018-03-04",17
"2018-03-05",20
"2018-03-06",20
"2018-03-07",19
"2018-03-08",25
"2018-03-09",20
"2018-03-10",13
"2018-03-11",19
"2018-03-12",19
"2018-03-13",18
"2018-03-14",19
"2018-03-15",17
"2018-03-16",18
"2018-03-17",15
"2018-03-18",17
"2018-03-19",21
"2018-03-20",19
"2018-03-21",24
"2018-03-22",17
"2018-03-23",15
"2018-03-24",16
"2018-03-25",17
"2018-03-26",23
"2018-03-27",20
"2018-03-28",20
"2018-03-29",18
"2018-03-30",15
"2018-03-31",12
"2018-04-01",15
"2018-04-02",20
"2018-04-03",18
"2018-04-04",18
"2018-04-05",19
"2018-04-06",16
"2018-04-07",13
"2018-04-08",15
"2018-04-09",18
"2018-04-10",19
"2018-04-11",18
"2018-04-12",15
"2018-04-13",15
"2018-04-14",15
"2018-04-15",17
"2018-04-16",18
"2018-04-17",19
"2018-04-18",17
"2018-04-19",17
