네이버 데이터랩 쇼핑인사이트 > 검색어 통계
조회분야
생활/건강
조회기간 : 2017.08.01. ~ 2018.04.19. 일간
기기별 : 전체
성별 : 전체
연령별 : 전체

"날짜","질레트면도날"
"2017-08-01",55
"2017-08-02",42
"2017-08-03",33
"2017-08-04",22
"2017-08-05",27
"2017-08-06",37
"2017-08-07",37
"2017-08-08",41
"2017-08-09",39
"2017-08-10",28
"2017-08-11",23
"2017-08-12",22
"2017-08-13",28
"2017-08-14",32
"2017-08-15",35
"2017-08-16",31
"2017-08-17",31
"2017-08-18",23
"2017-08-19",24
"2017-08-20",31
"2017-08-21",38
"2017-08-22",31
"2017-08-23",27
"2017-08-24",29
"2017-08-25",28
"2017-08-26",28
"2017-08-27",31
"2017-08-28",36
"2017-08-29",51
"2017-08-30",34
"2017-08-31",30
"2017-09-01",28
"2017-09-02",22
"2017-09-03",46
"2017-09-04",49
"2017-09-05",49
"2017-09-06",42
"2017-09-07",31
"2017-09-08",23
"2017-09-09",21
"2017-09-10",34
"2017-09-11",33
"2017-09-12",38
"2017-09-13",35
"2017-09-14",23
"2017-09-15",20
"2017-09-16",28
"2017-09-17",33
"2017-09-18",34
"2017-09-19",31
"2017-09-20",25
"2017-09-21",21
"2017-09-22",19
"2017-09-23",20
"2017-09-24",31
"2017-09-25",35
"2017-09-26",44
"2017-09-27",29
"2017-09-28",23
"2017-09-29",19
"2017-09-30",20
"2017-10-01",27
"2017-10-02",24
"2017-10-03",21
"2017-10-04",18
"2017-10-05",28
"2017-10-06",31
"2017-10-07",29
"2017-10-08",43
"2017-10-09",58
"2017-10-10",90
"2017-10-11",57
"2017-10-12",43
"2017-10-13",25
"2017-10-14",29
"2017-10-15",49
"2017-10-16",50
"2017-10-17",48
"2017-10-18",39
"2017-10-19",34
"2017-10-20",25
"2017-10-21",20
"2017-10-22",34
"2017-10-23",47
"2017-10-24",45
"2017-10-25",34
"2017-10-26",32
"2017-10-27",28
"2017-10-28",24
"2017-10-29",41
"2017-10-30",30
"2017-10-31",56
"2017-11-01",48
"2017-11-02",40
"2017-11-03",31
"2017-11-04",28
"2017-11-05",43
"2017-11-06",40
"2017-11-07",41
"2017-11-08",36
"2017-11-09",31
"2017-11-10",30
"2017-11-11",38
"2017-11-12",41
"2017-11-13",47
"2017-11-14",72
"2017-11-15",43
"2017-11-16",39
"2017-11-17",36
"2017-11-18",35
"2017-11-19",52
"2017-11-20",55
"2017-11-21",49
"2017-11-22",51
"2017-11-23",44
"2017-11-24",33
"2017-11-25",33
"2017-11-26",51
"2017-11-27",48
"2017-11-28",64
"2017-11-29",46
"2017-11-30",32
"2017-12-01",30
"2017-12-02",33
"2017-12-03",58
"2017-12-04",58
"2017-12-05",73
"2017-12-06",53
"2017-12-07",48
"2017-12-08",34
"2017-12-09",39
"2017-12-10",51
"2017-12-11",55
"2017-12-12",67
"2017-12-13",48
"2017-12-14",37
"2017-12-15",30
"2017-12-16",36
"2017-12-17",51
"2017-12-18",57
"2017-12-19",45
"2017-12-20",43
"2017-12-21",42
"2017-12-22",29
"2017-12-23",43
"2017-12-24",46
"2017-12-25",72
"2017-12-26",94
"2017-12-27",72
"2017-12-28",53
"2017-12-29",38
"2017-12-30",42
"2017-12-31",41
"2018-01-01",75
"2018-01-02",99
"2018-01-03",76
"2018-01-04",62
"2018-01-05",57
"2018-01-06",56
"2018-01-07",78
"2018-01-08",68
"2018-01-09",55
"2018-01-10",51
"2018-01-11",45
"2018-01-12",36
"2018-01-13",45
"2018-01-14",58
"2018-01-15",66
"2018-01-16",87
"2018-01-17",63
"2018-01-18",63
"2018-01-19",36
"2018-01-20",37
"2018-01-21",66
"2018-01-22",60
"2018-01-23",64
"2018-01-24",58
"2018-01-25",53
"2018-01-26",39
"2018-01-27",41
"2018-01-28",46
"2018-01-29",67
"2018-01-30",83
"2018-01-31",66
"2018-02-01",56
"2018-02-02",44
"2018-02-03",49
"2018-02-04",79
"2018-02-05",66
"2018-02-06",88
"2018-02-07",66
"2018-02-08",53
"2018-02-09",33
"2018-02-10",35
"2018-02-11",48
"2018-02-12",41
"2018-02-13",43
"2018-02-14",33
"2018-02-15",31
"2018-02-16",31
"2018-02-17",51
"2018-02-18",83
"2018-02-19",94
"2018-02-20",73
"2018-02-21",58
"2018-02-22",61
"2018-02-23",50
"2018-02-24",44
"2018-02-25",57
"2018-02-26",68
"2018-02-27",78
"2018-02-28",53
"2018-03-01",59
"2018-03-02",46
"2018-03-03",49
"2018-03-04",62
"2018-03-05",54
"2018-03-06",66
"2018-03-07",57
"2018-03-08",44
"2018-03-09",35
"2018-03-10",36
"2018-03-11",50
"2018-03-12",56
"2018-03-13",69
"2018-03-14",42
"2018-03-15",41
"2018-03-16",34
"2018-03-17",37
"2018-03-18",42
"2018-03-19",53
"2018-03-20",51
"2018-03-21",47
"2018-03-22",37
"2018-03-23",36
"2018-03-24",41
"2018-03-25",100
"2018-03-26",61
"2018-03-27",69
"2018-03-28",47
"2018-03-29",34
"2018-03-30",27
"2018-03-31",30
"2018-04-01",57
"2018-04-02",58
"2018-04-03",70
"2018-04-04",52
"2018-04-05",44
"2018-04-06",36
"2018-04-07",42
"2018-04-08",48
"2018-04-09",55
"2018-04-10",64
"2018-04-11",47
"2018-04-12",35
"2018-04-13",33
"2018-04-14",46
"2018-04-15",53
"2018-04-16",50
"2018-04-17",58
"2018-04-18",47
"2018-04-19",42
