네이버 데이터랩 쇼핑인사이트 > 검색어 통계
조회분야
생활/건강
조회기간 : 2017.08.01. ~ 2018.04.19. 일간
기기별 : 전체
성별 : 전체
연령별 : 전체

"날짜","보온병"
"2017-08-01",21
"2017-08-02",17
"2017-08-03",17
"2017-08-04",16
"2017-08-05",12
"2017-08-06",19
"2017-08-07",17
"2017-08-08",26
"2017-08-09",16
"2017-08-10",13
"2017-08-11",16
"2017-08-12",17
"2017-08-13",21
"2017-08-14",20
"2017-08-15",18
"2017-08-16",17
"2017-08-17",18
"2017-08-18",19
"2017-08-19",15
"2017-08-20",21
"2017-08-21",22
"2017-08-22",15
"2017-08-23",22
"2017-08-24",16
"2017-08-25",16
"2017-08-26",13
"2017-08-27",23
"2017-08-28",23
"2017-08-29",28
"2017-08-30",31
"2017-08-31",24
"2017-09-01",20
"2017-09-02",28
"2017-09-03",26
"2017-09-04",27
"2017-09-05",27
"2017-09-06",27
"2017-09-07",25
"2017-09-08",22
"2017-09-09",22
"2017-09-10",30
"2017-09-11",32
"2017-09-12",28
"2017-09-13",32
"2017-09-14",26
"2017-09-15",29
"2017-09-16",25
"2017-09-17",34
"2017-09-18",36
"2017-09-19",37
"2017-09-20",30
"2017-09-21",26
"2017-09-22",28
"2017-09-23",29
"2017-09-24",33
"2017-09-25",29
"2017-09-26",37
"2017-09-27",27
"2017-09-28",26
"2017-09-29",23
"2017-09-30",19
"2017-10-01",18
"2017-10-02",18
"2017-10-03",14
"2017-10-04",21
"2017-10-05",22
"2017-10-06",38
"2017-10-07",28
"2017-10-08",37
"2017-10-09",36
"2017-10-10",35
"2017-10-11",47
"2017-10-12",43
"2017-10-13",39
"2017-10-14",39
"2017-10-15",48
"2017-10-16",58
"2017-10-17",48
"2017-10-18",47
"2017-10-19",46
"2017-10-20",35
"2017-10-21",48
"2017-10-22",53
"2017-10-23",48
"2017-10-24",52
"2017-10-25",55
"2017-10-26",71
"2017-10-27",41
"2017-10-28",41
"2017-10-29",52
"2017-10-30",80
"2017-10-31",69
"2017-11-01",74
"2017-11-02",58
"2017-11-03",48
"2017-11-04",54
"2017-11-05",63
"2017-11-06",68
"2017-11-07",57
"2017-11-08",65
"2017-11-09",69
"2017-11-10",49
"2017-11-11",56
"2017-11-12",57
"2017-11-13",64
"2017-11-14",70
"2017-11-15",64
"2017-11-16",72
"2017-11-17",48
"2017-11-18",53
"2017-11-19",67
"2017-11-20",73
"2017-11-21",77
"2017-11-22",74
"2017-11-23",72
"2017-11-24",58
"2017-11-25",57
"2017-11-26",64
"2017-11-27",62
"2017-11-28",72
"2017-11-29",82
"2017-11-30",69
"2017-12-01",65
"2017-12-02",48
"2017-12-03",68
"2017-12-04",75
"2017-12-05",93
"2017-12-06",79
"2017-12-07",67
"2017-12-08",55
"2017-12-09",54
"2017-12-10",63
"2017-12-11",59
"2017-12-12",70
"2017-12-13",69
"2017-12-14",64
"2017-12-15",49
"2017-12-16",46
"2017-12-17",61
"2017-12-18",56
"2017-12-19",53
"2017-12-20",53
"2017-12-21",41
"2017-12-22",37
"2017-12-23",29
"2017-12-24",32
"2017-12-25",40
"2017-12-26",48
"2017-12-27",37
"2017-12-28",39
"2017-12-29",29
"2017-12-30",33
"2017-12-31",41
"2018-01-01",41
"2018-01-02",51
"2018-01-03",44
"2018-01-04",41
"2018-01-05",41
"2018-01-06",41
"2018-01-07",50
"2018-01-08",50
"2018-01-09",54
"2018-01-10",48
"2018-01-11",56
"2018-01-12",42
"2018-01-13",41
"2018-01-14",47
"2018-01-15",43
"2018-01-16",45
"2018-01-17",42
"2018-01-18",38
"2018-01-19",44
"2018-01-20",35
"2018-01-21",42
"2018-01-22",38
"2018-01-23",42
"2018-01-24",49
"2018-01-25",53
"2018-01-26",42
"2018-01-27",50
"2018-01-28",100
"2018-01-29",53
"2018-01-30",53
"2018-01-31",41
"2018-02-01",40
"2018-02-02",43
"2018-02-03",33
"2018-02-04",51
"2018-02-05",47
"2018-02-06",51
"2018-02-07",49
"2018-02-08",38
"2018-02-09",31
"2018-02-10",30
"2018-02-11",32
"2018-02-12",35
"2018-02-13",24
"2018-02-14",21
"2018-02-15",20
"2018-02-16",22
"2018-02-17",26
"2018-02-18",41
"2018-02-19",41
"2018-02-20",42
"2018-02-21",40
"2018-02-22",41
"2018-02-23",33
"2018-02-24",35
"2018-02-25",49
"2018-02-26",47
"2018-02-27",43
"2018-02-28",36
"2018-03-01",48
"2018-03-02",40
"2018-03-03",42
"2018-03-04",50
"2018-03-05",55
"2018-03-06",56
"2018-03-07",42
"2018-03-08",41
"2018-03-09",34
"2018-03-10",33
"2018-03-11",35
"2018-03-12",45
"2018-03-13",38
"2018-03-14",30
"2018-03-15",29
"2018-03-16",25
"2018-03-17",29
"2018-03-18",36
"2018-03-19",28
"2018-03-20",34
"2018-03-21",38
"2018-03-22",33
"2018-03-23",26
"2018-03-24",31
"2018-03-25",32
"2018-03-26",33
"2018-03-27",34
"2018-03-28",33
"2018-03-29",30
"2018-03-30",25
"2018-03-31",29
"2018-04-01",29
"2018-04-02",37
"2018-04-03",33
"2018-04-04",37
"2018-04-05",36
"2018-04-06",32
"2018-04-07",25
"2018-04-08",36
"2018-04-09",36
"2018-04-10",35
"2018-04-11",30
"2018-04-12",26
"2018-04-13",27
"2018-04-14",27
"2018-04-15",30
"2018-04-16",33
"2018-04-17",32
"2018-04-18",31
"2018-04-19",26
