네이버 데이터랩 쇼핑인사이트 > 검색어 통계
조회분야
생활/건강
조회기간 : 2017.08.01. ~ 2018.04.19. 일간
기기별 : 전체
성별 : 전체
연령별 : 전체

"날짜","식기건조대"
"2017-08-01",50
"2017-08-02",52
"2017-08-03",48
"2017-08-04",43
"2017-08-05",43
"2017-08-06",53
"2017-08-07",57
"2017-08-08",50
"2017-08-09",53
"2017-08-10",51
"2017-08-11",51
"2017-08-12",52
"2017-08-13",60
"2017-08-14",60
"2017-08-15",70
"2017-08-16",73
"2017-08-17",56
"2017-08-18",54
"2017-08-19",48
"2017-08-20",66
"2017-08-21",64
"2017-08-22",65
"2017-08-23",63
"2017-08-24",55
"2017-08-25",49
"2017-08-26",55
"2017-08-27",67
"2017-08-28",55
"2017-08-29",88
"2017-08-30",62
"2017-08-31",48
"2017-09-01",43
"2017-09-02",52
"2017-09-03",56
"2017-09-04",71
"2017-09-05",54
"2017-09-06",48
"2017-09-07",48
"2017-09-08",39
"2017-09-09",42
"2017-09-10",59
"2017-09-11",56
"2017-09-12",49
"2017-09-13",42
"2017-09-14",40
"2017-09-15",32
"2017-09-16",40
"2017-09-17",57
"2017-09-18",51
"2017-09-19",47
"2017-09-20",46
"2017-09-21",38
"2017-09-22",40
"2017-09-23",42
"2017-09-24",50
"2017-09-25",48
"2017-09-26",45
"2017-09-27",41
"2017-09-28",31
"2017-09-29",34
"2017-09-30",38
"2017-10-01",42
"2017-10-02",46
"2017-10-03",52
"2017-10-04",47
"2017-10-05",52
"2017-10-06",57
"2017-10-07",58
"2017-10-08",65
"2017-10-09",72
"2017-10-10",57
"2017-10-11",58
"2017-10-12",45
"2017-10-13",41
"2017-10-14",47
"2017-10-15",58
"2017-10-16",54
"2017-10-17",51
"2017-10-18",47
"2017-10-19",42
"2017-10-20",42
"2017-10-21",64
"2017-10-22",54
"2017-10-23",52
"2017-10-24",50
"2017-10-25",47
"2017-10-26",42
"2017-10-27",42
"2017-10-28",43
"2017-10-29",57
"2017-10-30",58
"2017-10-31",52
"2017-11-01",53
"2017-11-02",48
"2017-11-03",40
"2017-11-04",43
"2017-11-05",51
"2017-11-06",55
"2017-11-07",50
"2017-11-08",54
"2017-11-09",51
"2017-11-10",44
"2017-11-11",43
"2017-11-12",60
"2017-11-13",52
"2017-11-14",55
"2017-11-15",49
"2017-11-16",50
"2017-11-17",40
"2017-11-18",40
"2017-11-19",61
"2017-11-20",53
"2017-11-21",55
"2017-11-22",51
"2017-11-23",47
"2017-11-24",41
"2017-11-25",50
"2017-11-26",60
"2017-11-27",62
"2017-11-28",56
"2017-11-29",51
"2017-11-30",44
"2017-12-01",39
"2017-12-02",57
"2017-12-03",66
"2017-12-04",63
"2017-12-05",58
"2017-12-06",61
"2017-12-07",54
"2017-12-08",42
"2017-12-09",47
"2017-12-10",71
"2017-12-11",65
"2017-12-12",65
"2017-12-13",48
"2017-12-14",56
"2017-12-15",46
"2017-12-16",45
"2017-12-17",63
"2017-12-18",59
"2017-12-19",56
"2017-12-20",53
"2017-12-21",51
"2017-12-22",40
"2017-12-23",45
"2017-12-24",52
"2017-12-25",65
"2017-12-26",56
"2017-12-27",55
"2017-12-28",54
"2017-12-29",43
"2017-12-30",53
"2017-12-31",56
"2018-01-01",72
"2018-01-02",65
"2018-01-03",58
"2018-01-04",63
"2018-01-05",47
"2018-01-06",52
"2018-01-07",72
"2018-01-08",68
"2018-01-09",61
"2018-01-10",56
"2018-01-11",63
"2018-01-12",56
"2018-01-13",55
"2018-01-14",72
"2018-01-15",68
"2018-01-16",69
"2018-01-17",61
"2018-01-18",59
"2018-01-19",53
"2018-01-20",56
"2018-01-21",74
"2018-01-22",64
"2018-01-23",66
"2018-01-24",59
"2018-01-25",60
"2018-01-26",50
"2018-01-27",60
"2018-01-28",80
"2018-01-29",80
"2018-01-30",65
"2018-01-31",63
"2018-02-01",63
"2018-02-02",47
"2018-02-03",58
"2018-02-04",93
"2018-02-05",75
"2018-02-06",66
"2018-02-07",68
"2018-02-08",67
"2018-02-09",58
"2018-02-10",55
"2018-02-11",69
"2018-02-12",62
"2018-02-13",43
"2018-02-14",36
"2018-02-15",42
"2018-02-16",42
"2018-02-17",61
"2018-02-18",98
"2018-02-19",83
"2018-02-20",68
"2018-02-21",99
"2018-02-22",75
"2018-02-23",54
"2018-02-24",59
"2018-02-25",82
"2018-02-26",77
"2018-02-27",68
"2018-02-28",58
"2018-03-01",79
"2018-03-02",64
"2018-03-03",69
"2018-03-04",100
"2018-03-05",83
"2018-03-06",64
"2018-03-07",65
"2018-03-08",68
"2018-03-09",47
"2018-03-10",54
"2018-03-11",75
"2018-03-12",72
"2018-03-13",61
"2018-03-14",48
"2018-03-15",57
"2018-03-16",56
"2018-03-17",52
"2018-03-18",74
"2018-03-19",73
"2018-03-20",57
"2018-03-21",66
"2018-03-22",61
"2018-03-23",53
"2018-03-24",58
"2018-03-25",73
"2018-03-26",73
"2018-03-27",62
"2018-03-28",56
"2018-03-29",47
"2018-03-30",46
"2018-03-31",49
"2018-04-01",82
"2018-04-02",63
"2018-04-03",58
"2018-04-04",64
"2018-04-05",59
"2018-04-06",42
"2018-04-07",49
"2018-04-08",63
"2018-04-09",60
"2018-04-10",50
"2018-04-11",50
"2018-04-12",46
"2018-04-13",58
"2018-04-14",65
"2018-04-15",77
"2018-04-16",64
"2018-04-17",56
"2018-04-18",48
"2018-04-19",50
