네이버 데이터랩 쇼핑인사이트 > 검색어 통계
조회분야
생활/건강
조회기간 : 2017.08.01. ~ 2018.04.19. 일간
기기별 : 전체
성별 : 전체
연령별 : 전체

"날짜","건담"
"2017-08-01",33
"2017-08-02",31
"2017-08-03",34
"2017-08-04",27
"2017-08-05",45
"2017-08-06",47
"2017-08-07",37
"2017-08-08",30
"2017-08-09",36
"2017-08-10",35
"2017-08-11",35
"2017-08-12",34
"2017-08-13",43
"2017-08-14",37
"2017-08-15",48
"2017-08-16",35
"2017-08-17",33
"2017-08-18",30
"2017-08-19",39
"2017-08-20",51
"2017-08-21",41
"2017-08-22",31
"2017-08-23",41
"2017-08-24",31
"2017-08-25",39
"2017-08-26",51
"2017-08-27",43
"2017-08-28",28
"2017-08-29",26
"2017-08-30",23
"2017-08-31",27
"2017-09-01",20
"2017-09-02",36
"2017-09-03",37
"2017-09-04",25
"2017-09-05",28
"2017-09-06",22
"2017-09-07",29
"2017-09-08",21
"2017-09-09",36
"2017-09-10",40
"2017-09-11",35
"2017-09-12",22
"2017-09-13",29
"2017-09-14",23
"2017-09-15",21
"2017-09-16",30
"2017-09-17",36
"2017-09-18",27
"2017-09-19",27
"2017-09-20",22
"2017-09-21",26
"2017-09-22",23
"2017-09-23",37
"2017-09-24",39
"2017-09-25",25
"2017-09-26",31
"2017-09-27",30
"2017-09-28",25
"2017-09-29",24
"2017-09-30",28
"2017-10-01",40
"2017-10-02",54
"2017-10-03",42
"2017-10-04",62
"2017-10-05",59
"2017-10-06",61
"2017-10-07",57
"2017-10-08",59
"2017-10-09",51
"2017-10-10",42
"2017-10-11",41
"2017-10-12",37
"2017-10-13",34
"2017-10-14",47
"2017-10-15",59
"2017-10-16",37
"2017-10-17",36
"2017-10-18",27
"2017-10-19",34
"2017-10-20",30
"2017-10-21",37
"2017-10-22",53
"2017-10-23",38
"2017-10-24",41
"2017-10-25",41
"2017-10-26",36
"2017-10-27",36
"2017-10-28",40
"2017-10-29",51
"2017-10-30",38
"2017-10-31",34
"2017-11-01",51
"2017-11-02",37
"2017-11-03",39
"2017-11-04",51
"2017-11-05",50
"2017-11-06",41
"2017-11-07",29
"2017-11-08",38
"2017-11-09",40
"2017-11-10",39
"2017-11-11",48
"2017-11-12",55
"2017-11-13",48
"2017-11-14",34
"2017-11-15",36
"2017-11-16",39
"2017-11-17",36
"2017-11-18",58
"2017-11-19",65
"2017-11-20",45
"2017-11-21",39
"2017-11-22",52
"2017-11-23",43
"2017-11-24",31
"2017-11-25",49
"2017-11-26",60
"2017-11-27",32
"2017-11-28",48
"2017-11-29",36
"2017-11-30",31
"2017-12-01",32
"2017-12-02",45
"2017-12-03",74
"2017-12-04",48
"2017-12-05",47
"2017-12-06",47
"2017-12-07",42
"2017-12-08",45
"2017-12-09",76
"2017-12-10",76
"2017-12-11",57
"2017-12-12",42
"2017-12-13",59
"2017-12-14",55
"2017-12-15",50
"2017-12-16",64
"2017-12-17",76
"2017-12-18",64
"2017-12-19",66
"2017-12-20",69
"2017-12-21",63
"2017-12-22",48
"2017-12-23",66
"2017-12-24",87
"2017-12-25",100
"2017-12-26",59
"2017-12-27",61
"2017-12-28",46
"2017-12-29",42
"2017-12-30",74
"2017-12-31",67
"2018-01-01",72
"2018-01-02",46
"2018-01-03",57
"2018-01-04",55
"2018-01-05",53
"2018-01-06",67
"2018-01-07",62
"2018-01-08",49
"2018-01-09",61
"2018-01-10",47
"2018-01-11",43
"2018-01-12",44
"2018-01-13",56
"2018-01-14",74
"2018-01-15",55
"2018-01-16",55
"2018-01-17",49
"2018-01-18",52
"2018-01-19",44
"2018-01-20",56
"2018-01-21",69
"2018-01-22",48
"2018-01-23",51
"2018-01-24",41
"2018-01-25",47
"2018-01-26",45
"2018-01-27",54
"2018-01-28",59
"2018-01-29",52
"2018-01-30",38
"2018-01-31",42
"2018-02-01",41
"2018-02-02",32
"2018-02-03",52
"2018-02-04",59
"2018-02-05",48
"2018-02-06",40
"2018-02-07",38
"2018-02-08",28
"2018-02-09",32
"2018-02-10",53
"2018-02-11",59
"2018-02-12",36
"2018-02-13",39
"2018-02-14",38
"2018-02-15",37
"2018-02-16",61
"2018-02-17",69
"2018-02-18",64
"2018-02-19",62
"2018-02-20",47
"2018-02-21",55
"2018-02-22",38
"2018-02-23",43
"2018-02-24",51
"2018-02-25",55
"2018-02-26",40
"2018-02-27",43
"2018-02-28",42
"2018-03-01",53
"2018-03-02",47
"2018-03-03",50
"2018-03-04",55
"2018-03-05",49
"2018-03-06",46
"2018-03-07",41
"2018-03-08",43
"2018-03-09",39
"2018-03-10",44
"2018-03-11",58
"2018-03-12",42
"2018-03-13",42
"2018-03-14",35
"2018-03-15",36
"2018-03-16",46
"2018-03-17",53
"2018-03-18",60
"2018-03-19",52
"2018-03-20",36
"2018-03-21",33
"2018-03-22",34
"2018-03-23",39
"2018-03-24",59
"2018-03-25",59
"2018-03-26",41
"2018-03-27",39
"2018-03-28",24
"2018-03-29",37
"2018-03-30",30
"2018-03-31",45
"2018-04-01",47
"2018-04-02",32
"2018-04-03",30
"2018-04-04",29
"2018-04-05",30
"2018-04-06",35
"2018-04-07",54
"2018-04-08",52
"2018-04-09",36
"2018-04-10",43
"2018-04-11",42
"2018-04-12",33
"2018-04-13",38
"2018-04-14",50
"2018-04-15",53
"2018-04-16",46
"2018-04-17",37
"2018-04-18",35
"2018-04-19",37
