네이버 데이터랩 쇼핑인사이트 > 검색어 통계
조회분야
생활/건강
조회기간 : 2017.08.01. ~ 2018.04.19. 일간
기기별 : 전체
성별 : 전체
연령별 : 전체

"날짜","차량용스마트폰거치대"
"2017-08-01",49
"2017-08-02",44
"2017-08-03",44
"2017-08-04",48
"2017-08-05",45
"2017-08-06",58
"2017-08-07",64
"2017-08-08",54
"2017-08-09",66
"2017-08-10",57
"2017-08-11",51
"2017-08-12",40
"2017-08-13",60
"2017-08-14",53
"2017-08-15",58
"2017-08-16",52
"2017-08-17",55
"2017-08-18",43
"2017-08-19",42
"2017-08-20",51
"2017-08-21",54
"2017-08-22",60
"2017-08-23",63
"2017-08-24",61
"2017-08-25",64
"2017-08-26",40
"2017-08-27",51
"2017-08-28",54
"2017-08-29",72
"2017-08-30",71
"2017-08-31",51
"2017-09-01",58
"2017-09-02",42
"2017-09-03",70
"2017-09-04",78
"2017-09-05",68
"2017-09-06",51
"2017-09-07",50
"2017-09-08",55
"2017-09-09",35
"2017-09-10",46
"2017-09-11",63
"2017-09-12",69
"2017-09-13",54
"2017-09-14",51
"2017-09-15",49
"2017-09-16",60
"2017-09-17",62
"2017-09-18",72
"2017-09-19",81
"2017-09-20",65
"2017-09-21",68
"2017-09-22",58
"2017-09-23",44
"2017-09-24",64
"2017-09-25",74
"2017-09-26",73
"2017-09-27",79
"2017-09-28",84
"2017-09-29",42
"2017-09-30",36
"2017-10-01",47
"2017-10-02",42
"2017-10-03",46
"2017-10-04",40
"2017-10-05",51
"2017-10-06",71
"2017-10-07",58
"2017-10-08",68
"2017-10-09",85
"2017-10-10",100
"2017-10-11",74
"2017-10-12",72
"2017-10-13",67
"2017-10-14",53
"2017-10-15",96
"2017-10-16",92
"2017-10-17",84
"2017-10-18",89
"2017-10-19",83
"2017-10-20",61
"2017-10-21",54
"2017-10-22",75
"2017-10-23",83
"2017-10-24",94
"2017-10-25",74
"2017-10-26",78
"2017-10-27",75
"2017-10-28",56
"2017-10-29",81
"2017-10-30",74
"2017-10-31",65
"2017-11-01",81
"2017-11-02",70
"2017-11-03",69
"2017-11-04",53
"2017-11-05",66
"2017-11-06",94
"2017-11-07",87
"2017-11-08",83
"2017-11-09",69
"2017-11-10",60
"2017-11-11",50
"2017-11-12",63
"2017-11-13",76
"2017-11-14",75
"2017-11-15",72
"2017-11-16",70
"2017-11-17",65
"2017-11-18",53
"2017-11-19",57
"2017-11-20",80
"2017-11-21",72
"2017-11-22",66
"2017-11-23",63
"2017-11-24",49
"2017-11-25",50
"2017-11-26",71
"2017-11-27",65
"2017-11-28",76
"2017-11-29",69
"2017-11-30",73
"2017-12-01",52
"2017-12-02",58
"2017-12-03",63
"2017-12-04",87
"2017-12-05",81
"2017-12-06",93
"2017-12-07",72
"2017-12-08",61
"2017-12-09",49
"2017-12-10",74
"2017-12-11",94
"2017-12-12",82
"2017-12-13",79
"2017-12-14",57
"2017-12-15",62
"2017-12-16",47
"2017-12-17",65
"2017-12-18",70
"2017-12-19",63
"2017-12-20",63
"2017-12-21",65
"2017-12-22",54
"2017-12-23",45
"2017-12-24",48
"2017-12-25",60
"2017-12-26",80
"2017-12-27",61
"2017-12-28",63
"2017-12-29",46
"2017-12-30",52
"2017-12-31",53
"2018-01-01",63
"2018-01-02",91
"2018-01-03",83
"2018-01-04",75
"2018-01-05",57
"2018-01-06",54
"2018-01-07",70
"2018-01-08",87
"2018-01-09",79
"2018-01-10",81
"2018-01-11",68
"2018-01-12",57
"2018-01-13",55
"2018-01-14",58
"2018-01-15",84
"2018-01-16",78
"2018-01-17",66
"2018-01-18",49
"2018-01-19",37
"2018-01-20",50
"2018-01-21",72
"2018-01-22",66
"2018-01-23",64
"2018-01-24",53
"2018-01-25",58
"2018-01-26",42
"2018-01-27",48
"2018-01-28",68
"2018-01-29",72
"2018-01-30",72
"2018-01-31",67
"2018-02-01",65
"2018-02-02",61
"2018-02-03",48
"2018-02-04",73
"2018-02-05",72
"2018-02-06",73
"2018-02-07",55
"2018-02-08",57
"2018-02-09",40
"2018-02-10",57
"2018-02-11",88
"2018-02-12",65
"2018-02-13",42
"2018-02-14",41
"2018-02-15",43
"2018-02-16",38
"2018-02-17",64
"2018-02-18",64
"2018-02-19",73
"2018-02-20",58
"2018-02-21",57
"2018-02-22",71
"2018-02-23",57
"2018-02-24",55
"2018-02-25",78
"2018-02-26",66
"2018-02-27",69
"2018-02-28",78
"2018-03-01",63
"2018-03-02",69
"2018-03-03",62
"2018-03-04",64
"2018-03-05",61
"2018-03-06",60
"2018-03-07",56
"2018-03-08",57
"2018-03-09",58
"2018-03-10",40
"2018-03-11",72
"2018-03-12",74
"2018-03-13",68
"2018-03-14",60
"2018-03-15",65
"2018-03-16",58
"2018-03-17",60
"2018-03-18",69
"2018-03-19",79
"2018-03-20",62
"2018-03-21",64
"2018-03-22",68
"2018-03-23",59
"2018-03-24",50
"2018-03-25",63
"2018-03-26",64
"2018-03-27",70
"2018-03-28",49
"2018-03-29",54
"2018-03-30",56
"2018-03-31",44
"2018-04-01",62
"2018-04-02",70
"2018-04-03",60
"2018-04-04",71
"2018-04-05",59
"2018-04-06",51
"2018-04-07",43
"2018-04-08",60
"2018-04-09",66
"2018-04-10",63
"2018-04-11",51
"2018-04-12",60
"2018-04-13",62
"2018-04-14",57
"2018-04-15",61
"2018-04-16",73
"2018-04-17",70
"2018-04-18",50
"2018-04-19",61
