네이버 데이터랩 쇼핑인사이트 > 검색어 통계
조회분야
생활/건강
조회기간 : 2017.08.01. ~ 2018.04.19. 일간
기기별 : 전체
성별 : 전체
연령별 : 전체

"날짜","안마기"
"2017-08-01",28
"2017-08-02",34
"2017-08-03",25
"2017-08-04",34
"2017-08-05",30
"2017-08-06",36
"2017-08-07",33
"2017-08-08",33
"2017-08-09",38
"2017-08-10",33
"2017-08-11",33
"2017-08-12",24
"2017-08-13",39
"2017-08-14",34
"2017-08-15",37
"2017-08-16",38
"2017-08-17",33
"2017-08-18",27
"2017-08-19",28
"2017-08-20",42
"2017-08-21",38
"2017-08-22",36
"2017-08-23",34
"2017-08-24",33
"2017-08-25",23
"2017-08-26",29
"2017-08-27",37
"2017-08-28",27
"2017-08-29",34
"2017-08-30",34
"2017-08-31",28
"2017-09-01",29
"2017-09-02",34
"2017-09-03",41
"2017-09-04",43
"2017-09-05",42
"2017-09-06",31
"2017-09-07",38
"2017-09-08",34
"2017-09-09",38
"2017-09-10",43
"2017-09-11",61
"2017-09-12",57
"2017-09-13",53
"2017-09-14",38
"2017-09-15",48
"2017-09-16",37
"2017-09-17",41
"2017-09-18",56
"2017-09-19",53
"2017-09-20",46
"2017-09-21",52
"2017-09-22",41
"2017-09-23",43
"2017-09-24",48
"2017-09-25",66
"2017-09-26",63
"2017-09-27",50
"2017-09-28",44
"2017-09-29",27
"2017-09-30",30
"2017-10-01",37
"2017-10-02",41
"2017-10-03",42
"2017-10-04",59
"2017-10-05",55
"2017-10-06",52
"2017-10-07",54
"2017-10-08",48
"2017-10-09",52
"2017-10-10",55
"2017-10-11",46
"2017-10-12",41
"2017-10-13",34
"2017-10-14",35
"2017-10-15",40
"2017-10-16",41
"2017-10-17",36
"2017-10-18",67
"2017-10-19",40
"2017-10-20",38
"2017-10-21",33
"2017-10-22",42
"2017-10-23",44
"2017-10-24",37
"2017-10-25",38
"2017-10-26",33
"2017-10-27",29
"2017-10-28",35
"2017-10-29",42
"2017-10-30",38
"2017-10-31",40
"2017-11-01",37
"2017-11-02",40
"2017-11-03",40
"2017-11-04",42
"2017-11-05",43
"2017-11-06",36
"2017-11-07",33
"2017-11-08",45
"2017-11-09",44
"2017-11-10",28
"2017-11-11",34
"2017-11-12",46
"2017-11-13",40
"2017-11-14",33
"2017-11-15",30
"2017-11-16",28
"2017-11-17",38
"2017-11-18",34
"2017-11-19",43
"2017-11-20",41
"2017-11-21",42
"2017-11-22",40
"2017-11-23",36
"2017-11-24",28
"2017-11-25",32
"2017-11-26",40
"2017-11-27",42
"2017-11-28",37
"2017-11-29",33
"2017-11-30",34
"2017-12-01",29
"2017-12-02",33
"2017-12-03",46
"2017-12-04",38
"2017-12-05",41
"2017-12-06",33
"2017-12-07",32
"2017-12-08",33
"2017-12-09",38
"2017-12-10",42
"2017-12-11",41
"2017-12-12",41
"2017-12-13",37
"2017-12-14",38
"2017-12-15",30
"2017-12-16",39
"2017-12-17",54
"2017-12-18",49
"2017-12-19",44
"2017-12-20",39
"2017-12-21",33
"2017-12-22",29
"2017-12-23",31
"2017-12-24",47
"2017-12-25",42
"2017-12-26",50
"2017-12-27",47
"2017-12-28",30
"2017-12-29",32
"2017-12-30",37
"2017-12-31",40
"2018-01-01",45
"2018-01-02",50
"2018-01-03",47
"2018-01-04",37
"2018-01-05",51
"2018-01-06",43
"2018-01-07",59
"2018-01-08",56
"2018-01-09",55
"2018-01-10",55
"2018-01-11",53
"2018-01-12",36
"2018-01-13",47
"2018-01-14",60
"2018-01-15",54
"2018-01-16",50
"2018-01-17",61
"2018-01-18",51
"2018-01-19",42
"2018-01-20",43
"2018-01-21",55
"2018-01-22",62
"2018-01-23",53
"2018-01-24",52
"2018-01-25",46
"2018-01-26",51
"2018-01-27",44
"2018-01-28",55
"2018-01-29",60
"2018-01-30",57
"2018-01-31",63
"2018-02-01",48
"2018-02-02",45
"2018-02-03",46
"2018-02-04",63
"2018-02-05",67
"2018-02-06",69
"2018-02-07",51
"2018-02-08",48
"2018-02-09",45
"2018-02-10",65
"2018-02-11",82
"2018-02-12",69
"2018-02-13",46
"2018-02-14",39
"2018-02-15",55
"2018-02-16",87
"2018-02-17",82
"2018-02-18",100
"2018-02-19",85
"2018-02-20",74
"2018-02-21",61
"2018-02-22",57
"2018-02-23",49
"2018-02-24",51
"2018-02-25",64
"2018-02-26",55
"2018-02-27",55
"2018-02-28",54
"2018-03-01",64
"2018-03-02",50
"2018-03-03",53
"2018-03-04",67
"2018-03-05",50
"2018-03-06",48
"2018-03-07",44
"2018-03-08",50
"2018-03-09",40
"2018-03-10",44
"2018-03-11",57
"2018-03-12",44
"2018-03-13",46
"2018-03-14",40
"2018-03-15",39
"2018-03-16",32
"2018-03-17",39
"2018-03-18",54
"2018-03-19",55
"2018-03-20",44
"2018-03-21",44
"2018-03-22",38
"2018-03-23",37
"2018-03-24",42
"2018-03-25",50
"2018-03-26",42
"2018-03-27",43
"2018-03-28",35
"2018-03-29",47
"2018-03-30",33
"2018-03-31",34
"2018-04-01",47
"2018-04-02",41
"2018-04-03",40
"2018-04-04",44
"2018-04-05",40
"2018-04-06",37
"2018-04-07",36
"2018-04-08",41
"2018-04-09",51
"2018-04-10",42
"2018-04-11",37
"2018-04-12",37
"2018-04-13",42
"2018-04-14",42
"2018-04-15",50
"2018-04-16",42
"2018-04-17",61
"2018-04-18",42
"2018-04-19",41
