네이버 데이터랩 쇼핑인사이트 > 검색어 통계
조회분야
생활/건강
조회기간 : 2017.08.01. ~ 2018.04.19. 일간
기기별 : 전체
성별 : 전체
연령별 : 전체

"날짜","금고"
"2017-08-01",37
"2017-08-02",36
"2017-08-03",36
"2017-08-04",31
"2017-08-05",33
"2017-08-06",33
"2017-08-07",37
"2017-08-08",42
"2017-08-09",42
"2017-08-10",33
"2017-08-11",36
"2017-08-12",36
"2017-08-13",35
"2017-08-14",41
"2017-08-15",32
"2017-08-16",40
"2017-08-17",36
"2017-08-18",30
"2017-08-19",26
"2017-08-20",30
"2017-08-21",36
"2017-08-22",27
"2017-08-23",29
"2017-08-24",27
"2017-08-25",28
"2017-08-26",25
"2017-08-27",28
"2017-08-28",24
"2017-08-29",35
"2017-08-30",34
"2017-08-31",30
"2017-09-01",30
"2017-09-02",29
"2017-09-03",40
"2017-09-04",34
"2017-09-05",30
"2017-09-06",32
"2017-09-07",37
"2017-09-08",32
"2017-09-09",31
"2017-09-10",39
"2017-09-11",41
"2017-09-12",44
"2017-09-13",40
"2017-09-14",32
"2017-09-15",37
"2017-09-16",37
"2017-09-17",42
"2017-09-18",46
"2017-09-19",44
"2017-09-20",42
"2017-09-21",44
"2017-09-22",37
"2017-09-23",34
"2017-09-24",36
"2017-09-25",42
"2017-09-26",41
"2017-09-27",40
"2017-09-28",36
"2017-09-29",30
"2017-09-30",35
"2017-10-01",39
"2017-10-02",39
"2017-10-03",28
"2017-10-04",32
"2017-10-05",33
"2017-10-06",44
"2017-10-07",43
"2017-10-08",43
"2017-10-09",41
"2017-10-10",54
"2017-10-11",48
"2017-10-12",43
"2017-10-13",34
"2017-10-14",34
"2017-10-15",34
"2017-10-16",49
"2017-10-17",42
"2017-10-18",43
"2017-10-19",42
"2017-10-20",40
"2017-10-21",34
"2017-10-22",43
"2017-10-23",48
"2017-10-24",48
"2017-10-25",56
"2017-10-26",47
"2017-10-27",46
"2017-10-28",37
"2017-10-29",43
"2017-10-30",42
"2017-10-31",43
"2017-11-01",48
"2017-11-02",54
"2017-11-03",41
"2017-11-04",42
"2017-11-05",56
"2017-11-06",37
"2017-11-07",48
"2017-11-08",48
"2017-11-09",36
"2017-11-10",36
"2017-11-11",44
"2017-11-12",57
"2017-11-13",53
"2017-11-14",51
"2017-11-15",48
"2017-11-16",59
"2017-11-17",56
"2017-11-18",41
"2017-11-19",53
"2017-11-20",55
"2017-11-21",50
"2017-11-22",67
"2017-11-23",64
"2017-11-24",49
"2017-11-25",50
"2017-11-26",55
"2017-11-27",63
"2017-11-28",62
"2017-11-29",59
"2017-11-30",59
"2017-12-01",86
"2017-12-02",70
"2017-12-03",57
"2017-12-04",74
"2017-12-05",54
"2017-12-06",65
"2017-12-07",71
"2017-12-08",60
"2017-12-09",61
"2017-12-10",62
"2017-12-11",72
"2017-12-12",64
"2017-12-13",67
"2017-12-14",66
"2017-12-15",59
"2017-12-16",53
"2017-12-17",58
"2017-12-18",61
"2017-12-19",71
"2017-12-20",73
"2017-12-21",57
"2017-12-22",69
"2017-12-23",54
"2017-12-24",62
"2017-12-25",54
"2017-12-26",78
"2017-12-27",79
"2017-12-28",76
"2017-12-29",64
"2017-12-30",68
"2017-12-31",58
"2018-01-01",62
"2018-01-02",71
"2018-01-03",56
"2018-01-04",63
"2018-01-05",73
"2018-01-06",44
"2018-01-07",57
"2018-01-08",61
"2018-01-09",70
"2018-01-10",68
"2018-01-11",60
"2018-01-12",66
"2018-01-13",55
"2018-01-14",58
"2018-01-15",58
"2018-01-16",68
"2018-01-17",62
"2018-01-18",78
"2018-01-19",70
"2018-01-20",57
"2018-01-21",61
"2018-01-22",66
"2018-01-23",77
"2018-01-24",72
"2018-01-25",80
"2018-01-26",69
"2018-01-27",60
"2018-01-28",78
"2018-01-29",100
"2018-01-30",77
"2018-01-31",70
"2018-02-01",56
"2018-02-02",57
"2018-02-03",47
"2018-02-04",59
"2018-02-05",59
"2018-02-06",50
"2018-02-07",49
"2018-02-08",45
"2018-02-09",41
"2018-02-10",37
"2018-02-11",39
"2018-02-12",41
"2018-02-13",39
"2018-02-14",44
"2018-02-15",46
"2018-02-16",41
"2018-02-17",64
"2018-02-18",65
"2018-02-19",78
"2018-02-20",68
"2018-02-21",69
"2018-02-22",66
"2018-02-23",67
"2018-02-24",61
"2018-02-25",61
"2018-02-26",55
"2018-02-27",62
"2018-02-28",60
"2018-03-01",56
"2018-03-02",56
"2018-03-03",58
"2018-03-04",57
"2018-03-05",60
"2018-03-06",53
"2018-03-07",56
"2018-03-08",53
"2018-03-09",52
"2018-03-10",48
"2018-03-11",57
"2018-03-12",51
"2018-03-13",58
"2018-03-14",49
"2018-03-15",70
"2018-03-16",45
"2018-03-17",44
"2018-03-18",51
"2018-03-19",59
"2018-03-20",57
"2018-03-21",61
"2018-03-22",50
"2018-03-23",45
"2018-03-24",57
"2018-03-25",50
"2018-03-26",70
"2018-03-27",60
"2018-03-28",65
"2018-03-29",56
"2018-03-30",49
"2018-03-31",47
"2018-04-01",45
"2018-04-02",50
"2018-04-03",56
"2018-04-04",63
"2018-04-05",55
"2018-04-06",55
"2018-04-07",41
"2018-04-08",62
"2018-04-09",71
"2018-04-10",63
"2018-04-11",53
"2018-04-12",56
"2018-04-13",66
"2018-04-14",50
"2018-04-15",52
"2018-04-16",63
"2018-04-17",54
"2018-04-18",39
"2018-04-19",49
